"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000007171";"NOS2";"nitric oxide synthase 2";221;272,108184814453;"No"
"row_1";"ENSG00000140465";"CYP1A1";"cytochrome P450 family 1 subfamily A member 1";244;248,110229492188;"No"
"row_2";"ENSG00000186377";"CYP4X1";"cytochrome P450 family 4 subfamily X member 1";714;81,9339904785156;"No"
"row_3";"ENSG00000145730";"PAM";"peptidylglycine alpha-amidating monooxygenase";731;79,9738159179688;"No"
"row_4";"ENSG00000100350";"FOXRED2";"FAD dependent oxidoreductase domain containing 2";826;67,5139770507812;"No"
"row_5";"ENSG00000133816";"MICAL2";"microtubule associated monooxygenase, calponin and LIM domain containing 2";839;66,6661834716797;"No"
"row_6";"ENSG00000171759";"PAH";"phenylalanine hydroxylase";935;58,7703552246094;"No"
"row_7";"ENSG00000001630";"CYP51A1";"cytochrome P450 family 51 subfamily A member 1";1029;50,8066101074219;"No"
"row_8";"ENSG00000197408";"CYP2B6";"cytochrome P450 family 2 subfamily B member 6";1667;22,9220142364502;"No"
"row_9";"ENSG00000075624";"ACTB";"actin beta";1708;21,8924655914307;"No"
"row_10";"ENSG00000111012";"CYP27B1";"cytochrome P450 family 27 subfamily B member 1";1782;20,0488739013672;"No"
"row_11";"ENSG00000164867";"NOS3";"nitric oxide synthase 3";1948;16,4750518798828;"No"
"row_12";"ENSG00000135929";"CYP27A1";"cytochrome P450 family 27 subfamily A member 1";1966;16,1366767883301;"No"
"row_13";"ENSG00000096384";"HSP90AB1";"heat shock protein 90 alpha family class B member 1";1988;15,7170209884644;"No"
"row_14";"ENSG00000119004";"CYP20A1";"cytochrome P450 family 20 subfamily A member 1";2004;15,4322814941406;"No"
"row_15";"ENSG00000165841";"CYP2C19";"cytochrome P450 family 2 subfamily C member 19";2036;14,9400091171265;"No"
"row_16";"ENSG00000137869";"CYP19A1";"cytochrome P450 family 19 subfamily A member 1";2074;14,4055233001709;"No"
"row_17";"ENSG00000179873";"NLRP11";"NLR family pyrin domain containing 11";2368;11,0517663955688;"No"
"row_18";"ENSG00000122787";"AKR1D1";"aldo-keto reductase family 1 member D1";2372;11,0220031738281;"No"
"row_19";"ENSG00000052802";"MSMO1";"methylsterol monooxygenase 1";3245;5,26024436950684;"No"
"row_20";"ENSG00000115286";"NDUFS7";"NADH:ubiquinone oxidoreductase core subunit S7";3780;3,52238631248474;"No"
"row_21";"ENSG00000198929";"NOS1AP";"nitric oxide synthase 1 adaptor protein";3791;3,473708152771;"No"
"row_22";"ENSG00000186160";"CYP4Z1";"cytochrome P450 family 4 subfamily Z member 1";3819;3,38124704360962;"No"
"row_23";"ENSG00000170271";"FAXDC2";"fatty acid hydroxylase domain containing 2";3938;3,09823751449585;"No"
"row_24";"ENSG00000166228";"PCBD1";"pterin-4 alpha-carbinolamine dehydratase 1";4209;2,51805305480957;"No"
"row_25";"ENSG00000142973";"CYP4B1";"cytochrome P450 family 4 subfamily B member 1";4319;2,32049918174744;"No"
"row_26";"ENSG00000076258";"FMO4";"flavin containing dimethylaniline monoxygenase 4";4408;2,212406873703;"No"
"row_27";"ENSG00000104549";"SQLE";"squalene epoxidase";4424;2,1856963634491;"No"
"row_28";"ENSG00000130649";"CYP2E1";"cytochrome P450 family 2 subfamily E member 1";4706;1,78384733200073;"No"
"row_29";"ENSG00000108242";"CYP2C18";"cytochrome P450 family 2 subfamily C member 18";4776;1,67585968971252;"No"
"row_30";"ENSG00000138109";"CYP2C9";"cytochrome P450 family 2 subfamily C member 9";4967;1,41052985191345;"No"
"row_31";"ENSG00000129167";"TPH1";"tryptophan hydroxylase 1";5767;0,891913115978241;"No"
"row_32";"ENSG00000036530";"CYP46A1";"cytochrome P450 family 46 subfamily A member 1";5791;0,867354094982147;"No"
"row_33";"ENSG00000134716";"CYP2J2";"cytochrome P450 family 2 subfamily J member 2";6076;0,663071870803833;"No"
"row_34";"ENSG00000129932";"DOHH";"deoxyhypusine hydroxylase";6077;0,662748992443085;"No"
"row_35";"ENSG00000100253";"MIOX";"myo-inositol oxygenase";6396;0,499000668525696;"No"
"row_36";"ENSG00000138115";"CYP2C8";"cytochrome P450 family 2 subfamily C member 8";6428;0,499000668525696;"No"
"row_37";"ENSG00000187048";"CYP4A11";"cytochrome P450 family 4 subfamily A member 11";6493;0,499000668525696;"No"
"row_38";"ENSG00000197838";"CYP2A13";"cytochrome P450 family 2 subfamily A member 13";6506;0,499000668525696;"No"
"row_39";"ENSG00000154198";"CYP4Z2P";"cytochrome P450 family 4 subfamily Z member 2, pseudogene";6631;0,499000668525696;"No"
"row_40";"ENSG00000007933";"FMO3";"flavin containing dimethylaniline monoxygenase 3";6975;0,357688844203949;"No"
"row_41";"ENSG00000171954";"CYP4F22";"cytochrome P450 family 4 subfamily F member 22";7066;0,357688844203949;"No"
"row_42";"ENSG00000010932";"FMO1";"flavin containing dimethylaniline monoxygenase 1";7368;0,329285591840744;"No"
"row_43";"ENSG00000124212";"PTGIS";"prostaglandin I2 synthase";7622;0,248085081577301;"No"
"row_44";"ENSG00000135596";"MICAL1";"microtubule associated monooxygenase, calponin and LIM domain containing 1";8204;0,127928763628006;"No"
"row_45";"ENSG00000123454";"DBH";"dopamine beta-hydroxylase";8315;0,107986360788345;"No"
"row_46";"ENSG00000140505";"CYP1A2";"cytochrome P450 family 1 subfamily A member 2";8323;0,107986360788345;"No"
"row_47";"ENSG00000186104";"CYP2R1";"cytochrome P450 family 2 subfamily R member 1";8975;0,0421780198812485;"No"
"row_48";"ENSG00000021461";"CYP3A43";"cytochrome P450 family 3 subfamily A member 43";9024;0,0384512133896351;"No"
"row_49";"ENSG00000148795";"CYP17A1";"cytochrome P450 family 17 subfamily A member 1";9064;0,0360072255134583;"No"
"row_50";"ENSG00000180176";"TH";"tyrosine hydroxylase";9068;0,0360072255134583;"No"
"row_51";"ENSG00000186115";"CYP4F2";"cytochrome P450 family 4 subfamily F member 2";9156;0,0292405989021063;"No"
"row_52";"ENSG00000091831";"ESR1";"estrogen receptor 1";9355;0,0147900087758899;"No"
"row_53";"ENSG00000168405";"CMAHP";"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene";9356;0,0147900087758899;"No"
"row_54";"ENSG00000101247";"NDUFAF5";"NADH:ubiquinone oxidoreductase complex assembly factor 5";9634;0,00303556863218546;"No"
"row_55";"ENSG00000100197";"CYP2D6";"cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)";9851;3,63557956006844e-05;"No"
"row_56";"ENSG00000140459";"CYP11A1";"cytochrome P450 family 11 subfamily A member 1";10327;-0,00665026716887951;"No"
"row_57";"ENSG00000243156";"MICAL3";"microtubule associated monooxygenase, calponin and LIM domain containing 3";10710;-0,0219930820167065;"No"
"row_58";"ENSG00000130612";"CYP2G1P";"cytochrome P450 family 2 subfamily G member 1, pseudogene";12021;-0,207096368074417;"No"
"row_59";"ENSG00000255974";"CYP2A6";"cytochrome P450 family 2 subfamily A member 6";12078;-0,218287587165833;"No"
"row_60";"ENSG00000103415";"HMOX2";"heme oxygenase 2";12371;-0,274433612823486;"No"
"row_61";"ENSG00000088986";"DYNLL1";"dynein light chain LC8-type 1";12459;-0,308900773525238;"No"
"row_62";"ENSG00000116288";"PARK7";"Parkinsonism associated deglycase";12599;-0,355651408433914;"No"
"row_63";"ENSG00000198077";"CYP2A7";"cytochrome P450 family 2 subfamily A member 7";13356;-0,628194332122803;"No"
"row_64";"ENSG00000168350";"DEGS2";"delta 4-desaturase, sphingolipid 2";14021;-0,973368525505066;"No"
"row_65";"ENSG00000160014";"CALM3";"calmodulin 3";14339;-1,24648082256317;"No"
"row_66";"ENSG00000117009";"KMO";"kynurenine 3-monooxygenase";14500;-1,44279098510742;"No"
"row_67";"ENSG00000146233";"CYP39A1";"cytochrome P450 family 39 subfamily A member 1";15032;-2,04188942909241;"No"
"row_68";"ENSG00000167186";"COQ7";"coenzyme Q7, hydroxylase";15328;-2,58392739295959;"No"
"row_69";"ENSG00000119723";"COQ6";"coenzyme Q6, monooxygenase";15463;-2,85458755493164;"No"
"row_70";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";15688;-3,38418817520142;"No"
"row_71";"ENSG00000079931";"MOXD1";"monooxygenase DBH like 1";15728;-3,47341871261597;"No"
"row_72";"ENSG00000095596";"CYP26A1";"cytochrome P450 family 26 subfamily A member 1";15812;-3,7353663444519;"No"
