"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000159217";"IGF2BP1";"insulin like growth factor 2 mRNA binding protein 1";63;784,802429199219;"Yes"
"row_1";"ENSG00000073792";"IGF2BP2";"insulin like growth factor 2 mRNA binding protein 2";135;428,354156494141;"Yes"
"row_2";"ENSG00000149658";"YTHDF1";"YTH N6-methyladenosine RNA binding protein F1";157;375,562683105469;"Yes"
"row_3";"ENSG00000136231";"IGF2BP3";"insulin like growth factor 2 mRNA binding protein 3";790;71,6313629150391;"Yes"
"row_4";"ENSG00000131914";"LIN28A";"lin-28 homolog A";896;61,1891441345215;"Yes"
"row_5";"ENSG00000065978";"YBX1";"Y-box binding protein 1";3233;5,29946231842041;"No"
"row_6";"ENSG00000112081";"SRSF3";"serine and arginine rich splicing factor 3";3830;3,35625815391541;"No"
"row_7";"ENSG00000184863";"RBM33";"RNA binding motif protein 33";5406;1,11600589752197;"No"
"row_8";"ENSG00000151923";"TIAL1";"TIA1 cytotoxic granule associated RNA binding protein like 1";7479;0,291538029909134;"No"
"row_9";"ENSG00000128191";"DGCR8";"DGCR8 microprocessor complex subunit";7756;0,20836378633976;"No"
"row_10";"ENSG00000183684";"ALYREF";"Aly/REF export factor";8132;0,143759995698929;"No"
"row_11";"ENSG00000167962";"ZNF598";"zinc finger protein 598, E3 ubiquitin ligase";8216;0,125012189149857;"No"
"row_12";"ENSG00000083896";"YTHDC1";"YTH N6-methyladenosine RNA binding protein C1";10175;-0,00237379572354257;"No"
"row_13";"ENSG00000198492";"YTHDF2";"YTH N6-methyladenosine RNA binding protein F2";10907;-0,040050208568573;"No"
"row_14";"ENSG00000092199";"HNRNPC";"heterogeneous nuclear ribonucleoprotein C";11198;-0,0715137049555779;"No"
"row_15";"ENSG00000102081";"FMR1";"fragile X messenger ribonucleoprotein 1";11339;-0,0917563438415527;"No"
"row_16";"ENSG00000108561";"C1QBP";"complement C1q binding protein";11668;-0,146958604454994;"No"
"row_17";"ENSG00000128016";"ZFP36";"ZFP36 ring finger protein";12099;-0,223867163062096;"No"
"row_18";"ENSG00000185728";"YTHDF3";"YTH N6-methyladenosine RNA binding protein F3";12252;-0,238123029470444;"No"
"row_19";"ENSG00000122566";"HNRNPA2B1";"heterogeneous nuclear ribonucleoprotein A2/B1";12311;-0,25717169046402;"No"
"row_20";"ENSG00000112531";"QKI";"QKI, KH domain containing RNA binding";15662;-3,31363821029663;"No"
"row_21";"ENSG00000047188";"YTHDC2";"YTH N6-methyladenosine RNA binding protein C2";16875;-9,33940505981445;"No"
"row_22";"ENSG00000131171";"SH3BGRL";"SH3 domain binding glutamate rich protein like";17797;-24,0812511444092;"No"
