"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000162676";"GFI1";"growth factor independent 1 transcriptional repressor";1235;24,3152542114258;"No"
"row_1";"ENSG00000121207";"LRAT";"lecithin retinol acyltransferase";2293;8,37692260742188;"No"
"row_2";"ENSG00000015520";"NPC1L1";"NPC1 like intracellular cholesterol transporter 1";4116;2,12474298477173;"No"
"row_3";"ENSG00000105229";"PIAS4";"protein inhibitor of activated STAT 4";4210;1,98590624332428;"No"
"row_4";"ENSG00000081479";"LRP2";"LDL receptor related protein 2";4677;1,45987057685852;"No"
"row_5";"ENSG00000167397";"VKORC1";"vitamin K epoxide reductase complex subunit 1";4849;1,29655241966248;"No"
"row_6";"ENSG00000100979";"PLTP";"phospholipid transfer protein";5832;0,676537036895752;"No"
"row_7";"ENSG00000120942";"UBIAD1";"UbiA prenyltransferase domain containing 1";6049;0,549375832080841;"No"
"row_8";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";6328;0,441436678171158;"No"
"row_9";"ENSG00000140522";"RLBP1";"retinaldehyde binding protein 1";6336;0,441436678171158;"No"
"row_10";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";6772;0,331081688404083;"No"
"row_11";"ENSG00000124216";"SNAI1";"snail family transcriptional repressor 1";6934;0,274365425109863;"No"
"row_12";"ENSG00000111012";"CYP27B1";"cytochrome P450 family 27 subfamily B member 1";9531;0,0014383812667802;"No"
"row_13";"ENSG00000137561";"TTPA";"alpha tocopherol transfer protein";10366;-0,0158798154443502;"No"
"row_14";"ENSG00000100600";"LGMN";"legumain";10880;-0,0527805909514427;"No"
"row_15";"ENSG00000171903";"CYP4F11";"cytochrome P450 family 4 subfamily F member 11";10893;-0,0547503605484962;"No"
"row_16";"ENSG00000116745";"RPE65";"retinoid isomerohydrolase RPE65";11981;-0,266972482204437;"No"
"row_17";"ENSG00000140459";"CYP11A1";"cytochrome P450 family 11 subfamily A member 1";12166;-0,290697127580643;"No"
"row_18";"ENSG00000186115";"CYP4F2";"cytochrome P450 family 4 subfamily F member 2";12185;-0,290697127580643;"No"
"row_19";"ENSG00000115486";"GGCX";"gamma-glutamyl carboxylase";12422;-0,360830366611481;"No"
"row_20";"ENSG00000118972";"FGF23";"fibroblast growth factor 23";13338;-0,754587471485138;"No"
"row_21";"ENSG00000019549";"SNAI2";"snail family transcriptional repressor 2";13699;-0,88572883605957;"No"
"row_22";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";13741;-0,923926770687103;"No"
"row_23";"ENSG00000135929";"CYP27A1";"cytochrome P450 family 27 subfamily A member 1";14012;-1,22600710391998;"No"
"row_24";"ENSG00000186104";"CYP2R1";"cytochrome P450 family 2 subfamily R member 1";14595;-1,93972373008728;"No"
"row_25";"ENSG00000042286";"AIFM2";"AIF family member 2";14974;-2,42542338371277;"No"
"row_26";"ENSG00000140465";"CYP1A1";"cytochrome P450 family 1 subfamily A member 1";15404;-3,53165483474731;"No"
"row_27";"ENSG00000003137";"CYP26B1";"cytochrome P450 family 26 subfamily B member 1";15485;-3,72594499588013;"No"
"row_28";"ENSG00000107798";"LIPA";"lipase A, lysosomal acid type";15490;-3,7371244430542;"No"
"row_29";"ENSG00000196715";"VKORC1L1";"vitamin K epoxide reductase complex subunit 1 like 1";15694;-4,40456676483154;"No"
"row_30";"ENSG00000095596";"CYP26A1";"cytochrome P450 family 26 subfamily A member 1";16520;-8,8815450668335;"No"
"row_31";"ENSG00000135697";"BCO1";"beta-carotene oxygenase 1";18565;-101,36434173584;"Yes"
"row_32";"ENSG00000077782";"FGFR1";"fibroblast growth factor receptor 1";18574;-103,841804504395;"Yes"
"row_33";"ENSG00000186204";"CYP4F12";"cytochrome P450 family 4 subfamily F member 12";18645;-117,699729919434;"Yes"
"row_34";"ENSG00000186529";"CYP4F3";"cytochrome P450 family 4 subfamily F member 3";18774;-153,592636108398;"Yes"
"row_35";"ENSG00000181019";"NQO1";"NAD(P)H quinone dehydrogenase 1";18953;-260,803344726562;"Yes"
"row_36";"ENSG00000019186";"CYP24A1";"cytochrome P450 family 24 subfamily A member 1";19228;-1569,9970703125;"Yes"
