"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196136";"SERPINA3";"serpin family A member 3";365;121,125869750977;"No"
"row_1";"ENSG00000145882";"PCYOX1L";"prenylcysteine oxidase 1 like";635;60,3182220458984;"No"
"row_2";"ENSG00000149925";"ALDOA";"aldolase, fructose-bisphosphate A";856;40,6288719177246;"No"
"row_3";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";1005;32,0628509521484;"No"
"row_4";"ENSG00000110799";"VWF";"von Willebrand factor";1030;31,1666793823242;"No"
"row_5";"ENSG00000100311";"PDGFB";"platelet derived growth factor subunit B";1228;24,6600952148438;"No"
"row_6";"ENSG00000112715";"VEGFA";"vascular endothelial growth factor A";1607;16,1525192260742;"No"
"row_7";"ENSG00000112419";"PHACTR2";"phosphatase and actin regulator 2";1618;15,992603302002;"No"
"row_8";"ENSG00000010278";"CD9";"CD9 molecule";2131;9,53086757659912;"No"
"row_9";"ENSG00000172432";"GTPBP2";"GTP binding protein 2";2830;5,35382652282715;"No"
"row_10";"ENSG00000197461";"PDGFA";"platelet derived growth factor subunit A";3112;4,2309308052063;"No"
"row_11";"ENSG00000159348";"CYB5R1";"cytochrome b5 reductase 1";3378;3,52620577812195;"No"
"row_12";"ENSG00000116266";"STXBP3";"syntaxin binding protein 3";3383;3,52020835876465;"No"
"row_13";"ENSG00000186340";"THBS2";"thrombospondin 2";3726;2,79832434654236;"No"
"row_14";"ENSG00000102316";"MAGED2";"MAGE family member D2";4030;2,26661920547485;"No"
"row_15";"ENSG00000138430";"OLA1";"Obg like ATPase 1";4622;1,52368116378784;"No"
"row_16";"ENSG00000135218";"CD36";"CD36 molecule (CD36 blood group)";5067;1,13795173168182;"No"
"row_17";"ENSG00000229314";"ORM1";"orosomucoid 1";5110;1,13795173168182;"No"
"row_18";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";6225;0,476678639650345;"No"
"row_19";"ENSG00000084234";"APLP2";"amyloid beta precursor like protein 2";6227;0,475853145122528;"No"
"row_20";"ENSG00000197249";"SERPINA1";"serpin family A member 1";6257;0,462897509336472;"No"
"row_21";"ENSG00000149781";"FERMT3";"FERM domain containing kindlin 3";6529;0,434960722923279;"No"
"row_22";"ENSG00000116260";"QSOX1";"quiescin sulfhydryl oxidase 1";6905;0,28471577167511;"No"
"row_23";"ENSG00000149131";"SERPING1";"serpin family G member 1";7430;0,202317208051682;"No"
"row_24";"ENSG00000261371";"PECAM1";"platelet and endothelial cell adhesion molecule 1";7503;0,185847416520119;"No"
"row_25";"ENSG00000121410";"A1BG";"alpha-1-B glycoprotein";7607;0,159859389066696;"No"
"row_26";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";8096;0,0932592302560806;"No"
"row_27";"ENSG00000005961";"ITGA2B";"integrin subunit alpha 2b";8759;0,0400721952319145;"No"
"row_28";"ENSG00000163631";"ALB";"albumin";9939;-0,001772545510903;"No"
"row_29";"ENSG00000145192";"AHSG";"alpha 2-HS glycoprotein";10524;-0,0251054596155882;"No"
"row_30";"ENSG00000136854";"STXBP1";"syntaxin binding protein 1";10761;-0,0420093461871147;"No"
"row_31";"ENSG00000155008";"APOOL";"apolipoprotein O like";11615;-0,174042284488678;"No"
"row_32";"ENSG00000072110";"ACTN1";"actinin alpha 1";11638;-0,180295690894127;"No"
"row_33";"ENSG00000188488";"SERPINA5";"serpin family A member 5";12618;-0,438858807086945;"No"
"row_34";"ENSG00000142192";"APP";"amyloid beta precursor protein";12651;-0,460789054632187;"No"
"row_35";"ENSG00000185010";"F8";"coagulation factor VIII";12695;-0,480569690465927;"No"
"row_36";"ENSG00000019991";"HGF";"hepatocyte growth factor";13020;-0,679669976234436;"No"
"row_37";"ENSG00000122194";"PLG";"plasminogen";13041;-0,679669976234436;"No"
"row_38";"ENSG00000153310";"CYRIB";"CYFIP related Rac1 interactor B";13806;-1,0049934387207;"No"
"row_39";"ENSG00000196865";"NHLRC2";"NHL repeat containing 2";14084;-1,31635856628418;"No"
"row_40";"ENSG00000292366";"VAMP7";"vesicle associated membrane protein 7";14209;-1,43148529529572;"No"
"row_41";"ENSG00000184056";"VPS33B";"VPS33B late endosome and lysosome associated";14377;-1,6066015958786;"No"
"row_42";"ENSG00000138798";"EGF";"epidermal growth factor";14602;-1,94674718379974;"No"
"row_43";"ENSG00000197766";"CFD";"complement factor D";15365;-3,42179560661316;"No"
"row_44";"ENSG00000164081";"TEX264";"testis expressed 264, ER-phagy receptor";15501;-3,78809404373169;"No"
"row_45";"ENSG00000124491";"F13A1";"coagulation factor XIII A chain";15671;-4,29770374298096;"No"
"row_46";"ENSG00000113889";"KNG1";"kininogen 1";16017;-5,71711158752441;"No"
"row_47";"ENSG00000167711";"SERPINF2";"serpin family F member 2";16239;-6,94694948196411;"No"
"row_48";"ENSG00000145335";"SNCA";"synuclein alpha";16659;-10,0583171844482;"No"
"row_49";"ENSG00000163737";"PF4";"platelet factor 4";16762;-11,0253810882568;"No"
"row_50";"ENSG00000259207";"ITGB3";"integrin subunit beta 3";17157;-15,9420309066772;"No"
"row_51";"ENSG00000102362";"SYTL4";"synaptotagmin like 4";17236;-17,187068939209;"No"
"row_52";"ENSG00000169851";"PCDH7";"protocadherin 7";17337;-18,9377307891846;"No"
"row_53";"ENSG00000129009";"ISLR";"immunoglobulin superfamily containing leucine rich repeat";17620;-26,138240814209;"No"
"row_54";"ENSG00000166479";"TMX3";"thioredoxin related transmembrane protein 3";17701;-28,7745361328125;"No"
"row_55";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";17736;-29,9439582824707;"No"
"row_56";"ENSG00000113140";"SPARC";"secreted protein acidic and cysteine rich";17855;-34,4318313598633;"No"
"row_57";"ENSG00000183087";"GAS6";"growth arrest specific 6";17936;-38,0236892700195;"No"
"row_58";"ENSG00000198734";"F5";"coagulation factor V";18235;-57,9368019104004;"Yes"
"row_59";"ENSG00000143653";"SCCPDH";"saccharopine dehydrogenase (putative)";18274;-61,1886787414551;"Yes"
"row_60";"ENSG00000130402";"ACTN4";"actinin alpha 4";18313;-64,5009918212891;"Yes"
"row_61";"ENSG00000205542";"TMSB4X";"thymosin beta 4 X-linked";18549;-98,2323989868164;"Yes"
"row_62";"ENSG00000184500";"PROS1";"protein S";18557;-100,304580688477;"Yes"
"row_63";"ENSG00000171557";"FGG";"fibrinogen gamma chain";18601;-108,778869628906;"Yes"
"row_64";"ENSG00000171564";"FGB";"fibrinogen beta chain";18606;-109,345108032227;"Yes"
"row_65";"ENSG00000198113";"TOR4A";"torsin family 4 member A";18900;-221,705123901367;"Yes"
"row_66";"ENSG00000137801";"THBS1";"thrombospondin 1";18921;-232,535018920898;"Yes"
"row_67";"ENSG00000122862";"SRGN";"serglycin";18963;-268,213897705078;"Yes"
"row_68";"ENSG00000171560";"FGA";"fibrinogen alpha chain";18985;-291,644592285156;"Yes"
"row_69";"ENSG00000145685";"LHFPL2";"LHFPL tetraspan subfamily member 2";19017;-331,400177001953;"Yes"
"row_70";"ENSG00000115414";"FN1";"fibronectin 1";19089;-465,125244140625;"Yes"
"row_71";"ENSG00000135919";"SERPINE2";"serpin family E member 2";19124;-568,141662597656;"Yes"
"row_72";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";19138;-611,987243652344;"Yes"
"row_73";"ENSG00000120885";"CLU";"clusterin";19146;-651,020080566406;"Yes"
"row_74";"ENSG00000106366";"SERPINE1";"serpin family E member 1";19189;-916,85498046875;"Yes"
"row_75";"ENSG00000156535";"CD109";"CD109 molecule";19227;-1560,27941894531;"Yes"
