"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000168280";"KIF5C";"kinesin family member 5C";1469;18,6699829101562;"No"
"row_1";"ENSG00000181856";"SLC2A4";"solute carrier family 2 member 4";2106;9,74216842651367;"No"
"row_2";"ENSG00000069974";"RAB27A";"RAB27A, member RAS oncogene family";2138;9,47030925750732;"No"
"row_3";"ENSG00000047579";"DTNBP1";"dystrobrevin binding protein 1";2376;7,80048036575317;"No"
"row_4";"ENSG00000101463";"SYNDIG1";"synapse differentiation inducing 1";3157;4,09939241409302;"No"
"row_5";"ENSG00000166747";"AP1G1";"adaptor related protein complex 1 subunit gamma 1";3177;4,02899837493896;"No"
"row_6";"ENSG00000136827";"TOR1A";"torsin family 1 member A";3183;4,00810098648071;"No"
"row_7";"ENSG00000079805";"DNM2";"dynamin 2";3266;3,78460264205933;"No"
"row_8";"ENSG00000167702";"KIFC2";"kinesin family member C2";3452;3,37568521499634;"No"
"row_9";"ENSG00000185666";"SYN3";"synapsin III";3623;2,998690366745;"No"
"row_10";"ENSG00000157601";"MX1";"MX dynamin like GTPase 1";3931;2,41196155548096;"No"
"row_11";"ENSG00000159082";"SYNJ1";"synaptojanin 1";4117;2,12367510795593;"No"
"row_12";"ENSG00000189114";"BLOC1S3";"biogenesis of lysosomal organelles complex 1 subunit 3";4157;2,07934212684631;"No"
"row_13";"ENSG00000105649";"RAB3A";"RAB3A, member RAS oncogene family";4373;1,80418288707733;"No"
"row_14";"ENSG00000164885";"CDK5";"cyclin dependent kinase 5";4456;1,71732997894287;"No"
"row_15";"ENSG00000143553";"SNAPIN";"SNAP associated protein";4789;1,35480523109436;"No"
"row_16";"ENSG00000103723";"AP3B2";"adaptor related protein complex 3 subunit beta 2";5038;1,15496301651001;"No"
"row_17";"ENSG00000164061";"BSN";"bassoon presynaptic cytomatrix protein";5320;0,968132197856903;"No"
"row_18";"ENSG00000078018";"MAP2";"microtubule associated protein 2";5595;0,77954775094986;"No"
"row_19";"ENSG00000120509";"PDZD11";"PDZ domain containing 11";5604;0,776645183563232;"No"
"row_20";"ENSG00000186222";"BLOC1S4";"biogenesis of lysosomal organelles complex 1 subunit 4";5748;0,728030622005463;"No"
"row_21";"ENSG00000196072";"BLOC1S2";"biogenesis of lysosomal organelles complex 1 subunit 2";6251;0,465420603752136;"No"
"row_22";"ENSG00000183486";"MX2";"MX dynamin like GTPase 2";8028;0,102973580360413;"No"
"row_23";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";8579;0,0576872676610947;"No"
"row_24";"ENSG00000155980";"KIF5A";"kinesin family member 5A";8940;0,0258924774825573;"No"
"row_25";"ENSG00000179915";"NRXN1";"neurexin 1";9144;0,0130321327596903;"No"
"row_26";"ENSG00000169760";"NLGN1";"neuroligin 1";9262;0,008938018232584;"No"
"row_27";"ENSG00000177879";"AP3S1";"adaptor related protein complex 3 subunit sigma 1";9802;-0,000173707681824453;"No"
"row_28";"ENSG00000104164";"BLOC1S6";"biogenesis of lysosomal organelles complex 1 subunit 6";10046;-0,00415168749168515;"No"
"row_29";"ENSG00000111052";"LIN7A";"lin-7 homolog A, crumbs cell polarity complex component";10098;-0,00554551649838686;"No"
"row_30";"ENSG00000163462";"TRIM46";"tripartite motif containing 46";10477;-0,021671375259757;"No"
"row_31";"ENSG00000104133";"SPG11";"SPG11 vesicle trafficking associated, spatacsin";10501;-0,023101981729269;"No"
"row_32";"ENSG00000008056";"SYN1";"synapsin I";10931;-0,0579183660447598;"No"
"row_33";"ENSG00000189195";"BTBD8";"BTB domain containing 8";11178;-0,0872046425938606;"No"
"row_34";"ENSG00000158828";"PINK1";"PTEN induced kinase 1";11314;-0,11285886913538;"No"
