"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100219";"XBP1";"X-box binding protein 1";16;1290,10998535156;"Yes"
"row_1";"ENSG00000064490";"RFXANK";"regulatory factor X associated ankyrin containing protein";1366;20,7475833892822;"No"
"row_2";"ENSG00000178913";"TAF7";"TATA-box binding protein associated factor 7";3264;3,78743100166321;"No"
"row_3";"ENSG00000133111";"RFXAP";"regulatory factor X associated protein";5190;1,08239018917084;"No"
"row_4";"ENSG00000018280";"SLC11A1";"solute carrier family 11 member 1";8532;0,0618927627801895;"No"
"row_5";"ENSG00000096968";"JAK2";"Janus kinase 2";11511;-0,152688279747963;"No"
"row_6";"ENSG00000066336";"SPI1";"Spi-1 proto-oncogene";11566;-0,165692403912544;"No"
"row_7";"ENSG00000143390";"RFX5";"regulatory factor X5";11718;-0,198019757866859;"No"
"row_8";"ENSG00000179583";"CIITA";"class II major histocompatibility complex transactivator";11737;-0,203651040792465;"No"
"row_9";"ENSG00000176749";"CDK5R1";"cyclin dependent kinase 5 regulatory subunit 1";11943;-0,257193088531494;"No"
"row_10";"ENSG00000184988";"TMEM106A";"transmembrane protein 106A";11964;-0,26367712020874;"No"
"row_11";"ENSG00000086102";"NFX1";"nuclear transcription factor, X-box binding 1";12958;-0,63337117433548;"No"
"row_12";"ENSG00000172232";"AZU1";"azurocidin 1";13380;-0,754587471485138;"No"
"row_13";"ENSG00000096717";"SIRT1";"sirtuin 1";14241;-1,45674216747284;"No"
"row_14";"ENSG00000136869";"TLR4";"toll like receptor 4";15567;-3,94355010986328;"No"
"row_15";"ENSG00000163737";"PF4";"platelet factor 4";16762;-11,0253810882568;"No"
