"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000103485";"QPRT";"quinolinate phosphoribosyltransferase";43;890,494262695312;"Yes"
"row_1";"ENSG00000106733";"NMRK1";"nicotinamide riboside kinase 1";2731;5,78613138198853;"No"
"row_2";"ENSG00000172890";"NADSYN1";"NAD synthetase 1";5373;0,93486887216568;"No"
"row_3";"ENSG00000147813";"NAPRT";"nicotinate phosphoribosyltransferase";5808;0,692229270935059;"No"
"row_4";"ENSG00000077009";"NMRK2";"nicotinamide riboside kinase 2";6306;0,441436678171158;"No"
"row_5";"ENSG00000204653";"ASPDH";"aspartate dehydrogenase domain containing";7325;0,238052308559418;"No"
"row_6";"ENSG00000173614";"NMNAT1";"nicotinamide nucleotide adenylyltransferase 1";8685;0,0471683740615845;"No"
"row_7";"ENSG00000105835";"NAMPT";"nicotinamide phosphoribosyltransferase";9994;-0,00275463750585914;"No"
"row_8";"ENSG00000153086";"ACMSD";"aminocarboxymuconate semialdehyde decarboxylase";10279;-0,0117261856794357;"No"
"row_9";"ENSG00000163864";"NMNAT3";"nicotinamide nucleotide adenylyltransferase 3";11202;-0,0926658660173416;"No"
"row_10";"ENSG00000183077";"AFMID";"arylformamidase";11505;-0,151134088635445;"No"
"row_11";"ENSG00000188676";"IDO2";"indoleamine 2,3-dioxygenase 2";13553;-0,769315540790558;"No"
"row_12";"ENSG00000117009";"KMO";"kynurenine 3-monooxygenase";15218;-3,03716349601746;"No"
"row_13";"ENSG00000157064";"NMNAT2";"nicotinamide nucleotide adenylyltransferase 2";15364;-3,41950225830078;"No"
"row_14";"ENSG00000115919";"KYNU";"kynureninase";16950;-12,9460077285767;"No"
