"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100219";"XBP1";"X-box binding protein 1";16;1290,10998535156;"Yes"
"row_1";"ENSG00000176170";"SPHK1";"sphingosine kinase 1";213;203,938873291016;"Yes"
"row_2";"ENSG00000163884";"KLF15";"KLF transcription factor 15";1501;18,0304317474365;"No"
"row_3";"ENSG00000168395";"ING5";"inhibitor of growth family member 5";2282;8,43496704101562;"No"
"row_4";"ENSG00000160305";"DIP2A";"disco interacting protein 2 homolog A";2904;5,05459070205688;"No"
"row_5";"ENSG00000172977";"KAT5";"lysine acetyltransferase 5";3282;3,72584199905396;"No"
"row_6";"ENSG00000128708";"HAT1";"histone acetyltransferase 1";3911;2,4526846408844;"No"
"row_7";"ENSG00000141446";"ESCO1";"establishment of sister chromatid cohesion N-acetyltransferase 1";4388;1,78534317016602;"No"
"row_8";"ENSG00000135372";"NAT10";"N-acetyltransferase 10";4600;1,53187227249146;"No"
"row_9";"ENSG00000005339";"CREBBP";"CREB binding protein";5444;0,883374989032745;"No"
"row_10";"ENSG00000102030";"NAA10";"N-alpha-acetyltransferase 10, NatA catalytic subunit";5803;0,696348905563354;"No"
"row_11";"ENSG00000122390";"NAA60";"N-alpha-acetyltransferase 60, NatF catalytic subunit";5884;0,641104519367218;"No"
"row_12";"ENSG00000121579";"NAA50";"N-alpha-acetyltransferase 50, NatE catalytic subunit";6048;0,549545764923096;"No"
"row_13";"ENSG00000136982";"DSCC1";"DNA replication and sister chromatid cohesion 1";7717;0,132765591144562;"No"
"row_14";"ENSG00000066084";"DIP2B";"disco interacting protein 2 homolog B";7964;0,115073852241039;"No"
"row_15";"ENSG00000173418";"NAA20";"N-alpha-acetyltransferase 20, NatB catalytic subunit";8168;0,0815337374806404;"No"
"row_16";"ENSG00000204463";"BAG6";"BAG cochaperone 6";8876;0,0308021325618029;"No"
"row_17";"ENSG00000164134";"NAA15";"N-alpha-acetyltransferase 15, NatA auxiliary subunit";8966;0,0242179520428181;"No"
"row_18";"ENSG00000136504";"KAT7";"lysine acetyltransferase 7";9057;0,0184385478496552;"No"
"row_19";"ENSG00000172766";"NAA16";"N-alpha-acetyltransferase 16, NatA auxiliary subunit";9429;0,00345963216386735;"No"
"row_20";"ENSG00000166004";"CEP295";"centrosomal protein 295";10174;-0,00753913121297956;"No"
"row_21";"ENSG00000150907";"FOXO1";"forkhead box O1";10310;-0,013552631251514;"No"
"row_22";"ENSG00000134852";"CLOCK";"clock circadian regulator";10484;-0,0221737306565046;"No"
"row_23";"ENSG00000137947";"GTF2B";"general transcription factor IIB";10553;-0,0276877582073212;"No"
"row_24";"ENSG00000137343";"ATAT1";"alpha tubulin acetyltransferase 1";12646;-0,455806285142899;"No"
"row_25";"ENSG00000144035";"NAT8";"N-acetyltransferase 8 (putative)";13359;-0,754587471485138;"No"
"row_26";"ENSG00000111653";"ING4";"inhibitor of growth family member 4";14101;-1,32936525344849;"No"
"row_27";"ENSG00000096717";"SIRT1";"sirtuin 1";14241;-1,45674216747284;"No"
"row_28";"ENSG00000129673";"AANAT";"aralkylamine N-acetyltransferase";14559;-1,86718130111694;"No"
"row_29";"ENSG00000133794";"BMAL1";"basic helix-loop-helix ARNT like 1";15178;-2,96197819709778;"No"
"row_30";"ENSG00000114166";"KAT2B";"lysine acetyltransferase 2B";16231;-6,89286851882935;"No"
"row_31";"ENSG00000170264";"FAM161A";"FAM161 centrosomal protein A";16381;-7,71918821334839;"No"
"row_32";"ENSG00000100393";"EP300";"E1A binding protein p300";16876;-12,1481685638428;"No"
"row_33";"ENSG00000083168";"KAT6A";"lysine acetyltransferase 6A";17383;-19,8899116516113;"No"
"row_34";"ENSG00000108773";"KAT2A";"lysine acetyltransferase 2A";17426;-20,9188594818115;"No"
"row_35";"ENSG00000171320";"ESCO2";"establishment of sister chromatid cohesion N-acetyltransferase 2";18066;-45,4165344238281;"No"
