"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196542";"SPTSSB";"serine palmitoyltransferase small subunit B";0;2689,33227539062;"Yes"
"row_1";"ENSG00000176170";"SPHK1";"sphingosine kinase 1";213;203,938873291016;"Yes"
"row_2";"ENSG00000107331";"ABCA2";"ATP binding cassette subfamily A member 2";387;115,508476257324;"Yes"
"row_3";"ENSG00000167769";"ACER1";"alkaline ceramidase 1";2302;8,30837535858154;"No"
"row_4";"ENSG00000165389";"SPTSSA";"serine palmitoyltransferase small subunit A";2439;7,35384082794189;"No"
"row_5";"ENSG00000168350";"DEGS2";"delta 4-desaturase, sphingolipid 2";2600;6,43139505386353;"No"
"row_6";"ENSG00000138744";"NAAA";"N-acylethanolamine acid amidase";3522;3,22700762748718;"No"
"row_7";"ENSG00000090054";"SPTLC1";"serine palmitoyltransferase long chain base subunit 1";4204;2,00064134597778;"No"
"row_8";"ENSG00000100596";"SPTLC2";"serine palmitoyltransferase long chain base subunit 2";4576;1,56822621822357;"No"
"row_9";"ENSG00000188611";"ASAH2";"N-acylsphingosine amidohydrolase 2";5870;0,647745907306671;"No"
"row_10";"ENSG00000006530";"AGK";"acylglycerol kinase";9901;-0,00138586375396699;"No"
"row_11";"ENSG00000177628";"GBA1";"glucosylceramidase beta 1";10268;-0,0115039991214871;"No"
"row_12";"ENSG00000126821";"SGPP1";"sphingosine-1-phosphate phosphatase 1";10978;-0,0626146718859673;"No"
"row_13";"ENSG00000177076";"ACER2";"alkaline ceramidase 2";11065;-0,0732896476984024;"No"
"row_14";"ENSG00000163082";"SGPP2";"sphingosine-1-phosphate phosphatase 2";12262;-0,292705863714218;"No"
"row_15";"ENSG00000172296";"SPTLC3";"serine palmitoyltransferase long chain base subunit 3";12619;-0,439233332872391;"No"
"row_16";"ENSG00000119537";"KDSR";"3-ketodihydrosphingosine reductase";13647;-0,843979001045227;"No"
"row_17";"ENSG00000078124";"ACER3";"alkaline ceramidase 3";15270;-3,14174175262451;"No"
"row_18";"ENSG00000141934";"PLPP2";"phospholipid phosphatase 2";15464;-3,66203355789185;"No"
"row_19";"ENSG00000104763";"ASAH1";"N-acylsphingosine amidohydrolase 1";16490;-8,55009937286377;"No"
"row_20";"ENSG00000063176";"SPHK2";"sphingosine kinase 2";17075;-14,7013940811157;"No"
"row_21";"ENSG00000067113";"PLPP1";"phospholipid phosphatase 1";17220;-16,940372467041;"No"
"row_22";"ENSG00000162407";"PLPP3";"phospholipid phosphatase 3";17433;-21,0675888061523;"No"
