"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000197958";"RPL12";"ribosomal protein L12";191;227,722839355469;"Yes"
"row_1";"ENSG00000233927";"RPS28";"ribosomal protein S28";284;155,911407470703;"Yes"
"row_2";"ENSG00000140988";"RPS2";"ribosomal protein S2";321;140,107681274414;"Yes"
"row_3";"ENSG00000167526";"RPL13";"ribosomal protein L13";468;93,1579284667969;"Yes"
"row_4";"ENSG00000161016";"RPL8";"ribosomal protein L8";470;92,4650192260742;"Yes"
"row_5";"ENSG00000112306";"RPS12";"ribosomal protein S12";476;90,5226440429688;"Yes"
"row_6";"ENSG00000144713";"RPL32";"ribosomal protein L32";573;69,1797409057617;"Yes"
"row_7";"ENSG00000143436";"MRPL9";"mitochondrial ribosomal protein L9";613;63,3056488037109;"Yes"
"row_8";"ENSG00000197756";"RPL37A";"ribosomal protein L37a";618;62,9012451171875;"Yes"
"row_9";"ENSG00000146223";"RPL7L1";"ribosomal protein L7 like 1";701;52,4416389465332;"Yes"
"row_10";"ENSG00000071082";"RPL31";"ribosomal protein L31";711;51,7947959899902;"Yes"
"row_11";"ENSG00000134419";"RPS15A";"ribosomal protein S15a";739;49,4350128173828;"Yes"
"row_12";"ENSG00000266472";"MRPS21";"mitochondrial ribosomal protein S21";757;47,4056549072266;"Yes"
"row_13";"ENSG00000182154";"MRPL41";"mitochondrial ribosomal protein L41";820;42,8890991210938;"Yes"
"row_14";"ENSG00000149273";"RPS3";"ribosomal protein S3";863;40,176513671875;"Yes"
"row_15";"ENSG00000177954";"RPS27";"ribosomal protein S27";941;35,6839332580566;"Yes"
"row_16";"ENSG00000221983";"UBA52";"ubiquitin A-52 residue ribosomal protein fusion product 1";967;34,1542167663574;"Yes"
"row_17";"ENSG00000105364";"MRPL4";"mitochondrial ribosomal protein L4";987;33,0814590454102;"Yes"
"row_18";"ENSG00000105640";"RPL18A";"ribosomal protein L18a";1022;31,4157657623291;"Yes"
"row_19";"ENSG00000145592";"RPL37";"ribosomal protein L37";1063;29,9912738800049;"Yes"
"row_20";"ENSG00000109475";"RPL34";"ribosomal protein L34";1072;29,7684497833252;"Yes"
"row_21";"ENSG00000136942";"RPL35";"ribosomal protein L35";1121;28,2626552581787;"Yes"
"row_22";"ENSG00000145425";"RPS3A";"ribosomal protein S3A";1125;28,0805912017822;"Yes"
"row_23";"ENSG00000198918";"RPL39";"ribosomal protein L39";1171;26,3972244262695;"Yes"
"row_24";"ENSG00000130255";"RPL36";"ribosomal protein L36";1210;25,4055156707764;"Yes"
"row_25";"ENSG00000118181";"RPS25";"ribosomal protein S25";1212;25,3470458984375;"Yes"
"row_26";"ENSG00000114391";"RPL24";"ribosomal protein L24";1213;25,328800201416;"Yes"
"row_27";"ENSG00000174547";"MRPL11";"mitochondrial ribosomal protein L11";1252;23,930721282959;"Yes"
"row_28";"ENSG00000156482";"RPL30";"ribosomal protein L30";1277;23,3153133392334;"Yes"
"row_29";"ENSG00000180992";"MRPL14";"mitochondrial ribosomal protein L14";1309;22,2357692718506;"Yes"
"row_30";"ENSG00000142676";"RPL11";"ribosomal protein L11";1380;20,3233909606934;"Yes"
"row_31";"ENSG00000037241";"RPL26L1";"ribosomal protein L26 like 1";1520;17,8194141387939;"Yes"
"row_32";"ENSG00000213741";"RPS29";"ribosomal protein S29";1534;17,5421028137207;"Yes"
"row_33";"ENSG00000198755";"RPL10A";"ribosomal protein L10a";1562;16,9260120391846;"Yes"
"row_34";"ENSG00000148303";"RPL7A";"ribosomal protein L7a";1595;16,3706569671631;"Yes"
"row_35";"ENSG00000162244";"RPL29";"ribosomal protein L29";1605;16,1975917816162;"Yes"
"row_36";"ENSG00000149806";"FAU";"FAU ubiquitin like and ribosomal protein S30 fusion";1787;13,6542196273804;"Yes"
"row_37";"ENSG00000132676";"DAP3";"death associated protein 3";1870;12,5052480697632;"Yes"
"row_38";"ENSG00000166902";"MRPL16";"mitochondrial ribosomal protein L16";1959;11,2378959655762;"Yes"
"row_39";"ENSG00000114686";"MRPL3";"mitochondrial ribosomal protein L3";1975;11,1044721603394;"Yes"
"row_40";"ENSG00000131368";"MRPS25";"mitochondrial ribosomal protein S25";2013;10,7345514297485;"Yes"
"row_41";"ENSG00000112651";"MRPL2";"mitochondrial ribosomal protein L2";2016;10,7196569442749;"Yes"
"row_42";"ENSG00000173141";"MRPL57";"mitochondrial ribosomal protein L57";2228;8,73813438415527;"No"
"row_43";"ENSG00000136522";"MRPL47";"mitochondrial ribosomal protein L47";2243;8,60230350494385;"No"
"row_44";"ENSG00000096080";"MRPS18A";"mitochondrial ribosomal protein S18A";2277;8,45416259765625;"No"
"row_45";"ENSG00000089157";"RPLP0";"ribosomal protein lateral stalk subunit P0";2339;8,05700302124023;"No"
"row_46";"ENSG00000115268";"RPS15";"ribosomal protein S15";2475;7,14680671691895;"No"
"row_47";"ENSG00000142937";"RPS8";"ribosomal protein S8";2497;6,99323320388794;"No"
"row_48";"ENSG00000198034";"RPS4X";"ribosomal protein S4 X-linked";2714;5,89661026000977;"No"
"row_49";"ENSG00000186468";"RPS23";"ribosomal protein S23";2821;5,40607833862305;"No"
"row_50";"ENSG00000086504";"MRPL28";"mitochondrial ribosomal protein L28";2866;5,20609664916992;"No"
"row_51";"ENSG00000288920";"RPSA2";"ribosomal protein SA 2";3137;4,13953018188477;"No"
"row_52";"ENSG00000122026";"RPL21";"ribosomal protein L21";3164;4,08350992202759;"No"
"row_53";"ENSG00000068784";"SRBD1";"S1 RNA binding domain 1";3167;4,07830667495728;"No"
"row_54";"ENSG00000074071";"MRPS34";"mitochondrial ribosomal protein S34";3281;3,72934985160828;"No"
"row_55";"ENSG00000163682";"RPL9";"ribosomal protein L9";3338;3,64018440246582;"No"
"row_56";"ENSG00000164587";"RPS14";"ribosomal protein S14";3344;3,62164354324341;"No"
"row_57";"ENSG00000149792";"MRPL49";"mitochondrial ribosomal protein L49";3355;3,59507012367249;"No"
"row_58";"ENSG00000100316";"RPL3";"ribosomal protein L3";3379;3,52497696876526;"No"
"row_59";"ENSG00000188846";"RPL14";"ribosomal protein L14";3694;2,85038352012634;"No"
"row_60";"ENSG00000089009";"RPL6";"ribosomal protein L6";3750;2,75728130340576;"No"
"row_61";"ENSG00000138326";"RPS24";"ribosomal protein S24";3907;2,45830059051514;"No"
"row_62";"ENSG00000229117";"RPL41";"ribosomal protein L41";3915;2,43393564224243;"No"
"row_63";"ENSG00000130312";"MRPL34";"mitochondrial ribosomal protein L34";3945;2,38844108581543;"No"
"row_64";"ENSG00000008988";"RPS20";"ribosomal protein S20";4159;2,0787501335144;"No"
"row_65";"ENSG00000163319";"MRPS18C";"mitochondrial ribosomal protein S18C";4192;2,02315139770508;"No"
"row_66";"ENSG00000171863";"RPS7";"ribosomal protein S7";4305;1,88494563102722;"No"
"row_67";"ENSG00000143947";"RPS27A";"ribosomal protein S27a";4308;1,88173234462738;"No"
"row_68";"ENSG00000171858";"RPS21";"ribosomal protein S21";4342;1,84597146511078;"No"
"row_69";"ENSG00000174748";"RPL15";"ribosomal protein L15";4530;1,63023066520691;"No"
"row_70";"ENSG00000172590";"MRPL52";"mitochondrial ribosomal protein L52";4543;1,61505150794983;"No"
"row_71";"ENSG00000135972";"MRPS9";"mitochondrial ribosomal protein S9";4626;1,5191810131073;"No"
"row_72";"ENSG00000175110";"MRPS22";"mitochondrial ribosomal protein S22";4678;1,45851016044617;"No"
"row_73";"ENSG00000169288";"MRPL1";"mitochondrial ribosomal protein L1";4752;1,39402604103088;"No"
"row_74";"ENSG00000082515";"MRPL22";"mitochondrial ribosomal protein L22";5018;1,16796231269836;"No"
"row_75";"ENSG00000122140";"MRPS2";"mitochondrial ribosomal protein S2";5208;1,05936515331268;"No"
"row_76";"ENSG00000116251";"RPL22";"ribosomal protein L22";5243;1,03295409679413;"No"
"row_77";"ENSG00000158042";"MRPL17";"mitochondrial ribosomal protein L17";5273;1,00406324863434;"No"
"row_78";"ENSG00000110700";"RPS13";"ribosomal protein S13";5378;0,93318498134613;"No"
"row_79";"ENSG00000140986";"RPL3L";"ribosomal protein L3 like";5618;0,77161180973053;"No"
"row_80";"ENSG00000197345";"MRPL21";"mitochondrial ribosomal protein L21";5667;0,745791792869568;"No"
"row_81";"ENSG00000243927";"MRPS6";"mitochondrial ribosomal protein S6";5922;0,636450290679932;"No"
"row_82";"ENSG00000108826";"MRPL27";"mitochondrial ribosomal protein L27";5966;0,608615696430206;"No"
"row_83";"ENSG00000185414";"MRPL30";"mitochondrial ribosomal protein L30";6011;0,571863889694214;"No"
