"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0045229";"external encapsulating structure organization";"109/2555";"341/18496";3,71712224476209e-18;1,80759525103212e-14;"8837/7133/7092/2006/1301/1308/7132/602/7049/59277/6624/2192/1286/1307/4313/22795/3912/151887/7042/55612/3038/83716/333/7040/858/857/57589/7448/1303/1294/149371/4811/7045/84947/8434/4035/6662/650/79709/1289/10266/4148/4017/5156/1284/3915/11173/2295/4316/102/1545/84171/11107/144165/4060/10516/4089/1291/81794/90102/170690/55790/51144/283208/3688/81792/4325/4643/90993/4868/1520/1999/23122/56999/4241/538/170689/256764/4239/26585/4088/5345/649/1281/8313/84168/10491/3037/285590/79147/2131/302/80781/2621/7490/23768/169611/1282/79875/1287/3908/85301/1288/388697/64093/1290/8292/84627/3690";"CFLAR/TNFRSF1B/TLL1/ELN/COL11A1/COL17A1/TNFRSF1A/BCL3/TGFBR3/NTN4/FSCN1/FBLN1/COL4A4/COL16A1/MMP2/NID2/LAMB1/CCDC80/TGFB2/FERMT1/HAS3/CRISPLD2/APLP1/TGFB1/CAV2/CAV1/RIC1/VTN/COL12A1/COL7A1/EXOC8/NID1/TGFBI/SERAC1/RECK/LRP1/SOX9/BMP2/COLGALT1/COL5A1/RAMP2/MATN3/LOXL2/PDGFRA/COL4A2/LAMC1/ADAMTS7/FOXF2/MMP7/ADAM10/CYP1B1/LOXL4/PRDM5/PRICKLE1/LUM/FBLN5/SMAD4/COL6A1/ADAMTS10/PHLDB2/ADAMTS16/CSGALNACT1/HSD17B12/P4HA3/ITGB1/ADAMTS12/MMP16/MYO1E/CREB3L1/NPHS1/CTSS/ELF3/CLASP2/ADAMTS9/MELTF/ATP7A/ADAMTS15/WDR72/MFAP4/GREM1/SMAD3/SERPINF2/BMP1/COL3A1/AXIN2/ANTXR1/CRTAP/HAS2/SH3PXD2B/FKRP/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/COL4A5/LAMA2/COL27A1/COL4A6/HRNR/SMOC1/COL5A2/COLQ/ZNF469/ITGB3";109
"BP";"GO:0030198";"extracellular matrix organization";"108/2555";"339/18496";6,96964417271091e-18;1,80759525103212e-14;"8837/7133/7092/2006/1301/1308/7132/602/7049/59277/6624/2192/1286/1307/4313/22795/3912/151887/7042/55612/3038/83716/333/7040/858/857/57589/7448/1303/1294/149371/4811/7045/84947/8434/4035/6662/650/79709/1289/10266/4148/4017/5156/1284/3915/11173/2295/4316/102/1545/84171/11107/144165/4060/10516/4089/1291/81794/90102/170690/55790/51144/283208/3688/81792/4325/4643/90993/4868/1520/1999/23122/56999/4241/538/170689/256764/4239/26585/4088/5345/649/1281/8313/84168/10491/3037/285590/79147/2131/302/80781/2621/7490/23768/169611/1282/79875/1287/3908/85301/1288/64093/1290/8292/84627/3690";"CFLAR/TNFRSF1B/TLL1/ELN/COL11A1/COL17A1/TNFRSF1A/BCL3/TGFBR3/NTN4/FSCN1/FBLN1/COL4A4/COL16A1/MMP2/NID2/LAMB1/CCDC80/TGFB2/FERMT1/HAS3/CRISPLD2/APLP1/TGFB1/CAV2/CAV1/RIC1/VTN/COL12A1/COL7A1/EXOC8/NID1/TGFBI/SERAC1/RECK/LRP1/SOX9/BMP2/COLGALT1/COL5A1/RAMP2/MATN3/LOXL2/PDGFRA/COL4A2/LAMC1/ADAMTS7/FOXF2/MMP7/ADAM10/CYP1B1/LOXL4/PRDM5/PRICKLE1/LUM/FBLN5/SMAD4/COL6A1/ADAMTS10/PHLDB2/ADAMTS16/CSGALNACT1/HSD17B12/P4HA3/ITGB1/ADAMTS12/MMP16/MYO1E/CREB3L1/NPHS1/CTSS/ELF3/CLASP2/ADAMTS9/MELTF/ATP7A/ADAMTS15/WDR72/MFAP4/GREM1/SMAD3/SERPINF2/BMP1/COL3A1/AXIN2/ANTXR1/CRTAP/HAS2/SH3PXD2B/FKRP/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/COL4A5/LAMA2/COL27A1/COL4A6/SMOC1/COL5A2/COLQ/ZNF469/ITGB3";108
"BP";"GO:0043062";"extracellular structure organization";"108/2555";"340/18496";8,85641965228868e-18;1,80759525103212e-14;"8837/7133/7092/2006/1301/1308/7132/602/7049/59277/6624/2192/1286/1307/4313/22795/3912/151887/7042/55612/3038/83716/333/7040/858/857/57589/7448/1303/1294/149371/4811/7045/84947/8434/4035/6662/650/79709/1289/10266/4148/4017/5156/1284/3915/11173/2295/4316/102/1545/84171/11107/144165/4060/10516/4089/1291/81794/90102/170690/55790/51144/283208/3688/81792/4325/4643/90993/4868/1520/1999/23122/56999/4241/538/170689/256764/4239/26585/4088/5345/649/1281/8313/84168/10491/3037/285590/79147/2131/302/80781/2621/7490/23768/169611/1282/79875/1287/3908/85301/1288/64093/1290/8292/84627/3690";"CFLAR/TNFRSF1B/TLL1/ELN/COL11A1/COL17A1/TNFRSF1A/BCL3/TGFBR3/NTN4/FSCN1/FBLN1/COL4A4/COL16A1/MMP2/NID2/LAMB1/CCDC80/TGFB2/FERMT1/HAS3/CRISPLD2/APLP1/TGFB1/CAV2/CAV1/RIC1/VTN/COL12A1/COL7A1/EXOC8/NID1/TGFBI/SERAC1/RECK/LRP1/SOX9/BMP2/COLGALT1/COL5A1/RAMP2/MATN3/LOXL2/PDGFRA/COL4A2/LAMC1/ADAMTS7/FOXF2/MMP7/ADAM10/CYP1B1/LOXL4/PRDM5/PRICKLE1/LUM/FBLN5/SMAD4/COL6A1/ADAMTS10/PHLDB2/ADAMTS16/CSGALNACT1/HSD17B12/P4HA3/ITGB1/ADAMTS12/MMP16/MYO1E/CREB3L1/NPHS1/CTSS/ELF3/CLASP2/ADAMTS9/MELTF/ATP7A/ADAMTS15/WDR72/MFAP4/GREM1/SMAD3/SERPINF2/BMP1/COL3A1/AXIN2/ANTXR1/CRTAP/HAS2/SH3PXD2B/FKRP/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/COL4A5/LAMA2/COL27A1/COL4A6/SMOC1/COL5A2/COLQ/ZNF469/ITGB3";108
"BP";"GO:0072001";"renal system development";"98/2555";"336/18496";1,23253974983824e-13;1,88671022206489e-10;"56603/8837/30812/3675/163/25937/1497/57545/639/23210/2736/5915/2260/1906/1286/51668/231/581/7042/1592/5125/8829/182/6299/23322/6422/7040/56913/59/23371/9096/7474/4811/3399/1063/6943/5311/317/157506/80114/652/6662/650/3976/6608/2302/3911/5176/1644/842/4038/5156/2045/7020/4091/64220/51196/5950/2247/80144/144165/9245/4089/130497/185/170690/26249/84623/654/284/4643/3570/4868/57216/25976/10252/3248/168002/168667/6469/2200/26585/4088/255738/3037/80310/26108/282679/2131/7490/5727/1282/7477/120892/55366/358/3690/6928";"CYP26B1/CFLAR/SOX8/ITGA3/AP2B1/WWTR1/CTNS/CC2D2A/PRDM1/JMJD6/GLI2/RARB/FGFR1/EDN1/COL4A4/HSPB11/AKR1B1/BAX/TGFB2/CYP26A1/PCSK5/NRP1/JAG1/SALL1/RPGRIP1L/SFRP1/TGFB1/C1GALT1/ACTA2/TNS2/TBX18/WNT5A/NID1/ID3/CENPF/TCF21/PKD2/APAF1/RDH10/BICC1/BMP4/SOX9/BMP2/LIF/SMO/FOXJ1/LAMA5/SERPINF1/DDC/CASP9/LRP4/PDGFRA/EPHA7/TFAP2A/SMAD6/STRA6/PLCE1/RBP4/FGF2/FRAS1/PRICKLE1/GCNT3/SMAD4/OSR1/AGTR1/ADAMTS16/KLHL3/KIRREL3/BMP6/ANGPT1/MYO1E/IL6R/NPHS1/VANGL2/TIPARP/SPRY1/HPGD/DACT2/BMPER/SHH/FBN1/GREM1/SMAD3/PCSK9/HAS2/PDGFD/PYGO1/AQP11/EXT1/WT1/PTCH1/COL4A1/WNT7B/LRRK2/LGR4/AQP1/ITGB3/HNF1B";98
"BP";"GO:0001822";"kidney development";"94/2555";"325/18496";6,71792955469512e-13;8,22677653267964e-10;"56603/8837/30812/3675/163/25937/1497/57545/639/23210/2736/5915/2260/1906/1286/51668/231/581/7042/1592/5125/8829/182/6299/23322/6422/7040/56913/59/23371/7474/4811/3399/1063/6943/5311/317/157506/80114/652/6662/650/3976/6608/2302/3911/5176/1644/842/4038/5156/2045/7020/4091/64220/51196/2247/80144/9245/4089/130497/185/170690/26249/84623/654/284/4643/3570/4868/57216/25976/10252/3248/168002/168667/6469/2200/26585/4088/255738/3037/80310/26108/282679/2131/7490/5727/7477/120892/55366/358/3690/6928";"CYP26B1/CFLAR/SOX8/ITGA3/AP2B1/WWTR1/CTNS/CC2D2A/PRDM1/JMJD6/GLI2/RARB/FGFR1/EDN1/COL4A4/HSPB11/AKR1B1/BAX/TGFB2/CYP26A1/PCSK5/NRP1/JAG1/SALL1/RPGRIP1L/SFRP1/TGFB1/C1GALT1/ACTA2/TNS2/WNT5A/NID1/ID3/CENPF/TCF21/PKD2/APAF1/RDH10/BICC1/BMP4/SOX9/BMP2/LIF/SMO/FOXJ1/LAMA5/SERPINF1/DDC/CASP9/LRP4/PDGFRA/EPHA7/TFAP2A/SMAD6/STRA6/PLCE1/FGF2/FRAS1/GCNT3/SMAD4/OSR1/AGTR1/ADAMTS16/KLHL3/KIRREL3/BMP6/ANGPT1/MYO1E/IL6R/NPHS1/VANGL2/TIPARP/SPRY1/HPGD/DACT2/BMPER/SHH/FBN1/GREM1/SMAD3/PCSK9/HAS2/PDGFD/PYGO1/AQP11/EXT1/WT1/PTCH1/WNT7B/LRRK2/LGR4/AQP1/ITGB3/HNF1B";94
"BP";"GO:0003018";"vascular process in circulatory system";"84/2555";"278/18496";8,64596953514227e-13;8,82321191061269e-10;"2729/952/1373/1244/2730/493/6916/6515/6558/10060/490/5743/1906/8671/4313/4842/6640/4363/7082/7040/857/6505/59/40/8714/8850/3676/3953/5997/1889/4035/10257/8195/10365/9732/9590/6533/10266/4922/9475/53919/80852/185/6581/1956/6567/80005/120/133/3688/114134/654/284/6566/3778/2150/222962/2171/196740/143872/552/5345/84879/4881/9839/5028/147/2266/2243/2244/146/5139/28232/3352/1003/5021/2149/2131/6546/1812/3269/388662/6714/2876";"GCLC/CD38/CPS1/ABCC2/GCLM/ATP2B4/TBXAS1/SLC2A3/SLC12A2/ABCC9/ATP2B1/PTGS2/EDN1/SLC4A4/MMP2/NOS1/SNTA1/ABCC1/TJP1/TGFB1/CAV1/SLC1A1/ACTA2/ASIC2/ABCC3/KAT2B/ITGA4/LEPR/RGS2/ECE1/LRP1/ABCC4/MKKS/KLF2/DOCK4/AKAP12/SLC6A6/RAMP2/NTS/ROCK2/SLCO1C1/GRIP2/AGTR1/SLC22A3/EGFR/SLC16A2/DOCK5/ADD3/ADM/ITGB1/SLC2A13/BMP6/ANGPT1/SLC16A1/KCNMA1/F2RL1/SLC29A4/FABP5/VSTM4/ARHGAP42/AVPR1A/SERPINF2/MFSD2A/NPR1/ZEB2/P2RY1/ADRA1B/FGG/FGA/FGB/ADRA1D/PDE3A/SLCO3A1/HTR1D/CDH5/OXTR/F2R/EXT1/SLC8A1/DRD1/HRH1/SLC6A17/SRC/GPX1";84
"BP";"GO:0031589";"cell-substrate adhesion";"100/2555";"361/18496";2,21149209011866e-12;1,82893379631202e-09;"3675/6376/960/7414/1308/55679/59277/2192/3693/1307/54749/4680/22795/3912/3655/151887/8829/55612/182/10232/6422/3696/5054/10551/708/1845/7448/683/9404/23603/2651/4739/11149/604/3676/2335/4811/1490/9480/10174/2185/1236/6237/23499/4289/81/3911/54453/9475/3915/55901/7094/51754/7057/22801/4091/3685/64098/10516/3687/50488/8515/90102/80005/51144/3688/81792/1601/284/2039/136227/2199/23122/56999/4241/10085/83700/56672/26585/4088/1398/558/1281/8754/84168/3684/3037/2266/2243/2244/79834/91663/302/2621/1435/4059/2316/6714/9358/3690";"ITGA3/CX3CL1/CD44/VCL/COL17A1/LIMS2/NTN4/FBLN1/ITGB5/COL16A1/EPDR1/CEACAM6/NID2/LAMB1/ITGA6/CCDC80/NRP1/FERMT1/JAG1/MSLN/SFRP1/ITGB8/SERPINE1/AGR2/C1QBP/DUSP3/VTN/BST1/LPXN/CORO1C/GCNT2/NEDD9/BVES/BCL6/ITGA4/FN1/NID1/CTGF/ONECUT2/SORBS3/PTK2B/CCR7/RRAS/MACF1/MKLN1/ACTN4/LAMA5/RIN2/ROCK2/LAMC1/THSD1/TLN1/TMEM8B/THBS1/ITGA11/SMAD6/ITGAV/PARVG/FBLN5/ITGAX/MINK1/ITGA10/PHLDB2/DOCK5/HSD17B12/ITGB1/ADAMTS12/DAB2/ANGPT1/DMTN/COL26A1/FBLN2/CLASP2/ADAMTS9/MELTF/EDIL3/JAM3/AKIP1/GREM1/SMAD3/CRK/AXL/COL3A1/ADAM9/ANTXR1/ITGAM/HAS2/FGG/FGA/FGB/PEAK1/MYADM/ANXA2/GAS6/CSF1/BCAM/FLNA/SRC/ITGBL1/ITGB3";100
"BP";"GO:0055123";"digestive system development";"55/2555";"151/18496";2,38959176392229e-12;1,82893379631202e-09;"1373/60529/639/51208/8626/2736/5915/7042/5125/688/6299/6422/7040/1954/3209/56913/10551/2735/7474/3398/79971/6943/6425/6662/6608/56033/3572/5156/2626/3142/2295/64220/1543/55036/56034/1956/57728/2695/4882/91461/7855/6469/79827/348093/4088/388389/1281/3576/2300/2304/5021/2131/6714/55366/6928";"CPS1/ALX4/PRDM1/CLDN18/TP63/GLI2/RARB/TGFB2/PCSK5/KLF5/SALL1/SFRP1/TGFB1/MEGF8/HOXA13/C1GALT1/AGR2/GLI1/WNT5A/ID2/WLS/TCF21/SFRP5/SOX9/SMO/BARX1/IL6ST/PDGFRA/GATA4/HLX/FOXF2/STRA6/CYP1A1/CCDC40/PDGFC/EGFR/WDR19/GIP/NPR2/PKDCC/FZD5/SHH/CLMP/RBPMS2/SMAD3/CCDC103/COL3A1/CXCL8/FOXL1/FOXE1/OXTR/EXT1/SRC/LGR4/HNF1B";55
"BP";"GO:0048565";"digestive tract development";"51/2555";"138/18496";7,91431367616863e-12;5,38437140435339e-09;"1373/60529/639/51208/8626/2736/5915/7042/5125/688/6299/6422/7040/1954/3209/56913/10551/2735/7474/3398/6943/6425/6662/6608/3572/5156/2626/3142/2295/64220/1543/55036/56034/1956/4882/91461/7855/6469/79827/348093/4088/388389/1281/3576/2300/2304/5021/2131/6714/55366/6928";"CPS1/ALX4/PRDM1/CLDN18/TP63/GLI2/RARB/TGFB2/PCSK5/KLF5/SALL1/SFRP1/TGFB1/MEGF8/HOXA13/C1GALT1/AGR2/GLI1/WNT5A/ID2/TCF21/SFRP5/SOX9/SMO/IL6ST/PDGFRA/GATA4/HLX/FOXF2/STRA6/CYP1A1/CCDC40/PDGFC/EGFR/NPR2/PKDCC/FZD5/SHH/CLMP/RBPMS2/SMAD3/CCDC103/COL3A1/CXCL8/FOXL1/FOXE1/OXTR/EXT1/SRC/LGR4/HNF1B";51
"BP";"GO:0061448";"connective tissue development";"83/2555";"290/18496";2,70757298473543e-11;1,6578469385535e-08;"8837/30812/9971/864/960/1301/5307/2121/9462/2355/5915/2260/1906/5744/8840/23516/7040/3696/3200/59/2648/55553/57561/7474/3373/8609/1490/3213/7045/652/6662/650/8195/7067/1289/4148/5562/23111/4017/11173/4856/5593/2247/79068/1291/1893/130497/55790/6935/8091/81792/654/1836/6781/4882/3570/91461/7048/538/26585/4088/4054/649/1281/8313/116236/80310/50515/285590/11145/79147/2131/389084/359845/1435/7490/7477/85301/65992/3221/140606/1396/3690";"CFLAR/SOX8/NR1H4/RUNX3/CD44/COL11A1/PITX1/EVC/RASAL2/FOSL2/RARB/FGFR1/EDN1/PTHLH/WISP1/SLC39A14/TGFB1/ITGB8/HOXA3/ACTA2/KAT2A/SOX6/ARRDC3/WNT5A/HYAL1/KLF7/CTGF/HOXB3/TGFBI/BMP4/SOX9/BMP2/MKKS/THRA/COL5A1/MATN3/PRKAA1/SPART/LOXL2/ADAMTS7/NOV/PRKG2/FGF2/FTO/COL6A1/ECM1/OSR1/CSGALNACT1/ZEB1/HMGA2/ADAMTS12/BMP6/SLC26A2/STC1/NPR2/IL6R/PKDCC/TGFBR2/ATP7A/GREM1/SMAD3/LTBP3/BMP1/COL3A1/AXIN2/ABHD15/PDGFD/CHST11/SH3PXD2B/PLA2G16/FKRP/EXT1/SNORC/RFLNB/CSF1/WT1/WNT7B/COL27A1/DDRGK1/HOXC4/SELENOM/CRIP1/ITGB3";83
