"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000006128";"TAC1";"tachykinin precursor 1";1189;10,0643577575684;"No"
"row_1";"ENSG00000184381";"PLA2G6";"phospholipase A2 group VI";1779;5,61323928833008;"No"
"row_2";"ENSG00000091513";"TF";"transferrin";2709;2,10659885406494;"No"
"row_3";"ENSG00000197903";"H2BC12";"H2B clustered histone 12";3862;1,01313066482544;"No"
"row_4";"ENSG00000198918";"RPL39";"ribosomal protein L39";6248;0,127123922109604;"No"
"row_5";"ENSG00000170890";"PLA2G1B";"phospholipase A2 group IB";6377;0,117610044777393;"No"
"row_6";"ENSG00000164825";"DEFB1";"defensin beta 1";7028;0,068106971681118;"No"
"row_7";"ENSG00000149806";"FAU";"FAU ubiquitin like and ribosomal protein S30 fusion";7948;0,0218353364616632;"No"
"row_8";"ENSG00000096088";"PGC";"progastricsin";9317;0;"No"
"row_9";"ENSG00000100448";"CTSG";"cathepsin G";9346;0;"No"
"row_10";"ENSG00000101425";"BPI";"bactericidal permeability increasing protein";9378;0;"No"
"row_11";"ENSG00000110680";"CALCA";"calcitonin related polypeptide alpha";9528;0;"No"
"row_12";"ENSG00000122585";"NPY";"neuropeptide Y";9706;0;"No"
"row_13";"ENSG00000124107";"SLPI";"secretory leukocyte peptidase inhibitor";9733;0;"No"
"row_14";"ENSG00000124157";"SEMG2";"semenogelin 2";9734;0;"No"
"row_15";"ENSG00000124233";"SEMG1";"semenogelin 1";9742;0;"No"
"row_16";"ENSG00000142515";"KLK3";"kallikrein related peptidase 3";10110;0;"No"
"row_17";"ENSG00000146469";"VIP";"vasoactive intestinal peptide";10196;0;"No"
"row_18";"ENSG00000164047";"CAMP";"cathelicidin antimicrobial peptide";10567;0;"No"
"row_19";"ENSG00000164816";"DEFA5";"defensin alpha 5";10607;0;"No"
"row_20";"ENSG00000164821";"DEFA4";"defensin alpha 4";10608;0;"No"
"row_21";"ENSG00000164822";"DEFA6";"defensin alpha 6";10609;0;"No"
"row_22";"ENSG00000165799";"RNASE7";"ribonuclease A family member 7";10649;0;"No"
"row_23";"ENSG00000168634";"WFDC13";"WAP four-disulfide core domain 13";10774;0;"No"
"row_24";"ENSG00000169385";"RNASE2";"ribonuclease A family member 2";10810;0;"No"
"row_25";"ENSG00000169397";"RNASE3";"ribonuclease A family member 3";10811;0;"No"
"row_26";"ENSG00000169413";"RNASE6";"ribonuclease A family member 6";10812;0;"No"
"row_27";"ENSG00000171560";"FGA";"fibrinogen alpha chain";10924;0;"No"
"row_28";"ENSG00000171564";"FGB";"fibrinogen beta chain";10926;0;"No"
"row_29";"ENSG00000175121";"WFDC5";"WAP four-disulfide core domain 5";11102;0;"No"
"row_30";"ENSG00000180083";"WFDC11";"WAP four-disulfide core domain 11";11361;0;"No"
"row_31";"ENSG00000180205";"WFDC9";"WAP four-disulfide core domain 9";11367;0;"No"
"row_32";"ENSG00000180305";"WFDC10A";"WAP four-disulfide core domain 10A";11377;0;"No"
"row_33";"ENSG00000197561";"ELANE";"elastase, neutrophil expressed";12117;0;"No"
"row_34";"ENSG00000198183";"BPIFA1";"BPI fold containing family A member 1";12171;0;"No"
"row_35";"ENSG00000206047";"DEFA1";"defensin alpha 1";13491;0;"No"
"row_36";"ENSG00000211890";"IGHA2";"immunoglobulin heavy constant alpha 2 (A2m marker)";14514;0;"No"
"row_37";"ENSG00000211891";"IGHE";"immunoglobulin heavy constant epsilon";14515;0;"No"
"row_38";"ENSG00000211892";"IGHG4";"immunoglobulin heavy constant gamma 4 (G4m marker)";14516;0;"No"
"row_39";"ENSG00000211893";"IGHG2";"immunoglobulin heavy constant gamma 2 (G2m marker)";14517;0;"No"
"row_40";"ENSG00000211895";"IGHA1";"immunoglobulin heavy constant alpha 1";14518;0;"No"
"row_41";"ENSG00000211896";"IGHG1";"immunoglobulin heavy constant gamma 1 (G1m marker)";14519;0;"No"
"row_42";"ENSG00000211897";"IGHG3";"immunoglobulin heavy constant gamma 3 (G3m marker)";14520;0;"No"
"row_43";"ENSG00000211898";"IGHD";"immunoglobulin heavy constant delta";14521;0;"No"
"row_44";"ENSG00000211899";"IGHM";"immunoglobulin heavy constant mu";14522;0;"No"
"row_45";"ENSG00000214274";"ANG";"angiogenin";15012;0;"No"
"row_46";"ENSG00000234289";"H2BC12L";"H2B clustered histone 12 like";18303;0;"No"
"row_47";"ENSG00000239839";"DEFA3";"defensin alpha 3";19454;0;"No"
"row_48";"ENSG00000239951";"IGKV3-20";"immunoglobulin kappa variable 3-20";19476;0;"No"
"row_49";"ENSG00000240247";"DEFA1B";"defensin alpha 1B";19542;0;"No"
"row_50";"ENSG00000241794";"SPRR2A";"small proline rich protein 2A";19880;0;"No"
"row_51";"ENSG00000274290";"H2BC6";"H2B clustered histone 6";24918;0;"No"
"row_52";"ENSG00000184678";"H2BC21";"H2B clustered histone 21";27321;-6,82974205119535e-05;"No"
"row_53";"ENSG00000124635";"H2BC11";"H2B clustered histone 11";27989;-0,00691854581236839;"No"
"row_54";"ENSG00000204592";"HLA-E";"major histocompatibility complex, class I, E";29823;-0,11041808873415;"No"
"row_55";"ENSG00000142192";"APP";"amyloid beta precursor protein";30305;-0,164956852793694;"No"
"row_56";"ENSG00000273802";"H2BC8";"H2B clustered histone 8";30846;-0,25469583272934;"No"
"row_57";"ENSG00000277224";"H2BC7";"H2B clustered histone 7";30970;-0,275648653507233;"No"
"row_58";"ENSG00000258818";"RNASE4";"ribonuclease A family member 4";31259;-0,34025365114212;"No"
"row_59";"ENSG00000166710";"B2M";"beta-2-microglobulin";31869;-0,52285373210907;"No"
"row_60";"ENSG00000148926";"ADM";"adrenomedullin";32158;-0,642632365226746;"No"
"row_61";"ENSG00000180596";"H2BC4";"H2B clustered histone 4";32297;-0,731315791606903;"No"
"row_62";"ENSG00000168703";"WFDC12";"WAP four-disulfide core domain 12";32653;-0,873661577701569;"No"
"row_63";"ENSG00000171747";"LGALS4";"galectin 4";32665;-0,873661577701569;"No"
"row_64";"ENSG00000278588";"H2BC10";"H2B clustered histone 10";33023;-0,873661577701569;"No"
"row_65";"ENSG00000012223";"LTF";"lactotransferrin";33232;-1,00201308727264;"No"
"row_66";"ENSG00000137673";"MMP7";"matrix metallopeptidase 7";34038;-1,99223208427429;"No"
"row_67";"ENSG00000124102";"PI3";"peptidase inhibitor 3";34730;-3,8275101184845;"Yes"
"row_68";"ENSG00000159674";"SPON2";"spondin 2";35007;-4,78197288513184;"Yes"
"row_69";"ENSG00000124116";"WFDC3";"WAP four-disulfide core domain 3";35389;-7,47117280960083;"Yes"
"row_70";"ENSG00000182931";"WFDC10B";"WAP four-disulfide core domain 10B";35546;-9,59519958496094;"Yes"
"row_71";"ENSG00000169035";"KLK7";"kallikrein related peptidase 7";35555;-9,79147338867188;"Yes"
"row_72";"ENSG00000187908";"DMBT1";"deleted in malignant brain tumors 1";35598;-10,5504083633423;"Yes"
"row_73";"ENSG00000206503";"HLA-A";"major histocompatibility complex, class I, A";35853;-16,2535552978516;"Yes"
"row_74";"ENSG00000133710";"SPINK5";"serine peptidase inhibitor Kazal type 5";35897;-17,510534286499;"Yes"
"row_75";"ENSG00000101443";"WFDC2";"WAP four-disulfide core domain 2";36003;-22,1716575622559;"Yes"
"row_76";"ENSG00000132465";"JCHAIN";"joining chain of multimeric IgA and IgM";36209;-41,1943778991699;"Yes"
"row_77";"ENSG00000167880";"EVPL";"envoplakin";36387;-105,610137939453;"Yes"
"row_78";"ENSG00000167754";"KLK5";"kallikrein related peptidase 5";36401;-140,973449707031;"Yes"
