"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000163710";"PCOLCE2";"procollagen C-endopeptidase enhancer 2";1858;5,02656030654907;"No"
"row_1";"ENSG00000142405";"NLRP12";"NLR family pyrin domain containing 12";2469;2,84496903419495;"No"
"row_2";"ENSG00000134259";"NGF";"nerve growth factor";2849;1,95095801353455;"No"
"row_3";"ENSG00000145423";"SFRP2";"secreted frizzled related protein 2";2868;1,95095801353455;"No"
"row_4";"ENSG00000106333";"PCOLCE";"procollagen C-endopeptidase enhancer";3386;1,67077994346619;"No"
"row_5";"ENSG00000074370";"ATP2A3";"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3";3763;1,09730553627014;"No"
"row_6";"ENSG00000092010";"PSME1";"proteasome activator subunit 1";3830;1,04211926460266;"No"
"row_7";"ENSG00000114742";"WDR48";"WD repeat domain 48";3924;0,942159831523895;"No"
"row_8";"ENSG00000186010";"NDUFA13";"NADH:ubiquinone oxidoreductase subunit A13";4448;0,60331928730011;"No"
"row_9";"ENSG00000188130";"MAPK12";"mitogen-activated protein kinase 12";5103;0,344355881214142;"No"
"row_10";"ENSG00000204628";"RACK1";"receptor for activated C kinase 1";5167;0,323168456554413;"No"
"row_11";"ENSG00000105197";"TIMM50";"translocase of inner mitochondrial membrane 50";5704;0,214529350399971;"No"
"row_12";"ENSG00000138613";"APH1B";"aph-1 homolog B, gamma-secretase subunit";6072;0,153942435979843;"No"
"row_13";"ENSG00000105483";"CARD8";"caspase recruitment domain family member 8";6147;0,141472682356834;"No"
"row_14";"ENSG00000144381";"HSPD1";"heat shock protein family D (Hsp60) member 1";6461;0,117250092327595;"No"
"row_15";"ENSG00000091106";"NLRC4";"NLR family CARD domain containing 4";7434;0,0428377129137516;"No"
"row_16";"ENSG00000131467";"PSME3";"proteasome activator subunit 3";7663;0,0316162928938866;"No"
"row_17";"ENSG00000166681";"BEX3";"brain expressed X-linked 3";7859;0,0238646399229765;"No"
"row_18";"ENSG00000185800";"DMWD";"DM1 locus, WD repeat containing";8317;0,00982985179871321;"No"
"row_19";"ENSG00000118412";"CASP8AP2";"caspase 8 associated protein 2";8392;0,00781930051743984;"No"
"row_20";"ENSG00000100600";"LGMN";"legumain";8541;0,00502379843965173;"No"
"row_21";"ENSG00000120868";"APAF1";"apoptotic peptidase activating factor 1";8995;0,00028375766123645;"No"
"row_22";"ENSG00000107738";"VSIR";"V-set immunoregulatory receptor";9484;0;"No"
"row_23";"ENSG00000158828";"PINK1";"PTEN induced kinase 1";10397;0;"No"
"row_24";"ENSG00000167034";"NKX3-1";"NK3 homeobox 1";10699;0;"No"
"row_25";"ENSG00000180953";"ST20";"suppressor of tumorigenicity 20";11415;0;"No"
"row_26";"ENSG00000255833";"TIFAB";"TIFA inhibitor";22566;0;"No"
"row_27";"ENSG00000130706";"ADRM1";"ADRM1 26S proteasome ubiquitin receptor";27524;-0,00100033939816058;"No"
"row_28";"ENSG00000077942";"FBLN1";"fibulin 1";27711;-0,00275904452428222;"No"
"row_29";"ENSG00000162736";"NCSTN";"nicastrin";27758;-0,00334039307199419;"No"
"row_30";"ENSG00000177868";"SVBP";"small vasohibin binding protein";27948;-0,00616791564971209;"No"
"row_31";"ENSG00000109861";"CTSC";"cathepsin C";28100;-0,00911303330212831;"No"
"row_32";"ENSG00000136560";"TANK";"TRAF family member associated NFKB activator";28919;-0,0401025339961052;"No"
"row_33";"ENSG00000134318";"ROCK2";"Rho associated coiled-coil containing protein kinase 2";29000;-0,0448728203773499;"No"
"row_34";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";29152;-0,0543207079172134;"No"
"row_35";"ENSG00000140564";"FURIN";"furin, paired basic amino acid cleaving enzyme";29164;-0,0553104132413864;"No"
"row_36";"ENSG00000115233";"PSMD14";"proteasome 26S subunit, non-ATPase 14";29265;-0,0633058473467827;"No"
"row_37";"ENSG00000166855";"CLPX";"caseinolytic mitochondrial matrix peptidase chaperone subunit X";29549;-0,0848244056105614;"No"
"row_38";"ENSG00000099968";"BCL2L13";"BCL2 like 13";29552;-0,0851219967007637;"No"
"row_39";"ENSG00000147654";"EBAG9";"estrogen receptor binding site associated antigen 9";29643;-0,0933824926614761;"No"
"row_40";"ENSG00000106100";"NOD1";"nucleotide binding oligomerization domain containing 1";29648;-0,0939600542187691;"No"
"row_41";"ENSG00000140153";"WDR20";"WD repeat domain 20";30173;-0,151338636875153;"No"
"row_42";"ENSG00000115414";"FN1";"fibronectin 1";30179;-0,15202908217907;"No"
"row_43";"ENSG00000142192";"APP";"amyloid beta precursor protein";30305;-0,164956852793694;"No"
"row_44";"ENSG00000205155";"PSENEN";"presenilin enhancer, gamma-secretase subunit";30613;-0,214007332921028;"No"
"row_45";"ENSG00000117362";"APH1A";"aph-1 homolog A, gamma-secretase subunit";30773;-0,242838874459267;"No"
"row_46";"ENSG00000068878";"PSME4";"proteasome activator subunit 4";31267;-0,341842234134674;"No"
