"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000128714";"HOXD13";"homeobox D13";6;93,7015075683594;"Yes"
"row_1";"ENSG00000112837";"TBX18";"T-box transcription factor 18";20;83,9792404174805;"Yes"
"row_2";"ENSG00000176788";"BASP1";"brain abundant membrane attached signal protein 1";26;82,629768371582;"Yes"
"row_3";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";29;79,2867736816406;"Yes"
"row_4";"ENSG00000147257";"GPC3";"glypican 3";46;72,9635772705078;"Yes"
"row_5";"ENSG00000114251";"WNT5A";"Wnt family member 5A";64;66,404052734375;"Yes"
"row_6";"ENSG00000106511";"MEOX2";"mesenchyme homeobox 2";71;63,985424041748;"Yes"
"row_7";"ENSG00000180318";"ALX1";"ALX homeobox 1";73;63,6718330383301;"Yes"
"row_8";"ENSG00000165556";"CDX2";"caudal type homeobox 2";103;56,0609550476074;"Yes"
"row_9";"ENSG00000135547";"HEY2";"hes related family bHLH transcription factor with YRPW motif 2";137;50,7427024841309;"Yes"
"row_10";"ENSG00000168646";"AXIN2";"axin 2";146;49,9852294921875;"Yes"
"row_11";"ENSG00000138083";"SIX3";"SIX homeobox 3";188;46,0929107666016;"Yes"
"row_12";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";198;45,1287689208984;"Yes"
"row_13";"ENSG00000173917";"HOXB2";"homeobox B2";200;45,0167846679688;"Yes"
"row_14";"ENSG00000136574";"GATA4";"GATA binding protein 4";295;36,9113273620605;"Yes"
"row_15";"ENSG00000170370";"EMX2";"empty spiracles homeobox 2";306;36,2298049926758;"Yes"
"row_16";"ENSG00000128709";"HOXD9";"homeobox D9";345;34,137134552002;"Yes"
"row_17";"ENSG00000103241";"FOXF1";"forkhead box F1";349;33,9325561523438;"Yes"
"row_18";"ENSG00000198576";"ARC";"activity regulated cytoskeleton associated protein";364;33,1998863220215;"Yes"
"row_19";"ENSG00000109906";"ZBTB16";"zinc finger and BTB domain containing 16";396;31,5218200683594;"Yes"
"row_20";"ENSG00000099139";"PCSK5";"proprotein convertase subtilisin/kexin type 5";415;30,9778957366943;"Yes"
"row_21";"ENSG00000164683";"HEY1";"hes related family bHLH transcription factor with YRPW motif 1";454;28,7920722961426;"Yes"
"row_22";"ENSG00000128710";"HOXD10";"homeobox D10";471;28,0308818817139;"Yes"
"row_23";"ENSG00000140807";"NKD1";"NKD inhibitor of WNT signaling pathway 1";480;27,6541423797607;"Yes"
"row_24";"ENSG00000163909";"HEYL";"hes related family bHLH transcription factor with YRPW motif like";516;26,5408172607422;"Yes"
"row_25";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";517;26,5090942382812;"Yes"
"row_26";"ENSG00000184937";"WT1";"WT1 transcription factor";522;26,3036823272705;"Yes"
"row_27";"ENSG00000125878";"TCF15";"transcription factor 15";561;24,3648986816406;"Yes"
"row_28";"ENSG00000154342";"WNT3A";"Wnt family member 3A";598;23,3165035247803;"Yes"
"row_29";"ENSG00000170166";"HOXD4";"homeobox D4";640;21,7201137542725;"Yes"
"row_30";"ENSG00000125798";"FOXA2";"forkhead box A2";646;21,5547523498535;"Yes"
"row_31";"ENSG00000052850";"ALX4";"ALX homeobox 4";755;18,438814163208;"Yes"
"row_32";"ENSG00000090932";"DLL3";"delta like canonical Notch ligand 3";789;17,7182331085205;"Yes"
"row_33";"ENSG00000061492";"WNT8A";"Wnt family member 8A";820;16,8228034973145;"Yes"
"row_34";"ENSG00000010361";"FUZ";"fuzzy planar cell polarity protein";860;15,7066888809204;"Yes"
"row_35";"ENSG00000180113";"TDRD6";"tudor domain containing 6";890;15,1494731903076;"Yes"
"row_36";"ENSG00000169554";"ZEB2";"zinc finger E-box binding homeobox 2";905;14,5908842086792;"Yes"
"row_37";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";1029;12,6213998794556;"Yes"
"row_38";"ENSG00000007372";"PAX6";"paired box 6";1040;12,381688117981;"Yes"
"row_39";"ENSG00000128610";"FEZF1";"FEZ family zinc finger 1";1089;11,7579889297485;"Yes"
"row_40";"ENSG00000143867";"OSR1";"odd-skipped related transcription factor 1";1141;11,1467514038086;"Yes"
"row_41";"ENSG00000104332";"SFRP1";"secreted frizzled related protein 1";1162;10,8231954574585;"Yes"
"row_42";"ENSG00000180806";"HOXC9";"homeobox C9";1235;9,94272327423096;"Yes"
"row_43";"ENSG00000173253";"DMRT2";"doublesex and mab-3 related transcription factor 2";1273;9,38015842437744;"Yes"
"row_44";"ENSG00000187821";"HELT";"helt bHLH transcription factor";1278;9,38015842437744;"Yes"
"row_45";"ENSG00000128652";"HOXD3";"homeobox D3";1323;8,7904634475708;"Yes"
"row_46";"ENSG00000131668";"BARX1";"BARX homeobox 1";1343;8,66263675689697;"Yes"
"row_47";"ENSG00000164458";"TBXT";"T-box transcription factor T";1350;8,66263675689697;"Yes"
