"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000104722";"NEFM";"neurofilament medium chain";0;241,178802490234;"Yes"
"row_1";"ENSG00000198879";"SFMBT2";"Scm like with four mbt domains 2";242;40,6259078979492;"Yes"
"row_2";"ENSG00000100285";"NEFH";"neurofilament heavy chain";245;40,426326751709;"Yes"
"row_3";"ENSG00000145335";"SNCA";"synuclein alpha";352;33,9302673339844;"Yes"
"row_4";"ENSG00000142611";"PRDM16";"PR/SET domain 16";468;28,2011604309082;"Yes"
"row_5";"ENSG00000204388";"HSPA1B";"heat shock protein family A (Hsp70) member 1B";956;13,8507604598999;"Yes"
"row_6";"ENSG00000065675";"PRKCQ";"protein kinase C theta";1016;13,0846385955811;"Yes"
"row_7";"ENSG00000197705";"KLHL14";"kelch like family member 14";1051;12,3454418182373;"Yes"
"row_8";"ENSG00000204389";"HSPA1A";"heat shock protein family A (Hsp70) member 1A";1062;12,1655864715576;"Yes"
"row_9";"ENSG00000173641";"HSPB7";"heat shock protein family B (small) member 7";1100;11,7579889297485;"Yes"
"row_10";"ENSG00000120885";"CLU";"clusterin";1157;10,980034828186;"Yes"
"row_11";"ENSG00000180806";"HOXC9";"homeobox C9";1235;9,94272327423096;"Yes"
"row_12";"ENSG00000173805";"HAP1";"huntingtin associated protein 1";1237;9,88654041290283;"Yes"
"row_13";"ENSG00000173262";"SLC2A14";"solute carrier family 2 member 14";1274;9,38015842437744;"Yes"
"row_14";"ENSG00000128652";"HOXD3";"homeobox D3";1323;8,7904634475708;"Yes"
"row_15";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";2338;3,1727614402771;"No"
"row_16";"ENSG00000074317";"SNCB";"synuclein beta";2369;3,02870273590088;"No"
"row_17";"ENSG00000059804";"SLC2A3";"solute carrier family 2 member 3";2456;2,88609790802002;"No"
"row_18";"ENSG00000103266";"STUB1";"STIP1 homology and U-box containing protein 1";2668;2,19038200378418;"No"
"row_19";"ENSG00000062822";"POLD1";"DNA polymerase delta 1, catalytic subunit";4096;0,796254217624664;"No"
