"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000128714";"HOXD13";"homeobox D13";6;93,7015075683594;"Yes"
"row_1";"ENSG00000112837";"TBX18";"T-box transcription factor 18";20;83,9792404174805;"Yes"
"row_2";"ENSG00000176788";"BASP1";"brain abundant membrane attached signal protein 1";26;82,629768371582;"Yes"
"row_3";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";29;79,2867736816406;"Yes"
"row_4";"ENSG00000176165";"FOXG1";"forkhead box G1";44;73,3354263305664;"Yes"
"row_5";"ENSG00000147257";"GPC3";"glypican 3";46;72,9635772705078;"Yes"
"row_6";"ENSG00000114251";"WNT5A";"Wnt family member 5A";64;66,404052734375;"Yes"
"row_7";"ENSG00000106511";"MEOX2";"mesenchyme homeobox 2";71;63,985424041748;"Yes"
"row_8";"ENSG00000180318";"ALX1";"ALX homeobox 1";73;63,6718330383301;"Yes"
"row_9";"ENSG00000183072";"NKX2-5";"NK2 homeobox 5";76;63,284049987793;"Yes"
"row_10";"ENSG00000165556";"CDX2";"caudal type homeobox 2";103;56,0609550476074;"Yes"
"row_11";"ENSG00000016082";"ISL1";"ISL LIM homeobox 1";134;51,4754486083984;"Yes"
"row_12";"ENSG00000135547";"HEY2";"hes related family bHLH transcription factor with YRPW motif 2";137;50,7427024841309;"Yes"
"row_13";"ENSG00000169126";"ODAD2";"outer dynein arm docking complex subunit 2";140;50,4672012329102;"Yes"
"row_14";"ENSG00000168646";"AXIN2";"axin 2";146;49,9852294921875;"Yes"
"row_15";"ENSG00000138083";"SIX3";"SIX homeobox 3";188;46,0929107666016;"Yes"
"row_16";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";198;45,1287689208984;"Yes"
"row_17";"ENSG00000173917";"HOXB2";"homeobox B2";200;45,0167846679688;"Yes"
"row_18";"ENSG00000164161";"HHIP";"hedgehog interacting protein";215;43,9634094238281;"Yes"
"row_19";"ENSG00000164651";"SP8";"Sp8 transcription factor";227;42,6388664245605;"Yes"
"row_20";"ENSG00000178568";"ERBB4";"erb-b2 receptor tyrosine kinase 4";229;42,307430267334;"Yes"
"row_21";"ENSG00000139445";"FOXN4";"forkhead box N4";282;37,7943916320801;"Yes"
"row_22";"ENSG00000169855";"ROBO1";"roundabout guidance receptor 1";294;37,094539642334;"Yes"
"row_23";"ENSG00000136574";"GATA4";"GATA binding protein 4";295;36,9113273620605;"Yes"
"row_24";"ENSG00000170370";"EMX2";"empty spiracles homeobox 2";306;36,2298049926758;"Yes"
"row_25";"ENSG00000115844";"DLX2";"distal-less homeobox 2";311;35,9245414733887;"Yes"
"row_26";"ENSG00000081479";"LRP2";"LDL receptor related protein 2";325;35,4453201293945;"Yes"
"row_27";"ENSG00000090539";"CHRD";"chordin";336;34,6958885192871;"Yes"
"row_28";"ENSG00000128709";"HOXD9";"homeobox D9";345;34,137134552002;"Yes"
"row_29";"ENSG00000185008";"ROBO2";"roundabout guidance receptor 2";348;34,0542373657227;"Yes"
"row_30";"ENSG00000103241";"FOXF1";"forkhead box F1";349;33,9325561523438;"Yes"
"row_31";"ENSG00000122870";"BICC1";"BicC family RNA binding protein 1";353;33,865348815918;"Yes"
"row_32";"ENSG00000198576";"ARC";"activity regulated cytoskeleton associated protein";364;33,1998863220215;"Yes"
"row_33";"ENSG00000139567";"ACVRL1";"activin A receptor like type 1";372;32,8543128967285;"Yes"
"row_34";"ENSG00000109906";"ZBTB16";"zinc finger and BTB domain containing 16";396;31,5218200683594;"Yes"
"row_35";"ENSG00000109705";"NKX3-2";"NK3 homeobox 2";406;31,0166931152344;"Yes"
"row_36";"ENSG00000099139";"PCSK5";"proprotein convertase subtilisin/kexin type 5";415;30,9778957366943;"Yes"
"row_37";"ENSG00000169083";"AR";"androgen receptor";439;29,5339794158936;"Yes"
"row_38";"ENSG00000168772";"CXXC4";"CXXC finger protein 4";444;29,1993236541748;"Yes"
"row_39";"ENSG00000164683";"HEY1";"hes related family bHLH transcription factor with YRPW motif 1";454;28,7920722961426;"Yes"
"row_40";"ENSG00000128710";"HOXD10";"homeobox D10";471;28,0308818817139;"Yes"
"row_41";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";479;27,7240524291992;"Yes"
"row_42";"ENSG00000140807";"NKD1";"NKD inhibitor of WNT signaling pathway 1";480;27,6541423797607;"Yes"
"row_43";"ENSG00000204103";"MAFB";"MAF bZIP transcription factor B";487;27,5693855285645;"Yes"
"row_44";"ENSG00000163909";"HEYL";"hes related family bHLH transcription factor with YRPW motif like";516;26,5408172607422;"Yes"
"row_45";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";517;26,5090942382812;"Yes"
"row_46";"ENSG00000184937";"WT1";"WT1 transcription factor";522;26,3036823272705;"Yes"
"row_47";"ENSG00000125878";"TCF15";"transcription factor 15";561;24,3648986816406;"Yes"
