"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0048568";"embryonic organ development";"55/596";"457/18496";2,75324905720855e-17;6,19008724853414e-14;"51384/80199/60529/9423/2736/5915/8516/53904/5125/655/2254/2294/6299/1749/2737/55084/9096/6678/7474/3398/1746/9132/4237/3235/3236/3237/8854/23493/2626/3142/347733/4647/6496/51176/2201/1280/121643/1909/2697/4325/3815/91461/57057/23462/1045/348093/3233/3212/2290/6664/25945/8092/1482/374900/6262";"WNT16/FUZ/ALX4/NTN1/GLI2/RARB/ITGA8/MYO3A/PCSK5/BMP7/FGF9/FOXF1/SALL1/DLX5/GLI3/SOBP/TBX18/SPARC/WNT5A/ID2/DLX2/KCNQ4/MFAP2/HOXD9/HOXD10/HOXD11/ALDH1A2/HEY2/GATA4/HLX/TUBB2B/MYO7A/SIX3/LEF1/FBN2/COL2A1/FOXN4/EDNRA/GJA1/MMP16/KIT/PKDCC/TBX20/HEY1/CDX2/RBPMS2/HOXD4/HOXB2/FOXG1/SOX11/NECTIN3/ALX1/NKX2-5/ZNF568/RYR2";55
"BP";"GO:0007409";"axonogenesis";"55/596";"458/18496";3,03733427307858e-17;6,19008724853414e-14;"3730/3670/1272/9369/2042/26999/9423/2046/2736/5063/285220/4897/57556/4744/655/1749/2737/219699/8153/1949/10090/7474/53335/1123/2258/9201/23111/4038/2045/347733/80031/658/91653/9353/2044/4684/1909/223117/137970/56896/26053/4882/26050/322/6091/4884/9024/2290/8633/5454/4753/6092/23768/6585/4747";"ANOS1/ISL1/CNTN1/NRXN3/EPHA3/CYFIP2/NTN1/EPHA8/GLI2/PAK3/EPHA6/NRCAM/SEMA6A/NEFH/BMP7/DLX5/GLI3/UNC5B/RND2/EFNB3/UST/WNT5A/BCL11A/CHN1/FGF13/DCLK1/SPART/LRP4/EPHA7/TUBB2B/SEMA6D/BMPR1B/BOC/SLIT2/EPHA5/NCAM1/EDNRA/SEMA3D/UNC5D/DPYSL5/AUTS2/NPR2/SLITRK5/APBB1/ROBO1/NPTX1/BRSK2/FOXG1/UNC5C/POU3F2/NELL2/ROBO2/FLRT2/SLIT1/NEFL";55
"BP";"GO:0048562";"embryonic organ morphogenesis";"43/596";"302/18496";2,1590452624749e-16;2,55487265907922e-13;"51384/80199/60529/9423/5915/8516/53904/655/2254/2294/1749/2737/55084/9096/6678/7474/3398/1746/9132/4237/3235/3236/3237/2626/3142/4647/6496/2201/1280/121643/1909/2697/4325/57057/348093/3233/3212/2290/6664/25945/8092/1482/6262";"WNT16/FUZ/ALX4/NTN1/RARB/ITGA8/MYO3A/BMP7/FGF9/FOXF1/DLX5/GLI3/SOBP/TBX18/SPARC/WNT5A/ID2/DLX2/KCNQ4/MFAP2/HOXD9/HOXD10/HOXD11/GATA4/HLX/MYO7A/SIX3/FBN2/COL2A1/FOXN4/EDNRA/GJA1/MMP16/TBX20/RBPMS2/HOXD4/HOXB2/FOXG1/SOX11/NECTIN3/ALX1/NKX2-5/RYR2";43
"BP";"GO:0007411";"axon guidance";"38/596";"238/18496";2,71622084468059e-16;2,55487265907922e-13;"3730/3670/1272/9369/2042/26999/9423/2046/2736/285220/4897/57556/655/1749/2737/219699/1949/7474/1123/2045/347733/80031/658/91653/9353/2044/4684/1909/223117/137970/56896/6091/2290/8633/4753/6092/23768/6585";"ANOS1/ISL1/CNTN1/NRXN3/EPHA3/CYFIP2/NTN1/EPHA8/GLI2/EPHA6/NRCAM/SEMA6A/BMP7/DLX5/GLI3/UNC5B/EFNB3/WNT5A/CHN1/EPHA7/TUBB2B/SEMA6D/BMPR1B/BOC/SLIT2/EPHA5/NCAM1/EDNRA/SEMA3D/UNC5D/DPYSL5/ROBO1/FOXG1/UNC5C/NELL2/ROBO2/FLRT2/SLIT1";38
"BP";"GO:0097485";"neuron projection guidance";"38/596";"239/18496";3,13404398807559e-16;2,55487265907922e-13;"3730/3670/1272/9369/2042/26999/9423/2046/2736/285220/4897/57556/655/1749/2737/219699/1949/7474/1123/2045/347733/80031/658/91653/9353/2044/4684/1909/223117/137970/56896/6091/2290/8633/4753/6092/23768/6585";"ANOS1/ISL1/CNTN1/NRXN3/EPHA3/CYFIP2/NTN1/EPHA8/GLI2/EPHA6/NRCAM/SEMA6A/BMP7/DLX5/GLI3/UNC5B/EFNB3/WNT5A/CHN1/EPHA7/TUBB2B/SEMA6D/BMPR1B/BOC/SLIT2/EPHA5/NCAM1/EDNRA/SEMA3D/UNC5D/DPYSL5/ROBO1/FOXG1/UNC5C/NELL2/ROBO2/FLRT2/SLIT1";38
"BP";"GO:0072001";"renal system development";"44/596";"336/18496";2,21442024675085e-15;1,50432948762608e-12;"2736/5915/8516/4036/1592/5125/655/2294/6299/2737/6492/9096/7474/4811/80114/9953/3237/8854/4038/2045/23213/2028/8549/80000/9353/2719/341640/1909/9955/9510/28999/26508/3248/255743/2018/80310/10409/6664/2066/7490/6092/120892/55959/5455";"GLI2/RARB/ITGA8/LRP2/CYP26A1/PCSK5/BMP7/FOXF1/SALL1/GLI3/SIM1/TBX18/WNT5A/NID1/BICC1/HS3ST3B1/HOXD11/ALDH1A2/LRP4/EPHA7/SULF1/ENPEP/LGR5/GREB1L/SLIT2/GPC3/FREM2/EDNRA/HS3ST3A1/ADAMTS1/KLF15/HEYL/HPGD/NPNT/EMX2/PDGFD/BASP1/SOX11/ERBB4/WT1/ROBO2/LRRK2/SULF2/POU3F3";44
"BP";"GO:0007389";"pattern specification process";"51/596";"474/18496";4,01038379706589e-14;2,33518919383437e-11;"80199/3670/60529/2736/4036/8646/10683/5125/655/2294/56917/4223/2737/9096/7474/1746/80114/3235/3236/3237/3239/8854/4038/23493/2626/6496/658/51176/121643/85407/2719/2697/26508/64399/57057/221833/23462/1045/8313/55130/6091/3233/2018/3212/2290/10409/2066/1482/7490/6092/23237";"FUZ/ISL1/ALX4/GLI2/LRP2/CHRD/DLL3/PCSK5/BMP7/FOXF1/MEIS3/MEOX2/GLI3/TBX18/WNT5A/DLX2/BICC1/HOXD9/HOXD10/HOXD11/HOXD13/ALDH1A2/LRP4/HEY2/GATA4/SIX3/BMPR1B/LEF1/FOXN4/NKD1/GPC3/GJA1/HEYL/HHIP/TBX20/SP8/HEY1/CDX2/AXIN2/ARMC4/ROBO1/HOXD4/EMX2/HOXB2/FOXG1/BASP1/ERBB4/NKX2-5/WT1/ROBO2/ARC";51
"BP";"GO:0003002";"regionalization";"48/596";"429/18496";5,35477195310141e-14;2,72825631010517e-11;"80199/3670/60529/2736/4036/8646/10683/5125/2294/4223/2737/9096/7474/1746/80114/3235/3236/3237/3239/8854/4038/23493/2626/6496/658/51176/121643/85407/2719/2697/26508/64399/57057/221833/23462/1045/8313/55130/6091/3233/2018/3212/2290/10409/1482/7490/6092/23237";"FUZ/ISL1/ALX4/GLI2/LRP2/CHRD/DLL3/PCSK5/FOXF1/MEOX2/GLI3/TBX18/WNT5A/DLX2/BICC1/HOXD9/HOXD10/HOXD11/HOXD13/ALDH1A2/LRP4/HEY2/GATA4/SIX3/BMPR1B/LEF1/FOXN4/NKD1/GPC3/GJA1/HEYL/HHIP/TBX20/SP8/HEY1/CDX2/AXIN2/ARMC4/ROBO1/HOXD4/EMX2/HOXB2/FOXG1/BASP1/NKX2-5/WT1/ROBO2/ARC";48
"BP";"GO:0001822";"kidney development";"40/596";"325/18496";3,39395835329485e-13;1,53708602755887e-10;"2736/5915/8516/4036/1592/5125/655/6299/2737/6492/7474/4811/80114/9953/3237/8854/4038/2045/23213/2028/80000/9353/2719/341640/1909/9955/9510/28999/26508/3248/255743/80310/10409/6664/2066/7490/6092/120892/55959/5455";"GLI2/RARB/ITGA8/LRP2/CYP26A1/PCSK5/BMP7/SALL1/GLI3/SIM1/WNT5A/NID1/BICC1/HS3ST3B1/HOXD11/ALDH1A2/LRP4/EPHA7/SULF1/ENPEP/GREB1L/SLIT2/GPC3/FREM2/EDNRA/HS3ST3A1/ADAMTS1/KLF15/HEYL/HPGD/NPNT/PDGFD/BASP1/SOX11/ERBB4/WT1/ROBO2/LRRK2/SULF2/POU3F3";40
"BP";"GO:0048566";"embryonic digestive tract development";"13/596";"33/18496";1,1249341889628e-11;4,58523175421237e-09;"2736/5915/5125/2254/2294/6299/2737/3398/8854/3142/91461/348093/6664";"GLI2/RARB/PCSK5/FGF9/FOXF1/SALL1/GLI3/ID2/ALDH1A2/HLX/PKDCC/RBPMS2/SOX11";13
"BP";"GO:0010975";"regulation of neuron projection development";"45/596";"448/18496";1,44591574671775e-11;5,35777507601959e-09;"1272/2042/816/9423/26153/5063/4897/655/8153/1949/10090/1809/7474/5997/53335/1123/2258/547/23111/4038/577/2045/347733/80031/5793/9353/7436/1601/5789/56896/120114/322/6383/22871/6091/9024/5587/5454/6092/6585/120892/23237/1756/55714/4747";"CNTN1/EPHA3/CAMK2B/NTN1/KIF26A/PAK3/NRCAM/BMP7/RND2/EFNB3/UST/DPYSL3/WNT5A/RGS2/BCL11A/CHN1/FGF13/KIF1A/SPART/LRP4/ADGRB3/EPHA7/TUBB2B/SEMA6D/PTPRG/SLIT2/VLDLR/DAB2/PTPRD/DPYSL5/FAT3/APBB1/SDC2/NLGN1/ROBO1/BRSK2/PRKD1/POU3F2/ROBO2/SLIT1/LRRK2/ARC/DMD/TENM3/NEFL";45
"BP";"GO:0050807";"regulation of synapse organization";"36/596";"315/18496";4,59233216638521e-11;1,50274069809409e-08;"26999/816/9423/2239/83992/5063/4897/1949/8825/6678/7474/9732/547/94030/9201/4038/577/2045/6622/7436/2823/10160/5789/26050/57524/4920/22871/1000/25945/2894/6092/23768/6585/120892/23237/4747";"CYFIP2/CAMK2B/NTN1/GPC4/CTTNBP2/PAK3/NRCAM/EFNB3/LIN7A/SPARC/WNT5A/DOCK4/KIF1A/LRRC4B/DCLK1/LRP4/ADGRB3/EPHA7/SNCA/VLDLR/GPM6A/FARP1/PTPRD/SLITRK5/CASKIN1/ROR2/NLGN1/CDH2/NECTIN3/GRID1/ROBO2/FLRT2/SLIT1/LRRK2/ARC/NEFL";36
"BP";"GO:0030900";"forebrain development";"42/596";"413/18496";4,7928432471107e-11;1,50274069809409e-08;"3670/26153/2736/5915/4036/6299/1749/2737/59336/7474/3398/1746/93986/8854/3746/2258/9201/6658/347733/6496/51176/9353/2044/10642/139411/26050/190/6091/2018/1000/3400/2290/4808/2066/6331/5101/5454/6092/6585/120892/5455/4747";"ISL1/KIF26A/GLI2/RARB/LRP2/SALL1/DLX5/GLI3/PRDM13/WNT5A/ID2/DLX2/FOXP2/ALDH1A2/KCNC1/FGF13/DCLK1/SOX3/TUBB2B/SIX3/LEF1/SLIT2/EPHA5/IGF2BP1/PTCHD1/SLITRK5/NR0B1/ROBO1/EMX2/CDH2/ID4/FOXG1/NHLH2/ERBB4/SCN5A/PCDH9/POU3F2/ROBO2/SLIT1/LRRK2/POU3F3/NEFL";42
"BP";"GO:0007416";"synapse assembly";"33/596";"273/18496";6,75406273001269e-11;1,96639712053798e-08;"26999/9423/54549/2239/4897/1949/8825/7474/27253/9732/2258/94030/9201/4038/577/2045/6622/7436/23284/2823/10160/5789/26050/2562/57524/22871/1000/4884/25945/2066/6092/23768/6585";"CYFIP2/NTN1/SDK2/GPC4/NRCAM/EFNB3/LIN7A/WNT5A/PCDH17/DOCK4/FGF13/LRRC4B/DCLK1/LRP4/ADGRB3/EPHA7/SNCA/VLDLR/ADGRL3/GPM6A/FARP1/PTPRD/SLITRK5/GABRB3/CASKIN1/NLGN1/CDH2/NPTX1/NECTIN3/ERBB4/ROBO2/FLRT2/SLIT1";33
"BP";"GO:0050803";"regulation of synapse structure or activity";"36/596";"321/18496";7,870171166777e-11;2,1385878450522e-08;"26999/816/9423/2239/83992/5063/4897/1949/8825/6678/7474/9732/547/94030/9201/4038/577/2045/6622/7436/2823/10160/5789/26050/57524/4920/22871/1000/25945/2894/6092/23768/6585/120892/23237/4747";"CYFIP2/CAMK2B/NTN1/GPC4/CTTNBP2/PAK3/NRCAM/EFNB3/LIN7A/SPARC/WNT5A/DOCK4/KIF1A/LRRC4B/DCLK1/LRP4/ADGRB3/EPHA7/SNCA/VLDLR/GPM6A/FARP1/PTPRD/SLITRK5/CASKIN1/ROR2/NLGN1/CDH2/NECTIN3/GRID1/ROBO2/FLRT2/SLIT1/LRRK2/ARC/NEFL";36
"BP";"GO:0003180";"aortic valve morphogenesis";"13/596";"39/18496";1,33434016085631e-10;3,39923155978145e-08;"4772/23493/2626/9353/171019/11096/26508/57057/23462/8313/6091/1482/6092";"NFATC1/HEY2/GATA4/SLIT2/ADAMTS19/ADAMTS5/HEYL/TBX20/HEY1/AXIN2/ROBO1/NKX2-5/ROBO2";13
"BP";"GO:0003184";"pulmonary valve morphogenesis";"10/596";"20/18496";1,54702263474822e-10;3,70921427013751e-08;"4772/23493/9353/171019/11096/26508/57057/23462/6091/6092";"NFATC1/HEY2/SLIT2/ADAMTS19/ADAMTS5/HEYL/TBX20/HEY1/ROBO1/ROBO2";10
"BP";"GO:0003205";"cardiac chamber development";"25/596";"172/18496";2,91300311664771e-10;6,59633372414227e-08;"3670/5915/4036/655/2294/6299/1363/7474/23493/2626/80000/9353/287/171019/1909/9510/26508/57057/23462/6091/6664/1482/6331/6092/6262";"ISL1/RARB/LRP2/BMP7/FOXF1/SALL1/CPE/WNT5A/HEY2/GATA4/GREB1L/SLIT2/ANK2/ADAMTS19/EDNRA/ADAMTS1/HEYL/TBX20/HEY1/ROBO1/SOX11/NKX2-5/SCN5A/ROBO2/RYR2";25
"BP";"GO:0016055";"Wnt signaling pathway";"44/596";"475/18496";3,41444177740659e-10;7,32487614984699e-08;"51384/80199/3670/2239/6932/6907/2254/6299/1749/2887/2737/7091/1363/9096/7474/3485/80114/4038/29969/22881/23213/51176/8549/85407/85409/51473/2719/1909/1601/147495/1896/5563/28999/8313/4920/9839/1000/8325/152573/1482/80139/120892/55959/388630";"WNT16/FUZ/ISL1/GPC4/TCF7/TBL1X/FGF9/SALL1/DLX5/GRB10/GLI3/TLE4/CPE/TBX18/WNT5A/IGFBP2/BICC1/LRP4/MDFIC/ANKRD6/SULF1/LEF1/LGR5/NKD1/NKD2/DCDC2/GPC3/EDNRA/DAB2/APCDD1/EDA/PRKAA2/KLF15/AXIN2/ROR2/ZEB2/CDH2/FZD8/SHISA3/NKX2-5/ZNF703/LRRK2/SULF2/TRABD2B";44
"BP";"GO:0060485";"mesenchyme development";"36/596";"342/18496";4,65559933006724e-10;9,48811143467704e-08;"51384/80199/3670/2042/10683/57556/655/2254/2294/7474/8854/23493/2626/80031/51176/4684/1909/1601/223117/11096/55698/10630/26508/57057/23462/8313/753/6091/1000/10409/2066/8092/1482/80139/7490/6092";"WNT16/FUZ/ISL1/EPHA3/DLL3/SEMA6A/BMP7/FGF9/FOXF1/WNT5A/ALDH1A2/HEY2/GATA4/SEMA6D/LEF1/NCAM1/EDNRA/DAB2/SEMA3D/ADAMTS5/RADIL/PDPN/HEYL/TBX20/HEY1/AXIN2/LDLRAD4/ROBO1/CDH2/BASP1/ERBB4/ALX1/NKX2-5/ZNF703/WT1/ROBO2";36
"BP";"GO:0009952";"anterior/posterior pattern specification";"28/596";"219/18496";5,24752197597521e-10;1,0185190273369e-07;"80199/60529/10683/5125/2294/4223/2737/9096/7474/3235/3236/3239/8854/23493/2626/51176/85407/2719/26508/23462/1045/8313/3233/2018/3212/10409/7490/23237";"FUZ/ALX4/DLL3/PCSK5/FOXF1/MEOX2/GLI3/TBX18/WNT5A/HOXD9/HOXD10/HOXD13/ALDH1A2/HEY2/GATA4/LEF1/NKD1/GPC3/HEYL/HEY1/CDX2/AXIN2/HOXD4/EMX2/HOXB2/BASP1/WT1/ARC";28
"BP";"GO:0035107";"appendage morphogenesis";"23/596";"152/18496";6,69553389915019e-10;1,18656505099722e-07;"60529/5915/5125/655/2254/6299/1749/2737/7474/3235/3236/3239/8854/4038/51176/2201/1280/2719/341640/2697/4882/91461/221833";"ALX4/RARB/PCSK5/BMP7/FGF9/SALL1/DLX5/GLI3/WNT5A/HOXD9/HOXD10/HOXD13/ALDH1A2/LRP4/LEF1/FBN2/COL2A1/GPC3/FREM2/GJA1/NPR2/PKDCC/SP8";23
"BP";"GO:0035108";"limb morphogenesis";"23/596";"152/18496";6,69553389915019e-10;1,18656505099722e-07;"60529/5915/5125/655/2254/6299/1749/2737/7474/3235/3236/3239/8854/4038/51176/2201/1280/2719/341640/2697/4882/91461/221833";"ALX4/RARB/PCSK5/BMP7/FGF9/SALL1/DLX5/GLI3/WNT5A/HOXD9/HOXD10/HOXD13/ALDH1A2/LRP4/LEF1/FBN2/COL2A1/GPC3/FREM2/GJA1/NPR2/PKDCC/SP8";23
