"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000197471";"SPN";"sialophorin";838;13,4444131851196;"No"
"row_1";"ENSG00000006042";"TMEM98";"transmembrane protein 98";1014;9,68114471435547;"No"
"row_2";"ENSG00000197272";"IL27";"interleukin 27";1536;4,92395925521851;"No"
"row_3";"ENSG00000143184";"XCL1";"X-C motif chemokine ligand 1";1724;3,83022427558899;"No"
"row_4";"ENSG00000069667";"RORA";"RAR related orphan receptor A";1778;3,42282056808472;"No"
"row_5";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";1990;2,77439618110657;"No"
"row_6";"ENSG00000113916";"BCL6";"BCL6 transcription repressor";2051;2,54163861274719;"No"
"row_7";"ENSG00000160223";"ICOSLG";"inducible T cell costimulator ligand";2119;2,31017374992371;"No"
"row_8";"ENSG00000101665";"SMAD7";"SMAD family member 7";2124;2,29885292053223;"No"
"row_9";"ENSG00000114861";"FOXP1";"forkhead box P1";2184;2,09614562988281;"No"
"row_10";"ENSG00000105374";"NKG7";"natural killer cell granule protein 7";2227;2,03853845596313;"No"
"row_11";"ENSG00000162594";"IL23R";"interleukin 23 receptor";2283;2,03853845596313;"No"
"row_12";"ENSG00000183734";"ASCL2";"achaete-scute family bHLH transcription factor 2";2337;2,03853845596313;"No"
"row_13";"ENSG00000183655";"KLHL25";"kelch like family member 25";2683;1,78560948371887;"No"
"row_14";"ENSG00000105639";"JAK3";"Janus kinase 3";2754;1,61320245265961;"No"
"row_15";"ENSG00000124215";"CDH26";"cadherin 26";2796;1,5195232629776;"No"
"row_16";"ENSG00000136630";"HLX";"H2.0 like homeobox";2797;1,5195232629776;"No"
"row_17";"ENSG00000179588";"ZFPM1";"zinc finger protein, FOG family member 1";2887;1,37074649333954;"No"
"row_18";"ENSG00000160712";"IL6R";"interleukin 6 receptor";3038;1,12572574615479;"No"
"row_19";"ENSG00000140691";"ARMC5";"armadillo repeat containing 5";3221;0,939626336097717;"No"
"row_20";"ENSG00000065675";"PRKCQ";"protein kinase C theta";3298;0,871906042098999;"No"
"row_21";"ENSG00000143365";"RORC";"RAR related orphan receptor C";3328;0,841190755367279;"No"
"row_22";"ENSG00000067606";"PRKCZ";"protein kinase C zeta";3537;0,671933829784393;"No"
"row_23";"ENSG00000117586";"TNFSF4";"TNF superfamily member 4";3647;0,595373868942261;"No"
"row_24";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";3786;0,522003293037415;"No"
"row_25";"ENSG00000172175";"MALT1";"MALT1 paracaspase";4153;0,379611045122147;"No"
"row_26";"ENSG00000204256";"BRD2";"bromodomain containing 2";4409;0,311431229114532;"No"
"row_27";"ENSG00000163874";"ZC3H12A";"zinc finger CCCH-type containing 12A";4674;0,258926510810852;"No"
"row_28";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";5655;0,123240418732166;"No"
"row_29";"ENSG00000172840";"PDP2";"pyruvate dehydrogenase phosphatase catalytic subunit 2";5875;0,0987957864999771;"No"
"row_30";"ENSG00000107338";"SHB";"SH2 domain containing adaptor protein B";6354;0,057049348950386;"No"
"row_31";"ENSG00000134352";"IL6ST";"interleukin 6 cytokine family signal transducer";6512;0,0467486679553986;"No"
"row_32";"ENSG00000131759";"RARA";"retinoic acid receptor alpha";6602;0,0419047698378563;"No"
"row_33";"ENSG00000067955";"CBFB";"core-binding factor subunit beta";6810;0,0319929569959641;"No"
"row_34";"ENSG00000165283";"STOML2";"stomatin like 2";6955;0,0246181655675173;"No"
"row_35";"ENSG00000133895";"MEN1";"menin 1";7020;0,0220818240195513;"No"
"row_36";"ENSG00000135047";"CTSL";"cathepsin L";7535;0,00646909140050411;"No"
"row_37";"ENSG00000069399";"BCL3";"BCL3 transcription coactivator";7836;0,00168438069522381;"No"
"row_38";"ENSG00000110719";"TCIRG1";"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3";7896;0,000936923082917929;"No"
"row_39";"ENSG00000189403";"HMGB1";"high mobility group box 1";8094;4,6921400098654e-06;"No"
"row_40";"ENSG00000073861";"TBX21";"T-box transcription factor 21";8256;0;"No"
"row_41";"ENSG00000081181";"ARG2";"arginase 2";8297;0;"No"
"row_42";"ENSG00000107738";"VSIR";"V-set immunoregulatory receptor";8567;0;"No"
"row_43";"ENSG00000109471";"IL2";"interleukin 2";8598;0;"No"
"row_44";"ENSG00000110848";"CD69";"CD69 molecule";8617;0;"No"
"row_45";"ENSG00000111537";"IFNG";"interferon gamma";8631;0;"No"
"row_46";"ENSG00000113302";"IL12B";"interleukin 12B";8677;0;"No"
"row_47";"ENSG00000114013";"CD86";"CD86 molecule";8693;0;"No"
"row_48";"ENSG00000117215";"PLA2G2D";"phospholipase A2 group IID";8744;0;"No"
"row_49";"ENSG00000119919";"NKX2-3";"NK2 homeobox 3";8780;0;"No"
"row_50";"ENSG00000121594";"CD80";"CD80 molecule";8827;0;"No"
"row_51";"ENSG00000122122";"SASH3";"SAM and SH3 domain containing 3";8836;0;"No"
