"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000171759";"PAH";"phenylalanine hydroxylase";20;137,501525878906;"Yes"
"row_1";"ENSG00000115919";"KYNU";"kynureninase";40;107,87769317627;"Yes"
"row_2";"ENSG00000160282";"FTCD";"formimidoyltransferase cyclodeaminase";52;98,2511291503906;"Yes"
"row_3";"ENSG00000179761";"PIPOX";"pipecolic acid and sarcosine oxidase";91;79,7874145507812;"Yes"
"row_4";"ENSG00000113924";"HGD";"homogentisate 1,2-dioxygenase";104;75,7994384765625;"Yes"
"row_5";"ENSG00000250799";"PRODH2";"proline dehydrogenase 2";137;67,3693237304688;"Yes"
"row_6";"ENSG00000158104";"HPD";"4-hydroxyphenylpyruvate dioxygenase";210;53,579216003418;"Yes"
"row_7";"ENSG00000172482";"AGXT";"alanine--glyoxylate aminotransferase";400;34,5531578063965;"Yes"
"row_8";"ENSG00000150540";"HNMT";"histamine N-methyltransferase";485;29,0650539398193;"Yes"
"row_9";"ENSG00000129596";"CDO1";"cysteine dioxygenase type 1";678;19,1843223571777;"Yes"
"row_10";"ENSG00000139344";"AMDHD1";"amidohydrolase domain containing 1";702;18,3644523620605;"Yes"
"row_11";"ENSG00000110887";"DAO";"D-amino acid oxidase";732;17,4037132263184;"Yes"
"row_12";"ENSG00000100033";"PRODH";"proline dehydrogenase 1";891;11,9030914306641;"Yes"
"row_13";"ENSG00000151224";"MAT1A";"methionine adenosyltransferase 1A";1093;8,86420631408691;"Yes"
"row_14";"ENSG00000162174";"ASRGL1";"asparaginase and isoaspartyl peptidase 1";1190;7,61894750595093;"Yes"
"row_15";"ENSG00000198650";"TAT";"tyrosine aminotransferase";1234;7,35624837875366;"Yes"
"row_16";"ENSG00000008311";"AASS";"aminoadipate-semialdehyde synthase";1268;7,31073522567749;"Yes"
"row_17";"ENSG00000159650";"UROC1";"urocanate hydratase 1";1269;7,21658992767334;"Yes"
"row_18";"ENSG00000164867";"NOS3";"nitric oxide synthase 3";1357;6,0483922958374;"Yes"
"row_19";"ENSG00000203797";"DDO";"D-aspartate oxidase";1422;5,61506080627441;"Yes"
"row_20";"ENSG00000118514";"ALDH8A1";"aldehyde dehydrogenase 8 family member A1";1435;5,53154850006104;"Yes"
"row_21";"ENSG00000007171";"NOS2";"nitric oxide synthase 2";1491;4,92395925521851;"Yes"
"row_22";"ENSG00000183077";"AFMID";"arylformamidase";1579;4,8854284286499;"Yes"
"row_23";"ENSG00000167701";"GPT";"glutamic--pyruvic transaminase";1607;4,70545434951782;"Yes"
"row_24";"ENSG00000159423";"ALDH4A1";"aldehyde dehydrogenase 4 family member A1";1656;4,26205205917358;"Yes"
"row_25";"ENSG00000103876";"FAH";"fumarylacetoacetate hydrolase";2050;2,55192852020264;"No"
"row_26";"ENSG00000135821";"GLUL";"glutamate-ammonia ligase";2600;2,00385093688965;"No"
"row_27";"ENSG00000109576";"AADAT";"aminoadipate aminotransferase";2641;1,8671567440033;"No"
"row_28";"ENSG00000148672";"GLUD1";"glutamate dehydrogenase 1";2726;1,67818903923035;"No"
"row_29";"ENSG00000147576";"ADHFE1";"alcohol dehydrogenase iron containing 1";2788;1,54226613044739;"No"
"row_30";"ENSG00000166123";"GPT2";"glutamic--pyruvic transaminase 2";2850;1,42118942737579;"No"
"row_31";"ENSG00000151552";"QDPR";"quinoid dihydropteridine reductase";2930;1,27456986904144;"No"
"row_32";"ENSG00000171097";"KYAT1";"kynurenine aminotransferase 1";3100;1,05381381511688;"No"
"row_33";"ENSG00000182890";"GLUD2";"glutamate dehydrogenase 2";3321;0,844282567501068;"No"
"row_34";"ENSG00000160200";"CBS";"cystathionine beta-synthase";3487;0,697240650653839;"No"
"row_35";"ENSG00000131844";"MCCC2";"methylcrotonyl-CoA carboxylase subunit 2";3668;0,581241965293884;"No"
"row_36";"ENSG00000100116";"GCAT";"glycine C-acetyltransferase";3694;0,56408679485321;"No"
"row_37";"ENSG00000139631";"CSAD";"cysteine sulfinic acid decarboxylase";4221;0,362341642379761;"No"
"row_38";"ENSG00000128928";"IVD";"isovaleryl-CoA dehydrogenase";4382;0,319078266620636;"No"
"row_39";"ENSG00000100577";"GSTZ1";"glutathione S-transferase zeta 1";4806;0,22867676615715;"No"
"row_40";"ENSG00000148090";"AUH";"AU RNA binding methylglutaconyl-CoA hydratase";4812;0,22768098115921;"No"
"row_41";"ENSG00000120053";"GOT1";"glutamic-oxaloacetic transaminase 1";5160;0,174014717340469;"No"
"row_42";"ENSG00000135094";"SDS";"serine dehydratase";5300;0,159293413162231;"No"
"row_43";"ENSG00000115419";"GLS";"glutaminase";5393;0,157718852162361;"No"
"row_44";"ENSG00000172508";"CARNS1";"carnosine synthase 1";6654;0,0395832732319832;"No"
"row_45";"ENSG00000135423";"GLS2";"glutaminase 2";7093;0,018687779083848;"No"
"row_46";"ENSG00000125166";"GOT2";"glutamic-oxaloacetic transaminase 2";7187;0,0155248623341322;"No"
"row_47";"ENSG00000176974";"SHMT1";"serine hydroxymethyltransferase 1";7266;0,0125593673437834;"No"
"row_48";"ENSG00000132541";"RIDA";"reactive intermediate imine deaminase A homolog";7274;0,012399953790009;"No"
"row_49";"ENSG00000103507";"BCKDK";"branched chain keto acid dehydrogenase kinase";7298;0,011816612444818;"No"
"row_50";"ENSG00000081181";"ARG2";"arginase 2";8297;0;"No"
"row_51";"ENSG00000089250";"NOS1";"nitric oxide synthase 1";8339;0;"No"
"row_52";"ENSG00000113492";"AGXT2";"alanine--glyoxylate aminotransferase 2";8683;0;"No"
"row_53";"ENSG00000117009";"KMO";"kynurenine 3-monooxygenase";8740;0;"No"
"row_54";"ENSG00000118520";"ARG1";"arginase 1";8765;0;"No"
"row_55";"ENSG00000131203";"IDO1";"indoleamine 2,3-dioxygenase 1";9068;0;"No"
"row_56";"ENSG00000136750";"GAD2";"glutamate decarboxylase 2";9233;0;"No"
"row_57";"ENSG00000140287";"HDC";"histidine decarboxylase";9319;0;"No"
"row_58";"ENSG00000146151";"HMGCLL1";"3-hydroxy-3-methylglutaryl-CoA lyase like 1";9452;0;"No"
"row_59";"ENSG00000151790";"TDO2";"tryptophan 2,3-dioxygenase";9585;0;"No"
"row_60";"ENSG00000153086";"ACMSD";"aminocarboxymuconate semialdehyde decarboxylase";9620;0;"No"
"row_61";"ENSG00000162882";"HAAO";"3-hydroxyanthranilate 3,4-dioxygenase";9849;0;"No"
"row_62";"ENSG00000188676";"IDO2";"indoleamine 2,3-dioxygenase 2";11564;0;"No"
"row_63";"ENSG00000274276";"ENSG00000274276";"cystathionine beta-synthase like";25019;0;"No"
"row_64";"ENSG00000284190";"MIR21";"microRNA 21";26190;0;"No"
"row_65";"ENSG00000139410";"SDSL";"serine dehydratase like";27733;-0,000807194446679205;"No"
"row_66";"ENSG00000119689";"DLST";"dihydrolipoamide S-succinyltransferase";28587;-0,0172171704471111;"No"
"row_67";"ENSG00000117305";"HMGCL";"3-hydroxy-3-methylglutaryl-CoA lyase";29054;-0,0349963158369064;"No"
"row_68";"ENSG00000137944";"KYAT3";"kynurenine aminotransferase 3";31045;-0,24295349419117;"No"
"row_69";"ENSG00000078070";"MCCC1";"methylcrotonyl-CoA carboxylase subunit 1";31823;-0,443133145570755;"No"
"row_70";"ENSG00000084110";"HAL";"histidine ammonia-lyase";31885;-0,466799110174179;"No"
"row_71";"ENSG00000153904";"DDAH1";"dimethylarginine dimethylaminohydrolase 1";32296;-0,66314572095871;"No"
"row_72";"ENSG00000156017";"CARNMT1";"carnosine N-methyltransferase 1";32559;-0,831419944763184;"No"
"row_73";"ENSG00000285077";"ARHGAP11B";"Rho GTPase activating protein 11B";32689;-0,942720830440521;"No"
"row_74";"ENSG00000065154";"OAT";"ornithine aminotransferase";32923;-1,05838489532471;"No"
"row_75";"ENSG00000104951";"IL4I1";"interleukin 4 induced 1";34085;-3,02762150764465;"No"
