"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"IMMUNOGLOBULIN_COMPLEX (GO:0019814)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_IMMUNOGLOBULIN_COMPLEX.html";"A protein complex that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains, held together by disulfide bonds and sometimes complexed with additional proteins. An immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph. [GOC:add, GOC:jl, ISBN:0781765196]";157;-0,96543753;-1,8505814;0;0;0;765;"tags=2%, list=2%, signal=2%"
"T_CELL_RECEPTOR_COMPLEX (GO:0042101)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_T_CELL_RECEPTOR_COMPLEX.html";"A protein complex that contains a disulfide-linked heterodimer of T cell receptor (TCR) chains, which are members of the immunoglobulin superfamily, and mediates antigen recognition, ultimately resulting in T cell activation. The TCR heterodimer is associated with the CD3 complex, which consists of the nonpolymorphic polypeptides gamma, delta, epsilon, zeta, and, in some cases, eta (an RNA splice variant of zeta) or Fc epsilon chains. [GOC:mah, ISBN:0781735149]";142;-0,8735292;-1,6530845;0;0,009278736;0,021;13;"tags=1%, list=0%, signal=1%"
"MRNA_BASE_PAIRING_TRANSLATIONAL_REPRESSOR_ACTIVITY (GO:1903231)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_MRNA_BASE_PAIRING_TRANSLATIONAL_REPRESSOR_ACTIVITY.html";"A translation repressor activity that acts by base-pairing with an mRNA. The binding can result in targeting the mRNA for degradation or interfering with mRNA translation, hence resulting in posttranscriptional gene silencing. [GOC:BHF, GOC:BHF_miRNA, PMID:18197166, PMID:20533884]";298;-0,75847405;-1,5545031;0;0,26440585;0,601;3271;"tags=2%, list=9%, signal=2%"
"POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY (GO:0002705)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY.html";"Any process that activates or increases the frequency, rate, or extent of leukocyte mediated immunity. [GOC:add]";154;-0,81257886;-1,5389223;0;0,31626683;0,763;1892;"tags=16%, list=5%, signal=17%"
"REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY (GO:0002706)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY.html";"Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity. [GOC:add]";199;-0,7852152;-1,5293701;0;0,32854098;0,848;1915;"tags=18%, list=5%, signal=19%"
"NATURAL_KILLER_CELL_MEDIATED_IMMUNITY (GO:0002228)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY.html";"The promotion of an immune response by natural killer cells through direct recognition of target cells or through the release of cytokines. [GO_REF:0000022, GOC:add, ISBN:0781735149]";89;-0,8826997;-1,5243939;0,0026737968;0,31407914;0,891;1369;"tags=19%, list=4%, signal=20%"
"POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY (GO:0002714)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY.html";"Any process that activates or increases the frequency, rate, or extent of B cell mediated immunity. [GOC:add]";42;-0,942962;-1,512049;0,0070921984;0,37681958;0,962;454;"tags=12%, list=1%, signal=12%"
"REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY (GO:0002715)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY.html";"Any process that modulates the frequency, rate, or extent of natural killer cell mediated immunity. [GOC:add]";58;-0,9043906;-1,4990606;0,0123152705;0,4650182;0,991;1369;"tags=22%, list=4%, signal=23%"
"MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION (GO:0035279)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION.html";"An RNA interference pathway in which microRNAs (miRNAs) direct the cleavage of target mRNAs. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA base pairing with near-perfect complementarity to the target mRNA will typically direct targeted endonucleolytic cleavage of the mRNA. Many plant miRNAs downregulate gene expression through this mechanism. [GOC:dph, GOC:mtg_lung, PMID:14744438, PMID:15196554, PMID:21118121, PMID:23209154]";105;-0,8215638;-1,4984438;0,0028571428;0,41951486;0,991;4997;"tags=6%, list=14%, signal=7%"
"REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS (GO:0002861)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS.html";"Any process that modulates the frequency, rate, or extent of an inflammatory response to an antigenic stimulus. [GOC:add]";49;-0,9338929;-1,489098;0;0,4726939;0,998;1654;"tags=18%, list=5%, signal=19%"
"CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION (GO:0035710)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION.html";"The change in morphology and behavior of a CD4-positive, alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific. [CL:0000624, GOC:BHF]";134;-0,7883466;-1,4741035;0,0030674846;0,62062246;0,999;1503;"tags=19%, list=4%, signal=20%"
"POSITIVE_REGULATION_OF_CELL_KILLING (GO:0031343)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_CELL_KILLING.html";"Any process that activates or increases the frequency, rate or extent of cell killing. [GOC:mah]";71;-0,86657166;-1,4717122;0,011331445;0,59852165;1;2687;"tags=30%, list=7%, signal=32%"
