"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000155307";"SAMSN1";"SAM domain, SH3 domain and nuclear localization signals 1";1202;6,57367753982544;"No"
"row_1";"ENSG00000169291";"SHE";"Src homology 2 domain containing E";2385;1,96281337738037;"No"
"row_2";"ENSG00000115085";"ZAP70";"zeta chain of T cell receptor associated protein kinase 70";3561;0,702747583389282;"No"
"row_3";"ENSG00000169047";"IRS1";"insulin receptor substrate 1";3683;0,652070939540863;"No"
"row_4";"ENSG00000184557";"SOCS3";"suppressor of cytokine signaling 3";4376;0,366147965192795;"No"
"row_5";"ENSG00000160293";"VAV2";"vav guanine nucleotide exchange factor 2";4537;0,318973779678345;"No"
"row_6";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";4911;0,244013503193855;"No"
"row_7";"ENSG00000138606";"SHF";"Src homology 2 domain containing F";5075;0,211058139801025;"No"
"row_8";"ENSG00000137936";"BCAR3";"BCAR3 adaptor protein, NSP family member";5294;0,169856518507004;"No"
"row_9";"ENSG00000127445";"PIN1";"peptidylprolyl cis/trans isomerase, NIMA-interacting 1";5822;0,11689031869173;"No"
"row_10";"ENSG00000107338";"SHB";"SH2 domain containing adaptor protein B";5858;0,113694421947002;"No"
"row_11";"ENSG00000087266";"SH3BP2";"SH3 domain binding protein 2";6794;0,0437544658780098;"No"
"row_12";"ENSG00000197943";"PLCG2";"phospholipase C gamma 2";6811;0,0428549237549305;"No"
"row_13";"ENSG00000097007";"ABL1";"ABL proto-oncogene 1, non-receptor tyrosine kinase";6849;0,0408213324844837;"No"
"row_14";"ENSG00000100982";"PCIF1";"phosphorylated CTD interacting factor 1";6874;0,0395106077194214;"No"
"row_15";"ENSG00000166913";"YWHAB";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta";7630;0,0137057090178132;"No"
"row_16";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";7723;0,0108561450615525;"No"
"row_17";"ENSG00000166167";"BTRC";"beta-transducin repeat containing E3 ubiquitin protein ligase";7927;0,0067721214145422;"No"
"row_18";"ENSG00000160691";"SHC1";"SHC adaptor protein 1";8077;0,00461754156276584;"No"
"row_19";"ENSG00000071051";"NCK2";"NCK adaptor protein 2";8099;0,00422448990866542;"No"
"row_20";"ENSG00000000938";"FGR";"FGR proto-oncogene, Src family tyrosine kinase";8681;0;"No"
"row_21";"ENSG00000100351";"GRAP2";"GRB2 related adaptor protein 2";8972;0;"No"
"row_22";"ENSG00000101336";"HCK";"HCK proto-oncogene, Src family tyrosine kinase";9012;0;"No"
"row_23";"ENSG00000105251";"SHD";"Src homology 2 domain containing transforming protein D";9093;0;"No"
"row_24";"ENSG00000110786";"PTPN5";"protein tyrosine phosphatase non-receptor type 5";9206;0;"No"
"row_25";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";9336;0;"No"
"row_26";"ENSG00000145715";"RASA1";"RAS p21 protein activator 1";10007;0;"No"
"row_27";"ENSG00000154016";"GRAP";"GRB2 related adaptor protein";10183;0;"No"
"row_28";"ENSG00000155926";"SLA";"Src like adaptor";10209;0;"No"
"row_29";"ENSG00000182866";"LCK";"LCK proto-oncogene, Src family tyrosine kinase";11576;0;"No"
"row_30";"ENSG00000166477";"LEO1";"LEO1 homolog, Paf1/RNA polymerase II complex component";27934;-8,36698382045142e-05;"No"
"row_31";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";28139;-0,00110708537977189;"No"
"row_32";"ENSG00000167193";"CRK";"CRK proto-oncogene, adaptor protein";28180;-0,00145873578730971;"No"
