"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"ODORANT_BINDING (GO:0005549)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_ODORANT_BINDING.html";"Binding to an odorant, any substance capable of stimulating the sense of smell. [GOC:jl, ISBN:0721662544]";108;0,9110463;1,5159404;0,0015576323;0,1928511;0,166;2454;"tags=3%, list=7%, signal=3%"
"ORGANELLE_DISASSEMBLY (GO:1903008)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_ORGANELLE_DISASSEMBLY.html";"The disaggregation of an organelle into its constituent components. [GO_REF:0000079, GOC:TermGenie]";73;0,9250874;1,4741457;0;0,7124853;0,721;262;"tags=4%, list=1%, signal=4%"
"NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY (GO:0090090)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY.html";"Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes. [GOC:dph, GOC:tb]";149;0,85491896;1,4711398;0,005873715;0,53363055;0,754;2434;"tags=23%, list=7%, signal=24%"
"NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY (GO:0030178)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY.html";"Any process that stops, prevents, or reduces the frequency, rate or extent of the Wnt signaling pathway. [GOC:dph, GOC:go_curators, GOC:tb]";184;0,83567214;1,4649433;0,0055710305;0,5081802;0,826;2434;"tags=22%, list=7%, signal=23%"
"NEUROTRANSMITTER_SECRETION (GO:0007269)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_NEUROTRANSMITTER_SECRETION.html";"The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission. [GOC:dph]";154;0,8409426;1,4647136;0,002919708;0,4095445;0,828;2249;"tags=25%, list=6%, signal=26%"
"REGULATION_OF_NEUROTRANSMITTER_TRANSPORT (GO:0051588)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT.html";"Any process that modulates the frequency, rate or extent of the directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]";107;0,86832404;1,4551073;0,002994012;0,49391705;0,921;2401;"tags=29%, list=7%, signal=31%"
"POSTSYNAPSE_ORGANIZATION (GO:0099173)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSTSYNAPSE_ORGANIZATION.html";"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a postsynapse. [GOC:dos]";242;0,8003707;1,4394945;0,0042918455;0,7400905;0,99;2178;"tags=16%, list=6%, signal=17%"
"NEUROPEPTIDE_SIGNALING_PATHWAY (GO:0007218)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY.html";"A G protein-coupled receptor signaling pathway initiated by a neuropeptide binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process. [GOC:mah, ISBN:0815316194]";111;0,86168915;1,4377182;0,0028612304;0,6857488;0,992;1599;"tags=19%, list=4%, signal=20%"
"ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO:0007188)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY.html";"A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP). [GOC:mah, GOC:signaling, ISBN:0815316194]";278;0,78721666;1,4327533;0,0042796005;0,7241714;0,999;2439;"tags=21%, list=7%, signal=23%"
"REGULATION_OF_POSTSYNAPSE_ORGANIZATION (GO:0099175)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION.html";"Any process that modulates the physical form of a postsynapse. [GOC:ai, GOC:dph, GOC:tb]";144;0,8348463;1,4319228;0,00295858;0,67122006;0,999;2153;"tags=17%, list=6%, signal=18%"
