"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000114251";"WNT5A";"Wnt family member 5A";30;81,3102188110352;"Yes"
"row_1";"ENSG00000125798";"FOXA2";"forkhead box A2";42;73,3786087036133;"Yes"
"row_2";"ENSG00000164690";"SHH";"sonic hedgehog signaling molecule";92;53,6576728820801;"Yes"
"row_3";"ENSG00000117707";"PROX1";"prospero homeobox 1";133;46,7667655944824;"Yes"
"row_4";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";175;42,4531517028809;"Yes"
"row_5";"ENSG00000016082";"ISL1";"ISL LIM homeobox 1";235;36,274055480957;"Yes"
"row_6";"ENSG00000170558";"CDH2";"cadherin 2";557;18,6760425567627;"Yes"
"row_7";"ENSG00000163501";"IHH";"Indian hedgehog signaling molecule";671;15,2069549560547;"Yes"
"row_8";"ENSG00000109705";"NKX3-2";"NK3 homeobox 2";808;11,8056344985962;"Yes"
"row_9";"ENSG00000185002";"RFX6";"regulatory factor X6";1027;8,70071792602539;"Yes"
"row_10";"ENSG00000153162";"BMP6";"bone morphogenetic protein 6";1151;6,94532299041748;"Yes"
"row_11";"ENSG00000007372";"PAX6";"paired box 6";1271;6,2851505279541;"Yes"
"row_12";"ENSG00000163623";"NKX6-1";"NK6 homeobox 1";1393;5,36576461791992;"Yes"
"row_13";"ENSG00000103241";"FOXF1";"forkhead box F1";1538;4,0720739364624;"Yes"
"row_14";"ENSG00000180535";"BHLHA15";"basic helix-loop-helix family member a15";2043;2,53575420379639;"No"
"row_15";"ENSG00000135100";"HNF1A";"HNF1 homeobox A";2068;2,48366570472717;"No"
"row_16";"ENSG00000136244";"IL6";"interleukin 6";2299;1,96281337738037;"No"
"row_17";"ENSG00000116833";"NR5A2";"nuclear receptor subfamily 5 group A member 2";2712;1,79385840892792;"No"
"row_18";"ENSG00000169856";"ONECUT1";"one cut homeobox 1";2743;1,72796761989594;"No"
"row_19";"ENSG00000160712";"IL6R";"interleukin 6 receptor";2748;1,7195258140564;"No"
"row_20";"ENSG00000154099";"DNAAF1";"dynein axonemal assembly factor 1";3008;1,25388944149017;"No"
"row_21";"ENSG00000128602";"SMO";"smoothened, frizzled class receptor";3149;1,0473325252533;"No"
"row_22";"ENSG00000109501";"WFS1";"wolframin ER transmembrane glycoprotein";3370;0,840739250183105;"No"
"row_23";"ENSG00000116729";"WLS";"Wnt ligand secretion mediator";3813;0,583669781684875;"No"
"row_24";"ENSG00000135414";"GDF11";"growth differentiation factor 11";3852;0,565463542938232;"No"
"row_25";"ENSG00000124766";"SOX4";"SRY-box transcription factor 4";3880;0,551367104053497;"No"
"row_26";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";4905;0,246344193816185;"No"
"row_27";"ENSG00000114315";"HES1";"hes family bHLH transcription factor 1";5121;0,200293079018593;"No"
"row_28";"ENSG00000030110";"BAK1";"BCL2 antagonist/killer 1";5597;0,128386229276657;"No"
"row_29";"ENSG00000119547";"ONECUT2";"one cut homeobox 2";5922;0,107699751853943;"No"
"row_30";"ENSG00000148737";"TCF7L2";"transcription factor 7 like 2";6558;0,0582705028355122;"No"
"row_31";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";7160;0,0268428605049849;"No"
"row_32";"ENSG00000141448";"GATA6";"GATA binding protein 6";8532;0,000280184234725311;"No"
"row_33";"ENSG00000017427";"IGF1";"insulin like growth factor 1";8732;0;"No"
"row_34";"ENSG00000070193";"FGF10";"fibroblast growth factor 10";8810;0;"No"
"row_35";"ENSG00000106331";"PAX4";"paired box 4";9128;0;"No"
"row_36";"ENSG00000112175";"BMP5";"bone morphogenetic protein 5";9241;0;"No"
"row_37";"ENSG00000113971";"NPHP3";"nephrocystin 3";9280;0;"No"
"row_38";"ENSG00000125820";"NKX2-2";"NK2 homeobox 2";9545;0;"No"
