"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000169860";"P2RY1";"purinergic receptor P2Y1";153;44,2379455566406;"Yes"
"row_1";"ENSG00000155970";"MICU3";"mitochondrial calcium uptake family member 3";166;43,1687316894531;"Yes"
"row_2";"ENSG00000135643";"KCNMB4";"potassium calcium-activated channel subfamily M regulatory beta subunit 4";306;31,4709777832031;"Yes"
"row_3";"ENSG00000175471";"MCTP1";"multiple C2 and transmembrane domain containing 1";336;28,8862209320068;"Yes"
"row_4";"ENSG00000134259";"NGF";"nerve growth factor";446;23,2821273803711;"Yes"
"row_5";"ENSG00000005379";"TSPOAP1";"TSPO associated protein 1";609;16,8847827911377;"Yes"
"row_6";"ENSG00000188906";"LRRK2";"leucine rich repeat kinase 2";614;16,8847827911377;"Yes"
"row_7";"ENSG00000019505";"SYT13";"synaptotagmin 13";640;15,9864072799683;"Yes"
"row_8";"ENSG00000145335";"SNCA";"synuclein alpha";662;15,4634094238281;"Yes"
"row_9";"ENSG00000184702";"SEPTIN5";"septin 5";674;15,2069549560547;"Yes"
"row_10";"ENSG00000169760";"NLGN1";"neuroligin 1";770;12,9226970672607;"Yes"
"row_11";"ENSG00000008056";"SYN1";"synapsin I";806;11,8056344985962;"Yes"
"row_12";"ENSG00000067715";"SYT1";"synaptotagmin 1";868;10,8931074142456;"Yes"
"row_13";"ENSG00000151025";"GPR158";"G protein-coupled receptor 158";942;9,70439910888672;"Yes"
"row_14";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";950;9,49616718292236;"Yes"
"row_15";"ENSG00000129990";"SYT5";"synaptotagmin 5";989;9,09562969207764;"Yes"
"row_16";"ENSG00000007516";"BAIAP3";"BAI1 associated protein 3";1090;7,7298731803894;"Yes"
"row_17";"ENSG00000105649";"RAB3A";"RAB3A, member RAS oncogene family";1155;6,90158271789551;"Yes"
"row_18";"ENSG00000050438";"SLC4A8";"solute carrier family 4 member 8";1261;6,39525461196899;"Yes"
"row_19";"ENSG00000106089";"STX1A";"syntaxin 1A";1279;6,22347736358643;"Yes"
"row_20";"ENSG00000081189";"MEF2C";"myocyte enhancer factor 2C";1505;4,26497030258179;"Yes"
"row_21";"ENSG00000139220";"PPFIA2";"PTPRF interacting protein alpha 2";1781;3,41644811630249;"Yes"
"row_22";"ENSG00000114646";"CSPG5";"chondroitin sulfate proteoglycan 5";1842;3,13310790061951;"Yes"
"row_23";"ENSG00000079841";"RIMS1";"regulating synaptic membrane exocytosis 1";2063;2,49307751655579;"Yes"
"row_24";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";2074;2,45643353462219;"Yes"
"row_25";"ENSG00000101098";"RIMS4";"regulating synaptic membrane exocytosis 4";2249;1,96281337738037;"Yes"
"row_26";"ENSG00000173250";"GPR151";"G protein-coupled receptor 151";2401;1,96281337738037;"Yes"
"row_27";"ENSG00000136854";"STXBP1";"syntaxin binding protein 1";3109;1,10499918460846;"No"
"row_28";"ENSG00000110881";"ASIC1";"acid sensing ion channel subunit 1";3183;1,02333319187164;"No"
"row_29";"ENSG00000099365";"STX1B";"syntaxin 1B";3257;0,930430471897125;"No"
"row_30";"ENSG00000164885";"CDK5";"cyclin dependent kinase 5";3271;0,925572216510773;"No"
"row_31";"ENSG00000154764";"WNT7A";"Wnt family member 7A";3311;0,891602516174316;"No"
"row_32";"ENSG00000107404";"DVL1";"dishevelled segment polarity protein 1";4120;0,440687268972397;"No"
"row_33";"ENSG00000143858";"SYT2";"synaptotagmin 2";4327;0,38151428103447;"No"
"row_34";"ENSG00000134294";"SLC38A2";"solute carrier family 38 member 2";4771;0,265282303094864;"No"
"row_35";"ENSG00000104142";"VPS18";"VPS18 core subunit of CORVET and HOPS complexes";4849;0,249733090400696;"No"
"row_36";"ENSG00000132718";"SYT11";"synaptotagmin 11";4901;0,246772617101669;"No"
"row_37";"ENSG00000126583";"PRKCG";"protein kinase C gamma";5297;0,169596016407013;"No"
"row_38";"ENSG00000127838";"PNKD";"PNKD metallo-beta-lactamase domain containing";5387;0,156199410557747;"No"
"row_39";"ENSG00000164506";"STXBP5";"syntaxin binding protein 5";5601;0,128063395619392;"No"
"row_40";"ENSG00000213578";"CPLX3";"complexin 3";5725;0,12343718111515;"No"
"row_41";"ENSG00000080644";"CHRNA3";"cholinergic receptor nicotinic alpha 3 subunit";6015;0,100084744393826;"No"
"row_42";"ENSG00000144566";"RAB5A";"RAB5A, member RAS oncogene family";6320;0,0725748017430305;"No"
"row_43";"ENSG00000075073";"TACR2";"tachykinin receptor 2";6549;0,0592029243707657;"No"
"row_44";"ENSG00000143553";"SNAPIN";"SNAP associated protein";6818;0,0425222776830196;"No"
"row_45";"ENSG00000064692";"SNCAIP";"synuclein alpha interacting protein";6889;0,0388740934431553;"No"
"row_46";"ENSG00000115486";"GGCX";"gamma-glutamyl carboxylase";6924;0,0371861308813095;"No"
"row_47";"ENSG00000170385";"SLC30A1";"solute carrier family 30 member 1";6980;0,0350202172994614;"No"
"row_48";"ENSG00000127314";"RAP1B";"RAP1B, member of RAS oncogene family";7827;0,00892304535955191;"No"
"row_49";"ENSG00000140563";"MCTP2";"multiple C2 and transmembrane domain containing 2";8012;0,00554267968982458;"No"
"row_50";"ENSG00000108405";"P2RX1";"purinergic receptor P2X 1";9161;0;"No"
"row_51";"ENSG00000115155";"OTOF";"otoferlin";9293;0;"No"
"row_52";"ENSG00000117009";"KMO";"kynurenine 3-monooxygenase";9331;0;"No"
"row_53";"ENSG00000122012";"SV2C";"synaptic vesicle glycoprotein 2C";9428;0;"No"
"row_54";"ENSG00000122585";"NPY";"neuropeptide Y";9444;0;"No"
"row_55";"ENSG00000128271";"ADORA2A";"adenosine A2a receptor";9600;0;"No"
"row_56";"ENSG00000132872";"SYT4";"synaptotagmin 4";9703;0;"No"
"row_57";"ENSG00000148408";"CACNA1B";"calcium voltage-gated channel subunit alpha1 B";10080;0;"No"
"row_58";"ENSG00000149043";"SYT8";"synaptotagmin 8";10091;0;"No"
"row_59";"ENSG00000161610";"HCRT";"hypocretin neuropeptide precursor";10331;0;"No"
"row_60";"ENSG00000164850";"GPER1";"G protein-coupled estrogen receptor 1";10506;0;"No"
"row_61";"ENSG00000166501";"PRKCB";"protein kinase C beta";10584;0;"No"
"row_62";"ENSG00000166569";"CPLX4";"complexin 4";10588;0;"No"
"row_63";"ENSG00000173267";"SNCG";"synuclein gamma";10978;0;"No"
"row_64";"ENSG00000185518";"SV2B";"synaptic vesicle glycoprotein 2B";11760;0;"No"
"row_65";"ENSG00000187714";"SLC18A3";"solute carrier family 18 member A3";11948;0;"No"
"row_66";"ENSG00000242252";"BGLAP";"bone gamma-carboxyglutamate protein";20339;0;"No"
"row_67";"ENSG00000174437";"ATP2A2";"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2";28266;-0,00214102421887219;"No"
"row_68";"ENSG00000135636";"DYSF";"dysferlin";29376;-0,0272969529032707;"No"
"row_69";"ENSG00000147044";"CASK";"calcium/calmodulin dependent serine protein kinase";29513;-0,0318174213171005;"No"
"row_70";"ENSG00000138078";"PREPL";"prolyl endopeptidase like";29523;-0,0321805961430073;"No"
"row_71";"ENSG00000047579";"DTNBP1";"dystrobrevin binding protein 1";29634;-0,0373025201261044;"No"
"row_72";"ENSG00000174013";"FBXO45";"F-box protein 45";29782;-0,04422477632761;"No"
"row_73";"ENSG00000138119";"MYOF";"myoferlin";30395;-0,0766987428069115;"No"
"row_74";"ENSG00000115839";"RAB3GAP1";"RAB3 GTPase activating protein catalytic subunit 1";30981;-0,125062182545662;"No"
"row_75";"ENSG00000108306";"FBXL20";"F-box and leucine rich repeat protein 20";31175;-0,144291803240776;"No"
"row_76";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";31536;-0,188764438033104;"No"
"row_77";"ENSG00000160014";"CALM3";"calmodulin 3";32455;-0,36543944478035;"No"
"row_78";"ENSG00000138814";"PPP3CA";"protein phosphatase 3 catalytic subunit alpha";32628;-0,421665906906128;"No"
"row_79";"ENSG00000070087";"PFN2";"profilin 2";32690;-0,435420483350754;"No"
"row_80";"ENSG00000108262";"GIT1";"GIT ArfGAP 1";32703;-0,442019075155258;"No"
"row_81";"ENSG00000102081";"FMR1";"fragile X messenger ribonucleoprotein 1";32704;-0,442336082458496;"No"
"row_82";"ENSG00000116473";"RAP1A";"RAP1A, member of RAS oncogene family";32886;-0,50432813167572;"No"
"row_83";"ENSG00000196712";"NF1";"neurofibromin 1";33208;-0,647535860538483;"No"
"row_84";"ENSG00000070808";"CAMK2A";"calcium/calmodulin dependent protein kinase II alpha";34430;-1,98595774173737;"No"
"row_85";"ENSG00000176406";"RIMS2";"regulating synaptic membrane exocytosis 2";34766;-2,43392896652222;"No"
"row_86";"ENSG00000117016";"RIMS3";"regulating synaptic membrane exocytosis 3";34805;-2,62551689147949;"No"
"row_87";"ENSG00000117971";"CHRNB4";"cholinergic receptor nicotinic beta 4 subunit";34815;-2,65772271156311;"No"
"row_88";"ENSG00000249715";"FER1L5";"fer-1 like family member 5";35083;-3,22054743766785;"No"
