"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000114251";"WNT5A";"Wnt family member 5A";30;81,3102188110352;"Yes"
"row_1";"ENSG00000189056";"RELN";"reelin";99;52,8783721923828;"Yes"
"row_2";"ENSG00000058404";"CAMK2B";"calcium/calmodulin dependent protein kinase II beta";115;48,7956199645996;"Yes"
"row_3";"ENSG00000135333";"EPHA7";"EPH receptor A7";222;37,5631484985352;"Yes"
"row_4";"ENSG00000170396";"ZNF804A";"zinc finger protein 804A";253;34,7766036987305;"Yes"
"row_5";"ENSG00000077264";"PAK3";"p21 (RAC1) activated kinase 3";299;31,9041652679443;"Yes"
"row_6";"ENSG00000135905";"DOCK10";"dedicator of cytokinesis 10";327;29,5690498352051;"Yes"
"row_7";"ENSG00000177707";"NECTIN3";"nectin cell adhesion molecule 3";382;26,8791408538818;"Yes"
"row_8";"ENSG00000128512";"DOCK4";"dedicator of cytokinesis 4";453;23,021017074585;"Yes"
"row_9";"ENSG00000170558";"CDH2";"cadherin 2";557;18,6760425567627;"Yes"
"row_10";"ENSG00000153707";"PTPRD";"protein tyrosine phosphatase receptor type D";573;18,3320178985596;"Yes"
"row_11";"ENSG00000198576";"ARC";"activity regulated cytoskeleton associated protein";606;17,0692806243896;"Yes"
"row_12";"ENSG00000188906";"LRRK2";"leucine rich repeat kinase 2";614;16,8847827911377;"Yes"
"row_13";"ENSG00000169760";"NLGN1";"neuroligin 1";770;12,9226970672607;"Yes"
"row_14";"ENSG00000055163";"CYFIP2";"cytoplasmic FMR1 interacting protein 2";783;12,6798324584961;"Yes"
"row_15";"ENSG00000117600";"PLPPR4";"phospholipid phosphatase related 4";903;10,1066331863403;"Yes"
"row_16";"ENSG00000131711";"MAP1B";"microtubule associated protein 1B";952;9,49037551879883;"Yes"
"row_17";"ENSG00000102924";"CBLN1";"cerebellin 1 precursor";961;9,42040634155273;"Yes"
"row_18";"ENSG00000107954";"NEURL1";"neuralized E3 ubiquitin protein ligase 1";1688;3,96929669380188;"Yes"
"row_19";"ENSG00000108684";"ASIC2";"acid sensing ion channel subunit 2";1743;3,64160871505737;"Yes"
"row_20";"ENSG00000139220";"PPFIA2";"PTPRF interacting protein alpha 2";1781;3,41644811630249;"Yes"
"row_21";"ENSG00000113758";"DBN1";"drebrin 1";1837;3,16041398048401;"Yes"
"row_22";"ENSG00000111249";"CUX2";"cut like homeobox 2";1867;3,04531645774841;"Yes"
"row_23";"ENSG00000134569";"LRP4";"LDL receptor related protein 4";2083;2,39295935630798;"Yes"
"row_24";"ENSG00000118257";"NRP2";"neuropilin 2";2153;2,16321158409119;"Yes"
"row_25";"ENSG00000198844";"ARHGEF15";"Rho guanine nucleotide exchange factor 15";2464;1,96281337738037;"No"
"row_26";"ENSG00000124140";"SLC12A5";"solute carrier family 12 member 5";3004;1,25388944149017;"No"
"row_27";"ENSG00000138443";"ABI2";"abl interactor 2";3181;1,02514016628265;"No"
"row_28";"ENSG00000110881";"ASIC1";"acid sensing ion channel subunit 1";3183;1,02333319187164;"No"
"row_29";"ENSG00000169750";"RAC3";"Rac family small GTPase 3";3202;1,01091635227203;"No"
"row_30";"ENSG00000128011";"LRFN1";"leucine rich repeat and fibronectin type III domain containing 1";3220;0,988155841827393;"No"
"row_31";"ENSG00000164885";"CDK5";"cyclin dependent kinase 5";3271;0,925572216510773;"No"
"row_32";"ENSG00000154764";"WNT7A";"Wnt family member 7A";3311;0,891602516174316;"No"
"row_33";"ENSG00000116141";"MARK1";"microtubule affinity regulating kinase 1";3330;0,871255815029144;"No"
"row_34";"ENSG00000167971";"CASKIN1";"CASK interacting protein 1";3575;0,702747583389282;"No"
"row_35";"ENSG00000169306";"IL1RAPL1";"interleukin 1 receptor accessory protein like 1";3672;0,660178065299988;"No"
"row_36";"ENSG00000105426";"PTPRS";"protein tyrosine phosphatase receptor type S";3764;0,60366302728653;"No"
"row_37";"ENSG00000130725";"UBE2M";"ubiquitin conjugating enzyme E2 M";4003;0,487260699272156;"No"
"row_38";"ENSG00000107404";"DVL1";"dishevelled segment polarity protein 1";4120;0,440687268972397;"No"
"row_39";"ENSG00000091129";"NRCAM";"neuronal cell adhesion molecule";4448;0,3425312936306;"No"
"row_40";"ENSG00000139174";"PRICKLE1";"prickle planar cell polarity protein 1";4476;0,339480757713318;"No"
"row_41";"ENSG00000077782";"FGFR1";"fibroblast growth factor receptor 1";4493;0,334393680095673;"No"
"row_42";"ENSG00000286237";"ARMCX5-GPRASP2";"ARMCX5-GPRASP2 readthrough";4546;0,316239923238754;"No"
"row_43";"ENSG00000151148";"UBE3B";"ubiquitin protein ligase E3B";4669;0,285788893699646;"No"
