"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000223496";"EXOSC6";"exosome component 6";6378;0,159773588180542;"No"
"row_1";"ENSG00000154328";"NEIL2";"nei like DNA glycosylase 2";6746;0,128527864813805;"No"
"row_2";"ENSG00000114026";"OGG1";"8-oxoguanine DNA glycosylase";8361;0,0192646309733391;"No"
"row_3";"ENSG00000140398";"NEIL1";"nei like DNA glycosylase 1";8378;0,0186059270054102;"No"
"row_4";"ENSG00000129484";"PARP2";"poly(ADP-ribose) polymerase 2";8389;0,0181591603904963;"No"
"row_5";"ENSG00000178896";"EXOSC4";"exosome component 4";8947;0,00592872686684132;"No"
"row_6";"ENSG00000123415";"SMUG1";"single-strand-selective monofunctional uracil-DNA glycosylase 1";9391;0,000967342231888324;"No"
"row_7";"ENSG00000100298";"APOBEC3H";"apolipoprotein B mRNA editing enzyme catalytic subunit 3H";9913;0;"No"
"row_8";"ENSG00000107447";"DNTT";"DNA nucleotidylexotransferase";10061;0;"No"
"row_9";"ENSG00000111732";"AICDA";"activation induced cytidine deaminase";10127;0;"No"
"row_10";"ENSG00000128383";"APOBEC3A";"apolipoprotein B mRNA editing enzyme catalytic subunit 3A";10430;0;"No"
"row_11";"ENSG00000213689";"TREX1";"three prime repair exonuclease 1";15504;0;"No"
"row_12";"ENSG00000243811";"APOBEC3D";"apolipoprotein B mRNA editing enzyme catalytic subunit 3D";20917;0;"No"
"row_13";"ENSG00000143799";"PARP1";"poly(ADP-ribose) polymerase 1";28679;-0,00724621908739209;"No"
"row_14";"ENSG00000102543";"CDADC1";"cytidine and dCMP deaminase domain containing 1";28880;-0,0104594388976693;"No"
"row_15";"ENSG00000132781";"MUTYH";"mutY DNA glycosylase";28971;-0,011958871036768;"No"
"row_16";"ENSG00000244509";"APOBEC3C";"apolipoprotein B mRNA editing enzyme catalytic subunit 3C";28993;-0,0124210976064205;"No"
"row_17";"ENSG00000107371";"EXOSC3";"exosome component 3";29207;-0,0175288543105125;"No"
"row_18";"ENSG00000041880";"PARP3";"poly(ADP-ribose) polymerase family member 3";29272;-0,0191225558519363;"No"
"row_19";"ENSG00000103152";"MPG";"N-methylpurine DNA glycosylase";29275;-0,019273541867733;"No"
"row_20";"ENSG00000077348";"EXOSC5";"exosome component 5";29844;-0,0391963124275208;"No"
"row_21";"ENSG00000065057";"NTHL1";"nth like DNA glycosylase 1";29971;-0,0441321507096291;"No"
"row_22";"ENSG00000109674";"NEIL3";"nei like DNA glycosylase 3";30553;-0,0721621438860893;"No"
"row_23";"ENSG00000139372";"TDG";"thymine DNA glycosylase";31082;-0,113179430365562;"No"
"row_24";"ENSG00000076248";"UNG";"uracil DNA glycosylase";31084;-0,113291189074516;"No"
"row_25";"ENSG00000129071";"MBD4";"methyl-CpG binding domain 4, DNA glycosylase";31306;-0,13311730325222;"No"
"row_26";"ENSG00000128394";"APOBEC3F";"apolipoprotein B mRNA editing enzyme catalytic subunit 3F";32982;-0,439570248126984;"Yes"
"row_27";"ENSG00000179750";"APOBEC3B";"apolipoprotein B mRNA editing enzyme catalytic subunit 3B";34989;-2,69437837600708;"Yes"
"row_28";"ENSG00000239713";"APOBEC3G";"apolipoprotein B mRNA editing enzyme catalytic subunit 3G";36250;-35,0611610412598;"Yes"
