"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100985";"MMP9";"matrix metallopeptidase 9";877;20,1744956970215;"No"
"row_1";"ENSG00000123610";"TNFAIP6";"TNF alpha induced protein 6";1234;13,8910245895386;"No"
"row_2";"ENSG00000012779";"ALOX5";"arachidonate 5-lipoxygenase";1541;10,0503273010254;"No"
"row_3";"ENSG00000121410";"A1BG";"alpha-1-B glycoprotein";2687;3,64302253723145;"No"
"row_4";"ENSG00000160883";"HK3";"hexokinase 3";3371;2,00918221473694;"No"
"row_5";"ENSG00000130755";"GMFG";"glia maturation factor gamma";4379;1,1534743309021;"No"
"row_6";"ENSG00000164733";"CTSB";"cathepsin B";4384;1,14502322673798;"No"
"row_7";"ENSG00000197249";"SERPINA1";"serpin family A member 1";4762;0,748825311660767;"No"
"row_8";"ENSG00000084072";"PPIE";"peptidylprolyl isomerase E";5363;0,413286566734314;"No"
"row_9";"ENSG00000113273";"ARSB";"arylsulfatase B";5403;0,390164166688919;"No"
"row_10";"ENSG00000103196";"CRISPLD2";"cysteine rich secretory protein LCCL domain containing 2";5595;0,323017627000809;"No"
"row_11";"ENSG00000161057";"PSMC2";"proteasome 26S subunit, ATPase 2";5899;0,249394819140434;"No"
"row_12";"ENSG00000156261";"CCT8";"chaperonin containing TCP1 subunit 8";5980;0,226605162024498;"No"
"row_13";"ENSG00000169299";"PGM2";"phosphoglucomutase 2";6723;0,132954701781273;"No"
"row_14";"ENSG00000106588";"PSMA2";"proteasome 20S subunit alpha 2";6880;0,113967560231686;"No"
"row_15";"ENSG00000241839";"PLEKHO2";"pleckstrin homology domain containing O2";6998;0,10202069580555;"No"
"row_16";"ENSG00000165916";"PSMC3";"proteasome 26S subunit, ATPase 3";7001;0,101868450641632;"No"
"row_17";"ENSG00000163636";"PSMD6";"proteasome 26S subunit, non-ATPase 6";7499;0,0571629144251347;"No"
"row_18";"ENSG00000110442";"COMMD9";"COMM domain containing 9";7682;0,0448660291731358;"No"
"row_19";"ENSG00000196262";"PPIA";"peptidylprolyl isomerase A";7779;0,0395596027374268;"No"
"row_20";"ENSG00000178035";"IMPDH2";"inosine monophosphate dehydrogenase 2";7851;0,0366382785141468;"No"
