"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000011600";"TYROBP";"transmembrane immune signaling adaptor TYROBP";3200;2,00918221473694;"No"
"row_1";"ENSG00000204713";"TRIM27";"tripartite motif containing 27";3981;1,89168119430542;"No"
"row_2";"ENSG00000198053";"SIRPA";"signal regulatory protein alpha";4467;1,01137042045593;"No"
"row_3";"ENSG00000135077";"HAVCR2";"hepatitis A virus cellular receptor 2";4517;0,973470389842987;"No"
"row_4";"ENSG00000112531";"QKI";"QKI, KH domain containing RNA binding";4727;0,79789936542511;"No"
"row_5";"ENSG00000105426";"PTPRS";"protein tyrosine phosphatase receptor type S";5120;0,516896665096283;"No"
"row_6";"ENSG00000011275";"RNF216";"ring finger protein 216";5385;0,402611941099167;"No"
"row_7";"ENSG00000183763";"TRAIP";"TRAF interacting protein";6870;0,115079328417778;"No"
"row_8";"ENSG00000136271";"DDX56";"DEAD-box helicase 56";6952;0,106242336332798;"No"
"row_9";"ENSG00000070010";"UFD1";"ubiquitin recognition factor in ER associated degradation 1";7344;0,0687331110239029;"No"
"row_10";"ENSG00000145782";"ATG12";"autophagy related 12";7451;0,0600021183490753;"No"
"row_11";"ENSG00000179295";"PTPN11";"protein tyrosine phosphatase non-receptor type 11";8541;0,0143186701461673;"No"
"row_12";"ENSG00000036257";"CUL3";"cullin 3";9076;0,00410300400108099;"No"
"row_13";"ENSG00000182446";"NPLOC4";"NPL4 homolog, ubiquitin recognition factor";9242;0,00211772811599076;"No"
"row_14";"ENSG00000088827";"SIGLEC1";"sialic acid binding Ig like lectin 1";9860;0;"No"
"row_15";"ENSG00000102794";"ACOD1";"aconitate decarboxylase 1";9977;0;"No"
"row_16";"ENSG00000104972";"LILRB1";"leukocyte immunoglobulin like receptor B1";10005;0;"No"
"row_17";"ENSG00000136634";"IL10";"interleukin 10";10604;0;"No"
"row_18";"ENSG00000199121";"MIR26B";"microRNA 26b";12852;0;"No"
"row_19";"ENSG00000213512";"GBP7";"guanylate binding protein 7";15473;0;"No"
"row_20";"ENSG00000237693";"IRGM";"immunity related GTPase M";19621;0;"No"
"row_21";"ENSG00000239961";"LILRA4";"leukocyte immunoglobulin like receptor A4";20077;0;"No"
"row_22";"ENSG00000284190";"MIR21";"microRNA 21";26628;0;"No"
"row_23";"ENSG00000138032";"PPM1B";"protein phosphatase, Mg2+/Mn2+ dependent 1B";27859;-6,66762616674532e-06;"No"
"row_24";"ENSG00000198746";"GPATCH3";"G-patch domain containing 3";28195;-0,00144929811358452;"No"
"row_25";"ENSG00000204104";"TRAF3IP1";"TRAF3 interacting protein 1";28201;-0,00150782580021769;"No"
"row_26";"ENSG00000100811";"YY1";"YY1 transcription factor";28664;-0,00694319093599916;"No"
"row_27";"ENSG00000103510";"KAT8";"lysine acetyltransferase 8";29040;-0,0135103855282068;"No"
"row_28";"ENSG00000083799";"CYLD";"CYLD lysine 63 deubiquitinase";29178;-0,0168871153146029;"No"
"row_29";"ENSG00000198925";"ATG9A";"autophagy related 9A";29438;-0,0242265164852142;"No"
"row_30";"ENSG00000175334";"BANF1";"barrier to autointegration nuclear assembly factor 1";29738;-0,0346209667623043;"No"
"row_31";"ENSG00000105298";"CACTIN";"cactin, spliceosome C complex subunit";30101;-0,050063818693161;"No"
"row_32";"ENSG00000068308";"OTUD5";"OTU deubiquitinase 5";30173;-0,0531335361301899;"No"
"row_33";"ENSG00000057663";"ATG5";"autophagy related 5";30174;-0,0531421415507793;"No"
"row_34";"ENSG00000162924";"REL";"REL proto-oncogene, NF-kB subunit";30413;-0,0656067281961441;"No"
"row_35";"ENSG00000160703";"NLRX1";"NLR family member X1";30733;-0,0859085023403168;"No"
"row_36";"ENSG00000099910";"KLHL22";"kelch like family member 22";31006;-0,106255307793617;"No"
"row_37";"ENSG00000101695";"RNF125";"ring finger protein 125";31050;-0,11047850549221;"No"
"row_38";"ENSG00000078747";"ITCH";"itchy E3 ubiquitin protein ligase";31100;-0,114073015749454;"No"
"row_39";"ENSG00000100387";"RBX1";"ring-box 1";31234;-0,126382187008858;"No"
"row_40";"ENSG00000196821";"ILRUN";"inflammation and lipid regulator with UBA-like and NBR1-like domains";32326;-0,2710020840168;"No"
"row_41";"ENSG00000123609";"NMI";"N-myc and STAT interactor";32600;-0,331910043954849;"No"
"row_42";"ENSG00000104856";"RELB";"RELB proto-oncogene, NF-kB subunit";33214;-0,526482880115509;"No"
"row_43";"ENSG00000159256";"MORC3";"MORC family CW-type zinc finger 3";34529;-1,68813526630402;"Yes"
"row_44";"ENSG00000167984";"NLRC3";"NLR family CARD domain containing 3";35866;-11,1943073272705;"Yes"
"row_45";"ENSG00000103490";"PYCARD";"PYD and CARD domain containing";36182;-28,4511203765869;"Yes"
"row_46";"ENSG00000108771";"DHX58";"DExH-box helicase 58";36259;-36,5788307189941;"Yes"
"row_47";"ENSG00000132530";"XAF1";"XIAP associated factor 1";36346;-52,918514251709;"Yes"
