"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000112175";"BMP5";"bone morphogenetic protein 5";137;54,1562385559082;"Yes"
"row_1";"ENSG00000164796";"CSMD3";"CUB and Sushi multiple domains 3";138;54,1501350402832;"Yes"
"row_2";"ENSG00000077264";"PAK3";"p21 (RAC1) activated kinase 3";233;44,5942916870117;"Yes"
"row_3";"ENSG00000169439";"SDC2";"syndecan 2";250;43,6116676330566;"Yes"
"row_4";"ENSG00000157851";"DPYSL5";"dihydropyrimidinase like 5";252;43,4773712158203;"Yes"
"row_5";"ENSG00000188906";"LRRK2";"leucine rich repeat kinase 2";277;41,8850898742676;"Yes"
"row_6";"ENSG00000135905";"DOCK10";"dedicator of cytokinesis 10";309;39,4330444335938;"Yes"
"row_7";"ENSG00000198576";"ARC";"activity regulated cytoskeleton associated protein";375;36,4372024536133;"Yes"
"row_8";"ENSG00000165323";"FAT3";"FAT atypical cadherin 3";410;34,7736625671387;"Yes"
"row_9";"ENSG00000111249";"CUX2";"cut like homeobox 2";476;31,6800117492676;"Yes"
"row_10";"ENSG00000119866";"BCL11A";"BCL11 transcription factor A";545;28,9719047546387;"Yes"
"row_11";"ENSG00000154928";"EPHB1";"EPH receptor B1";564;28,6972980499268;"Yes"
"row_12";"ENSG00000147852";"VLDLR";"very low density lipoprotein receptor";623;26,8840560913086;"Yes"
"row_13";"ENSG00000130294";"KIF1A";"kinesin family member 1A";700;24,2192268371582;"Yes"
"row_14";"ENSG00000102383";"ZDHHC15";"zinc finger DHHC-type palmitoyltransferase 15";785;22,1974563598633;"Yes"
"row_15";"ENSG00000115297";"TLX2";"T cell leukemia homeobox 2";827;21,1072635650635;"Yes"
"row_16";"ENSG00000169862";"CTNND2";"catenin delta 2";838;20,9196434020996;"Yes"
"row_17";"ENSG00000108798";"ABI3";"ABI family member 3";869;20,3942317962646;"Yes"
"row_18";"ENSG00000169760";"NLGN1";"neuroligin 1";917;19,6559715270996;"Yes"
"row_19";"ENSG00000131711";"MAP1B";"microtubule associated protein 1B";924;19,3027229309082;"Yes"
"row_20";"ENSG00000046889";"PREX2";"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2";930;19,1669597625732;"Yes"
"row_21";"ENSG00000137672";"TRPC6";"transient receptor potential cation channel subfamily C member 6";988;18,1047916412354;"Yes"
"row_22";"ENSG00000166963";"MAP1A";"microtubule associated protein 1A";1062;16,8240089416504;"Yes"
"row_23";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";1099;16,2859935760498;"Yes"
"row_24";"ENSG00000002746";"HECW1";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1";1205;14,5658407211304;"Yes"
"row_25";"ENSG00000132535";"DLG4";"discs large MAGUK scaffold protein 4";1217;14,3888311386108;"Yes"
"row_26";"ENSG00000058404";"CAMK2B";"calcium/calmodulin dependent protein kinase II beta";1229;13,8910245895386;"Yes"
"row_27";"ENSG00000165300";"SLITRK5";"SLIT and NTRK like family member 5";1339;12,3910598754883;"Yes"
"row_28";"ENSG00000152767";"FARP1";"FERM, ARH/RhoGEF and pleckstrin domain protein 1";1378;11,8726902008057;"Yes"
"row_29";"ENSG00000112137";"PHACTR1";"phosphatase and actin regulator 1";1385;11,7922277450562;"Yes"
"row_30";"ENSG00000183049";"CAMK1D";"calcium/calmodulin dependent protein kinase ID";1409;11,6507272720337;"Yes"
"row_31";"ENSG00000161681";"SHANK1";"SH3 and multiple ankyrin repeat domains 1";1443;10,8456916809082;"Yes"
"row_32";"ENSG00000175344";"CHRNA7";"cholinergic receptor nicotinic alpha 7 subunit";1476;10,7259187698364;"Yes"
"row_33";"ENSG00000105894";"PTN";"pleiotrophin";1613;9,13175678253174;"Yes"
"row_34";"ENSG00000135298";"ADGRB3";"adhesion G protein-coupled receptor B3";1632;8,87092781066895;"Yes"
"row_35";"ENSG00000101977";"MCF2";"MCF.2 cell line derived transforming sequence";1640;8,84943866729736;"Yes"
"row_36";"ENSG00000159217";"IGF2BP1";"insulin like growth factor 2 mRNA binding protein 1";1723;8,71686458587646;"Yes"
"row_37";"ENSG00000100968";"NFATC4";"nuclear factor of activated T cells 4";1727;8,68777465820312;"Yes"
"row_38";"ENSG00000139220";"PPFIA2";"PTPRF interacting protein alpha 2";1729;8,68777465820312;"Yes"
"row_39";"ENSG00000061337";"LZTS1";"leucine zipper tumor suppressor 1";1793;8,07991600036621;"Yes"
"row_40";"ENSG00000169306";"IL1RAPL1";"interleukin 1 receptor accessory protein like 1";1833;7,63288450241089;"Yes"
"row_41";"ENSG00000215474";"SKOR2";"SKI family transcriptional corepressor 2";1978;6,69312286376953;"Yes"
"row_42";"ENSG00000066032";"CTNNA2";"catenin alpha 2";2047;6,54489994049072;"Yes"
"row_43";"ENSG00000134569";"LRP4";"LDL receptor related protein 4";2095;6,21418523788452;"Yes"
"row_44";"ENSG00000138411";"HECW2";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2";2126;5,91451120376587;"Yes"
"row_45";"ENSG00000124507";"PACSIN1";"protein kinase C and casein kinase substrate in neurons 1";2135;5,80681276321411;"Yes"
"row_46";"ENSG00000189056";"RELN";"reelin";2180;5,71692562103271;"Yes"
"row_47";"ENSG00000124140";"SLC12A5";"solute carrier family 12 member 5";2233;5,26047372817993;"Yes"
"row_48";"ENSG00000074660";"SCARF1";"scavenger receptor class F member 1";2278;4,8639235496521;"Yes"
"row_49";"ENSG00000162374";"ELAVL4";"ELAV like RNA binding protein 4";2331;4,8639235496521;"Yes"
"row_50";"ENSG00000204060";"FOXO6";"forkhead box O6";2563;4,40194416046143;"Yes"
