"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0007409";"axonogenesis";"59/652";"458/18496";4,81968799896493e-18;2,09560034194995e-14;"3730/1272/9369/26999/9423/5588/2736/5063/57556/655/4858/6324/2051/2737/219699/1949/7474/2335/6696/53335/64919/10439/4131/6616/51761/9201/23111/347733/658/1009/91653/9353/2044/57689/4684/5800/1909/153478/223117/89780/2047/56896/26053/4882/22854/23114/322/4130/6091/1002/139065/575/8633/4692/6586/23768/84628/728378/4747";"ANOS1/CNTN1/NRXN3/CYFIP2/NTN1/PRKCQ/GLI2/PAK3/SEMA6A/BMP7/NOVA2/SCN1B/EPHB6/GLI3/UNC5B/EFNB3/WNT5A/FN1/SPP1/BCL11A/BCL11B/OLFM1/MAP1B/SNAP25/ATP8A2/DCLK1/SPART/TUBB2B/BMPR1B/CDH11/BOC/SLIT2/EPHA5/LRRC4C/NCAM1/PTPRO/EDNRA/PLEKHG4B/SEMA3D/WNT3A/EPHB1/DPYSL5/AUTS2/NPR2/NTNG1/NFASC/APBB1/MAP1A/ROBO1/CDH4/SLITRK4/ADGRB1/UNC5C/NDN/SLIT3/FLRT2/NTNG2/POTEF/NEFL";59
"BP";"GO:0010975";"regulation of neuron projection development";"56/652";"448/18496";1,39136688919541e-16;3,02483161711081e-13;"6376/1272/7431/9423/26153/1400/5063/655/158866/6422/4858/6324/51225/1949/653/1809/7474/2335/5396/5997/6696/53335/547/23345/4131/6616/51761/23111/347733/5793/9353/7436/57689/5800/2895/1601/89780/56896/22854/114788/120114/322/6383/22871/6091/257194/10690/1002/2242/5587/9863/120892/84628/23237/55714/4747";"CX3CL1/CNTN1/VIM/NTN1/KIF26A/CRMP1/PAK3/BMP7/ZDHHC15/SFRP1/NOVA2/SCN1B/ABI3/EFNB3/BMP5/DPYSL3/WNT5A/FN1/PRRX1/RGS2/SPP1/BCL11A/KIF1A/SYNE1/MAP1B/SNAP25/ATP8A2/SPART/TUBB2B/PTPRG/SLIT2/VLDLR/LRRC4C/PTPRO/GRID2/DAB2/WNT3A/DPYSL5/NTNG1/CSMD3/FAT3/APBB1/SDC2/NLGN1/ROBO1/NEGR1/FUT9/CDH4/FES/PRKD1/MAGI2/LRRK2/NTNG2/ARC/TENM3/NEFL";56
"BP";"GO:0007416";"synapse assembly";"42/652";"273/18496";6,86321662652962e-16;9,94708863071694e-13;"2556/26999/9423/54549/2239/43/79953/51225/1949/9379/8825/7474/27253/114784/94030/4131/6616/9201/55619/6622/57502/7436/23284/2555/2895/89780/2047/2562/22871/1000/257194/266743/25945/139065/575/2567/1812/23768/10718/2558/27445/84628";"GABRA3/CYFIP2/NTN1/SDK2/GPC4/ACHE/SYNDIG1/ABI3/EFNB3/NRXN2/LIN7A/WNT5A/PCDH17/CSMD2/LRRC4B/MAP1B/SNAP25/DCLK1/DOCK10/SNCA/NLGN4X/VLDLR/ADGRL3/GABRA2/GRID2/WNT3A/EPHB1/GABRB3/NLGN1/CDH2/NEGR1/NPAS4/NECTIN3/SLITRK4/ADGRB1/GABRG3/DRD1/FLRT2/NRG3/GABRA5/PCLO/NTNG2";42
"BP";"GO:0007411";"axon guidance";"36/652";"238/18496";1,43656457678218e-13;1,42280316494043e-10;"3730/1272/9369/26999/9423/5588/2736/57556/655/4858/6324/2051/2737/219699/1949/7474/64919/347733/658/91653/9353/2044/4684/5800/1909/153478/223117/89780/2047/56896/23114/6091/1002/8633/6586/23768";"ANOS1/CNTN1/NRXN3/CYFIP2/NTN1/PRKCQ/GLI2/SEMA6A/BMP7/NOVA2/SCN1B/EPHB6/GLI3/UNC5B/EFNB3/WNT5A/BCL11B/TUBB2B/BMPR1B/BOC/SLIT2/EPHA5/NCAM1/PTPRO/EDNRA/PLEKHG4B/SEMA3D/WNT3A/EPHB1/DPYSL5/NFASC/ROBO1/CDH4/UNC5C/SLIT3/FLRT2";36
"BP";"GO:0097485";"neuron projection guidance";"36/652";"239/18496";1,63615819335376e-13;1,42280316494043e-10;"3730/1272/9369/26999/9423/5588/2736/57556/655/4858/6324/2051/2737/219699/1949/7474/64919/347733/658/91653/9353/2044/4684/5800/1909/153478/223117/89780/2047/56896/23114/6091/1002/8633/6586/23768";"ANOS1/CNTN1/NRXN3/CYFIP2/NTN1/PRKCQ/GLI2/SEMA6A/BMP7/NOVA2/SCN1B/EPHB6/GLI3/UNC5B/EFNB3/WNT5A/BCL11B/TUBB2B/BMPR1B/BOC/SLIT2/EPHA5/NCAM1/PTPRO/EDNRA/PLEKHG4B/SEMA3D/WNT3A/EPHB1/DPYSL5/NFASC/ROBO1/CDH4/UNC5C/SLIT3/FLRT2";36
"BP";"GO:0050807";"regulation of synapse organization";"39/652";"315/18496";8,92774081315082e-12;6,46963617592996e-09;"26999/9423/2239/5063/79953/158866/51225/1949/9379/8825/6678/7474/547/94030/4131/6616/9201/55619/6622/57502/7436/5800/2895/56659/89780/2047/4920/22871/1000/257194/25945/139065/575/2894/23768/120892/84628/23237/4747";"CYFIP2/NTN1/GPC4/PAK3/SYNDIG1/ZDHHC15/ABI3/EFNB3/NRXN2/LIN7A/SPARC/WNT5A/KIF1A/LRRC4B/MAP1B/SNAP25/DCLK1/DOCK10/SNCA/NLGN4X/VLDLR/PTPRO/GRID2/KCNK13/WNT3A/EPHB1/ROR2/NLGN1/CDH2/NEGR1/NECTIN3/SLITRK4/ADGRB1/GRID1/FLRT2/LRRK2/NTNG2/ARC/NEFL";39
"BP";"GO:0050803";"regulation of synapse structure or activity";"39/652";"321/18496";1,60220059745432e-11;9,9519545681877e-09;"26999/9423/2239/5063/79953/158866/51225/1949/9379/8825/6678/7474/547/94030/4131/6616/9201/55619/6622/57502/7436/5800/2895/56659/89780/2047/4920/22871/1000/257194/25945/139065/575/2894/23768/120892/84628/23237/4747";"CYFIP2/NTN1/GPC4/PAK3/SYNDIG1/ZDHHC15/ABI3/EFNB3/NRXN2/LIN7A/SPARC/WNT5A/KIF1A/LRRC4B/MAP1B/SNAP25/DCLK1/DOCK10/SNCA/NLGN4X/VLDLR/PTPRO/GRID2/KCNK13/WNT3A/EPHB1/ROR2/NLGN1/CDH2/NEGR1/NECTIN3/SLITRK4/ADGRB1/GRID1/FLRT2/LRRK2/NTNG2/ARC/NEFL";39
"BP";"GO:0051963";"regulation of synapse assembly";"27/652";"169/18496";4,58143976899062e-11;2,4900125144464e-08;"26999/9423/2239/79953/51225/1949/9379/8825/7474/94030/4131/6616/9201/55619/6622/57502/7436/2895/89780/2047/22871/257194/25945/139065/575/23768/84628";"CYFIP2/NTN1/GPC4/SYNDIG1/ABI3/EFNB3/NRXN2/LIN7A/WNT5A/LRRC4B/MAP1B/SNAP25/DCLK1/DOCK10/SNCA/NLGN4X/VLDLR/GRID2/WNT3A/EPHB1/NLGN1/NEGR1/NECTIN3/SLITRK4/ADGRB1/FLRT2/NTNG2";27
"BP";"GO:0042391";"regulation of membrane potential";"47/652";"463/18496";7,65815778242235e-11;3,69974111533026e-08;"2556/2273/4842/140730/1137/478/6324/3736/9096/2257/6543/3746/23345/3748/1742/23111/10021/6622/287/57502/3742/2555/2895/56659/2697/55022/781/63895/776/3745/4882/81832/22871/3752/266743/205251/3737/30820/2567/785/2894/6331/3786/1812/2558/120892/8912";"GABRA3/FHL1/NOS1/RIMS4/CHRNA4/ATP1A3/SCN1B/KCNA1/TBX18/FGF12/SLC8A2/KCNC1/SYNE1/KCNC3/DLG4/SPART/HCN4/SNCA/ANK2/NLGN4X/KCNA6/GABRA2/GRID2/KCNK13/GJA1/PID1/CACNA2D1/PIEZO2/CACNA1D/KCNB1/NPR2/NETO1/NLGN1/KCND3/NPAS4/SMIM37/KCNA2/KCNIP1/GABRG3/CACNB4/GRID1/SCN5A/KCNQ3/DRD1/GABRA5/LRRK2/CACNA1H";47
"BP";"GO:0030198";"extracellular matrix organization";"37/652";"339/18496";1,14896491422565e-09;4,90342803078731e-07;"7092/1301/2191/50509/1307/4318/284217/165/1277/1303/4811/1289/5156/84171/4060/10516/170691/60681/81794/1295/4314/89780/9510/4325/9508/57188/10630/4982/170689/1281/8313/169044/30008/7490/23768/81031/1290";"TLL1/COL11A1/FAP/COL5A3/COL16A1/MMP9/LAMA1/AEBP1/COL1A1/COL12A1/NID1/COL5A1/PDGFRA/LOXL4/LUM/FBLN5/ADAMTS17/FKBP10/ADAMTS10/COL8A1/MMP3/WNT3A/ADAMTS1/MMP16/ADAMTS3/ADAMTSL3/PDPN/TNFRSF11B/ADAMTS15/COL3A1/AXIN2/COL22A1/EFEMP2/WT1/FLRT2/SLC2A10/COL5A2";37
