"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000148175";"STOM";"stomatin";332;163,889022827148;"No"
"row_1";"ENSG00000196136";"SERPINA3";"serpin family A member 3";602;91,9947967529297;"No"
"row_2";"ENSG00000126803";"HSPA2";"heat shock protein family A (Hsp70) member 2";1288;33,8135566711426;"No"
"row_3";"ENSG00000137747";"TMPRSS13";"transmembrane serine protease 13";1664;22,8829212188721;"No"
"row_4";"ENSG00000143450";"OAZ3";"ornithine decarboxylase antizyme 3";1901;18,1300640106201;"No"
"row_5";"ENSG00000136425";"CIB2";"calcium and integrin binding family member 2";2130;14,8221273422241;"No"
"row_6";"ENSG00000167772";"ANGPTL4";"angiopoietin like 4";2737;8,57257080078125;"No"
"row_7";"ENSG00000123992";"DNPEP";"aspartyl aminopeptidase";2808;8,13104915618896;"No"
"row_8";"ENSG00000142748";"FCN3";"ficolin 3";3094;6,55114698410034;"No"
"row_9";"ENSG00000005961";"ITGA2B";"integrin subunit alpha 2b";3507;4,71206903457642;"No"
"row_10";"ENSG00000068400";"GRIPAP1";"GRIP1 associated protein 1";3844;3,6001079082489;"No"
"row_11";"ENSG00000121410";"A1BG";"alpha-1-B glycoprotein";4226;2,6397111415863;"No"
"row_12";"ENSG00000087191";"PSMC5";"proteasome 26S subunit, ATPase 5";4314;2,49862265586853;"No"
"row_13";"ENSG00000164924";"YWHAZ";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta";4540;2,15388751029968;"No"
"row_14";"ENSG00000244731";"C4A";"complement C4A (Chido/Rodgers blood group)";4901;1,63845908641815;"No"
"row_15";"ENSG00000004939";"SLC4A1";"solute carrier family 4 member 1 (Diego blood group)";5040;1,49984037876129;"No"
"row_16";"ENSG00000148180";"GSN";"gelsolin";5489;1,07371246814728;"No"
"row_17";"ENSG00000164111";"ANXA5";"annexin A5";5499;1,05710899829865;"No"
"row_18";"ENSG00000224389";"C4B";"complement C4B (Chido/Rodgers blood group)";6487;0,513448476791382;"No"
"row_19";"ENSG00000055955";"ITIH4";"inter-alpha-trypsin inhibitor heavy chain 4";7362;0,254016816616058;"No"
"row_20";"ENSG00000132465";"JCHAIN";"joining chain of multimeric IgA and IgM";7657;0,166564792394638;"No"
"row_21";"ENSG00000114200";"BCHE";"butyrylcholinesterase";8042;0,108561798930168;"No"
"row_22";"ENSG00000124491";"F13A1";"coagulation factor XIII A chain";8046;0,108561798930168;"No"
"row_23";"ENSG00000108518";"PFN1";"profilin 1";8287;0,0958466604351997;"No"
"row_24";"ENSG00000147065";"MSN";"moesin";8760;0,0369116850197315;"No"
"row_25";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";9324;0,00502046663314104;"No"
"row_26";"ENSG00000106991";"ENG";"endoglin";9554;0,000802125839982182;"No"
"row_27";"ENSG00000091513";"TF";"transferrin";9856;-0,00126466318033636;"No"
"row_28";"ENSG00000176919";"C8G";"complement C8 gamma chain";10003;-0,00450844690203667;"No"
"row_29";"ENSG00000204389";"HSPA1A";"heat shock protein family A (Hsp70) member 1A";10508;-0,0310779809951782;"No"
"row_30";"ENSG00000196604";"POTEF";"POTE ankyrin domain family member F";10691;-0,0491647385060787;"No"
"row_31";"ENSG00000110169";"HPX";"hemopexin";10823;-0,0652244836091995;"No"
"row_32";"ENSG00000000971";"CFH";"complement factor H";10988;-0,0915469080209732;"No"
"row_33";"ENSG00000116785";"CFHR3";"complement factor H related 3";11021;-0,0952520817518234;"No"
"row_34";"ENSG00000120885";"CLU";"clusterin";11386;-0,173002496361732;"No"
"row_35";"ENSG00000270011";"ZNF559-ZNF177";"ZNF559-ZNF177 readthrough";11587;-0,193013772368431;"No"
"row_36";"ENSG00000173110";"HSPA6";"heat shock protein family A (Hsp70) member 6";11699;-0,222388789057732;"No"
"row_37";"ENSG00000075624";"ACTB";"actin beta";12025;-0,287516623735428;"No"
"row_38";"ENSG00000186280";"KDM4D";"lysine demethylase 4D";12161;-0,346376329660416;"No"
"row_39";"ENSG00000047457";"CP";"ceruloplasmin";12359;-0,437459349632263;"No"
"row_40";"ENSG00000055957";"ITIH1";"inter-alpha-trypsin inhibitor heavy chain 1";12429;-0,469591557979584;"No"
"row_41";"ENSG00000188219";"POTEE";"POTE ankyrin domain family member E";12444;-0,475335955619812;"No"
"row_42";"ENSG00000213719";"CLIC1";"chloride intracellular channel 1";12922;-0,560372352600098;"No"
"row_43";"ENSG00000204388";"HSPA1B";"heat shock protein family A (Hsp70) member 1B";13151;-0,682491779327393;"No"
"row_44";"ENSG00000157131";"C8A";"complement C8 alpha chain";13215;-0,687631547451019;"No"
"row_45";"ENSG00000244734";"HBB";"hemoglobin subunit beta";13342;-0,687631547451019;"No"
"row_46";"ENSG00000106927";"AMBP";"alpha-1-microglobulin/bikunin precursor";13687;-0,869693517684937;"No"
"row_47";"ENSG00000113600";"C9";"complement C9";13742;-0,921613216400146;"No"
"row_48";"ENSG00000188536";"HBA2";"hemoglobin subunit alpha 2";13891;-1,07238900661469;"No"
"row_49";"ENSG00000100342";"APOL1";"apolipoprotein L1";14291;-1,42665886878967;"No"
"row_50";"ENSG00000145321";"GC";"GC vitamin D binding protein";14577;-1,80398154258728;"No"
"row_51";"ENSG00000117601";"SERPINC1";"serpin family C member 1";14656;-1,81804943084717;"No"
"row_52";"ENSG00000204390";"HSPA1L";"heat shock protein family A (Hsp70) member 1 like";14743;-1,88003528118134;"No"
"row_53";"ENSG00000127054";"INTS11";"integrator complex subunit 11";15111;-2,54231858253479;"No"
"row_54";"ENSG00000144895";"EIF2A";"eukaryotic translation initiation factor 2A";15158;-2,62471485137939;"No"
"row_55";"ENSG00000143632";"ACTA1";"actin alpha 1, skeletal muscle";15322;-3,01271414756775;"No"
"row_56";"ENSG00000206172";"HBA1";"hemoglobin subunit alpha 1";15942;-4,71770286560059;"No"
"row_57";"ENSG00000178772";"CPN2";"carboxypeptidase N subunit 2";15995;-4,9134087562561;"No"
"row_58";"ENSG00000005421";"PON1";"paraoxonase 1";16057;-5,18369388580322;"No"
"row_59";"ENSG00000151655";"ITIH2";"inter-alpha-trypsin inhibitor heavy chain 2";16228;-5,78613758087158;"No"
"row_60";"ENSG00000159403";"C1R";"complement C1r";16232;-5,80632495880127;"No"
"row_61";"ENSG00000184009";"ACTG1";"actin gamma 1";16403;-6,66621589660645;"No"
"row_62";"ENSG00000108679";"LGALS3BP";"galectin 3 binding protein";16448;-6,91552782058716;"No"
"row_63";"ENSG00000229314";"ORM1";"orosomucoid 1";16550;-7,53391981124878;"No"
"row_64";"ENSG00000166743";"ACSM1";"acyl-CoA synthetase medium chain family member 1";17009;-11,1783065795898;"No"
"row_65";"ENSG00000182326";"C1S";"complement C1s";17072;-11,8804740905762;"No"
"row_66";"ENSG00000163631";"ALB";"albumin";17450;-16,8596820831299;"No"
"row_67";"ENSG00000243649";"CFB";"complement factor B";17489;-17,4150314331055;"No"
"row_68";"ENSG00000137575";"SDCBP";"syndecan binding protein";17875;-26,3971004486084;"No"
"row_69";"ENSG00000228278";"ORM2";"orosomucoid 2";17936;-27,9747505187988;"No"
"row_70";"ENSG00000149131";"SERPING1";"serpin family G member 1";18153;-36,8369331359863;"Yes"
"row_71";"ENSG00000125730";"C3";"complement C3";18199;-38,9789047241211;"Yes"
"row_72";"ENSG00000167711";"SERPINF2";"serpin family F member 2";18262;-41,9135322570801;"Yes"
"row_73";"ENSG00000079557";"AFM";"afamin";18297;-43,6378631591797;"Yes"
"row_74";"ENSG00000171564";"FGB";"fibrinogen beta chain";18393;-49,4845008850098;"Yes"
"row_75";"ENSG00000113889";"KNG1";"kininogen 1";18426;-51,9295921325684;"Yes"
"row_76";"ENSG00000163017";"ACTG2";"actin gamma 2, smooth muscle";18473;-55,5993499755859;"Yes"
"row_77";"ENSG00000123838";"C4BPA";"complement component 4 binding protein alpha";18504;-58,0969467163086;"Yes"
"row_78";"ENSG00000072274";"TFRC";"transferrin receptor";18552;-62,2307319641113;"Yes"
"row_79";"ENSG00000109971";"HSPA8";"heat shock protein family A (Hsp70) member 8";18718;-77,5079727172852;"Yes"
"row_80";"ENSG00000110244";"APOA4";"apolipoprotein A4";18744;-80,405647277832;"Yes"
"row_81";"ENSG00000171557";"FGG";"fibrinogen gamma chain";18793;-86,3006210327148;"Yes"
"row_82";"ENSG00000184500";"PROS1";"protein S";18819;-89,5700302124023;"Yes"
"row_83";"ENSG00000118137";"APOA1";"apolipoprotein A1";18847;-92,5329132080078;"Yes"
"row_84";"ENSG00000177311";"ZBTB38";"zinc finger and BTB domain containing 38";18912;-102,862442016602;"Yes"
"row_85";"ENSG00000180210";"F2";"coagulation factor II, thrombin";19014;-123,997230529785;"Yes"
"row_86";"ENSG00000139178";"C1RL";"complement C1r subcomponent like";19154;-162,379516601562;"Yes"
"row_87";"ENSG00000145192";"AHSG";"alpha 2-HS glycoprotein";19216;-186,404998779297;"Yes"
"row_88";"ENSG00000117394";"SLC2A1";"solute carrier family 2 member 1";19217;-186,420364379883;"Yes"
"row_89";"ENSG00000171560";"FGA";"fibrinogen alpha chain";19334;-262,376495361328;"Yes"
"row_90";"ENSG00000135744";"AGT";"angiotensinogen";19337;-264,089904785156;"Yes"
"row_91";"ENSG00000158874";"APOA2";"apolipoprotein A2";19410;-337,191619873047;"Yes"
"row_92";"ENSG00000130203";"APOE";"apolipoprotein E";19626;-1612,95178222656;"Yes"
"row_93";"ENSG00000115414";"FN1";"fibronectin 1";19630;-1941,29284667969;"Yes"
"row_94";"ENSG00000109072";"VTN";"vitronectin";19639;-3021,75854492188;"Yes"
