"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000161203";"AP2M1";"adaptor related protein complex 2 subunit mu 1";352;151,031967163086;"No"
"row_1";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";475;113,684768676758;"No"
"row_2";"ENSG00000174808";"BTC";"betacellulin";563;97,5061416625977;"No"
"row_3";"ENSG00000179344";"HLA-DQB1";"major histocompatibility complex, class II, DQ beta 1";749;70,5978546142578;"No"
"row_4";"ENSG00000196586";"MYO6";"myosin VI";780;66,6450042724609;"No"
"row_5";"ENSG00000141367";"CLTC";"clathrin heavy chain";1256;35,2499084472656;"No"
"row_6";"ENSG00000163235";"TGFA";"transforming growth factor alpha";1461;28,2570991516113;"No"
"row_7";"ENSG00000157978";"LDLRAP1";"low density lipoprotein receptor adaptor protein 1";1510;26,8077564239502;"No"
"row_8";"ENSG00000010278";"CD9";"CD9 molecule";1594;24,3440914154053;"No"
"row_9";"ENSG00000175416";"CLTB";"clathrin light chain B";2010;16,6897850036621;"No"
"row_10";"ENSG00000118640";"VAMP8";"vesicle associated membrane protein 8";2399;11,6650733947754;"No"
"row_11";"ENSG00000067715";"SYT1";"synaptotagmin 1";2598;9,76015377044678;"No"
"row_12";"ENSG00000107165";"TYRP1";"tyrosinase related protein 1";2941;7,30407094955444;"No"
"row_13";"ENSG00000137261";"KIAA0319";"KIAA0319";3375;5,20493364334106;"No"
"row_14";"ENSG00000170743";"SYT9";"synaptotagmin 9";3606;4,28645992279053;"No"
"row_15";"ENSG00000131374";"TBC1D5";"TBC1 domain family member 5";3625;4,23303556442261;"No"
"row_16";"ENSG00000042753";"AP2S1";"adaptor related protein complex 2 subunit sigma 1";4096;2,92377090454102;"No"
"row_17";"ENSG00000198502";"HLA-DRB5";"major histocompatibility complex, class II, DR beta 5";4613;2,0362753868103;"No"
"row_18";"ENSG00000150337";"FCGR1A";"Fc gamma receptor Ia";4656;1,97801733016968;"No"
"row_19";"ENSG00000169071";"ROR2";"receptor tyrosine kinase like orphan receptor 2";4771;1,81558132171631;"No"
"row_20";"ENSG00000133661";"SFTPD";"surfactant protein D";4832;1,73344945907593;"No"
"row_21";"ENSG00000185303";"SFTPA2";"surfactant protein A2";5050;1,49984037876129;"No"
