"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000130508";"PXDN";"peroxidasin";59;735,20166015625;"No"
"row_1";"ENSG00000143341";"HMCN1";"hemicentin 1";77;584,070861816406;"No"
"row_2";"ENSG00000187720";"THSD4";"thrombospondin type 1 domain containing 4";128;420,868316650391;"No"
"row_3";"ENSG00000188372";"ZP3";"zona pellucida glycoprotein 3";132;404,582550048828;"No"
"row_4";"ENSG00000115380";"EFEMP1";"EGF containing fibulin extracellular matrix protein 1";381;139,69059753418;"No"
"row_5";"ENSG00000169231";"THBS3";"thrombospondin 3";605;91,7589721679688;"No"
"row_6";"ENSG00000090006";"LTBP4";"latent transforming growth factor beta binding protein 4";1011;48,4578170776367;"No"
"row_7";"ENSG00000119681";"LTBP2";"latent transforming growth factor beta binding protein 2";1089;43,8925018310547;"No"
"row_8";"ENSG00000152377";"SPOCK1";"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1";1204;37,5391578674316;"No"
"row_9";"ENSG00000116690";"PRG4";"proteoglycan 4";1421;29,6208839416504;"No"
"row_10";"ENSG00000132000";"PODNL1";"podocan like 1";1506;26,8593082427979;"No"
"row_11";"ENSG00000049089";"COL9A2";"collagen type IX alpha 2 chain";1741;21,2891998291016;"No"
"row_12";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";1888;18,3659801483154;"No"
"row_13";"ENSG00000110799";"VWF";"von Willebrand factor";2055;16,0488014221191;"No"
"row_14";"ENSG00000197467";"COL13A1";"collagen type XIII alpha 1 chain";2375;11,9805669784546;"No"
"row_15";"ENSG00000111341";"MGP";"matrix Gla protein";2411;11,5492258071899;"No"
"row_16";"ENSG00000050767";"COL23A1";"collagen type XXIII alpha 1 chain";2652;9,34313678741455;"No"
"row_17";"ENSG00000145681";"HAPLN1";"hyaluronan and proteoglycan link protein 1";2931;7,351966381073;"No"
"row_18";"ENSG00000172037";"LAMB2";"laminin subunit beta 2";3178;6,13528966903687;"No"
"row_19";"ENSG00000144810";"COL8A1";"collagen type VIII alpha 1 chain";3254;5,77654790878296;"No"
"row_20";"ENSG00000168743";"NPNT";"nephronectin";3284;5,63813066482544;"No"
"row_21";"ENSG00000011201";"ANOS1";"anosmin 1";3387;5,16818523406982;"No"
"row_22";"ENSG00000080573";"COL5A3";"collagen type V alpha 3 chain";3442;4,98875188827515;"No"
"row_23";"ENSG00000106624";"AEBP1";"AE binding protein 1";3488;4,75792360305786;"No"
"row_24";"ENSG00000188157";"AGRN";"agrin";3716;3,89988017082214;"No"
"row_25";"ENSG00000163359";"COL6A3";"collagen type VI alpha 3 chain";3919;3,39970946311951;"No"
"row_26";"ENSG00000142173";"COL6A2";"collagen type VI alpha 2 chain";4518;2,17911100387573;"No"
"row_27";"ENSG00000204248";"COL11A2";"collagen type XI alpha 2 chain";4702;1,91688108444214;"No"
"row_28";"ENSG00000164176";"EDIL3";"EGF like repeats and discoidin domains 3";4891;1,65219831466675;"No"
"row_29";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";4903;1,63651978969574;"No"
"row_30";"ENSG00000138615";"CILP";"cartilage intermediate layer protein";4966;1,5916987657547;"No"
"row_31";"ENSG00000101955";"SRPX";"sushi repeat containing protein X-linked";4998;1,54407250881195;"No"
"row_32";"ENSG00000114270";"COL7A1";"collagen type VII alpha 1 chain";5075;1,49453496932983;"No"
"row_33";"ENSG00000100399";"CHADL";"chondroadherin like";5525;1,0307070016861;"No"
"row_34";"ENSG00000081052";"COL4A4";"collagen type IV alpha 4 chain";5566;0,99010843038559;"No"
"row_35";"ENSG00000164932";"CTHRC1";"collagen triple helix repeat containing 1";5864;0,802218198776245;"No"
"row_36";"ENSG00000169031";"COL4A3";"collagen type IV alpha 3 chain";6240;0,565853953361511;"No"
"row_37";"ENSG00000188517";"COL25A1";"collagen type XXV alpha 1 chain";6341;0,543345510959625;"No"
"row_38";"ENSG00000154175";"ABI3BP";"ABI family member 3 binding protein";6595;0,448986738920212;"No"
"row_39";"ENSG00000173269";"MMRN2";"multimerin 2";6770;0,377396583557129;"No"
"row_40";"ENSG00000101825";"MXRA5";"matrix remodeling associated 5";6869;0,340251594781876;"No"
"row_41";"ENSG00000112706";"IMPG1";"interphotoreceptor matrix proteoglycan 1";7159;0,324067294597626;"No"
"row_42";"ENSG00000082293";"COL19A1";"collagen type XIX alpha 1 chain";7207;0,30040380358696;"No"
"row_43";"ENSG00000184956";"MUC6";"mucin 6, oligomeric mucus/gel-forming (gene/pseudogene)";7302;0,275846511125565;"No"
"row_44";"ENSG00000163703";"CRELD1";"cysteine rich with EGF like domains 1";7366;0,253207147121429;"No"
"row_45";"ENSG00000171502";"COL24A1";"collagen type XXIV alpha 1 chain";7396;0,239111721515656;"No"
"row_46";"ENSG00000138080";"EMILIN1";"elastin microfibril interfacer 1";7520;0,201364576816559;"No"
"row_47";"ENSG00000105825";"TFPI2";"tissue factor pathway inhibitor 2";8323;0,0878306403756142;"No"
"row_48";"ENSG00000145113";"MUC4";"mucin 4, cell surface associated";8546;0,0604176931083202;"No"
"row_49";"ENSG00000149506";"ZP1";"zona pellucida glycoprotein 1";8547;0,0603933669626713;"No"
"row_50";"ENSG00000172638";"EFEMP2";"EGF containing fibulin extracellular matrix protein 2";8555;0,0595975108444691;"No"
"row_51";"ENSG00000206384";"COL6A6";"collagen type VI alpha 6 chain";9049;0,0171240940690041;"No"
"row_52";"ENSG00000162510";"MATN1";"matrilin 1";9249;0,00730938790366054;"No"
"row_53";"ENSG00000081148";"IMPG2";"interphotoreceptor matrix proteoglycan 2";9360;0,00409218622371554;"No"
"row_54";"ENSG00000206561";"COLQ";"collagen like tail subunit of asymmetric acetylcholinesterase";9738;-8,62343295011669e-05;"No"
"row_55";"ENSG00000138829";"FBN2";"fibrillin 2";9863;-0,0014117561513558;"No"
"row_56";"ENSG00000215182";"MUC5AC";"mucin 5AC, oligomeric mucus/gel-forming";9891;-0,00203550071455538;"No"
"row_57";"ENSG00000152591";"DSPP";"dentin sialophosphoprotein";10113;-0,00709482003003359;"No"
"row_58";"ENSG00000109927";"TECTA";"tectorin alpha";10366;-0,0212052781134844;"No"
"row_59";"ENSG00000186340";"THBS2";"thrombospondin 2";10439;-0,0275367293506861;"No"
"row_60";"ENSG00000132561";"MATN2";"matrilin 2";10554;-0,0337599776685238;"No"
"row_61";"ENSG00000010610";"CD4";"CD4 molecule";11222;-0,136052221059799;"No"
"row_62";"ENSG00000168477";"TNXB";"tenascin XB";11231;-0,13667243719101;"No"
"row_63";"ENSG00000169436";"COL22A1";"collagen type XXII alpha 1 chain";11403;-0,178163975477219;"No"
"row_64";"ENSG00000124749";"COL21A1";"collagen type XXI alpha 1 chain";11436;-0,185255631804466;"No"
"row_65";"ENSG00000174348";"PODN";"podocan";11512;-0,193013772368431;"No"
"row_66";"ENSG00000196569";"LAMA2";"laminin subunit alpha 2";11989;-0,275853008031845;"No"
"row_67";"ENSG00000204291";"COL15A1";"collagen type XV alpha 1 chain";12113;-0,321939259767532;"No"
"row_68";"ENSG00000166482";"MFAP4";"microfibril associated protein 4";12200;-0,359512090682983;"No"
