"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";103;479,167724609375;"No"
"row_1";"ENSG00000165025";"SYK";"spleen associated tyrosine kinase";127;422,367614746094;"No"
"row_2";"ENSG00000151892";"GFRA1";"GDNF family receptor alpha 1";133;401,180572509766;"No"
"row_3";"ENSG00000213694";"S1PR3";"sphingosine-1-phosphate receptor 3";143;373,679779052734;"No"
"row_4";"ENSG00000132470";"ITGB4";"integrin subunit beta 4";267;211,534957885742;"No"
"row_5";"ENSG00000115221";"ITGB6";"integrin subunit beta 6";503;108,59211730957;"No"
"row_6";"ENSG00000213853";"EMP2";"epithelial membrane protein 2";601;92,1752853393555;"No"
"row_7";"ENSG00000082781";"ITGB5";"integrin subunit beta 5";847;60,4519348144531;"No"
"row_8";"ENSG00000090006";"LTBP4";"latent transforming growth factor beta binding protein 4";1011;48,4578170776367;"No"
"row_9";"ENSG00000187608";"ISG15";"ISG15 ubiquitin like modifier";1215;37,0694236755371;"No"
"row_10";"ENSG00000160255";"ITGB2";"integrin subunit beta 2";1255;35,258602142334;"No"
"row_11";"ENSG00000073670";"ADAM11";"ADAM metallopeptidase domain 11";1304;33,1429481506348;"No"
"row_12";"ENSG00000029559";"IBSP";"integrin binding sialoprotein";1454;28,4718551635742;"No"
"row_13";"ENSG00000156886";"ITGAD";"integrin subunit alpha D";1466;28,2073650360107;"No"
"row_14";"ENSG00000169398";"PTK2";"protein tyrosine kinase 2";1514;26,7133102416992;"No"
"row_15";"ENSG00000136235";"GPNMB";"glycoprotein nmb";1531;26,1460494995117;"No"
"row_16";"ENSG00000010278";"CD9";"CD9 molecule";1594;24,3440914154053;"No"
"row_17";"ENSG00000118523";"CCN2";"cellular communication network factor 2";1858;19,0631980895996;"No"
"row_18";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";1888;18,3659801483154;"No"
"row_19";"ENSG00000110799";"VWF";"von Willebrand factor";2055;16,0488014221191;"No"
"row_20";"ENSG00000136425";"CIB2";"calcium and integrin binding family member 2";2130;14,8221273422241;"No"
"row_21";"ENSG00000113578";"FGF1";"fibroblast growth factor 1";2179;14,2866411209106;"No"
"row_22";"ENSG00000160323";"ADAMTS13";"ADAM metallopeptidase with thrombospondin type 1 motif 13";2247;13,259877204895;"No"
"row_23";"ENSG00000142192";"APP";"amyloid beta precursor protein";2456;11,0392236709595;"No"
"row_24";"ENSG00000076662";"ICAM3";"intercellular adhesion molecule 3";2514;10,5188217163086;"No"
"row_25";"ENSG00000189403";"HMGB1";"high mobility group box 1";2587;9,84673118591309;"No"
"row_26";"ENSG00000136999";"CCN3";"cellular communication network factor 3";2634;9,53726577758789;"No"
"row_27";"ENSG00000107562";"CXCL12";"C-X-C motif chemokine ligand 12";2806;8,14987373352051;"No"
"row_28";"ENSG00000172037";"LAMB2";"laminin subunit beta 2";3178;6,13528966903687;"No"
"row_29";"ENSG00000168743";"NPNT";"nephronectin";3284;5,63813066482544;"No"
"row_30";"ENSG00000139626";"ITGB7";"integrin subunit beta 7";3321;5,43885707855225;"No"
"row_31";"ENSG00000005961";"ITGA2B";"integrin subunit alpha 2b";3507;4,71206903457642;"No"
"row_32";"ENSG00000105376";"ICAM5";"intercellular adhesion molecule 5";3720;3,8899073600769;"No"
"row_33";"ENSG00000164176";"EDIL3";"EGF like repeats and discoidin domains 3";4891;1,65219831466675;"No"
