"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";1075;45,0403747558594;"No"
"row_1";"ENSG00000130513";"GDF15";"growth differentiation factor 15";1433;29,0858516693115;"No"
"row_2";"ENSG00000087460";"GNAS";"GNAS complex locus";2050;16,1292629241943;"No"
"row_3";"ENSG00000160460";"SPTBN4";"spectrin beta, non-erythrocytic 4";2416;11,4937801361084;"No"
"row_4";"ENSG00000142192";"APP";"amyloid beta precursor protein";2456;11,0392236709595;"No"
"row_5";"ENSG00000197406";"DIO3";"iodothyronine deiodinase 3";2461;11,0218000411987;"No"
"row_6";"ENSG00000185122";"HSF1";"heat shock transcription factor 1";2968;7,14803075790405;"No"
"row_7";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";3558;4,47507572174072;"No"
"row_8";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";3614;4,26286888122559;"No"
"row_9";"ENSG00000165060";"FXN";"frataxin";3626;4,23002958297729;"No"
"row_10";"ENSG00000142168";"SOD1";"superoxide dismutase 1";3697;3,96432590484619;"No"
"row_11";"ENSG00000164128";"NPY1R";"neuropeptide Y receptor Y1";3804;3,66704416275024;"No"
"row_12";"ENSG00000112964";"GHR";"growth hormone receptor";3840;3,60424208641052;"No"
"row_13";"ENSG00000101945";"SUV39H1";"SUV39H1 histone lysine methyltransferase";4573;2,10099172592163;"No"
"row_14";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";5134;1,41165459156036;"No"
"row_15";"ENSG00000163273";"NPPC";"natriuretic peptide C";5193;1,34983468055725;"No"
"row_16";"ENSG00000071677";"PRLH";"prolactin releasing hormone";5704;0,887722969055176;"No"
"row_17";"ENSG00000100600";"LGMN";"legumain";6136;0,601329565048218;"No"
"row_18";"ENSG00000043591";"ADRB1";"adrenoceptor beta 1";6801;0,364440053701401;"No"
"row_19";"ENSG00000142319";"SLC6A3";"solute carrier family 6 member 3";6895;0,340251594781876;"No"
"row_20";"ENSG00000108557";"RAI1";"retinoic acid induced 1";7232;0,290602266788483;"No"
"row_21";"ENSG00000125124";"BBS2";"Bardet-Biedl syndrome 2";8413;0,0764929726719856;"No"
"row_22";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";8492;0,0687191486358643;"No"
"row_23";"ENSG00000132932";"ATP8A2";"ATPase phospholipid transporting 8A2";8996;0,0194423981010914;"No"
"row_24";"ENSG00000125863";"MKKS";"MKKS centrosomal shuttling protein";9305;0,00548668019473553;"No"
"row_25";"ENSG00000141385";"AFG3L2";"AFG3 like matrix AAA peptidase subunit 2";9311;0,00524331349879503;"No"
"row_26";"ENSG00000118702";"GHRH";"growth hormone releasing hormone";9363;0,00409218622371554;"No"
"row_27";"ENSG00000125965";"GDF5";"growth differentiation factor 5";9813;-0,000945591542404145;"No"
