"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000141510";"TP53";"tumor protein p53";44;884,574890136719;"Yes"
"row_1";"ENSG00000182054";"IDH2";"isocitrate dehydrogenase (NADP(+)) 2";62;721,753295898438;"Yes"
"row_2";"ENSG00000148400";"NOTCH1";"notch receptor 1";220;252,510147094727;"Yes"
"row_3";"ENSG00000100300";"TSPO";"translocator protein";261;218,992080688477;"Yes"
"row_4";"ENSG00000006071";"ABCC8";"ATP binding cassette subfamily C member 8";3963;3,26171898841858;"No"
"row_5";"ENSG00000143418";"CERS2";"ceramide synthase 2";4350;2,45391011238098;"No"
"row_6";"ENSG00000114315";"HES1";"hes family bHLH transcription factor 1";6196;0,585892975330353;"No"
"row_7";"ENSG00000186575";"NF2";"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor";6745;0,385690659284592;"No"
"row_8";"ENSG00000176887";"SOX11";"SRY-box transcription factor 11";6938;0,340251594781876;"No"
"row_9";"ENSG00000139687";"RB1";"RB transcriptional corepressor 1";8786;0,0344165116548538;"No"
"row_10";"ENSG00000022840";"RNF10";"ring finger protein 10";9089;0,0147388828918338;"No"
"row_11";"ENSG00000100697";"DICER1";"dicer 1, ribonuclease III";9474;0,00188090966548771;"No"
"row_12";"ENSG00000183734";"ASCL2";"achaete-scute family bHLH transcription factor 2";10912;-0,0789067968726158;"No"
"row_13";"ENSG00000157933";"SKI";"SKI proto-oncogene";14052;-1,23271036148071;"No"
"row_14";"ENSG00000196712";"NF1";"neurofibromin 1";14420;-1,61400008201599;"No"
