"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000108395";"TRIM37";"tripartite motif containing 37";24;1116,6044921875;"Yes"
"row_1";"ENSG00000145632";"PLK2";"polo like kinase 2";344;156,29328918457;"Yes"
"row_2";"ENSG00000163611";"SPICE1";"spindle and centriole associated protein 1";2036;16,277551651001;"No"
"row_3";"ENSG00000149548";"CCDC15";"coiled-coil domain containing 15";2068;15,8633871078491;"No"
"row_4";"ENSG00000160813";"PPP1R35";"protein phosphatase 1 regulatory subunit 35";2425;11,3621826171875;"No"
"row_5";"ENSG00000136861";"CDK5RAP2";"CDK5 regulatory subunit associated protein 2";3476;4,80158853530884;"No"
"row_6";"ENSG00000114166";"KAT2B";"lysine acetyltransferase 2B";5281;1,30146849155426;"No"
"row_7";"ENSG00000119541";"VPS4B";"vacuolar protein sorting 4 homolog B";7197;0,305917650461197;"No"
"row_8";"ENSG00000139323";"POC1B";"POC1 centriolar protein B";7513;0,205606982111931;"No"
"row_9";"ENSG00000154493";"C10orf90";"chromosome 10 open reading frame 90";8056;0,108561798930168;"No"
"row_10";"ENSG00000142731";"PLK4";"polo like kinase 4";8485;0,0699182972311974;"No"
"row_11";"ENSG00000116127";"ALMS1";"ALMS1 centrosome and basal body associated protein";10072;-0,00553096691146493;"No"
"row_12";"ENSG00000151849";"CENPJ";"centrosome assembly and centriole elongation protein";11728;-0,231827571988106;"No"
"row_13";"ENSG00000111554";"MDM1";"Mdm1 nuclear protein";11772;-0,245985761284828;"No"
"row_14";"ENSG00000123473";"STIL";"STIL centriolar assembly protein";12155;-0,344389021396637;"No"
"row_15";"ENSG00000108773";"KAT2A";"lysine acetyltransferase 2A";14133;-1,29891860485077;"No"
"row_16";"ENSG00000012048";"BRCA1";"BRCA1 DNA repair associated";15070;-2,43576836585999;"No"
"row_17";"ENSG00000181163";"NPM1";"nucleophosmin 1";15451;-3,27751493453979;"No"
"row_18";"ENSG00000168944";"CEP120";"centrosomal protein 120";15746;-4,11225700378418;"No"
"row_19";"ENSG00000156876";"SASS6";"SAS-6 centriolar assembly protein";15819;-4,32404518127441;"No"
"row_20";"ENSG00000166004";"CEP295";"centrosomal protein 295";16669;-8,24843406677246;"No"
