"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000107485";"GATA3";"GATA binding protein 3";7;1704,19836425781;"Yes"
"row_1";"ENSG00000142089";"IFITM3";"interferon induced transmembrane protein 3";19;1287,49328613281;"Yes"
"row_2";"ENSG00000185201";"IFITM2";"interferon induced transmembrane protein 2";40;920,133666992188;"Yes"
"row_3";"ENSG00000185885";"IFITM1";"interferon induced transmembrane protein 1";1909;18,0547637939453;"No"
"row_4";"ENSG00000116747";"RO60";"Ro60, Y RNA binding protein";5125;1,42938899993896;"No"
"row_5";"ENSG00000136997";"MYC";"MYC proto-oncogene, bHLH transcription factor";7863;0,143277481198311;"No"
"row_6";"ENSG00000142166";"IFNAR1";"interferon alpha and beta receptor subunit 1";9612;0,000268412986770272;"No"
"row_7";"ENSG00000160710";"ADAR";"adenosine deaminase RNA specific";9623;0,000217639026232064;"No"
"row_8";"ENSG00000163564";"PYHIN1";"pyrin and HIN domain family member 1";9823;-0,00107086484786123;"No"
"row_9";"ENSG00000076321";"KLHL20";"kelch like family member 20";11230;-0,136629149317741;"No"
"row_10";"ENSG00000055332";"EIF2AK2";"eukaryotic translation initiation factor 2 alpha kinase 2";14479;-1,69559752941132;"No"
"row_11";"ENSG00000174840";"PDE12";"phosphodiesterase 12";15691;-3,92603921890259;"No"
"row_12";"ENSG00000183486";"MX2";"MX dynamin like GTPase 2";15856;-4,47332811355591;"No"
"row_13";"ENSG00000130303";"BST2";"bone marrow stromal cell antigen 2";16385;-6,55698776245117;"No"
"row_14";"ENSG00000183087";"GAS6";"growth arrest specific 6";16620;-7,95456838607788;"No"
"row_15";"ENSG00000159110";"IFNAR2";"interferon alpha and beta receptor subunit 2";16937;-10,438985824585;"No"
"row_16";"ENSG00000047410";"TPR";"translocated promoter region, nuclear basket protein";16952;-10,56139087677;"No"
"row_17";"ENSG00000167601";"AXL";"AXL receptor tyrosine kinase";17073;-11,8835496902466;"No"
"row_18";"ENSG00000078081";"LAMP3";"lysosomal associated membrane protein 3";18009;-30,5289878845215;"No"
"row_19";"ENSG00000089127";"OAS1";"2'-5'-oligoadenylate synthetase 1";19098;-144,762359619141;"No"
