"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0072001";"renal system development";"169/5170";"336/18496";2,08910337477134e-18;1,32073115353044e-14;"8837/23129/30812/3675/163/8842/25937/11174/639/2263/55746/23210/2736/4854/38/5915/2260/1906/7161/4036/51668/231/7481/7042/1312/5125/8829/11020/51804/4318/655/182/2294/1512/26258/25789/56913/2737/2625/59/90410/7704/23371/5754/2246/4090/5159/7474/6772/7475/4953/6382/2043/4811/3399/51107/5629/5311/4072/1958/317/157506/80114/3227/7471/1948/652/6662/9953/7849/650/84662/6495/3976/5420/6608/2302/1028/3911/445/9104/5914/79727/5176/1644/842/3158/4853/4038/5156/10220/183/1910/7020/23213/10413/64220/51196/5950/80144/2028/5530/8549/9245/80000/9353/26249/221322/2719/4851/84623/84159/341640/1909/2674/9653/9955/284/4643/54361/4774/57216/55083/25976/10252/3248/168002/6469/116039/123016/5979/8642/255738/4086/5314/26108/171023/596/55871/6580/10409/51301/79191/282679/2066/56998/2131/4070/139285/7490/5087/5727/9863/1282/7477/4311/55959/25959/23607/4326/80184/26146/358/342184/2297/3217/5175/100133941/6928";"CFLAR/PLXND1/SOX8/ITGA3/AP2B1/PROM1/WWTR1/ADAMTS6/PRDM1/FGFR2/NUP133/JMJD6/GLI2/NOTCH3/ACAT1/RARB/FGFR1/EDN1/TP73/LRP2/HSPB11/AKR1B1/WNT11/TGFB2/COMT/PCSK5/NRP1/IFT27/SIX4/MMP9/BMP7/JAG1/FOXF1/CTSH/BLOC1S6/TMEM59L/C1GALT1/GLI3/GATA3/ACTA2/IFT20/ZBTB16/TNS2/PTK7/FGF1/SMAD5/PDGFRB/WNT5A/STAT1/WNT6/ODC1/SDC1/EPHA4/NID1/ID3/APH1A/PROX1/PKD2/EPCAM/EGR1/APAF1/RDH10/BICC1/HOXC11/WNT1/EFNB2/BMP4/SOX9/HS3ST3B1/PAX8/BMP2/GLIS2/SIX1/LIF/PODXL/SMO/FOXJ1/CDKN1C/LAMA5/ASS1/RGN/RARA/LIN28A/SERPINF1/DDC/CASP9/HMGCS2/NOTCH2/LRP4/PDGFRA/GDF11/AGT/EDNRB/TFAP2A/SULF1/YAP1/STRA6/PLCE1/RBP4/FRAS1/ENPEP/PPP3CA/LGR5/GCNT3/GREB1L/SLIT2/KLHL3/TBC1D32/GPC3/NOTCH1/KIRREL3/ARID5B/FREM2/EDNRA/GFRA1/HS2ST1/HS3ST3A1/ANGPT1/MYO1E/WNT4/NFIA/VANGL2/KIF26B/TIPARP/SPRY1/HPGD/DACT2/SHH/OSR2/TTC8/RET/DCHS1/PCSK9/SMAD1/PKHD1/PYGO1/ASXL1/BCL2/CBWD1/SLC22A1/BASP1/GCNT4/IRX3/AQP11/ERBB4/CTNNBIP1/EXT1/TACSTD2/AMER1/WT1/PBX1/PTCH1/MAGI2/COL4A1/WNT7B/MME/SULF2/KANK2/CD2AP/MMP17/CEP290/TRAF3IP1/AQP1/FMN1/FOXD1/HOXB7/PECAM1/CD24/HNF1B";169
"BP";"GO:0001822";"kidney development";"163/5170";"325/18496";1,19782883199522e-17;3,7863369379369e-14;"8837/23129/30812/3675/163/8842/25937/11174/639/2263/55746/23210/2736/4854/38/5915/2260/1906/7161/4036/51668/231/7481/7042/1312/5125/8829/11020/51804/4318/655/182/1512/26258/25789/56913/2737/2625/59/90410/7704/23371/5754/2246/4090/5159/7474/6772/7475/4953/6382/2043/4811/3399/51107/5629/5311/4072/1958/317/157506/80114/3227/7471/1948/652/6662/9953/7849/650/84662/6495/3976/5420/6608/2302/1028/3911/445/9104/5914/79727/5176/1644/842/3158/4853/4038/5156/10220/183/1910/7020/23213/10413/64220/51196/80144/2028/5530/9245/80000/9353/26249/221322/2719/4851/84623/84159/341640/1909/2674/9653/9955/284/4643/54361/57216/55083/25976/10252/3248/168002/6469/116039/5979/8642/255738/4086/5314/26108/171023/596/55871/6580/10409/51301/79191/282679/2066/56998/2131/4070/139285/7490/5087/5727/9863/7477/4311/55959/25959/23607/4326/80184/26146/358/342184/2297/3217/5175/100133941/6928";"CFLAR/PLXND1/SOX8/ITGA3/AP2B1/PROM1/WWTR1/ADAMTS6/PRDM1/FGFR2/NUP133/JMJD6/GLI2/NOTCH3/ACAT1/RARB/FGFR1/EDN1/TP73/LRP2/HSPB11/AKR1B1/WNT11/TGFB2/COMT/PCSK5/NRP1/IFT27/SIX4/MMP9/BMP7/JAG1/CTSH/BLOC1S6/TMEM59L/C1GALT1/GLI3/GATA3/ACTA2/IFT20/ZBTB16/TNS2/PTK7/FGF1/SMAD5/PDGFRB/WNT5A/STAT1/WNT6/ODC1/SDC1/EPHA4/NID1/ID3/APH1A/PROX1/PKD2/EPCAM/EGR1/APAF1/RDH10/BICC1/HOXC11/WNT1/EFNB2/BMP4/SOX9/HS3ST3B1/PAX8/BMP2/GLIS2/SIX1/LIF/PODXL/SMO/FOXJ1/CDKN1C/LAMA5/ASS1/RGN/RARA/LIN28A/SERPINF1/DDC/CASP9/HMGCS2/NOTCH2/LRP4/PDGFRA/GDF11/AGT/EDNRB/TFAP2A/SULF1/YAP1/STRA6/PLCE1/FRAS1/ENPEP/PPP3CA/GCNT3/GREB1L/SLIT2/KLHL3/TBC1D32/GPC3/NOTCH1/KIRREL3/ARID5B/FREM2/EDNRA/GFRA1/HS2ST1/HS3ST3A1/ANGPT1/MYO1E/WNT4/VANGL2/KIF26B/TIPARP/SPRY1/HPGD/DACT2/SHH/OSR2/RET/DCHS1/PCSK9/SMAD1/PKHD1/PYGO1/ASXL1/BCL2/CBWD1/SLC22A1/BASP1/GCNT4/IRX3/AQP11/ERBB4/CTNNBIP1/EXT1/TACSTD2/AMER1/WT1/PBX1/PTCH1/MAGI2/WNT7B/MME/SULF2/KANK2/CD2AP/MMP17/CEP290/TRAF3IP1/AQP1/FMN1/FOXD1/HOXB7/PECAM1/CD24/HNF1B";163
"BP";"GO:0042060";"wound healing";"203/5170";"449/18496";2,24836927772243e-15;4,73806352458706e-12;"8837/7035/6376/51330/928/9066/5329/7454/960/7414/954/131566/2155/1608/6558/1265/1606/2065/4638/5588/5873/3998/4162/8527/2192/1906/3693/966/350/7301/7042/7494/3162/3172/81027/55612/128866/160851/26258/5327/5864/857/3315/5054/23189/6532/7448/27346/54959/6484/7450/2004/84830/1432/64094/5754/1839/2246/3827/7474/3552/3694/2335/5624/5321/2152/7128/4488/725/1026/2069/3170/2159/7103/23499/7429/84962/348/1289/27243/5638/4772/5468/84034/10451/4853/3572/5156/301/7006/2626/1861/6812/7094/5547/10413/25833/7057/3685/5530/50506/170692/60681/7409/128272/3491/90102/8573/50808/8525/710/5795/5058/3688/6868/10461/84959/284/8324/2776/135228/57822/2207/146206/4882/11093/120425/246/8613/54361/6707/5580/149461/3673/2150/6469/4846/8323/6850/79987/1365/2923/1398/79001/558/5345/51129/2125/1281/5747/5028/5581/29071/2266/2243/2244/57834/221037/9158/84750/10855/79625/7423/114897/79643/196527/5339/7056/2147/23513/5912/2131/25987/302/3932/2621/152/5627/2157/2811/5592/64714/22821/375033/388552/1364/2316/6714/5265/5055/6281/5336/9060/2153/25817/2876/358/3640/4067/83481/401720/653145/139189";"CFLAR/TFPI/CX3CL1/TNFRSF12A/CD9/SYT7/PLAUR/WAS/CD44/VCL/ENTPD2/DCBLD2/F7/DGKG/SLC12A2/CNN2/DGKA/ERBB3/MYLK/PRKCQ/RAB27A/LMAN1/MCAM/DGKD/FBLN1/EDN1/ITGB5/CD59/APOH/TYRO3/TGFB2/XBP1/HMOX1/HNF4A/TUBB1/FERMT1/CHMP4B/DGKH/BLOC1S6/PLAT/RAB3A/CAV1/HSPB1/SERPINE1/KANK1/SLC6A4/VTN/TMEM97/ODAM/ST3GAL4/VWF/ELK3/ADTRP/MAPK14/SMOC2/PTK7/HBEGF/FGF1/KNG1/WNT5A/IL1A/ITGB6/FN1/PROC/PLA2G4A/F3/TNFAIP3/MSX2/C4BPB/CDKN1A/EREG/FOXA2/F10/TSPAN8/MACF1/VIL1/AJUBA/APOE/COL5A1/CHMP2A/PRRG1/NFATC1/PPARG/EMILIN2/VAV3/NOTCH2/IL6ST/PDGFRA/ANXA1/TEC/GATA4/TOR1A/STXBP1/TLN1/PRCP/YAP1/POU2F3/THBS1/ITGAV/PPP3CA/DUOX2/ADAMTS18/FKBP10/VAV1/ARHGEF19/CYR61/PHLDB2/CASK/AK3/DGKZ/SERPING1/PTPRJ/PAK1/ITGB1/ADAM17/MERTK/UBASH3B/ANGPT1/FZD7/GNAQ/CD109/GRHL3/FCER1G/CARMIL2/NPR2/ADAMTS13/JAML/ALOX15/PLPP3/WNT4/SPRR3/PRKCD/CLDN19/ITGA2/F2RL1/SHH/NOS3/FZD6/SYK/SVEP1/CLDN3/PDIA3/CRK/VKORC1/AXL/SERPINF2/ANGPTL4/EVPL/COL3A1/PTK2/P2RY1/PRKCE/C1GALT1C1/FGG/FGA/FGB/CYP4F11/JMJD1C/FIBP/FUT10/HPSE/NDNF/VEGFB/C1QTNF1/CHMP6/ANO6/PLEC/THBD/F2/SCRIB/RAP2B/EXT1/TSKU/ANXA2/LCK/GAS6/ADRA2C/PROS1/F8/GP1BA/PRKG1/PDIA2/RASA3/PEAR1/BLOC1S3/CLDN4/FLNA/SRC/SERPINA1/SERPINB2/S100A10/PLCG2/PAPSS2/F5/FAM19A5/GPX1/AQP1/INSL3/LYN/EPPK1/FIGNL2/ANXA8/DGKK";203
"BP";"GO:0007409";"axonogenesis";"198/5170";"458/18496";9,97547589566902e-13;1,57662396531049e-09;"23129/5048/6792/56920/3730/7869/9369/7414/7504/9423/5588/2263/4756/8301/2736/4854/59277/10371/10512/7155/4133/1906/4983/5794/9706/334/22911/393/51324/57715/8829/1943/51199/9252/655/79006/5802/5864/4099/6324/3199/23242/2737/2625/6387/219699/9211/7473/8153/1949/113246/10090/7101/5754/9037/90249/7474/57142/2335/25806/2043/81569/1889/9048/8828/9331/63923/89884/1959/1948/64919/23499/6608/1123/348/10439/3996/23111/4853/4038/10154/6498/6812/9856/347733/80031/84665/8482/658/55605/3480/1009/8543/55811/1382/1944/151449/152330/91653/9353/2676/4781/256158/4851/5795/5058/4684/1813/9638/85449/54915/3688/1909/6868/4929/153478/64221/7345/55740/7074/56896/26053/9334/64843/4882/8997/57731/84446/91624/57216/886/80128/323/6469/107/1020/123016/5979/55701/322/4130/10501/90990/3800/54910/6474/5604/1942/5747/5881/6091/214/9723/133418/4884/4135/1826/596/65059/5797/1267/5306/9024/8636/8851/57453/8408/57463/575/8633/2131/1436/2049/25987/6586/1946/84189/10509/5592/5727/4137/10507/7477/25894/64218/51466/8831/104/23303/23607/57154/5365/3897/659/79600/729920/2297/10381";"PLXND1/PAFAH1B1/CDKL5/SEMA3G/ANOS1/SEMA3B/NRXN3/VCL/XK/NTN1/PRKCQ/FGFR2/NEO1/PICALM/GLI2/NOTCH3/NTN4/SEMA3A/SEMA3C/TOP2B/MAP2/EDN1/OPHN1/PTPRH/ULK2/APLP2/WDR47/ARHGAP4/SPG21/SEMA4G/NRP1/EFNA2/NIN/RPS6KA5/BMP7/METRN/PTPRS/RAB3A/MAG/SCN1B/HOXA2/COBL/GLI3/GATA3/CXCL12/UNC5B/LGI1/WNT3/RND2/EFNB3/C12orf57/UST/NR2E1/PTK7/SEMA5A/UNC5A/WNT5A/RTN4/FN1/VAX2/EPHA4/ACTL8/ECE1/ARTN/NRP2/B4GALT6/TNN/LHX4/EGR2/EFNB2/BCL11B/MACF1/SMO/CHN1/APOE/OLFM1/LLGL1/SPART/NOTCH2/LRP4/PLXNC1/SKIL/STXBP1/KIAA0319/TUBB2B/SEMA6D/MYPN/SEMA7A/BMPR1B/KIF21A/IGF1R/CDH11/LMO4/ADCY10/CRABP2/EFNA3/GDF7/CNTN4/BOC/SLIT2/GFRA3/NFIB/HMCN2/NOTCH1/PTPRJ/PAK1/NCAM1/DRD2/FEZ1/KIAA1755/YTHDF1/ITGB1/EDNRA/ADAM17/NR4A2/PLEKHG4B/ROBO3/UCHL1/ENAH/TIAM1/DPYSL5/AUTS2/B4GALT5/ISL2/NPR2/KALRN/SPTBN4/BRSK1/NEXN/VANGL2/CCKAR/TRIM46/APBB2/SHH/ADCY1/CDK5/TTC8/RET/ARHGEF40/APBB1/MAP1A/SEMA6B/KIFC2/KIF5C/SEMA4C/SHOX2/MAP2K1/EFNA1/PTK2/RAC3/ROBO1/ALCAM/SEMA3E/EMB/NPTX1/MAP6/DSCAM/BCL2/RAPH1/PTPRM/CNP/PITPNA/BRSK2/SSNA1/CDK5R1/DSCAML1/ULK1/AMIGO1/ADGRB1/UNC5C/EXT1/CSF1R/EPHB3/TSKU/SLIT3/EFNA5/SLITRK6/SEMA4B/PRKG1/PTCH1/MAPT/SEMA4D/WNT7B/PLEKHG4/SEMA4A/EVL/SYNGAP1/ADARB1/KIF13B/CD2AP/SMURF1/PLXNB3/L1CAM/BMPR2/TCTN1/ISPD/FOXD1/TUBB3";198
"BP";"GO:0031589";"cell-substrate adhesion";"163/5170";"361/18496";1,49215525317201e-12;1,88668110211069e-09;"26073/3675/3674/6376/960/7414/395/5318/22998/1308/4287/10420/9448/55679/6480/59277/57662/2192/50509/3693/4680/7205/22795/3912/151887/7301/10580/8829/11078/6789/55612/182/10232/11151/2294/10391/7264/1021/5054/23189/708/1277/1845/7448/7450/23603/2651/4739/11149/604/3694/2335/4811/335/1490/9480/63923/10174/2185/57580/27076/7471/6237/23499/84962/3911/3691/54453/9475/3679/3915/7094/7057/3685/3695/10516/1009/1012/8631/3491/3680/90102/8573/1029/4851/51144/5795/3688/2241/56477/6695/7402/5796/1601/10461/284/8324/7074/3681/4323/55698/7791/3689/11093/136227/246/54361/25992/2199/56999/3673/285613/10395/79778/1020/79987/1398/558/1613/1281/8754/7059/1942/5747/84168/5881/3987/3175/3684/9723/5314/5581/2266/2243/2244/596/10855/29984/79625/79834/8322/2523/340485/91663/2049/302/2621/4070/1946/1435/10519/4059/347/5770/2316/6714/1305/6281/3897/2013/3672/342184/80725";"POLDIP2/ITGA3/ITGA2B/CX3CL1/CD44/VCL/ARHGAP6/PKP2/LIMCH1/COL17A1/ATXN3/TESK2/MAP4K4/LIMS2/ST6GAL1/NTN4/CAMSAP3/FBLN1/COL5A3/ITGB5/CEACAM6/TRIP6/NID2/LAMB1/CCDC80/TYRO3/SORBS1/NRP1/TRIOBP/STK4/FERMT1/JAG1/MSLN/CORO1A/FOXF1/CORO2B/TSTA3/CDK6/SERPINE1/KANK1/C1QBP/COL1A1/DUSP3/VTN/VWF/CORO1C/GCNT2/NEDD9/BVES/BCL6/ITGB6/FN1/NID1/APOA1/CTGF/ONECUT2/TNN/SORBS3/PTK2B/PREX1/LYPD3/WNT1/RRAS/MACF1/AJUBA/LAMA5/ITGB4/RIN2/ROCK2/ITGA7/LAMC1/TLN1/THBS1/ITGAV/ITGB7/FBLN5/CDH11/CDH13/SKAP1/CYR61/ITGA9/PHLDB2/CASK/CDKN2A/NOTCH1/HSD17B12/PTPRJ/ITGB1/FER/CCL28/SPOCK1/UTRN/PTPRK/DAB2/MERTK/ANGPT1/FZD7/TIAM1/ITGAD/MMP14/RADIL/ZYX/ITGB2/ADAMTS13/COL26A1/ALOX15/WNT4/SNED1/FBLN2/ADAMTS9/ITGA2/RELL2/DLC1/MICALL2/CDK5/SVEP1/CRK/AXL/DAPK3/COL3A1/ADAM9/THBS3/EFNA1/PTK2/ANTXR1/RAC3/LIMS1/ONECUT1/ITGAM/SEMA3E/PKHD1/PRKCE/FGG/FGA/FGB/BCL2/HPSE/RHOD/NDNF/PEAK1/FZD4/FUT1/ACER2/MYADM/EPHB3/ANXA2/GAS6/TACSTD2/EFNA5/CSF1/CIB1/BCAM/APOD/PTPN1/FLNA/SRC/COL13A1/S100A10/L1CAM/EMP2/ITGA1/FMN1/SRCIN1";163
"BP";"GO:0097485";"neuron projection guidance";"116/5170";"239/18496";9,26476297297709e-12;9,76197191919352e-09;"56920/3730/7869/9369/9423/5588/4756/2736/4854/59277/10371/10512/1906/4983/5794/9706/57715/8829/1943/9252/655/6324/3199/2737/2625/6387/219699/9211/7473/1949/5754/9037/90249/7474/5361/2043/1889/9048/8828/89884/1959/1948/64919/6608/1123/4853/347733/80031/84665/8482/658/55605/8543/1944/151449/152330/91653/9353/2676/4781/256158/4851/5795/4684/9638/85449/54915/1909/6868/153478/64221/55740/56896/64843/8997/91624/57216/323/6469/1020/123016/5979/55701/10501/90990/3800/54910/1942/5747/5881/6091/214/9723/133418/1826/5797/8851/57453/8633/2131/1436/2049/6586/1946/10509/5727/10507/7477/25894/64218/51466/3897/659/729920/2297/10381";"SEMA3G/ANOS1/SEMA3B/NRXN3/NTN1/PRKCQ/NEO1/GLI2/NOTCH3/NTN4/SEMA3A/SEMA3C/EDN1/OPHN1/PTPRH/ULK2/SEMA4G/NRP1/EFNA2/RPS6KA5/BMP7/SCN1B/HOXA2/GLI3/GATA3/CXCL12/UNC5B/LGI1/WNT3/EFNB3/PTK7/SEMA5A/UNC5A/WNT5A/PLXNA1/EPHA4/ECE1/ARTN/NRP2/LHX4/EGR2/EFNB2/BCL11B/SMO/CHN1/NOTCH2/TUBB2B/SEMA6D/MYPN/SEMA7A/BMPR1B/KIF21A/LMO4/EFNA3/GDF7/CNTN4/BOC/SLIT2/GFRA3/NFIB/HMCN2/NOTCH1/PTPRJ/NCAM1/FEZ1/KIAA1755/YTHDF1/EDNRA/ADAM17/PLEKHG4B/ROBO3/ENAH/DPYSL5/ISL2/KALRN/NEXN/VANGL2/APBB2/SHH/CDK5/TTC8/RET/ARHGEF40/SEMA6B/KIFC2/KIF5C/SEMA4C/EFNA1/PTK2/RAC3/ROBO1/ALCAM/SEMA3E/EMB/DSCAM/PTPRM/CDK5R1/DSCAML1/UNC5C/EXT1/CSF1R/EPHB3/SLIT3/EFNA5/SEMA4B/PTCH1/SEMA4D/WNT7B/PLEKHG4/SEMA4A/EVL/L1CAM/BMPR2/ISPD/FOXD1/TUBB3";116
"BP";"GO:0007411";"axon guidance";"115/5170";"238/18496";1,63346273608186e-11;1,47525020250136e-08;"56920/3730/7869/9369/9423/5588/4756/2736/4854/59277/10371/10512/1906/4983/5794/9706/57715/8829/1943/9252/655/6324/3199/2737/2625/6387/219699/9211/7473/1949/5754/9037/90249/7474/2043/1889/9048/8828/89884/1959/1948/64919/6608/1123/4853/347733/80031/84665/8482/658/55605/8543/1944/151449/152330/91653/9353/2676/4781/256158/4851/5795/4684/9638/85449/54915/1909/6868/153478/64221/55740/56896/64843/8997/91624/57216/323/6469/1020/123016/5979/55701/10501/90990/3800/54910/1942/5747/5881/6091/214/9723/133418/1826/5797/8851/57453/8633/2131/1436/2049/6586/1946/10509/5727/10507/7477/25894/64218/51466/3897/659/729920/2297/10381";"SEMA3G/ANOS1/SEMA3B/NRXN3/NTN1/PRKCQ/NEO1/GLI2/NOTCH3/NTN4/SEMA3A/SEMA3C/EDN1/OPHN1/PTPRH/ULK2/SEMA4G/NRP1/EFNA2/RPS6KA5/BMP7/SCN1B/HOXA2/GLI3/GATA3/CXCL12/UNC5B/LGI1/WNT3/EFNB3/PTK7/SEMA5A/UNC5A/WNT5A/EPHA4/ECE1/ARTN/NRP2/LHX4/EGR2/EFNB2/BCL11B/SMO/CHN1/NOTCH2/TUBB2B/SEMA6D/MYPN/SEMA7A/BMPR1B/KIF21A/LMO4/EFNA3/GDF7/CNTN4/BOC/SLIT2/GFRA3/NFIB/HMCN2/NOTCH1/PTPRJ/NCAM1/FEZ1/KIAA1755/YTHDF1/EDNRA/ADAM17/PLEKHG4B/ROBO3/ENAH/DPYSL5/ISL2/KALRN/NEXN/VANGL2/APBB2/SHH/CDK5/TTC8/RET/ARHGEF40/SEMA6B/KIFC2/KIF5C/SEMA4C/EFNA1/PTK2/RAC3/ROBO1/ALCAM/SEMA3E/EMB/DSCAM/PTPRM/CDK5R1/DSCAML1/UNC5C/EXT1/CSF1R/EPHB3/SLIT3/EFNA5/SEMA4B/PTCH1/SEMA4D/WNT7B/PLEKHG4/SEMA4A/EVL/L1CAM/BMPR2/ISPD/FOXD1/TUBB3";115
"BP";"GO:0072006";"nephron development";"85/5170";"161/18496";2,31901916348309e-11;1,83260489394251e-08;"8837/30812/3675/8842/25937/55746/4854/38/1906/7481/1312/51804/655/182/25789/2737/2625/59/2246/5159/6772/7475/4811/5311/1958/7471/652/6662/9953/7849/650/6495/3976/5420/6608/2302/3911/4853/5156/183/1910/23213/10413/51196/2028/5530/80000/26249/2719/4851/84623/1909/9653/9955/284/4643/54361/55083/6469/5979/8642/171023/596/6580/10409/79191/282679/2066/56998/2131/4070/7490/5087/5727/9863/7477/55959/23607/358/342184/2297/3217/5175/100133941/6928";"CFLAR/SOX8/ITGA3/PROM1/WWTR1/NUP133/NOTCH3/ACAT1/EDN1/WNT11/COMT/SIX4/BMP7/JAG1/TMEM59L/GLI3/GATA3/ACTA2/FGF1/PDGFRB/STAT1/WNT6/NID1/PKD2/EGR1/WNT1/BMP4/SOX9/HS3ST3B1/PAX8/BMP2/SIX1/LIF/PODXL/SMO/FOXJ1/LAMA5/NOTCH2/PDGFRA/AGT/EDNRB/SULF1/YAP1/PLCE1/ENPEP/PPP3CA/GREB1L/KLHL3/GPC3/NOTCH1/KIRREL3/EDNRA/HS2ST1/HS3ST3A1/ANGPT1/MYO1E/WNT4/KIF26B/SHH/RET/DCHS1/ASXL1/BCL2/SLC22A1/BASP1/IRX3/AQP11/ERBB4/CTNNBIP1/EXT1/TACSTD2/WT1/PBX1/PTCH1/MAGI2/WNT7B/SULF2/CD2AP/AQP1/FMN1/FOXD1/HOXB7/PECAM1/CD24/HNF1B";85
"BP";"GO:0072073";"kidney epithelium development";"81/5170";"155/18496";1,3243320947331e-10;9,30269722544741e-08;"30812/8842/25937/2263/38/5915/2260/1906/7481/51804/655/182/25789/2737/2625/2246/4090/6772/7475/6382/2043/5311/4072/7471/1948/652/6662/9953/7849/650/6495/3976/5420/6608/2302/3911/5914/4853/10220/183/1910/10413/80000/9353/26249/2719/4851/1909/9653/9955/4643/54361/55083/10252/6469/5979/8642/4086/171023/596/6580/10409/79191/282679/56998/2131/4070/7490/5087/5727/9863/7477/25959/23607/358/342184/2297/3217/5175/100133941/6928";"SOX8/PROM1/WWTR1/FGFR2/ACAT1/RARB/FGFR1/EDN1/WNT11/SIX4/BMP7/JAG1/TMEM59L/GLI3/GATA3/FGF1/SMAD5/STAT1/WNT6/SDC1/EPHA4/PKD2/EPCAM/WNT1/EFNB2/BMP4/SOX9/HS3ST3B1/PAX8/BMP2/SIX1/LIF/PODXL/SMO/FOXJ1/LAMA5/RARA/NOTCH2/GDF11/AGT/EDNRB/YAP1/GREB1L/SLIT2/KLHL3/GPC3/NOTCH1/EDNRA/HS2ST1/HS3ST3A1/MYO1E/WNT4/KIF26B/SPRY1/SHH/RET/DCHS1/SMAD1/ASXL1/BCL2/SLC22A1/BASP1/IRX3/AQP11/CTNNBIP1/EXT1/TACSTD2/WT1/PBX1/PTCH1/MAGI2/WNT7B/KANK2/CD2AP/AQP1/FMN1/FOXD1/HOXB7/PECAM1/CD24/HNF1B";81
"BP";"GO:0048732";"gland development";"188/5170";"451/18496";1,60434453477654e-10;1,01426661488573e-07;"8837/23129/3371/7038/27122/9914/28996/9423/2263/5307/7049/1459/55679/8626/2736/59277/10512/38/5909/2260/1906/7481/2099/7042/8829/51733/7494/706/51804/394/655/81027/284217/5595/80004/2294/8140/7392/3249/857/4233/3200/3209/23242/2737/2625/7473/4669/9368/7448/1374/5618/2246/2908/7474/5361/1181/29842/57142/3488/3398/1386/54206/79971/34/10765/5629/335/7128/5311/57864/9480/7043/3213/4488/8835/6909/540/7471/652/6662/79144/7849/5469/650/7067/2002/6495/64919/6608/3169/1028/3911/445/9104/5914/5176/3158/4853/5156/6927/6926/80326/3142/570/23213/64220/1588/87178/1545/51176/3651/1543/2627/55036/8792/207/1969/8543/3321/9095/151449/55840/1956/4781/4851/1813/472/84159/1909/2697/4838/7547/7498/10481/54361/3625/4487/7039/3549/7048/5308/3673/10370/6469/538/382/5604/367/255738/6091/3175/3219/3643/171023/23440/596/3400/5916/5970/340481/2066/23513/5324/2131/1436/2049/23705/6899/1435/7490/5087/10718/5727/8660/7477/55959/6714/5253/5660/23607/7052/1396/81606/344167/2876/6928/6648";"CFLAR/PLXND1/TNC/TG/DKK3/ATP2C2/HIPK2/NTN1/FGFR2/PITX1/TGFBR3/CSNK2A2/LIMS2/TP63/GLI2/NTN4/SEMA3C/ACAT1/RAP1GAP/FGFR1/EDN1/WNT11/ESR1/TGFB2/NRP1/UPB1/XBP1/TSPO/SIX4/ARHGAP5/BMP7/TUBB1/LAMA1/MAPK3/ESRP2/FOXF1/SLC7A5/USF2/HPN/CAV1/MET/HOXA3/HOXA13/COBL/GLI3/GATA3/WNT3/NAGLU/SLC9A3R1/VTN/CPT1A/PRLR/FGF1/NR3C1/WNT5A/PLXNA1/CLCN2/TFCP2L1/RTN4/IGFBP5/ID2/ATF2/ERRFI1/WLS/ACADM/KDM5B/PROX1/APOA1/TNFAIP3/PKD2/SLC46A2/ONECUT2/TGFB3/HOXB3/MSX2/SOCS2/TBX2/ATP7B/WNT1/BMP4/SOX9/PPDPF/PAX8/MED1/BMP2/THRA/ELK1/SIX1/BCL11B/SMO/FOXA1/CDKN1C/LAMA5/ASS1/RGN/RARA/SERPINF1/HMGCS2/NOTCH2/PDGFRA/HNF1A/TBX3/WNT10A/HLX/BAAT/SULF1/STRA6/CYP19A1/PNPT1/CYP1B1/LEF1/PDX1/CYP1A1/GATA6/CCDC40/TNFRSF11A/AKT1/EPHA2/LMO4/IGSF3/TBX19/GDF7/EAF2/EGFR/NFIB/NOTCH1/DRD2/ATM/ARID5B/EDNRA/GJA1/NODAL/ZIC3/XDH/HOXB13/WNT4/INHBB/MSX1/TGFA/IHH/TGFBR2/PITX2/ITGA2/CITED2/SHH/ATP7A/ARF6/MAP2K1/AR/PCSK9/ROBO1/ONECUT1/HOXB9/INSR/ASXL1/OTP/BCL2/ID4/RARG/RELA/ZDHHC21/ERBB4/SCRIB/PLAG1/EXT1/CSF1R/EPHB3/CADM1/TBX1/CSF1/WT1/PBX1/NRG3/PTCH1/IRS2/WNT7B/SULF2/SRC/PHF2/PSAP/CD2AP/TGM2/CRIP1/LBH/FOXI3/GPX1/HNF1B/SOD2";188
