"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"ODORANT_BINDING (GO:0005549)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_ODORANT_BINDING.html";"Binding to an odorant, any substance capable of stimulating the sense of smell. [GOC:jl, ISBN:0721662544]";108;0,9712932;1,7760906;0;0;0;1042;"tags=1%, list=3%, signal=1%"
"VESICLE_LUMEN (GO:0031983)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_VESICLE_LUMEN.html";"The volume enclosed by the membrane or protein that forms a vesicle. [GOC:mah, GOC:vesicles]";331;0,8483012;1,7592409;0;0;0;882;"tags=13%, list=2%, signal=13%"
"BLOOD_MICROPARTICLE (GO:0072562)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_BLOOD_MICROPARTICLE.html";"A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids. [GOC:BHF, GOC:mah, PMID:16373184]";145;0,93089724;1,7561432;0;0;0;921;"tags=31%, list=3%, signal=32%"
"ENDOPEPTIDASE_REGULATOR_ACTIVITY (GO:0061135)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY.html";"Binds to and modulates the activity of a peptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides. [GOC:dph, GOC:tb]";193;0,8691002;1,7050729;0;0,00025281173;0,001;1264;"tags=19%, list=3%, signal=20%"
"PEPTIDASE_REGULATOR_ACTIVITY (GO:0061134)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_PEPTIDASE_REGULATOR_ACTIVITY.html";"Binds to and modulates the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds. [GOC:dph, GOC:tb]";231;0,84295243;1,6881591;0;0,00078678416;0,004;1264;"tags=18%, list=3%, signal=18%"
"PEPTIDASE_INHIBITOR_ACTIVITY (GO:0030414)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_PEPTIDASE_INHIBITOR_ACTIVITY.html";"Binds to and stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds. [GOC:jl]";172;0,87150127;1,6786826;0;0,0009899571;0,006;1144;"tags=20%, list=3%, signal=21%"
"LIPID_LOCALIZATION (GO:0010876)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_LIPID_LOCALIZATION.html";"Any process in which a lipid is transported to, or maintained in, a specific location. [GOC:BHF, GOC:dph, GOC:tb]";483;0,7711624;1,6740525;0;0,0011321354;0,008;1294;"tags=17%, list=4%, signal=17%"
"MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION (GO:0035278)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION.html";"An RNA interference pathway in which microRNAs (miRNAs) block the translation of target mRNAs into proteins. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA will typically mediate repression of translation if the miRNA imperfectly base-pairs with the 3' untranslated regions of target mRNAs. [PMID:14744438, PMID:15196554]";99;0,92956364;1,6534469;0;0,0029814898;0,023;618;"tags=2%, list=2%, signal=2%"
"REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS (GO:0097006)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS.html";"Any process involved in the maintenance of internal levels of plasma lipoprotein particles within an organism. [GOC:BHF]";103;0,9008461;1,6441392;0,0029411765;0,005097313;0,044;963;"tags=22%, list=3%, signal=23%"
"LIPOPROTEIN_METABOLIC_PROCESS (GO:0042157)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_LIPOPROTEIN_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving any conjugated, water-soluble protein in which the covalently attached nonprotein group consists of a lipid or lipids. [ISBN:0198506732]";89;0,9210221;1,6422993;0,0026954177;0,0047880723;0,046;1415;"tags=24%, list=4%, signal=24%"
"POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS (GO:1903313)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS.html";"Any process that activates or increases the frequency, rate or extent of mRNA metabolic process. [GO_REF:0000058, GOC:TermGenie, GOC:vw]";237;0,8052248;1,6326317;0;0,006267865;0,066;834;"tags=2%, list=2%, signal=2%"
"PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS (GO:0170039)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein. [GOC:ew]";163;0,8452002;1,6304941;0,0028901733;0,0064123864;0,073;1768;"tags=21%, list=5%, signal=22%"
"ALPHA_AMINO_ACID_METABOLIC_PROCESS (GO:1901605)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving an alpha-amino acid. [GOC:TermGenie]";201;0,83038884;1,6280627;0;0,0070748054;0,086;1685;"tags=19%, list=5%, signal=20%"
"ENDOPLASMIC_RETICULUM_LUMEN (GO:0005788)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_ENDOPLASMIC_RETICULUM_LUMEN.html";"The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]";318;0,7769245;1,6176478;0;0,009839469;0,128;954;"tags=19%, list=3%, signal=19%"
