"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000157227";"MMP14";"matrix metallopeptidase 14";354;20,5909557342529;"No"
"row_1";"ENSG00000112559";"MDFI";"MyoD family inhibitor";374;19,2162265777588;"No"
"row_2";"ENSG00000273706";"LHX1";"LIM homeobox 1";581;13,1372566223145;"No"
"row_3";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";604;12,1484727859497;"No"
"row_4";"ENSG00000183691";"NOG";"noggin";834;8,54453754425049;"No"
"row_5";"ENSG00000156574";"NODAL";"nodal growth differentiation factor";1192;4,81316995620728;"No"
"row_6";"ENSG00000143867";"OSR1";"odd-skipped related transcription factor 1";1295;4,38977098464966;"No"
"row_7";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";1919;2,21717262268066;"No"
"row_8";"ENSG00000166949";"SMAD3";"SMAD family member 3";2245;1,55718016624451;"No"
"row_9";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";2438;1,26740550994873;"No"
"row_10";"ENSG00000170577";"SIX2";"SIX homeobox 2";2535;1,13993728160858;"No"
"row_11";"ENSG00000134853";"PDGFRA";"platelet derived growth factor receptor alpha";3993;0,448421329259872;"No"
"row_12";"ENSG00000114378";"HYAL1";"hyaluronidase 1";4093;0,42260730266571;"No"
"row_13";"ENSG00000100625";"SIX4";"SIX homeobox 4";4511;0,300513535737991;"No"
"row_14";"ENSG00000141873";"SLC39A3";"solute carrier family 39 member 3";5051;0,203243717551231;"No"
"row_15";"ENSG00000122691";"TWIST1";"twist family bHLH transcription factor 1";5584;0,134341850876808;"No"
"row_16";"ENSG00000100714";"MTHFD1";"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1";5896;0,0990490093827248;"No"
"row_17";"ENSG00000277258";"PCGF2";"polycomb group ring finger 2";6786;0,0402585119009018;"No"
"row_18";"ENSG00000143570";"SLC39A1";"solute carrier family 39 member 1";6981;0,0323716774582863;"No"
"row_19";"ENSG00000075711";"DLG1";"discs large MAGUK scaffold protein 1";7000;0,0314027108252048;"No"
"row_20";"ENSG00000148516";"ZEB1";"zinc finger E-box binding homeobox 1";7614;0,0113735608756542;"No"
"row_21";"ENSG00000196092";"PAX5";"paired box 5";7779;0,00777099514380097;"No"
"row_22";"ENSG00000156103";"MMP16";"matrix metallopeptidase 16";8167;0,00209305668249726;"No"
"row_23";"ENSG00000141543";"EIF4A3";"eukaryotic translation initiation factor 4A3";8306;0,000830072560347617;"No"
"row_24";"ENSG00000078399";"HOXA9";"homeobox A9";8683;0;"No"
"row_25";"ENSG00000083307";"GRHL2";"grainyhead like transcription factor 2";8714;0;"No"
"row_26";"ENSG00000106004";"HOXA5";"homeobox A5";8911;0;"No"
"row_27";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";8938;0;"No"
"row_28";"ENSG00000108511";"HOXB6";"homeobox B6";8948;0;"No"
"row_29";"ENSG00000111049";"MYF5";"myogenic factor 5";8990;0;"No"
"row_30";"ENSG00000120075";"HOXB5";"homeobox B5";9126;0;"No"
"row_31";"ENSG00000120094";"HOXB1";"homeobox B1";9128;0;"No"
"row_32";"ENSG00000158955";"WNT9B";"Wnt family member 9B";9924;0;"No"
"row_33";"ENSG00000168283";"BMI1";"BMI1 proto-oncogene, polycomb ring finger";10301;0;"No"
"row_34";"ENSG00000177103";"DSCAML1";"DS cell adhesion molecule like 1";10764;0;"No"
"row_35";"ENSG00000182742";"HOXB4";"homeobox B4";11115;0;"No"
"row_36";"ENSG00000197576";"HOXA4";"homeobox A4";11739;0;"No"
"row_37";"ENSG00000070614";"NDST1";"N-deacetylase and N-sulfotransferase 1";27327;-6,95015842211433e-05;"No"
"row_38";"ENSG00000126870";"DYNC2I1";"dynein 2 intermediate chain 1";27384;-0,000227141688810661;"No"
"row_39";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";27466;-0,000622515159193426;"No"
"row_40";"ENSG00000171310";"CHST11";"carbohydrate sulfotransferase 11";27926;-0,00606893142685294;"No"
"row_41";"ENSG00000116132";"PRRX1";"paired related homeobox 1";27981;-0,00719667319208384;"No"
"row_42";"ENSG00000184634";"MED12";"mediator complex subunit 12";28408;-0,017378019168973;"No"
"row_43";"ENSG00000162769";"FLVCR1";"FLVCR choline and heme transporter 1";28460;-0,0182999987155199;"No"
"row_44";"ENSG00000164190";"NIPBL";"NIPBL cohesin loading factor";28791;-0,0309305656701326;"No"
"row_45";"ENSG00000168036";"CTNNB1";"catenin beta 1";28920;-0,0356376618146896;"No"
"row_46";"ENSG00000078246";"TULP3";"TUB like protein 3";28950;-0,0374156720936298;"No"
