"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000074317";"SNCB";"synuclein beta";1300;4,3373589515686;"No"
"row_1";"ENSG00000171867";"PRNP";"prion protein (Kanno blood group)";1401;3,74161672592163;"No"
"row_2";"ENSG00000100253";"MIOX";"myo-inositol oxygenase";1552;2,97833681106567;"No"
"row_3";"ENSG00000087250";"MT3";"metallothionein 3";2703;0,960173070430756;"No"
"row_4";"ENSG00000151929";"BAG3";"BAG cochaperone 3";3146;0,957501769065857;"No"
"row_5";"ENSG00000233276";"GPX1";"glutathione peroxidase 1";3942;0,468899428844452;"No"
"row_6";"ENSG00000066427";"ATXN3";"ataxin 3";3981;0,452424943447113;"No"
"row_7";"ENSG00000051108";"HERPUD1";"homocysteine inducible ER protein with ubiquitin like domain 1";4064;0,434392988681793;"No"
"row_8";"ENSG00000135924";"DNAJB2";"DnaJ heat shock protein family (Hsp40) member B2";4066;0,433946162462234;"No"
"row_9";"ENSG00000100519";"PSMC6";"proteasome 26S subunit, ATPase 6";4087;0,425799697637558;"No"
"row_10";"ENSG00000135018";"UBQLN1";"ubiquilin 1";4203;0,389441549777985;"No"
"row_11";"ENSG00000166170";"BAG5";"BAG cochaperone 5";4921;0,222696229815483;"No"
"row_12";"ENSG00000134109";"EDEM1";"ER degradation enhancing alpha-mannosidase like protein 1";4924;0,222124099731445;"No"
"row_13";"ENSG00000079999";"KEAP1";"kelch like ECH associated protein 1";5046;0,203638508915901;"No"
"row_14";"ENSG00000080815";"PSEN1";"presenilin 1";5095;0,195662885904312;"No"
"row_15";"ENSG00000161011";"SQSTM1";"sequestosome 1";5136;0,190220013260841;"No"
"row_16";"ENSG00000070950";"RAD18";"RAD18 E3 ubiquitin protein ligase";5149;0,188481509685516;"No"
"row_17";"ENSG00000104320";"NBN";"nibrin";6103;0,0847496017813683;"No"
"row_18";"ENSG00000087191";"PSMC5";"proteasome 26S subunit, ATPase 5";6486;0,0574412383139133;"No"
"row_19";"ENSG00000158828";"PINK1";"PTEN induced kinase 1";6637;0,0480219572782516;"No"
"row_20";"ENSG00000197386";"HTT";"huntingtin";6663;0,0467632934451103;"No"
"row_21";"ENSG00000094631";"HDAC6";"histone deacetylase 6";7637;0,0108013544231653;"No"
"row_22";"ENSG00000088930";"XRN2";"5'-3' exoribonuclease 2";7664;0,0102405361831188;"No"
"row_23";"ENSG00000013374";"NUB1";"negative regulator of ubiquitin like proteins 1";8051;0,00356759503483772;"No"
"row_24";"ENSG00000153201";"RANBP2";"RAN binding protein 2";8549;1,3977330581838e-06;"No"
"row_25";"ENSG00000000938";"FGR";"FGR proto-oncogene, Src family tyrosine kinase";8554;0;"No"
"row_26";"ENSG00000100836";"PABPN1";"poly(A) binding protein nuclear 1";8806;0;"No"
"row_27";"ENSG00000121351";"IAPP";"islet amyloid polypeptide";9159;0;"No"
"row_28";"ENSG00000213886";"UBD";"ubiquitin D";14615;0;"No"
"row_29";"ENSG00000073921";"PICALM";"phosphatidylinositol binding clathrin assembly protein";27358;-0,000133600711706094;"No"
"row_30";"ENSG00000163625";"WDFY3";"WD repeat and FYVE domain containing 3";27389;-0,000253394595347345;"No"
"row_31";"ENSG00000085832";"EPS15";"epidermal growth factor receptor pathway substrate 15";27483;-0,000709734042175114;"No"
"row_32";"ENSG00000198081";"ZBTB14";"zinc finger and BTB domain containing 14";27977;-0,00711063295602798;"No"
"row_33";"ENSG00000124788";"ATXN1";"ataxin 1";28199;-0,0112550789490342;"No"
"row_34";"ENSG00000186868";"MAPT";"microtubule associated protein tau";28317;-0,0145785892382264;"No"
"row_35";"ENSG00000082146";"STRADB";"STE20 related adaptor beta";28363;-0,0157867036759853;"No"
"row_36";"ENSG00000167658";"EEF2";"eukaryotic translation elongation factor 2";28827;-0,0322378613054752;"No"
"row_37";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";28918;-0,0355340279638767;"No"
"row_38";"ENSG00000100401";"RANGAP1";"Ran GTPase activating protein 1";29331;-0,0571935437619686;"No"
"row_39";"ENSG00000162231";"NXF1";"nuclear RNA export factor 1";29350;-0,0581955835223198;"No"
"row_40";"ENSG00000110713";"NUP98";"nucleoporin 98 and 96 precursor";29435;-0,0636801272630692;"No"
"row_41";"ENSG00000120885";"CLU";"clusterin";29667;-0,0807369127869606;"No"
"row_42";"ENSG00000128272";"ATF4";"activating transcription factor 4";29942;-0,0972065329551697;"No"
"row_43";"ENSG00000104812";"GYS1";"glycogen synthase 1";30028;-0,105962984263897;"No"
"row_44";"ENSG00000108395";"TRIM37";"tripartite motif containing 37";30066;-0,109126396477222;"No"
"row_45";"ENSG00000162688";"AGL";"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase";30279;-0,134694024920464;"No"
