"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000163568";"AIM2";"absent in melanoma 2";988;6,45034122467041;"No"
"row_1";"ENSG00000105929";"ATP6V0A4";"ATPase H+ transporting V0 subunit a4";1554;2,97833681106567;"No"
"row_2";"ENSG00000172456";"FGGY";"FGGY carbohydrate kinase domain containing";2459;1,22217059135437;"No"
"row_3";"ENSG00000136244";"IL6";"interleukin 6";2751;0,960173070430756;"No"
"row_4";"ENSG00000138435";"CHRNA1";"cholinergic receptor nicotinic alpha 1 subunit";2756;0,960173070430756;"No"
"row_5";"ENSG00000135924";"DNAJB2";"DnaJ heat shock protein family (Hsp40) member B2";4066;0,433946162462234;"No"
"row_6";"ENSG00000136888";"ATP6V1G1";"ATPase H+ transporting V1 subunit G1";4453;0,316530048847198;"No"
"row_7";"ENSG00000083937";"CHMP2B";"charged multivesicular body protein 2B";4552;0,292887210845947;"No"
"row_8";"ENSG00000114573";"ATP6V1A";"ATPase H+ transporting V1 subunit A";4879;0,229014486074448;"No"
"row_9";"ENSG00000080815";"PSEN1";"presenilin 1";5095;0,195662885904312;"No"
"row_10";"ENSG00000132356";"PRKAA1";"protein kinase AMP-activated catalytic subunit alpha 1";5180;0,185467064380646;"No"
"row_11";"ENSG00000127419";"TMEM175";"transmembrane protein 175";5403;0,15744811296463;"No"
"row_12";"ENSG00000168748";"CA7";"carbonic anhydrase 7";5551;0,136889964342117;"No"
"row_13";"ENSG00000169860";"P2RY1";"purinergic receptor P2Y1";5774;0,112518914043903;"No"
"row_14";"ENSG00000166925";"TSC22D4";"TSC22 domain family member 4";6083;0,0869794562458992;"No"
"row_15";"ENSG00000182220";"ATP6AP2";"ATPase H+ transporting accessory protein 2";6558;0,0540612749755383;"No"
"row_16";"ENSG00000130703";"OSBPL2";"oxysterol binding protein like 2";6704;0,0448377169668674;"No"
"row_17";"ENSG00000106460";"TMEM106B";"transmembrane protein 106B";7059;0,0288834944367409;"No"
"row_18";"ENSG00000143553";"SNAPIN";"SNAP associated protein";7593;0,0118970824405551;"No"
"row_19";"ENSG00000174437";"ATP2A2";"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2";7681;0,00985172111541033;"No"
"row_20";"ENSG00000163930";"BAP1";"BRCA1 associated deubiquitinase 1";7992;0,00416733371093869;"No"
"row_21";"ENSG00000109572";"CLCN3";"chloride voltage-gated channel 3";8329;0,000665517582092434;"No"
"row_22";"ENSG00000155097";"ATP6V1C1";"ATPase H+ transporting V1 subunit C1";8534;6,81077335684677e-06;"No"
"row_23";"ENSG00000100554";"ATP6V1D";"ATPase H+ transporting V1 subunit D";8796;0;"No"
"row_24";"ENSG00000103546";"SLC6A2";"solute carrier family 6 member 2";8867;0;"No"
"row_25";"ENSG00000122585";"NPY";"neuropeptide Y";9191;0;"No"
"row_26";"ENSG00000151418";"ATP6V1G3";"ATPase H+ transporting V1 subunit G3";9791;0;"No"
"row_27";"ENSG00000155886";"SLC24A2";"solute carrier family 24 member 2";9868;0;"No"
"row_28";"ENSG00000159720";"ATP6V0D1";"ATPase H+ transporting V0 subunit d1";9945;0;"No"
"row_29";"ENSG00000162882";"HAAO";"3-hydroxyanthranilate 3,4-dioxygenase";10032;0;"No"
"row_30";"ENSG00000162946";"DISC1";"DISC1 scaffold protein";10037;0;"No"
"row_31";"ENSG00000171855";"IFNB1";"interferon beta 1";10491;0;"No"
"row_32";"ENSG00000172137";"CALB2";"calbindin 2";10504;0;"No"
"row_33";"ENSG00000213760";"ATP6V1G2";"ATPase H+ transporting V1 subunit G2";14595;0;"No"
"row_34";"ENSG00000131100";"ATP6V1E1";"ATPase H+ transporting V1 subunit E1";27331;-7,48792808735743e-05;"No"
"row_35";"ENSG00000128524";"ATP6V1F";"ATPase H+ transporting V1 subunit F";27890;-0,00552320759743452;"No"
"row_36";"ENSG00000204843";"DCTN1";"dynactin subunit 1";28005;-0,0076806521974504;"No"
