"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000125821";"DTD1";"D-aminoacyl-tRNA deacylase 1";1960;2,07571887969971;"No"
"row_1";"ENSG00000110619";"CARS1";"cysteinyl-tRNA synthetase 1";3339;0,801627039909363;"No"
"row_2";"ENSG00000109618";"SEPSECS";"Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase";3476;0,702941298484802;"No"
"row_3";"ENSG00000090861";"AARS1";"alanyl-tRNA synthetase 1";4131;0,410123288631439;"No"
"row_4";"ENSG00000165525";"NEMF";"nuclear export mediator factor";4710;0,258086830377579;"No"
"row_5";"ENSG00000128829";"EIF2AK4";"eukaryotic translation initiation factor 2 alpha kinase 4";4738;0,253266990184784;"No"
"row_6";"ENSG00000072506";"HSD17B10";"hydroxysteroid 17-beta dehydrogenase 10";4772;0,25018572807312;"No"
"row_7";"ENSG00000187024";"PTRH1";"peptidyl-tRNA hydrolase 1 homolog";4863;0,232328742742538;"No"
"row_8";"ENSG00000184575";"XPOT";"exportin for tRNA";4953;0,217304572463036;"No"
"row_9";"ENSG00000174173";"TRMT10C";"tRNA methyltransferase 10C, mitochondrial RNase P subunit";5102;0,194683209061623;"No"
"row_10";"ENSG00000100601";"ALKBH1";"alkB homolog 1, histone H2A dioxygenase";5207;0,180971160531044;"No"
"row_11";"ENSG00000162971";"TYW5";"tRNA-yW synthesizing protein 5";5230;0,178982272744179;"No"
"row_12";"ENSG00000166986";"MARS1";"methionyl-tRNA synthetase 1";5236;0,17820318043232;"No"
"row_13";"ENSG00000137760";"ALKBH8";"alkB homolog 8, tRNA methyltransferase";5629;0,128112152218819;"No"
"row_14";"ENSG00000151576";"QTRT2";"queuine tRNA-ribosyltransferase accessory subunit 2";5644;0,126598730683327;"No"
"row_15";"ENSG00000132394";"EEFSEC";"eukaryotic elongation factor, selenocysteine-tRNA specific";5715;0,119356669485569;"No"
"row_16";"ENSG00000129480";"DTD2";"D-aminoacyl-tRNA deacylase 2";5792;0,110003910958767;"No"
"row_17";"ENSG00000164362";"TERT";"telomerase reverse transcriptase";5878;0,100769400596619;"No"
"row_18";"ENSG00000031698";"SARS1";"seryl-tRNA synthetase 1";5986;0,0950097739696503;"No"
"row_19";"ENSG00000196305";"IARS1";"isoleucyl-tRNA synthetase 1";6013;0,0925114825367928;"No"
"row_20";"ENSG00000113272";"THG1L";"tRNA-histidine guanylyltransferase 1 like";6019;0,0917733013629913;"No"
"row_21";"ENSG00000072756";"TRNT1";"tRNA nucleotidyl transferase 1";6329;0,0679084435105324;"No"
"row_22";"ENSG00000037897";"METTL1";"methyltransferase 1, tRNA methylguanosine";6593;0,0511344373226166;"No"
"row_23";"ENSG00000179115";"FARSA";"phenylalanyl-tRNA synthetase subunit alpha";6628;0,0487516820430756;"No"
"row_24";"ENSG00000130921";"MTRFR";"mitochondrial translation release factor in rescue";6646;0,0473711714148521;"No"
"row_25";"ENSG00000037474";"NSUN2";"NOP2/Sun RNA methyltransferase 2";6687;0,0458371378481388;"No"
"row_26";"ENSG00000104835";"SARS2";"seryl-tRNA synthetase 2, mitochondrial";6808;0,0394317023456097;"No"
"row_27";"ENSG00000132740";"IGHMBP2";"immunoglobulin mu DNA binding protein 2";6883;0,037044569849968;"No"
"row_28";"ENSG00000178149";"DALRD3";"DALR anticodon binding domain containing 3";6957;0,0339900851249695;"No"
