"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000081277";"PKP1";"plakophilin 1";1;146,408111572266;"Yes"
"row_1";"ENSG00000167880";"EVPL";"envoplakin";31;75,0952911376953;"Yes"
"row_2";"ENSG00000163993";"S100P";"S100 calcium binding protein P";50;63,153995513916;"Yes"
"row_3";"ENSG00000140945";"CDH13";"cadherin 13";159;35,6995658874512;"Yes"
"row_4";"ENSG00000140937";"CDH11";"cadherin 11";192;32,2459526062012;"Yes"
"row_5";"ENSG00000135046";"ANXA1";"annexin A1";277;25,0263175964355;"Yes"
"row_6";"ENSG00000128052";"KDR";"kinase insert domain receptor";295;23,9404487609863;"Yes"
"row_7";"ENSG00000042493";"CAPG";"capping actin protein, gelsolin like";327;21,903341293335;"Yes"
"row_8";"ENSG00000080031";"PTPRH";"protein tyrosine phosphatase receptor type H";391;18,7531661987305;"Yes"
"row_9";"ENSG00000178209";"PLEC";"plectin";431;17,1822376251221;"Yes"
"row_10";"ENSG00000113361";"CDH6";"cadherin 6";445;16,6729698181152;"Yes"
"row_11";"ENSG00000149654";"CDH22";"cadherin 22";446;16,6729698181152;"Yes"
"row_12";"ENSG00000175793";"SFN";"stratifin";462;16,3279495239258;"Yes"
"row_13";"ENSG00000182718";"ANXA2";"annexin A2";496;15,40687084198;"Yes"
"row_14";"ENSG00000142627";"EPHA2";"EPH receptor A2";518;14,9703350067139;"Yes"
"row_15";"ENSG00000124942";"AHNAK";"AHNAK nucleoprotein";556;13,6575784683228;"Yes"
"row_16";"ENSG00000183230";"CTNNA3";"catenin alpha 3";586;12,6667432785034;"Yes"
"row_17";"ENSG00000159166";"LAD1";"ladinin 1";704;10,2553730010986;"Yes"
"row_18";"ENSG00000075618";"FSCN1";"fascin actin-bundling protein 1";716;9,94934940338135;"Yes"
"row_19";"ENSG00000144824";"PHLDB2";"pleckstrin homology like domain family B member 2";752;9,27329158782959;"Yes"
"row_20";"ENSG00000118898";"PPL";"periplakin";787;9,09747505187988;"Yes"
"row_21";"ENSG00000145526";"CDH18";"cadherin 18";863;7,92193698883057;"Yes"
"row_22";"ENSG00000013588";"GPRC5A";"G protein-coupled receptor class C group 5 member A";956;6,74780607223511;"Yes"
"row_23";"ENSG00000137699";"TRIM29";"tripartite motif containing 29";982;6,45034122467041;"Yes"
"row_24";"ENSG00000136068";"FLNB";"filamin B";1060;5,73848390579224;"Yes"
"row_25";"ENSG00000007062";"PROM1";"prominin 1";1063;5,65455484390259;"Yes"
"row_26";"ENSG00000163191";"S100A11";"S100 calcium binding protein A11";1109;5,51519823074341;"Yes"
"row_27";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";1140;5,17932748794556;"Yes"
"row_28";"ENSG00000136830";"NIBAN2";"niban apoptosis regulator 2";1287;4,42744541168213;"Yes"
"row_29";"ENSG00000062038";"CDH3";"cadherin 3";1330;4,06420087814331;"Yes"
"row_30";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";1389;3,84060788154602;"Yes"
"row_31";"ENSG00000196924";"FLNA";"filamin A";1414;3,6947865486145;"Yes"
"row_32";"ENSG00000065054";"NHERF2";"NHERF family PDZ scaffold protein 2";1416;3,68725037574768;"Yes"
"row_33";"ENSG00000035403";"VCL";"vinculin";1428;3,61822652816772;"Yes"
"row_34";"ENSG00000110047";"EHD1";"EH domain containing 1";1482;3,30402445793152;"Yes"
"row_35";"ENSG00000180611";"MB21D2";"Mab-21 domain containing 2";1718;2,96054673194885;"Yes"
"row_36";"ENSG00000247596";"TWF2";"twinfilin actin binding protein 2";1747;2,82770228385925;"Yes"
"row_37";"ENSG00000158710";"TAGLN2";"transgelin 2";1883;2,31214237213135;"Yes"
"row_38";"ENSG00000150394";"CDH8";"cadherin 8";1955;2,11379265785217;"Yes"
