"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000081277";"PKP1";"plakophilin 1";1;146,408111572266;"Yes"
"row_1";"ENSG00000206075";"SERPINB5";"serpin family B member 5";4;106,498970031738;"Yes"
"row_2";"ENSG00000167880";"EVPL";"envoplakin";31;75,0952911376953;"Yes"
"row_3";"ENSG00000170454";"KRT75";"keratin 75";32;74,9478607177734;"Yes"
"row_4";"ENSG00000124102";"PI3";"peptidase inhibitor 3";39;70,0435104370117;"Yes"
"row_5";"ENSG00000136155";"SCEL";"sciellin";157;36,5716667175293;"Yes"
"row_6";"ENSG00000135046";"ANXA1";"annexin A1";277;25,0263175964355;"Yes"
"row_7";"ENSG00000197632";"SERPINB2";"serpin family B member 2";336;21,7136859893799;"Yes"
"row_8";"ENSG00000182718";"ANXA2";"annexin A2";496;15,40687084198;"Yes"
"row_9";"ENSG00000186832";"KRT16";"keratin 16";686;10,4824342727661;"Yes"
"row_10";"ENSG00000118898";"PPL";"periplakin";787;9,09747505187988;"Yes"
"row_11";"ENSG00000143631";"FLG";"filaggrin";804;8,81974792480469;"Yes"
"row_12";"ENSG00000106211";"HSPB1";"heat shock protein family B (small) member 1";1397;3,78054404258728;"No"
"row_13";"ENSG00000014216";"CAPN1";"calpain 1";2437;1,2693555355072;"No"
"row_14";"ENSG00000197915";"HRNR";"hornerin";2890;0,960173070430756;"No"
"row_15";"ENSG00000215853";"RPTN";"repetin";2925;0,960173070430756;"No"
"row_16";"ENSG00000134755";"DSC2";"desmocollin 2";3358;0,790815591812134;"No"
"row_17";"ENSG00000197191";"CYSRT1";"cysteine rich tail 1";4208;0,388802349567413;"No"
"row_18";"ENSG00000134762";"DSC3";"desmocollin 3";4509;0,301433891057968;"No"
"row_19";"ENSG00000159450";"TCHH";"trichohyalin";5199;0,18269407749176;"No"
"row_20";"ENSG00000184363";"PKP3";"plakophilin 3";6203;0,076433502137661;"No"
"row_21";"ENSG00000105141";"CASP14";"caspase 14";8889;0;"No"
"row_22";"ENSG00000121552";"CSTA";"cystatin A";9165;0;"No"
"row_23";"ENSG00000134757";"DSG3";"desmoglein 3";9463;0;"No"
"row_24";"ENSG00000134760";"DSG1";"desmoglein 1";9464;0;"No"
"row_25";"ENSG00000134765";"DSC1";"desmocollin 1";9465;0;"No"
"row_26";"ENSG00000143520";"FLG2";"filaggrin 2";9641;0;"No"
"row_27";"ENSG00000159516";"SPRR2G";"small proline rich protein 2G";9942;0;"No"
"row_28";"ENSG00000163207";"IVL";"involucrin";10053;0;"No"
"row_29";"ENSG00000163209";"SPRR3";"small proline rich protein 3";10054;0;"No"
"row_30";"ENSG00000163216";"SPRR2D";"small proline rich protein 2D";10055;0;"No"
"row_31";"ENSG00000166634";"SERPINB12";"serpin family B member 12";10215;0;"No"
"row_32";"ENSG00000167755";"KLK6";"kallikrein related peptidase 6";10271;0;"No"
"row_33";"ENSG00000167768";"KRT1";"keratin 1";10273;0;"No"
"row_34";"ENSG00000169469";"SPRR1B";"small proline rich protein 1B";10358;0;"No"
"row_35";"ENSG00000169474";"SPRR1A";"small proline rich protein 1A";10359;0;"No"
"row_36";"ENSG00000172155";"LCE1D";"late cornified envelope 1D";10508;0;"No"
"row_37";"ENSG00000172867";"KRT2";"keratin 2";10559;0;"No"
"row_38";"ENSG00000175065";"DSG4";"desmoglein 4";10650;0;"No"
"row_39";"ENSG00000175315";"CST6";"cystatin E/M";10662;0;"No"
"row_40";"ENSG00000186847";"KRT14";"keratin 14";11408;0;"No"
"row_41";"ENSG00000189182";"KRT77";"keratin 77";11595;0;"No"
"row_42";"ENSG00000196805";"SPRR2B";"small proline rich protein 2B";11681;0;"No"
"row_43";"ENSG00000203782";"LORICRIN";"loricrin cornified envelope precursor protein";12860;0;"No"
"row_44";"ENSG00000203785";"SPRR2E";"small proline rich protein 2E";12863;0;"No"
"row_45";"ENSG00000204539";"CDSN";"corneodesmosin";12957;0;"No"
"row_46";"ENSG00000241794";"SPRR2A";"small proline rich protein 2A";19715;0;"No"
"row_47";"ENSG00000244094";"SPRR2F";"small proline rich protein 2F";20226;0;"No"
"row_48";"ENSG00000092295";"TGM1";"transglutaminase 1";28437;-0,0179457310587168;"No"
"row_49";"ENSG00000046604";"DSG2";"desmoglein 2";29102;-0,0448090545833111;"No"
"row_50";"ENSG00000057294";"PKP2";"plakophilin 2";29436;-0,0637445747852325;"No"
"row_51";"ENSG00000144283";"PKP4";"plakophilin 4";29487;-0,0679658949375153;"No"
"row_52";"ENSG00000186395";"KRT10";"keratin 10";29569;-0,0732975378632545;"No"
"row_53";"ENSG00000115053";"NCL";"nucleolin";29663;-0,0804925560951233;"No"
"row_54";"ENSG00000173801";"JUP";"junction plakoglobin";30502;-0,162318512797356;"No"
"row_55";"ENSG00000169035";"KLK7";"kallikrein related peptidase 7";31090;-0,239586442708969;"No"
"row_56";"ENSG00000189337";"KAZN";"kazrin, periplakin interacting protein";32363;-0,587963223457336;"No"
"row_57";"ENSG00000096696";"DSP";"desmoplakin";32377;-0,597481429576874;"No"
"row_58";"ENSG00000105427";"CNFN";"cornifelin";34421;-2,36723613739014;"No"
"row_59";"ENSG00000128422";"KRT17";"keratin 17";35780;-11,5635795593262;"No"
