"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000106541";"AGR2";"anterior gradient 2, protein disulphide isomerase family member";9;100,463088989258;"Yes"
"row_1";"ENSG00000187678";"SPRY4";"sprouty RTK signaling antagonist 4";52;60,078369140625;"Yes"
"row_2";"ENSG00000173156";"RHOD";"ras homolog family member D";155;37,3926582336426;"Yes"
"row_3";"ENSG00000140945";"CDH13";"cadherin 13";159;35,6995658874512;"Yes"
"row_4";"ENSG00000154175";"ABI3BP";"ABI family member 3 binding protein";181;33,2352485656738;"Yes"
"row_5";"ENSG00000132669";"RIN2";"Ras and Rab interactor 2";202;31,2430152893066;"Yes"
"row_6";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";211;29,7065486907959;"Yes"
"row_7";"ENSG00000152377";"SPOCK1";"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1";281;24,7803211212158;"Yes"
"row_8";"ENSG00000128052";"KDR";"kinase insert domain receptor";295;23,9404487609863;"Yes"
"row_9";"ENSG00000137801";"THBS1";"thrombospondin 1";339;21,6390419006348;"Yes"
"row_10";"ENSG00000157227";"MMP14";"matrix metallopeptidase 14";354;20,5909557342529;"Yes"
"row_11";"ENSG00000106366";"SERPINE1";"serpin family E member 1";363;19,9713745117188;"Yes"
"row_12";"ENSG00000184292";"TACSTD2";"tumor associated calcium signal transducer 2";395;18,528959274292;"Yes"
"row_13";"ENSG00000170927";"PKHD1";"PKHD1 ciliary IPT domain containing fibrocystin/polyductin";423;17,4706878662109;"Yes"
"row_14";"ENSG00000122194";"PLG";"plasminogen";435;17,0615367889404;"Yes"
"row_15";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";476;15,9574518203735;"Yes"
"row_16";"ENSG00000100311";"PDGFB";"platelet derived growth factor subunit B";597;12,3411684036255;"Yes"
"row_17";"ENSG00000144810";"COL8A1";"collagen type VIII alpha 1 chain";636;11,4889783859253;"Yes"
"row_18";"ENSG00000151882";"CCL28";"C-C motif chemokine ligand 28";715;9,99461841583252;"Yes"
"row_19";"ENSG00000086548";"CEACAM6";"CEA cell adhesion molecule 6";750;9,30331993103027;"Yes"
"row_20";"ENSG00000144824";"PHLDB2";"pleckstrin homology like domain family B member 2";752;9,27329158782959;"Yes"
"row_21";"ENSG00000099250";"NRP1";"neuropilin 1";780;9,2553596496582;"Yes"
"row_22";"ENSG00000126458";"RRAS";"RAS related";785;9,1457462310791;"Yes"
"row_23";"ENSG00000101311";"FERMT1";"FERM domain containing kindlin 1";806;8,78287220001221;"Yes"
"row_24";"ENSG00000169856";"ONECUT1";"one cut homeobox 1";914;7,20480728149414;"Yes"
"row_25";"ENSG00000197747";"S100A10";"S100 calcium binding protein A10";932;7,18452644348145;"Yes"
"row_26";"ENSG00000166923";"GREM1";"gremlin 1, DAN family BMP antagonist";989;6,45034122467041;"Yes"
"row_27";"ENSG00000124145";"SDC4";"syndecan 4";1151;5,08592748641968;"Yes"
"row_28";"ENSG00000169499";"PLEKHA2";"pleckstrin homology domain containing A2";1171;4,81958103179932;"Yes"
"row_29";"ENSG00000198759";"EGFL6";"EGF like domain multiple 6";1207;4,81316995620728;"Yes"
"row_30";"ENSG00000163520";"FBLN2";"fibulin 2";1251;4,77698040008545;"Yes"
"row_31";"ENSG00000170961";"HAS2";"hyaluronan synthase 2";1280;4,49763488769531;"Yes"
"row_32";"ENSG00000109743";"BST1";"bone marrow stromal cell antigen 1";1380;3,89863634109497;"Yes"
"row_33";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";1389;3,84060788154602;"Yes"
"row_34";"ENSG00000196924";"FLNA";"filamin A";1414;3,6947865486145;"Yes"
"row_35";"ENSG00000035403";"VCL";"vinculin";1428;3,61822652816772;"Yes"
"row_36";"ENSG00000171564";"FGB";"fibrinogen beta chain";1596;2,97833681106567;"Yes"
"row_37";"ENSG00000185149";"NPY2R";"neuropeptide Y receptor Y2";1613;2,97833681106567;"Yes"
"row_38";"ENSG00000142871";"CCN1";"cellular communication network factor 1";1721;2,94364714622498;"Yes"
"row_39";"ENSG00000174804";"FZD4";"frizzled class receptor 4";1759;2,72728252410889;"Yes"
"row_40";"ENSG00000084636";"COL16A1";"collagen type XVI alpha 1 chain";1824;2,52724051475525;"Yes"
"row_41";"ENSG00000164176";"EDIL3";"EGF like repeats and discoidin domains 3";1849;2,43951964378357;"Yes"
"row_42";"ENSG00000153071";"DAB2";"DAB adaptor protein 2";1926;2,20119142532349;"Yes"
"row_43";"ENSG00000110492";"MDK";"midkine";1935;2,17477345466614;"Yes"
"row_44";"ENSG00000162407";"PLPP3";"phospholipid phosphatase 3";1989;1,99061024188995;"Yes"
