"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000277586";"NEFL";"neurofilament light chain";3;124,782508850098;"Yes"
"row_1";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";19;89,3385772705078;"Yes"
"row_2";"ENSG00000087510";"TFAP2C";"transcription factor AP-2 gamma";105;62,7003746032715;"Yes"
"row_3";"ENSG00000184486";"POU3F2";"POU class 3 homeobox 2";154;53,8964691162109;"Yes"
"row_4";"ENSG00000145147";"SLIT2";"slit guidance ligand 2";328;37,7998809814453;"Yes"
"row_5";"ENSG00000066735";"KIF26A";"kinesin family member 26A";367;35,1801147460938;"Yes"
"row_6";"ENSG00000106689";"LHX2";"LIM homeobox 2";969;14,6163682937622;"Yes"
"row_7";"ENSG00000196092";"PAX5";"paired box 5";1009;14,0796251296997;"Yes"
"row_8";"ENSG00000004848";"ARX";"aristaless related homeobox";1029;13,6227874755859;"Yes"
"row_9";"ENSG00000168542";"COL3A1";"collagen type III alpha 1 chain";1395;8,68181896209717;"Yes"
"row_10";"ENSG00000129682";"FGF13";"fibroblast growth factor 13";1586;7,14139890670776;"Yes"
"row_11";"ENSG00000106852";"LHX6";"LIM homeobox 6";1662;6,42927551269531;"Yes"
"row_12";"ENSG00000163492";"CCDC141";"coiled-coil domain containing 141";1670;6,337158203125;"Yes"
"row_13";"ENSG00000264343";"NOTCH2NLA";"notch 2 N-terminal like A";1800;5,61360359191895;"Yes"
"row_14";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";1880;4,92793607711792;"Yes"
"row_15";"ENSG00000128573";"FOXP2";"forkhead box P2";2017;4,16429901123047;"Yes"
"row_16";"ENSG00000286019";"NOTCH2NLB";"notch 2 N-terminal like B";2240;3,78590321540833;"Yes"
"row_17";"ENSG00000118407";"FILIP1";"filamin A interacting protein 1";2300;3,4498987197876;"Yes"
"row_18";"ENSG00000158748";"HTR6";"5-hydroxytryptamine receptor 6";2455;2,89180707931519;"Yes"
"row_19";"ENSG00000172238";"ATOH1";"atonal bHLH transcription factor 1";2883;1,92242670059204;"No"
"row_20";"ENSG00000166780";"BMERB1";"bMERB domain containing 1";3023;1,75416660308838;"No"
"row_21";"ENSG00000196159";"FAT4";"FAT atypical cadherin 4";3034;1,7079039812088;"No"
"row_22";"ENSG00000286219";"NOTCH2NLC";"notch 2 N-terminal like C";3199;1,39928793907166;"No"
"row_23";"ENSG00000054654";"SYNE2";"spectrin repeat containing nuclear envelope protein 2";3203;1,3941023349762;"No"
"row_24";"ENSG00000100644";"HIF1A";"hypoxia inducible factor 1 subunit alpha";3264;1,28677189350128;"No"
"row_25";"ENSG00000125505";"MBOAT7";"membrane bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7";3282;1,2603634595871;"No"
"row_26";"ENSG00000167552";"TUBA1A";"tubulin alpha 1a";3366;1,13938593864441;"No"
"row_27";"ENSG00000164885";"CDK5";"cyclin dependent kinase 5";3381;1,11786913871765;"No"
"row_28";"ENSG00000163508";"EOMES";"eomesodermin";3425;1,07523941993713;"No"
"row_29";"ENSG00000112137";"PHACTR1";"phosphatase and actin regulator 1";3607;0,926819324493408;"No"
"row_30";"ENSG00000170370";"EMX2";"empty spiracles homeobox 2";3762;0,926819324493408;"No"
"row_31";"ENSG00000196924";"FLNA";"filamin A";4200;0,873644828796387;"No"
"row_32";"ENSG00000108175";"ZMIZ1";"zinc finger MIZ-type containing 1";4214;0,86216139793396;"No"
"row_33";"ENSG00000106692";"FKTN";"fukutin";4339;0,763789117336273;"No"
"row_34";"ENSG00000147526";"TACC1";"transforming acidic coiled-coil containing protein 1";4411;0,708379864692688;"No"
"row_35";"ENSG00000174013";"FBXO45";"F-box protein 45";4549;0,609464168548584;"No"
"row_36";"ENSG00000085433";"WDR47";"WD repeat domain 47";5378;0,305258810520172;"No"
"row_37";"ENSG00000174483";"BBS1";"Bardet-Biedl syndrome 1";5452;0,289695560932159;"No"
"row_38";"ENSG00000167632";"TRAPPC9";"trafficking protein particle complex subunit 9";5526;0,269870281219482;"No"
"row_39";"ENSG00000118193";"KIF14";"kinesin family member 14";5584;0,255792558193207;"No"
"row_40";"ENSG00000137463";"MGARP";"mitochondria localized glutamic acid rich protein";5634;0,245303556323051;"No"
"row_41";"ENSG00000072864";"NDE1";"nudE neurodevelopment protein 1";5649;0,244276240468025;"No"
"row_42";"ENSG00000084676";"NCOA1";"nuclear receptor coactivator 1";5786;0,214669644832611;"No"
"row_43";"ENSG00000076924";"XAB2";"XPA binding protein 2";5959;0,187245413661003;"No"
"row_44";"ENSG00000164828";"SUN1";"Sad1 and UNC84 domain containing 1";5960;0,187027215957642;"No"
"row_45";"ENSG00000112139";"MDGA1";"MAM domain containing glycosylphosphatidylinositol anchor 1";6381;0,130423441529274;"No"
"row_46";"ENSG00000174469";"CNTNAP2";"contactin associated protein 2";6475;0,119572460651398;"No"
"row_47";"ENSG00000108819";"PPP1R9B";"protein phosphatase 1 regulatory subunit 9B";6512;0,114323399960995;"No"
"row_48";"ENSG00000145545";"SRD5A1";"steroid 5 alpha-reductase 1";6527;0,112167611718178;"No"
"row_49";"ENSG00000176171";"BNIP3";"BCL2 interacting protein 3";6799;0,0856571048498154;"No"
"row_50";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";6805;0,085189163684845;"No"
"row_51";"ENSG00000167193";"CRK";"CRK proto-oncogene, adaptor protein";6919;0,0761199295520782;"No"
"row_52";"ENSG00000125124";"BBS2";"Bardet-Biedl syndrome 2";6924;0,0759587809443474;"No"
"row_53";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";6954;0,0728472471237183;"No"
"row_54";"ENSG00000157193";"LRP8";"LDL receptor related protein 8";7135;0,0636794790625572;"No"
"row_55";"ENSG00000067560";"RHOA";"ras homolog family member A";7184;0,0591117441654205;"No"
"row_56";"ENSG00000168944";"CEP120";"centrosomal protein 120";7316;0,0509007386863232;"No"
"row_57";"ENSG00000170345";"FOS";"Fos proto-oncogene, AP-1 transcription factor subunit";7796;0,0261856485158205;"No"
"row_58";"ENSG00000013810";"TACC3";"transforming acidic coiled-coil containing protein 3";7871;0,0231840778142214;"No"
"row_59";"ENSG00000007372";"PAX6";"paired box 6";7987;0,018311932682991;"No"
"row_60";"ENSG00000080815";"PSEN1";"presenilin 1";8010;0,0173557251691818;"No"
"row_61";"ENSG00000176749";"CDK5R1";"cyclin dependent kinase 5 regulatory subunit 1";8453;0,0062715639360249;"No"
"row_62";"ENSG00000130305";"NSUN5";"NOP2/Sun RNA methyltransferase 5";8491;0,00566548341885209;"No"
"row_63";"ENSG00000159131";"GART";"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase";8523;0,00526783801615238;"No"
"row_64";"ENSG00000007168";"PAFAH1B1";"platelet activating factor acetylhydrolase 1b regulatory subunit 1";8763;0,00210033776238561;"No"
"row_65";"ENSG00000205476";"CCDC85C";"coiled-coil domain containing 85C";8867;0,00100894120987505;"No"
"row_66";"ENSG00000137267";"TUBB2A";"tubulin beta 2A class IIa";8985;0,000274332152912393;"No"
"row_67";"ENSG00000072415";"PALS1";"protein associated with LIN7 1, MAGUK p55 family member";9232;0;"No"
"row_68";"ENSG00000112333";"NR2E1";"nuclear receptor subfamily 2 group E member 1";9626;0;"No"
"row_69";"ENSG00000122585";"NPY";"neuropeptide Y";9806;0;"No"
"row_70";"ENSG00000136352";"NKX2-1";"NK2 homeobox 1";10154;0;"No"
"row_71";"ENSG00000136535";"TBR1";"T-box brain transcription factor 1";10161;0;"No"
"row_72";"ENSG00000139352";"ASCL1";"achaete-scute family bHLH transcription factor 1";10227;0;"No"
"row_73";"ENSG00000142700";"DMRTA2";"DMRT like family A2";10305;0;"No"
"row_74";"ENSG00000148053";"NTRK2";"neurotrophic receptor tyrosine kinase 2";10423;0;"No"
"row_75";"ENSG00000155511";"GRIA1";"glutamate ionotropic receptor AMPA type subunit 1";10555;0;"No"
"row_76";"ENSG00000162946";"DISC1";"DISC1 scaffold protein";10727;0;"No"
"row_77";"ENSG00000169313";"P2RY12";"purinergic receptor P2Y12";11080;0;"No"
"row_78";"ENSG00000171450";"CDK5R2";"cyclin dependent kinase 5 regulatory subunit 2";11200;0;"No"
"row_79";"ENSG00000176165";"FOXG1";"forkhead box G1";11454;0;"No"
"row_80";"ENSG00000177301";"KCNA2";"potassium voltage-gated channel subfamily A member 2";11537;0;"No"
"row_81";"ENSG00000198914";"POU3F3";"POU class 3 homeobox 3";12664;0;"No"
"row_82";"ENSG00000205336";"ADGRG1";"adhesion G protein-coupled receptor G1";13886;0;"No"
"row_83";"ENSG00000284862";"CCDC39";"coiled-coil domain 39 molecular ruler complex subunit";27075;0;"No"
"row_84";"ENSG00000100242";"SUN2";"Sad1 and UNC84 domain containing 2";28197;-8,45696013129782e-06;"No"
"row_85";"ENSG00000070770";"CSNK2A2";"casein kinase 2 alpha 2";28282;-0,000186222940101288;"No"
"row_86";"ENSG00000064309";"CDON";"cell adhesion associated, oncogene regulated";28510;-0,00163531873840839;"No"
"row_87";"ENSG00000115310";"RTN4";"reticulon 4";28541;-0,00191989040467888;"No"
"row_88";"ENSG00000189056";"RELN";"reelin";28653;-0,00328397401608527;"No"
"row_89";"ENSG00000266028";"SRGAP2";"SLIT-ROBO Rho GTPase activating protein 2";28969;-0,00918558891862631;"No"
"row_90";"ENSG00000138162";"TACC2";"transforming acidic coiled-coil containing protein 2";29210;-0,0157908126711845;"No"
"row_91";"ENSG00000136527";"TRA2B";"transformer 2 beta homolog";29434;-0,0239475201815367;"No"
"row_92";"ENSG00000091136";"LAMB1";"laminin subunit beta 1";29618;-0,0316813476383686;"No"
"row_93";"ENSG00000285077";"ARHGAP11B";"Rho GTPase activating protein 11B";29753;-0,0385926999151707;"No"
"row_94";"ENSG00000165699";"TSC1";"TSC complex subunit 1";29840;-0,0439379215240479;"No"
"row_95";"ENSG00000096093";"EFHC1";"EF-hand domain containing 1";29920;-0,0478587411344051;"No"
"row_96";"ENSG00000004487";"KDM1A";"lysine demethylase 1A";29935;-0,0486413836479187;"No"
"row_97";"ENSG00000134440";"NARS1";"asparaginyl-tRNA synthetase 1";29940;-0,0489380173385143;"No"
"row_98";"ENSG00000196712";"NF1";"neurofibromin 1";30102;-0,0582883507013321;"No"
"row_99";"ENSG00000140463";"BBS4";"Bardet-Biedl syndrome 4";30230;-0,0690527260303497;"No"
"row_100";"ENSG00000075702";"WDR62";"WD repeat domain 62";30459;-0,0882507711648941;"No"
"row_101";"ENSG00000099942";"CRKL";"CRK like proto-oncogene, adaptor protein";30627;-0,103804372251034;"No"
"row_102";"ENSG00000150764";"DIXDC1";"DIX domain containing 1";30716;-0,109621435403824;"No"
"row_103";"ENSG00000105426";"PTPRS";"protein tyrosine phosphatase receptor type S";30725;-0,110498480498791;"No"
"row_104";"ENSG00000066279";"ASPM";"assembly factor for spindle microtubules";30964;-0,133942663669586;"No"
"row_105";"ENSG00000147316";"MCPH1";"microcephalin 1";30999;-0,137919574975967;"No"
"row_106";"ENSG00000166579";"NDEL1";"nudE neurodevelopment protein 1 like 1";31002;-0,138396143913269;"No"
"row_107";"ENSG00000139197";"PEX5";"peroxisomal biogenesis factor 5";31065;-0,146422564983368;"No"
"row_108";"ENSG00000134294";"SLC38A2";"solute carrier family 38 member 2";31083;-0,149136021733284;"No"
"row_109";"ENSG00000110492";"MDK";"midkine";31171;-0,162117540836334;"No"
"row_110";"ENSG00000171943";"SRGAP2C";"SLIT-ROBO Rho GTPase activating protein 2C";31322;-0,184366703033447;"No"
"row_111";"ENSG00000137285";"TUBB2B";"tubulin beta 2B class IIb";31987;-0,318738758563995;"No"
"row_112";"ENSG00000125863";"MKKS";"MKKS centrosomal shuttling protein";32139;-0,368030339479446;"No"
"row_113";"ENSG00000162928";"PEX13";"peroxisomal biogenesis factor 13";32177;-0,382814109325409;"No"
"row_114";"ENSG00000137210";"TMEM14B";"transmembrane protein 14B";32228;-0,403064876794815;"No"
"row_115";"ENSG00000172728";"FUT10";"fucosyltransferase 10";32344;-0,448585122823715;"No"
"row_116";"ENSG00000168036";"CTNNB1";"catenin beta 1";32457;-0,492192298173904;"No"
"row_117";"ENSG00000108953";"YWHAE";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon";32532;-0,530922472476959;"No"
"row_118";"ENSG00000170558";"CDH2";"cadherin 2";32695;-0,60036426782608;"No"
"row_119";"ENSG00000274211";"SOCS7";"suppressor of cytokine signaling 7";32749;-0,630767941474915;"No"
"row_120";"ENSG00000173406";"DAB1";"DAB adaptor protein 1";32953;-0,756494462490082;"No"
"row_121";"ENSG00000132640";"BTBD3";"BTB domain containing 3";33718;-1,04334926605225;"No"
"row_122";"ENSG00000136848";"DAB2IP";"DAB2 interacting protein";33926;-1,30469334125519;"No"
"row_123";"ENSG00000087088";"BAX";"BCL2 associated X, apoptosis regulator";34040;-1,45767629146576;"No"
"row_124";"ENSG00000138363";"ATIC";"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase";34125;-1,59249782562256;"No"
"row_125";"ENSG00000135334";"AKIRIN2";"akirin 2";34182;-1,6887149810791;"No"
"row_126";"ENSG00000169855";"ROBO1";"roundabout guidance receptor 1";34210;-1,73761665821075;"No"
"row_127";"ENSG00000128602";"SMO";"smoothened, frizzled class receptor";34309;-1,96919655799866;"No"
"row_128";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";34610;-2,73508954048157;"No"
"row_129";"ENSG00000117394";"SLC2A1";"solute carrier family 2 member 1";35408;-7,66465473175049;"No"
"row_130";"ENSG00000135638";"EMX1";"empty spiracles homeobox 1";35492;-8,94927024841309;"No"
