"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000135750";"KCNK1";"potassium two pore domain channel subfamily K member 1";53;75,4080429077148;"Yes"
"row_1";"ENSG00000154764";"WNT7A";"Wnt family member 7A";74;70,1148910522461;"Yes"
"row_2";"ENSG00000182256";"GABRG3";"gamma-aminobutyric acid type A receptor subunit gamma3";173;51,4483909606934;"Yes"
"row_3";"ENSG00000117152";"RGS4";"regulator of G protein signaling 4";187;49,5571746826172;"Yes"
"row_4";"ENSG00000182901";"RGS7";"regulator of G protein signaling 7";196;48,7015266418457;"Yes"
"row_5";"ENSG00000089250";"NOS1";"nitric oxide synthase 1";271;41,8589172363281;"Yes"
"row_6";"ENSG00000169252";"ADRB2";"adrenoceptor beta 2";339;37,1675643920898;"Yes"
"row_7";"ENSG00000081189";"MEF2C";"myocyte enhancer factor 2C";353;36,1046295166016;"Yes"
"row_8";"ENSG00000101188";"NTSR1";"neurotensin receptor 1";437;31,4008655548096;"Yes"
"row_9";"ENSG00000011677";"GABRA3";"gamma-aminobutyric acid type A receptor subunit alpha3";467;29,9779205322266;"Yes"
"row_10";"ENSG00000169760";"NLGN1";"neuroligin 1";706;21,0869903564453;"Yes"
"row_11";"ENSG00000204681";"GABBR1";"gamma-aminobutyric acid type B receptor subunit 1";792;18,4771957397461;"Yes"
"row_12";"ENSG00000184408";"KCND2";"potassium voltage-gated channel subfamily D member 2";872;16,6734504699707;"Yes"
"row_13";"ENSG00000166206";"GABRB3";"gamma-aminobutyric acid type A receptor subunit beta3";987;14,3891639709473;"Yes"
"row_14";"ENSG00000043591";"ADRB1";"adrenoceptor beta 1";989;14,3538408279419;"Yes"
"row_15";"ENSG00000108852";"MPP2";"MAGUK p55 scaffold protein 2";1014;14,0731525421143;"Yes"
"row_16";"ENSG00000161681";"SHANK1";"SH3 and multiple ankyrin repeat domains 1";1036;13,6227874755859;"Yes"
"row_17";"ENSG00000144868";"TMEM108";"transmembrane protein 108";1086;12,6656494140625;"Yes"
"row_18";"ENSG00000164418";"GRIK2";"glutamate ionotropic receptor kainate type subunit 2";1089;12,6656494140625;"Yes"
"row_19";"ENSG00000188906";"LRRK2";"leucine rich repeat kinase 2";1092;12,6656494140625;"Yes"
"row_20";"ENSG00000079841";"RIMS1";"regulating synaptic membrane exocytosis 1";1202;10,9658460617065;"Yes"
"row_21";"ENSG00000176406";"RIMS2";"regulating synaptic membrane exocytosis 2";1270;10,3531703948975;"Yes"
"row_22";"ENSG00000152578";"GRIA4";"glutamate ionotropic receptor AMPA type subunit 4";1415;8,57089328765869;"Yes"
"row_23";"ENSG00000125675";"GRIA3";"glutamate ionotropic receptor AMPA type subunit 3";1603;6,84611749649048;"Yes"
"row_24";"ENSG00000102924";"CBLN1";"cerebellin 1 precursor";1630;6,4694356918335;"Yes"
"row_25";"ENSG00000106089";"STX1A";"syntaxin 1A";1682;6,16978073120117;"Yes"
"row_26";"ENSG00000109738";"GLRB";"glycine receptor beta";1719;5,70398712158203;"Yes"
"row_27";"ENSG00000105737";"GRIK5";"glutamate ionotropic receptor kainate type subunit 5";1723;5,69339418411255;"Yes"
"row_28";"ENSG00000145335";"SNCA";"synuclein alpha";1815;5,49394750595093;"Yes"
"row_29";"ENSG00000152208";"GRID2";"glutamate ionotropic receptor delta type subunit 2";1896;4,8723521232605;"Yes"
"row_30";"ENSG00000183092";"BEGAIN";"brain enriched guanylate kinase associated";2010;4,18968152999878;"Yes"
"row_31";"ENSG00000109991";"P2RX3";"purinergic receptor P2X 3";2054;4,00136089324951;"Yes"
"row_32";"ENSG00000163288";"GABRB1";"gamma-aminobutyric acid type A receptor subunit beta1";2075;4,00136089324951;"Yes"
"row_33";"ENSG00000186479";"RGS7BP";"regulator of G protein signaling 7 binding protein";2098;4,00136089324951;"Yes"
"row_34";"ENSG00000129749";"CHRNA10";"cholinergic receptor nicotinic alpha 10 subunit";2305;3,39259362220764;"Yes"
