"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000139211";"AMIGO2";"adhesion molecule with Ig like domain 2";37;78,0484848022461;"Yes"
"row_1";"ENSG00000154764";"WNT7A";"Wnt family member 7A";74;70,1148910522461;"Yes"
"row_2";"ENSG00000165300";"SLITRK5";"SLIT and NTRK like family member 5";200;48,3211364746094;"Yes"
"row_3";"ENSG00000214376";"VSTM5";"V-set and transmembrane domain containing 5";254;43,4190711975098;"Yes"
"row_4";"ENSG00000184349";"EFNA5";"ephrin A5";274;41,5649795532227;"Yes"
"row_5";"ENSG00000114251";"WNT5A";"Wnt family member 5A";297;39,9102363586426;"Yes"
"row_6";"ENSG00000081189";"MEF2C";"myocyte enhancer factor 2C";353;36,1046295166016;"Yes"
"row_7";"ENSG00000163629";"PTPN13";"protein tyrosine phosphatase non-receptor type 13";378;34,3123626708984;"Yes"
"row_8";"ENSG00000184564";"SLITRK6";"SLIT and NTRK like family member 6";384;34,0229301452637;"Yes"
"row_9";"ENSG00000133216";"EPHB2";"EPH receptor B2";426;32,0115623474121;"Yes"
"row_10";"ENSG00000135905";"DOCK10";"dedicator of cytokinesis 10";445;30,9625988006592;"Yes"
"row_11";"ENSG00000135333";"EPHA7";"EPH receptor A7";447;30,8131523132324;"Yes"
"row_12";"ENSG00000139174";"PRICKLE1";"prickle planar cell polarity protein 1";517;27,5726642608643;"Yes"
"row_13";"ENSG00000153707";"PTPRD";"protein tyrosine phosphatase receptor type D";543;26,7957878112793;"Yes"
"row_14";"ENSG00000124313";"IQSEC2";"IQ motif and Sec7 domain ArfGEF 2";544;26,7617111206055;"Yes"
"row_15";"ENSG00000172260";"NEGR1";"neuronal growth regulator 1";557;26,1978435516357;"Yes"
"row_16";"ENSG00000121753";"ADGRB2";"adhesion G protein-coupled receptor B2";655;22,44211769104;"Yes"
"row_17";"ENSG00000116141";"MARK1";"microtubule affinity regulating kinase 1";683;21,6168956756592;"Yes"
"row_18";"ENSG00000182580";"EPHB3";"EPH receptor B3";685;21,4752521514893;"Yes"
"row_19";"ENSG00000169760";"NLGN1";"neuroligin 1";706;21,0869903564453;"Yes"
"row_20";"ENSG00000185008";"ROBO2";"roundabout guidance receptor 2";727;20,4928436279297;"Yes"
"row_21";"ENSG00000174482";"LINGO2";"leucine rich repeat and Ig domain containing 2";744;19,8763580322266;"Yes"
"row_22";"ENSG00000196358";"NTNG2";"netrin G2";901;15,8905477523804;"Yes"
"row_23";"ENSG00000108684";"ASIC2";"acid sensing ion channel subunit 2";1083;12,6656494140625;"Yes"
"row_24";"ENSG00000076716";"GPC4";"glypican 4";1200;11,0308361053467;"Yes"
"row_25";"ENSG00000176697";"BDNF";"brain derived neurotrophic factor";1212;10,9658460617065;"Yes"
"row_26";"ENSG00000135298";"ADGRB3";"adhesion G protein-coupled receptor B3";1227;10,9203519821167;"Yes"
"row_27";"ENSG00000198400";"NTRK1";"neurotrophic receptor tyrosine kinase 1";1290;10,0609817504883;"Yes"
"row_28";"ENSG00000107984";"DKK1";"dickkopf WNT signaling pathway inhibitor 1";1338;9,44903087615967;"Yes"
"row_29";"ENSG00000030304";"MUSK";"muscle associated receptor tyrosine kinase";1382;8,88251876831055;"Yes"
"row_30";"ENSG00000146242";"TPBG";"trophoblast glycoprotein";1455;8,34568881988525;"Yes"
"row_31";"ENSG00000102924";"CBLN1";"cerebellin 1 precursor";1630;6,4694356918335;"Yes"
"row_32";"ENSG00000189108";"IL1RAPL2";"interleukin 1 receptor accessory protein like 2";1680;6,21060419082642;"Yes"
"row_33";"ENSG00000185070";"FLRT2";"fibronectin leucine rich transmembrane protein 2";1710;5,82296180725098;"Yes"
"row_34";"ENSG00000145335";"SNCA";"synuclein alpha";1815;5,49394750595093;"Yes"
"row_35";"ENSG00000152208";"GRID2";"glutamate ionotropic receptor delta type subunit 2";1896;4,8723521232605;"Yes"
"row_36";"ENSG00000151208";"DLG5";"discs large MAGUK scaffold protein 5";2353;3,15476942062378;"No"
"row_37";"ENSG00000146938";"NLGN4X";"neuroligin 4 X-linked";2357;3,13653969764709;"No"
"row_38";"ENSG00000128011";"LRFN1";"leucine rich repeat and fibronectin type III domain containing 1";2612;2,85237336158752;"No"
"row_39";"ENSG00000144847";"IGSF11";"immunoglobulin superfamily member 11";2623;2,81695580482483;"No"
"row_40";"ENSG00000040608";"RTN4R";"reticulon 4 receptor";2651;2,66635465621948;"No"
"row_41";"ENSG00000186340";"THBS2";"thrombospondin 2";2742;2,28739476203918;"No"
"row_42";"ENSG00000105245";"NUMBL";"NUMB like endocytic adaptor protein";2836;1,96586573123932;"No"
"row_43";"ENSG00000100625";"SIX4";"SIX homeobox 4";2849;1,93445336818695;"No"
"row_44";"ENSG00000177707";"NECTIN3";"nectin cell adhesion molecule 3";3082;1,62382864952087;"No"
"row_45";"ENSG00000110881";"ASIC1";"acid sensing ion channel subunit 1";3170;1,44259238243103;"No"
"row_46";"ENSG00000181754";"AMIGO1";"adhesion molecule with Ig like domain 1";3390;1,11134684085846;"No"
"row_47";"ENSG00000157240";"FZD1";"frizzled class receptor 1";3396;1,10421431064606;"No"
"row_48";"ENSG00000101463";"SYNDIG1";"synapse differentiation inducing 1";3595;0,926819324493408;"No"
"row_49";"ENSG00000154342";"WNT3A";"Wnt family member 3A";3700;0,926819324493408;"No"
"row_50";"ENSG00000155849";"ELMO1";"engulfment and cell motility 1";3705;0,926819324493408;"No"
"row_51";"ENSG00000165379";"LRFN5";"leucine rich repeat and fibronectin type III domain containing 5";3743;0,926819324493408;"No"
"row_52";"ENSG00000198844";"ARHGEF15";"Rho guanine nucleotide exchange factor 15";3866;0,926819324493408;"No"
"row_53";"ENSG00000120509";"PDZD11";"PDZ domain containing 11";4524;0,631221294403076;"No"
