"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";21;134,420455932617;"Yes"
"row_1";"ENSG00000130558";"OLFM1";"olfactomedin 1";178;70,1632461547852;"Yes"
"row_2";"ENSG00000142408";"CACNG8";"calcium voltage-gated channel auxiliary subunit gamma 8";326;54,4318656921387;"Yes"
"row_3";"ENSG00000144868";"TMEM108";"transmembrane protein 108";331;53,8078994750977;"Yes"
"row_4";"ENSG00000189056";"RELN";"reelin";381;49,8766326904297;"Yes"
"row_5";"ENSG00000168824";"NSG1";"neuronal vesicle trafficking associated 1";430;46,5946578979492;"Yes"
"row_6";"ENSG00000168280";"KIF5C";"kinesin family member 5C";447;45,9013404846191;"Yes"
"row_7";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";490;43,162296295166;"Yes"
"row_8";"ENSG00000076716";"GPC4";"glypican 4";517;41,6075172424316;"Yes"
"row_9";"ENSG00000166402";"TUB";"TUB bipartite transcription factor";518;41,6075172424316;"Yes"
"row_10";"ENSG00000130643";"CALY";"calcyon neuron specific vesicular protein";563;38,8540344238281;"Yes"
"row_11";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";662;33,9011688232422;"Yes"
"row_12";"ENSG00000183098";"GPC6";"glypican 6";681;32,9700965881348;"Yes"
"row_13";"ENSG00000156959";"LHFPL4";"LHFPL tetraspan subfamily member 4";860;27,377649307251;"Yes"
"row_14";"ENSG00000155980";"KIF5A";"kinesin family member 5A";978;24,1118297576904;"Yes"
"row_15";"ENSG00000198576";"ARC";"activity regulated cytoskeleton associated protein";1002;23,5251159667969;"Yes"
"row_16";"ENSG00000169760";"NLGN1";"neuroligin 1";1044;22,5571746826172;"Yes"
"row_17";"ENSG00000010361";"FUZ";"fuzzy planar cell polarity protein";1096;21,4334659576416;"Yes"
"row_18";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";1219;18,3593482971191;"Yes"
"row_19";"ENSG00000108231";"LGI1";"leucine rich glioma inactivated 1";1240;17,8452281951904;"Yes"
"row_20";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";1401;14,6311292648315;"Yes"
"row_21";"ENSG00000165985";"C1QL3";"complement C1q like 3";1433;14,1612186431885;"Yes"
"row_22";"ENSG00000132535";"DLG4";"discs large MAGUK scaffold protein 4";1553;12,2075700759888;"Yes"
"row_23";"ENSG00000124140";"SLC12A5";"solute carrier family 12 member 5";1671;10,5776214599609;"Yes"
"row_24";"ENSG00000161835";"TAMALIN";"trafficking regulator and scaffold protein tamalin";1673;10,5776214599609;"Yes"
"row_25";"ENSG00000178568";"ERBB4";"erb-b2 receptor tyrosine kinase 4";1775;9,55655193328857;"Yes"
"row_26";"ENSG00000179915";"NRXN1";"neurexin 1";1847;8,68081569671631;"Yes"
"row_27";"ENSG00000186952";"TMEM232";"transmembrane protein 232";1918;8,19982433319092;"Yes"
"row_28";"ENSG00000011105";"TSPAN9";"tetraspanin 9";1960;7,93115854263306;"Yes"
"row_29";"ENSG00000113758";"DBN1";"drebrin 1";2015;7,29767274856567;"Yes"
"row_30";"ENSG00000103528";"SYT17";"synaptotagmin 17";2105;7,1973729133606;"Yes"
"row_31";"ENSG00000150672";"DLG2";"discs large MAGUK scaffold protein 2";2117;7,04652690887451;"Yes"
"row_32";"ENSG00000157168";"NRG1";"neuregulin 1";2130;6,88619470596313;"Yes"
"row_33";"ENSG00000205436";"EXOC3L4";"exocyst complex component 3 like 4";2343;5,60191059112549;"Yes"
"row_34";"ENSG00000259207";"ITGB3";"integrin subunit beta 3";2484;4,84750604629517;"Yes"
"row_35";"ENSG00000188803";"SHISA6";"shisa family member 6";2519;4,732750415802;"Yes"
"row_36";"ENSG00000165972";"CCDC38";"coiled-coil domain containing 38";2614;4,15095615386963;"Yes"
"row_37";"ENSG00000134874";"DZIP1";"DAZ interacting zinc finger protein 1";2619;4,11137771606445;"Yes"
"row_38";"ENSG00000104219";"ZDHHC2";"zinc finger DHHC-type palmitoyltransferase 2";2623;4,06634950637817;"Yes"
"row_39";"ENSG00000033122";"LRRC7";"leucine rich repeat containing 7";2794;3,23426508903503;"No"
"row_40";"ENSG00000011600";"TYROBP";"transmembrane immune signaling adaptor TYROBP";2830;3,07384133338928;"No"
"row_41";"ENSG00000144596";"GRIP2";"glutamate receptor interacting protein 2";3120;2,82581520080566;"No"
"row_42";"ENSG00000187535";"IFT140";"intraflagellar transport 140";3178;2,61768126487732;"No"
"row_43";"ENSG00000082397";"EPB41L3";"erythrocyte membrane protein band 4.1 like 3";3265;2,29189610481262;"No"
"row_44";"ENSG00000179044";"EXOC3L1";"exocyst complex component 3 like 1";3562;1,74462997913361;"No"
"row_45";"ENSG00000121905";"HPCA";"hippocalcin";3809;1,35290360450745;"No"
"row_46";"ENSG00000187240";"DYNC2H1";"dynein cytoplasmic 2 heavy chain 1";4037;1,05410861968994;"No"
"row_47";"ENSG00000170296";"GABARAP";"GABA type A receptor-associated protein";4808;0,883082330226898;"No"
"row_48";"ENSG00000127946";"HIP1";"huntingtin interacting protein 1";4834;0,856793999671936;"No"
"row_49";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";4838;0,853557109832764;"No"
"row_50";"ENSG00000118965";"WDR35";"WD repeat domain 35";4843;0,851536691188812;"No"
"row_51";"ENSG00000165917";"RAPSN";"receptor associated protein of the synapse";5107;0,672050476074219;"No"
"row_52";"ENSG00000122970";"IFT81";"intraflagellar transport 81";5152;0,65637344121933;"No"
"row_53";"ENSG00000101665";"SMAD7";"SMAD family member 7";5159;0,649332880973816;"No"
"row_54";"ENSG00000196659";"IFT70B";"intraflagellar transport 70B";5321;0,573851585388184;"No"
"row_55";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";5364;0,548220098018646;"No"
"row_56";"ENSG00000143786";"CNIH3";"cornichon family AMPA receptor auxiliary protein 3";5396;0,523473262786865;"No"
"row_57";"ENSG00000075945";"KIFAP3";"kinesin associated protein 3";5593;0,444710910320282;"No"
"row_58";"ENSG00000157796";"WDR19";"WD repeat domain 19";5615;0,436033546924591;"No"
"row_59";"ENSG00000168118";"RAB4A";"RAB4A, member RAS oncogene family";5635;0,427690744400024;"No"
"row_60";"ENSG00000149311";"ATM";"ATM serine/threonine kinase";5842;0,358241409063339;"No"
"row_61";"ENSG00000106688";"SLC1A1";"solute carrier family 1 member 1";5867;0,3510362803936;"No"
"row_62";"ENSG00000168993";"CPLX1";"complexin 1";5879;0,347827553749084;"No"
"row_63";"ENSG00000032742";"IFT88";"intraflagellar transport 88";5888;0,34463906288147;"No"
"row_64";"ENSG00000168026";"TTC21A";"tetratricopeptide repeat domain 21A";5906;0,338501363992691;"No"
"row_65";"ENSG00000181004";"BBS12";"Bardet-Biedl syndrome 12";5989;0,31764554977417;"No"
"row_66";"ENSG00000138175";"ARL3";"ARF like GTPase 3";6105;0,286489635705948;"No"
"row_67";"ENSG00000109083";"IFT20";"intraflagellar transport 20";6142;0,276120513677597;"No"
"row_68";"ENSG00000155761";"SPAG17";"sperm associated antigen 17";6213;0,257825523614883;"No"
"row_69";"ENSG00000125266";"EFNB2";"ephrin B2";6231;0,254932403564453;"No"
"row_70";"ENSG00000123607";"TTC21B";"tetratricopeptide repeat domain 21B";6314;0,236854061484337;"No"
"row_71";"ENSG00000138138";"ATAD1";"ATPase family AAA domain containing 1";6329;0,233525395393372;"No"
"row_72";"ENSG00000135338";"LCA5";"lebercilin LCA5";6430;0,212334036827087;"No"
"row_73";"ENSG00000211456";"SACM1L";"SAC1 like phosphatidylinositide phosphatase";6503;0,200071275234222;"No"
"row_74";"ENSG00000151502";"VPS26B";"VPS26 retromer complex component B";6564;0,190618708729744;"No"
"row_75";"ENSG00000020129";"NCDN";"neurochondrin";6688;0,173218533396721;"No"
"row_76";"ENSG00000164066";"INTU";"inturned planar cell polarity protein";6703;0,169709205627441;"No"
"row_77";"ENSG00000109189";"USP46";"ubiquitin specific peptidase 46";6753;0,162424296140671;"No"
"row_78";"ENSG00000135334";"AKIRIN2";"akirin 2";6838;0,153457254171371;"No"
"row_79";"ENSG00000128581";"IFT22";"intraflagellar transport 22";6862;0,150001302361488;"No"
"row_80";"ENSG00000183020";"AP2A2";"adaptor related protein complex 2 subunit alpha 2";6911;0,14196465909481;"No"
