"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000105427";"CNFN";"cornifelin";6941;0,137889444828033;"No"
"row_1";"ENSG00000134760";"DSG1";"desmoglein 1";10561;0;"No"
"row_2";"ENSG00000134765";"DSC1";"desmocollin 1";10562;0;"No"
"row_3";"ENSG00000143520";"FLG2";"filaggrin 2";10723;0;"No"
"row_4";"ENSG00000159516";"SPRR2G";"small proline rich protein 2G";10961;0;"No"
"row_5";"ENSG00000163216";"SPRR2D";"small proline rich protein 2D";11052;0;"No"
"row_6";"ENSG00000166634";"SERPINB12";"serpin family B member 12";11207;0;"No"
"row_7";"ENSG00000167768";"KRT1";"keratin 1";11249;0;"No"
"row_8";"ENSG00000169474";"SPRR1A";"small proline rich protein 1A";11334;0;"No"
"row_9";"ENSG00000170454";"KRT75";"keratin 75";11375;0;"No"
"row_10";"ENSG00000172155";"LCE1D";"late cornified envelope 1D";11471;0;"No"
"row_11";"ENSG00000172867";"KRT2";"keratin 2";11516;0;"No"
"row_12";"ENSG00000175065";"DSG4";"desmoglein 4";11590;0;"No"
"row_13";"ENSG00000189182";"KRT77";"keratin 77";12453;0;"No"
"row_14";"ENSG00000196805";"SPRR2B";"small proline rich protein 2B";12529;0;"No"
"row_15";"ENSG00000197915";"HRNR";"hornerin";12614;0;"No"
"row_16";"ENSG00000203782";"LORICRIN";"loricrin cornified envelope precursor protein";13693;0;"No"
"row_17";"ENSG00000203785";"SPRR2E";"small proline rich protein 2E";13696;0;"No"
"row_18";"ENSG00000204539";"CDSN";"corneodesmosin";13782;0;"No"
"row_19";"ENSG00000215853";"RPTN";"repetin";15619;0;"No"
"row_20";"ENSG00000241794";"SPRR2A";"small proline rich protein 2A";20219;0;"No"
"row_21";"ENSG00000244094";"SPRR2F";"small proline rich protein 2F";20709;0;"No"
"row_22";"ENSG00000115053";"NCL";"nucleolin";30352;-0,128622367978096;"No"
"row_23";"ENSG00000186395";"KRT10";"keratin 10";32299;-0,632705330848694;"No"
"row_24";"ENSG00000124102";"PI3";"peptidase inhibitor 3";32564;-0,80230987071991;"No"
"row_25";"ENSG00000106211";"HSPB1";"heat shock protein family B (small) member 1";32641;-0,859953165054321;"No"
"row_26";"ENSG00000092295";"TGM1";"transglutaminase 1";32711;-0,921284914016724;"No"
"row_27";"ENSG00000163209";"SPRR3";"small proline rich protein 3";32780;-0,921284914016724;"No"
"row_28";"ENSG00000169469";"SPRR1B";"small proline rich protein 1B";32790;-0,921284914016724;"No"
"row_29";"ENSG00000186847";"KRT14";"keratin 14";32825;-0,921284914016724;"No"
"row_30";"ENSG00000189337";"KAZN";"kazrin, periplakin interacting protein";33595;-1,51260805130005;"No"
"row_31";"ENSG00000144283";"PKP4";"plakophilin 4";33902;-1,99914753437042;"No"
"row_32";"ENSG00000197191";"CYSRT1";"cysteine rich tail 1";34010;-2,32494521141052;"No"
"row_33";"ENSG00000014216";"CAPN1";"calpain 1";34107;-2,61292958259583;"No"
"row_34";"ENSG00000173801";"JUP";"junction plakoglobin";34554;-3,95360493659973;"No"
"row_35";"ENSG00000163207";"IVL";"involucrin";34668;-4,24392032623291;"No"
"row_36";"ENSG00000057294";"PKP2";"plakophilin 2";34930;-5,91149187088013;"Yes"
"row_37";"ENSG00000143631";"FLG";"filaggrin";35172;-8,53775882720947;"Yes"
"row_38";"ENSG00000182718";"ANXA2";"annexin A2";35376;-11,4718074798584;"Yes"
"row_39";"ENSG00000134757";"DSG3";"desmoglein 3";35432;-12,5333461761475;"Yes"
"row_40";"ENSG00000159450";"TCHH";"trichohyalin";35439;-12,6214532852173;"Yes"
"row_41";"ENSG00000197632";"SERPINB2";"serpin family B member 2";35714;-19,1770401000977;"Yes"
"row_42";"ENSG00000118898";"PPL";"periplakin";35896;-26,1497936248779;"Yes"
"row_43";"ENSG00000105141";"CASP14";"caspase 14";36021;-32,6470489501953;"Yes"
"row_44";"ENSG00000184363";"PKP3";"plakophilin 3";36081;-37,620662689209;"Yes"
"row_45";"ENSG00000167755";"KLK6";"kallikrein related peptidase 6";36083;-37,8871154785156;"Yes"
"row_46";"ENSG00000134755";"DSC2";"desmocollin 2";36142;-42,2233352661133;"Yes"
"row_47";"ENSG00000121552";"CSTA";"cystatin A";36159;-43,5204963684082;"Yes"
"row_48";"ENSG00000169035";"KLK7";"kallikrein related peptidase 7";36165;-43,8152923583984;"Yes"
"row_49";"ENSG00000167880";"EVPL";"envoplakin";36246;-50,7758293151855;"Yes"
"row_50";"ENSG00000096696";"DSP";"desmoplakin";36272;-56,2326622009277;"Yes"
"row_51";"ENSG00000128422";"KRT17";"keratin 17";36273;-56,3001174926758;"Yes"
"row_52";"ENSG00000081277";"PKP1";"plakophilin 1";36277;-56,6768035888672;"Yes"
"row_53";"ENSG00000186832";"KRT16";"keratin 16";36291;-59,9778251647949;"Yes"
"row_54";"ENSG00000134762";"DSC3";"desmocollin 3";36306;-62,9074897766113;"Yes"
"row_55";"ENSG00000046604";"DSG2";"desmoglein 2";36314;-66,3203964233398;"Yes"
"row_56";"ENSG00000135046";"ANXA1";"annexin A1";36349;-74,8041305541992;"Yes"
"row_57";"ENSG00000175315";"CST6";"cystatin E/M";36363;-79,9039840698242;"Yes"
"row_58";"ENSG00000136155";"SCEL";"sciellin";36364;-80,066520690918;"Yes"
"row_59";"ENSG00000206075";"SERPINB5";"serpin family B member 5";36392;-113,483070373535;"Yes"
