"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000144452";"ABCA12";"ATP binding cassette subfamily A member 12";1983;7,72747850418091;"No"
"row_1";"ENSG00000125780";"TGM3";"transglutaminase 3";4150;0,997101008892059;"No"
"row_2";"ENSG00000170486";"KRT72";"keratin 72";4264;0,997101008892059;"No"
"row_3";"ENSG00000105427";"CNFN";"cornifelin";6941;0,137889444828033;"No"
"row_4";"ENSG00000134283";"PPHLN1";"periphilin 1";7512;0,0874119624495506;"No"
"row_5";"ENSG00000139648";"KRT71";"keratin 71";10667;0;"No"
"row_6";"ENSG00000159455";"LCE2B";"late cornified envelope 2B";10958;0;"No"
"row_7";"ENSG00000159516";"SPRR2G";"small proline rich protein 2G";10961;0;"No"
"row_8";"ENSG00000161849";"KRT84";"keratin 84";10995;0;"No"
"row_9";"ENSG00000161850";"KRT82";"keratin 82";10996;0;"No"
"row_10";"ENSG00000163202";"LCE3D";"late cornified envelope 3D";11050;0;"No"
"row_11";"ENSG00000163216";"SPRR2D";"small proline rich protein 2D";11052;0;"No"
"row_12";"ENSG00000167768";"KRT1";"keratin 1";11249;0;"No"
"row_13";"ENSG00000169474";"SPRR1A";"small proline rich protein 1A";11334;0;"No"
"row_14";"ENSG00000170454";"KRT75";"keratin 75";11375;0;"No"
"row_15";"ENSG00000170477";"KRT4";"keratin 4";11378;0;"No"
"row_16";"ENSG00000170484";"KRT74";"keratin 74";11379;0;"No"
"row_17";"ENSG00000172155";"LCE1D";"late cornified envelope 1D";11471;0;"No"
"row_18";"ENSG00000172867";"KRT2";"keratin 2";11516;0;"No"
"row_19";"ENSG00000184148";"SPRR4";"small proline rich protein 4";12099;0;"No"
"row_20";"ENSG00000184724";"KRTAP6-1";"keratin associated protein 6-1";12136;0;"No"
"row_21";"ENSG00000185069";"KRT76";"keratin 76";12161;0;"No"
"row_22";"ENSG00000185962";"LCE3A";"late cornified envelope 3A";12209;0;"No"
"row_23";"ENSG00000185966";"LCE3E";"late cornified envelope 3E";12210;0;"No"
"row_24";"ENSG00000186049";"KRT73";"keratin 73";12218;0;"No"
"row_25";"ENSG00000186207";"LCE5A";"late cornified envelope 5A";12238;0;"No"
"row_26";"ENSG00000186226";"LCE1E";"late cornified envelope 1E";12239;0;"No"
"row_27";"ENSG00000186844";"LCE1A";"late cornified envelope 1A";12278;0;"No"
"row_28";"ENSG00000186930";"KRTAP6-2";"keratin associated protein 6-2";12288;0;"No"
"row_29";"ENSG00000187170";"LCE4A";"late cornified envelope 4A";12311;0;"No"
"row_30";"ENSG00000187173";"LCE2A";"late cornified envelope 2A";12312;0;"No"
"row_31";"ENSG00000187180";"LCE2C";"late cornified envelope 2C";12314;0;"No"
"row_32";"ENSG00000187223";"LCE2D";"late cornified envelope 2D";12317;0;"No"
"row_33";"ENSG00000187238";"LCE3B";"late cornified envelope 3B";12318;0;"No"
"row_34";"ENSG00000189182";"KRT77";"keratin 77";12453;0;"No"
"row_35";"ENSG00000196734";"LCE1B";"late cornified envelope 1B";12522;0;"No"
"row_36";"ENSG00000196805";"SPRR2B";"small proline rich protein 2B";12529;0;"No"
"row_37";"ENSG00000197084";"LCE1C";"late cornified envelope 1C";12550;0;"No"
"row_38";"ENSG00000197915";"HRNR";"hornerin";12614;0;"No"
"row_39";"ENSG00000203782";"LORICRIN";"loricrin cornified envelope precursor protein";13693;0;"No"
"row_40";"ENSG00000203785";"SPRR2E";"small proline rich protein 2E";13696;0;"No"
"row_41";"ENSG00000204020";"LIPN";"lipase family member N";13722;0;"No"
"row_42";"ENSG00000204539";"CDSN";"corneodesmosin";13782;0;"No"
"row_43";"ENSG00000205426";"KRT81";"keratin 81";13899;0;"No"
"row_44";"ENSG00000212938";"KRTAP6-3";"keratin associated protein 6-3";15252;0;"No"
"row_45";"ENSG00000235942";"LCE6A";"late cornified envelope 6A";19010;0;"No"
"row_46";"ENSG00000240386";"LCE1F";"late cornified envelope 1F";19917;0;"No"
"row_47";"ENSG00000244057";"LCE3C";"late cornified envelope 3C";20701;0;"No"
"row_48";"ENSG00000244094";"SPRR2F";"small proline rich protein 2F";20709;0;"No"
"row_49";"ENSG00000179526";"SHARPIN";"SHANK associated RH domain interactor";27779;-0,00176110398024321;"No"
"row_50";"ENSG00000163472";"TMEM79";"transmembrane protein 79";27906;-0,00317459343932569;"No"
"row_51";"ENSG00000154227";"CERS3";"ceramide synthase 3";30547;-0,152237206697464;"No"
