"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000146469";"VIP";"vasoactive intestinal peptide";330;25,626766204834;"No"
"row_1";"ENSG00000100911";"PSME2";"proteasome activator subunit 2";644;13,9453554153442;"No"
"row_2";"ENSG00000135439";"AGAP2";"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2";910;9,45387840270996;"No"
"row_3";"ENSG00000035862";"TIMP2";"TIMP metallopeptidase inhibitor 2";1011;8,51589202880859;"No"
"row_4";"ENSG00000123384";"LRP1";"LDL receptor related protein 1";1290;5,83747577667236;"No"
"row_5";"ENSG00000181790";"ADGRB1";"adhesion G protein-coupled receptor B1";1430;5,33519887924194;"No"
"row_6";"ENSG00000102048";"ASB9";"ankyrin repeat and SOCS box containing 9";1431;5,33187294006348;"No"
"row_7";"ENSG00000101210";"EEF1A2";"eukaryotic translation elongation factor 1 alpha 2";1436;5,31465721130371;"No"
"row_8";"ENSG00000129993";"CBFA2T3";"CBFA2/RUNX1 partner transcriptional co-repressor 3";1446;5,22138071060181;"No"
"row_9";"ENSG00000165973";"NELL1";"neural EGFL like 1";1496;4,76911354064941;"No"
"row_10";"ENSG00000166963";"MAP1A";"microtubule associated protein 1A";1596;4,08398532867432;"No"
"row_11";"ENSG00000010704";"HFE";"homeostatic iron regulator";1625;3,90489816665649;"No"
"row_12";"ENSG00000006118";"TMEM132A";"transmembrane protein 132A";1774;3,74753785133362;"No"
"row_13";"ENSG00000128268";"MGAT3";"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase";1893;3,11743307113647;"No"
"row_14";"ENSG00000028137";"TNFRSF1B";"TNF receptor superfamily member 1B";1918;2,99823999404907;"No"
"row_15";"ENSG00000155096";"AZIN1";"antizyme inhibitor 1";2022;2,79337430000305;"No"
"row_16";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";2025;2,77229332923889;"No"
"row_17";"ENSG00000174989";"FBXW8";"F-box and WD repeat domain containing 8";2559;1,97285413742065;"No"
"row_18";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";2642;1,77842569351196;"No"
"row_19";"ENSG00000181019";"NQO1";"NAD(P)H quinone dehydrogenase 1";2656;1,73892712593079;"No"
"row_20";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";2797;1,4848575592041;"No"
"row_21";"ENSG00000073711";"PPP2R3A";"protein phosphatase 2 regulatory subunit B''alpha";2835;1,41628980636597;"No"
"row_22";"ENSG00000007171";"NOS2";"nitric oxide synthase 2";2859;1,38713598251343;"No"
"row_23";"ENSG00000136848";"DAB2IP";"DAB2 interacting protein";2926;1,30608415603638;"No"
"row_24";"ENSG00000107331";"ABCA2";"ATP binding cassette subfamily A member 2";3025;1,1725093126297;"No"
"row_25";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";3054;1,134153008461;"No"
"row_26";"ENSG00000092010";"PSME1";"proteasome activator subunit 1";3075;1,10847914218903;"No"
"row_27";"ENSG00000112425";"EPM2A";"EPM2A glucan phosphatase, laforin";3114;1,05545175075531;"No"
"row_28";"ENSG00000163602";"RYBP";"RING1 and YY1 binding protein";3312;0,946122646331787;"No"
"row_29";"ENSG00000116661";"FBXO2";"F-box protein 2";3329;0,925460994243622;"No"
"row_30";"ENSG00000136634";"IL10";"interleukin 10";3464;0,89727383852005;"No"
"row_31";"ENSG00000143207";"COP1";"COP1 E3 ubiquitin ligase";4100;0,837227046489716;"No"
"row_32";"ENSG00000008710";"PKD1";"polycystin 1, transient receptor potential channel interacting";4175;0,785087704658508;"No"
"row_33";"ENSG00000130164";"LDLR";"low density lipoprotein receptor";4461;0,623648285865784;"No"
"row_34";"ENSG00000158941";"CCAR2";"cell cycle and apoptosis regulator 2";4644;0,531917870044708;"No"
"row_35";"ENSG00000108465";"CDK5RAP3";"CDK5 regulatory subunit associated protein 3";4796;0,476339370012283;"No"
"row_36";"ENSG00000006025";"OSBPL7";"oxysterol binding protein like 7";4817;0,472041010856628;"No"
"row_37";"ENSG00000168785";"TSPAN5";"tetraspanin 5";4833;0,467012822628021;"No"
"row_38";"ENSG00000171150";"SOCS5";"suppressor of cytokine signaling 5";4919;0,435650140047073;"No"
"row_39";"ENSG00000180304";"OAZ2";"ornithine decarboxylase antizyme 2";4948;0,428059458732605;"No"
"row_40";"ENSG00000180008";"SOCS4";"suppressor of cytokine signaling 4";4966;0,418913424015045;"No"
