"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0048483";"autonomic nervous system development";"12/331";"46/18496";1,99557907251657e-11;6,5155656717666e-08;"7021/8929/3196/429/2676/9464/401/5979/89797/6664/4914/91584";"TFAP2B/PHOX2B/TLX2/ASCL1/GFRA3/HAND2/PHOX2A/RET/NAV2/SOX11/NTRK1/PLXNA4";12
"BP";"GO:0048485";"sympathetic nervous system development";"9/331";"22/18496";6,84751549228637e-11;1,11785690411575e-07;"7021/8929/429/2676/9464/401/6664/4914/91584";"TFAP2B/PHOX2B/ASCL1/GFRA3/HAND2/PHOX2A/SOX11/NTRK1/PLXNA4";9
"BP";"GO:0051966";"regulation of synaptic transmission, glutamatergic";"13/331";"77/18496";1,00237624215006e-09;8,18817736590025e-07;"27092/59284/22943/9890/23025/1813/2898/9378/5649/2917/4914/2913/23732";"CACNG4/CACNG7/DKK1/PLPPR4/UNC13A/DRD2/GRIK2/NRXN1/RELN/GRM7/NTRK1/GRM3/FRRS1L";13
"BP";"GO:0060079";"excitatory postsynaptic potential";"15/331";"109/18496";1,00314577223893e-09;8,18817736590025e-07;"1136/9127/6547/2901/23316/5999/1143/66000/57502/1813/1141/2898/9378/57596/5649";"CHRNA3/P2RX6/SLC8A3/GRIK5/CUX2/RGS4/CHRNB4/TMEM108/NLGN4X/DRD2/CHRNB2/GRIK2/NRXN1/BEGAIN/RELN";15
"BP";"GO:0099565";"chemical synaptic transmission, postsynaptic";"15/331";"118/18496";3,09083602447029e-09;2,0183159239791e-06;"1136/9127/6547/2901/23316/5999/1143/66000/57502/1813/1141/2898/9378/57596/5649";"CHRNA3/P2RX6/SLC8A3/GRIK5/CUX2/RGS4/CHRNB4/TMEM108/NLGN4X/DRD2/CHRNB2/GRIK2/NRXN1/BEGAIN/RELN";15
"BP";"GO:0023061";"signal release";"30/331";"496/18496";6,51304321885436e-09;3,54418101825991e-06;"6853/7021/3670/5798/1136/2775/22895/1113/2901/4988/2740/1143/8609/8111/22987/3624/7425/6861/23025/6616/23208/6860/10814/1813/1141/4760/6664/9378/5413/8447";"SYN1/TFAP2B/ISL1/PTPRN/CHRNA3/GNAO1/RPH3A/CHGA/GRIK5/OPRM1/GLP1R/CHRNB4/KLF7/GPR68/SV2C/INHBA/VGF/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/DRD2/CHRNB2/NEUROD1/SOX11/NRXN1/SEPT5/DOC2B";30
"BP";"GO:0006836";"neurotransmitter transport";"19/331";"210/18496";8,08988661689988e-09;3,77335425773973e-06;"6853/6570/1136/22895/4842/6530/2901/1143/22987/6861/23025/6616/23208/6860/10814/1813/9378/5413/8447";"SYN1/SLC18A1/CHRNA3/RPH3A/NOS1/SLC6A2/GRIK5/CHRNB4/SV2C/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/DRD2/NRXN1/SEPT5/DOC2B";19
"BP";"GO:0035249";"synaptic transmission, glutamatergic";"14/331";"111/18496";1,15697333306559e-08;4,39286509979886e-06;"27092/59284/2901/22943/9890/23025/1813/2898/9378/5649/2917/4914/2913/23732";"CACNG4/CACNG7/GRIK5/DKK1/PLPPR4/UNC13A/DRD2/GRIK2/NRXN1/RELN/GRM7/NTRK1/GRM3/FRRS1L";14
"BP";"GO:0060078";"regulation of postsynaptic membrane potential";"16/331";"150/18496";1,2108969647225e-08;4,39286509979886e-06;"2556/1136/9127/6547/2901/23316/5999/1143/66000/57502/1813/1141/2898/9378/57596/5649";"GABRA3/CHRNA3/P2RX6/SLC8A3/GRIK5/CUX2/RGS4/CHRNB4/TMEM108/NLGN4X/DRD2/CHRNB2/GRIK2/NRXN1/BEGAIN/RELN";16
"BP";"GO:0007409";"axonogenesis";"28/331";"458/18496";1,69354650265374e-08;5,52942933116446e-06;"3670/1496/4133/54437/8929/9890/8609/6616/27255/2676/1813/5800/1141/644168/5979/57611/8941/4135/2596/9378/6586/84189/1630/5649/6277/4914/3897/91584";"ISL1/CTNNA2/MAP2/SEMA5B/PHOX2B/PLPPR4/KLF7/SNAP25/CNTN6/GFRA3/DRD2/PTPRO/CHRNB2/DRGX/RET/ISLR2/CDK5R2/MAP6/GAP43/NRXN1/SLIT3/SLITRK6/DCC/RELN/S100A6/NTRK1/L1CAM/PLXNA4";28
"BP";"GO:0042391";"regulation of membrane potential";"28/331";"463/18496";2,13686006230785e-08;6,34258918494101e-06;"1634/2556/3757/3785/1136/4842/9127/6547/2901/8929/23316/5999/1143/64091/3756/66000/57502/1813/6328/1141/3760/2898/81033/9378/57596/131096/3786/5649";"DCN/GABRA3/KCNH2/KCNQ2/CHRNA3/NOS1/P2RX6/SLC8A3/GRIK5/PHOX2B/CUX2/RGS4/CHRNB4/POPDC2/KCNH1/TMEM108/NLGN4X/DRD2/SCN3A/CHRNB2/KCNJ3/GRIK2/KCNH6/NRXN1/BEGAIN/KCNH8/KCNQ3/RELN";28
"BP";"GO:0010975";"regulation of neuron projection development";"27/331";"448/18496";4,13991094400533e-08;1,12640076934812e-05;"11178/1496/1400/4133/1136/158866/11075/5764/22943/23316/3196/163404/6616/5800/1141/1996/4921/5979/57611/91752/238/4135/257194/1630/5649/4914/3897";"LZTS1/CTNNA2/CRMP1/MAP2/CHRNA3/ZDHHC15/STMN2/PTN/DKK1/CUX2/TLX2/PLPPR5/SNAP25/PTPRO/CHRNB2/ELAVL4/DDR2/RET/ISLR2/ZNF804A/ALK/MAP6/NEGR1/DCC/RELN/NTRK1/L1CAM";27
"BP";"GO:0031629";"synaptic vesicle fusion to presynaptic active zone membrane";"8/331";"31/18496";5,32810484623395e-08;1,2836787796669e-05;"22895/2901/6861/6616/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SNAP25/SYT11/SYT4/CPLX2/DOC2B";8
"BP";"GO:0007269";"neurotransmitter secretion";"15/331";"147/18496";6,32357155618382e-08;1,2836787796669e-05;"6853/1136/22895/2901/1143/22987/6861/23025/6616/23208/6860/10814/9378/5413/8447";"SYN1/CHRNA3/RPH3A/GRIK5/CHRNB4/SV2C/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/NRXN1/SEPT5/DOC2B";15
"BP";"GO:0099643";"signal release from synapse";"15/331";"147/18496";6,32357155618382e-08;1,2836787796669e-05;"6853/1136/22895/2901/1143/22987/6861/23025/6616/23208/6860/10814/9378/5413/8447";"SYN1/CHRNA3/RPH3A/GRIK5/CHRNB4/SV2C/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/NRXN1/SEPT5/DOC2B";15
"BP";"GO:0021953";"central nervous system neuron differentiation";"18/331";"215/18496";6,67242384714778e-08;1,2836787796669e-05;"3670/4133/22943/8929/5629/3624/429/1813/1141/1996/4760/401/2624/9378/51286/1630/6096/91584";"ISL1/MAP2/DKK1/PHOX2B/PROX1/INHBA/ASCL1/DRD2/CHRNB2/ELAVL4/NEUROD1/PHOX2A/GATA2/NRXN1/CEND1/DCC/RORB/PLXNA4";18
"BP";"GO:0099500";"vesicle fusion to plasma membrane";"8/331";"32/18496";6,99420789640462e-08;1,2836787796669e-05;"22895/2901/6861/6616/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SNAP25/SYT11/SYT4/CPLX2/DOC2B";8
"BP";"GO:0031630";"regulation of synaptic vesicle fusion to presynaptic active zone membrane";"7/331";"22/18496";7,47010622164507e-08;1,2836787796669e-05;"22895/2901/6861/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SYT11/SYT4/CPLX2/DOC2B";7
"BP";"GO:1901632";"regulation of synaptic vesicle membrane organization";"7/331";"22/18496";7,47010622164507e-08;1,2836787796669e-05;"22895/2901/6861/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SYT11/SYT4/CPLX2/DOC2B";7
"BP";"GO:0048499";"synaptic vesicle membrane organization";"8/331";"36/18496";1,89054074541871e-07;3,08630776689604e-05;"22895/2901/6861/6616/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SNAP25/SYT11/SYT4/CPLX2/DOC2B";8
"BP";"GO:0016079";"synaptic vesicle exocytosis";"12/331";"101/18496";2,5349578480636e-07;3,94125589234651e-05;"6853/22895/2901/22987/6861/23025/6616/23208/6860/10814/5413/8447";"SYN1/RPH3A/GRIK5/SV2C/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/SEPT5/DOC2B";12
"BP";"GO:0050807";"regulation of synapse organization";"21/331";"315/18496";2,6669873127164e-07;3,9580516254632e-05;"11178/1496/158866/22943/23316/9890/6616/55619/147381/57502/1813/5800/57497/1141/91752/257194/158038/9378/84189/5649/4914";"LZTS1/CTNNA2/ZDHHC15/DKK1/CUX2/PLPPR4/SNAP25/DOCK10/CBLN2/NLGN4X/DRD2/PTPRO/LRFN2/CHRNB2/ZNF804A/NEGR1/LINGO2/NRXN1/SLITRK6/RELN/NTRK1";21
"BP";"GO:0048813";"dendrite morphogenesis";"14/331";"144/18496";3,18698746529837e-07;4,52413655399964e-05;"11178/1496/4133/1136/158866/5764/23316/3196/8609/55619/1141/1996/4135/5649";"LZTS1/CTNNA2/MAP2/CHRNA3/ZDHHC15/PTN/CUX2/TLX2/KLF7/DOCK10/CHRNB2/ELAVL4/MAP6/RELN";14
"BP";"GO:0007626";"locomotory behavior";"17/331";"215/18496";3,5190252007341e-07;4,75900635822838e-05;"1136/2775/1143/1621/6616/1813/7545/1141/1996/89797/238/257194/51286/84189/4887/4045/5649";"CHRNA3/GNAO1/CHRNB4/DBH/SNAP25/DRD2/ZIC1/CHRNB2/ELAVL4/NAV2/ALK/NEGR1/CEND1/SLITRK6/NPY2R/LSAMP/RELN";17
"BP";"GO:0050803";"regulation of synapse structure or activity";"21/331";"321/18496";3,64395586388084e-07;4,75900635822838e-05;"11178/1496/158866/22943/23316/9890/6616/55619/147381/57502/1813/5800/57497/1141/91752/257194/158038/9378/84189/5649/4914";"LZTS1/CTNNA2/ZDHHC15/DKK1/CUX2/PLPPR4/SNAP25/DOCK10/CBLN2/NLGN4X/DRD2/PTPRO/LRFN2/CHRNB2/ZNF804A/NEGR1/LINGO2/NRXN1/SLITRK6/RELN/NTRK1";21
"BP";"GO:0007416";"synapse assembly";"19/331";"273/18496";5,20361976405548e-07;6,53454558832352e-05;"2556/140689/11178/22943/23316/6616/55619/147381/57502/1813/1141/2596/257194/158038/9378/84189/5649/4914/91584";"GABRA3/CBLN4/LZTS1/DKK1/CUX2/SNAP25/DOCK10/CBLN2/NLGN4X/DRD2/CHRNB2/GAP43/NEGR1/LINGO2/NRXN1/SLITRK6/RELN/NTRK1/PLXNA4";19
"BP";"GO:0140029";"exocytic process";"11/331";"91/18496";6,75293015306614e-07;8,16604331472628e-05;"2775/22895/2901/6861/23025/6616/23208/6860/10814/5413/8447";"GNAO1/RPH3A/GRIK5/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/SEPT5/DOC2B";11
"BP";"GO:0051960";"regulation of nervous system development";"25/331";"454/18496";7,22751168531874e-07;8,22833956499515e-05;"4133/5764/22943/23316/4988/3196/5629/6860/4613/429/147381/84630/1813/222223/57611/4135/158038/6664/2624/9378/84189/1630/5649/4914/3897";"MAP2/PTN/DKK1/CUX2/OPRM1/TLX2/PROX1/SYT4/MYCN/ASCL1/CBLN2/TTBK1/DRD2/KIAA1324L/ISLR2/MAP6/LINGO2/SOX11/GATA2/NRXN1/SLITRK6/DCC/RELN/NTRK1/L1CAM";25
"BP";"GO:0003357";"noradrenergic neuron differentiation";"5/331";"11/18496";7,53211099043995e-07;8,22833956499515e-05;"8929/429/9464/401/6664";"PHOX2B/ASCL1/HAND2/PHOX2A/SOX11";5
"BP";"GO:0045055";"regulated exocytosis";"17/331";"227/18496";7,5604957718179e-07;8,22833956499515e-05;"6853/22895/201294/1113/2901/22987/3598/6861/23025/6616/23208/6860/10814/8941/2624/5413/8447";"SYN1/RPH3A/UNC13D/CHGA/GRIK5/SV2C/IL13RA2/SYT5/UNC13A/SNAP25/SYT11/SYT4/CPLX2/CDK5R2/GATA2/SEPT5/DOC2B";17
"BP";"GO:0007611";"learning or memory";"19/331";"282/18496";8,50782376794752e-07;8,96065954914472e-05;"84502/6547/5764/22943/23316/2740/1621/6616/23208/6860/64220/84630/57502/1813/1141/1996/9378/5649/4914";"JPH4/SLC8A3/PTN/DKK1/CUX2/GLP1R/DBH/SNAP25/SYT11/SYT4/STRA6/TTBK1/NLGN4X/DRD2/CHRNB2/ELAVL4/NRXN1/RELN/NTRK1";19
"BP";"GO:0007612";"learning";"14/331";"160/18496";1,15226961561488e-06;0,000117567509218206;"84502/6547/5764/22943/1621/6616/23208/64220/57502/1813/1141/1996/9378/5649";"JPH4/SLC8A3/PTN/DKK1/DBH/SNAP25/SYT11/STRA6/NLGN4X/DRD2/CHRNB2/ELAVL4/NRXN1/RELN";14
"BP";"GO:0003015";"heart process";"18/331";"263/18496";1,32429609227964e-06;0,000131025052766455;"3670/3757/492/50507/2775/4842/1113/6547/2740/5999/64091/1813/6328/3760/8862/81033/5142/2946";"ISL1/KCNH2/ATP2B3/NOX4/GNAO1/NOS1/CHGA/SLC8A3/GLP1R/RGS4/POPDC2/DRD2/SCN3A/KCNJ3/APLN/KCNH6/PDE4B/GSTM2";18
"BP";"GO:0007411";"axon guidance";"17/331";"238/18496";1,45690767065191e-06;0,000139905986608191;"3670/54437/8609/27255/2676/5800/644168/5979/8941/2596/9378/6586/1630/5649/4914/3897/91584";"ISL1/SEMA5B/KLF7/CNTN6/GFRA3/PTPRO/DRGX/RET/CDK5R2/GAP43/NRXN1/SLIT3/DCC/RELN/NTRK1/L1CAM/PLXNA4";17
"BP";"GO:0097485";"neuron projection guidance";"17/331";"239/18496";1,54336127659723e-06;0,000143283179844242;"3670/54437/8609/27255/2676/5800/644168/5979/8941/2596/9378/6586/1630/5649/4914/3897/91584";"ISL1/SEMA5B/KLF7/CNTN6/GFRA3/PTPRO/DRGX/RET/CDK5R2/GAP43/NRXN1/SLIT3/DCC/RELN/NTRK1/L1CAM/PLXNA4";17
"BP";"GO:0010996";"response to auditory stimulus";"7/331";"33/18496";1,57984516826729e-06;0,000143283179844242;"5764/64220/1813/2596/9378/3786/84189";"PTN/STRA6/DRD2/GAP43/NRXN1/KCNQ3/SLITRK6";7
"BP";"GO:0008016";"regulation of heart contraction";"16/331";"214/18496";1,63805341197762e-06;0,000144547145678566;"3670/3757/492/2775/4842/1113/6547/2740/5999/64091/1813/3760/8862/81033/5142/2946";"ISL1/KCNH2/ATP2B3/GNAO1/NOS1/CHGA/SLC8A3/GLP1R/RGS4/POPDC2/DRD2/KCNJ3/APLN/KCNH6/PDE4B/GSTM2";16
"BP";"GO:0021675";"nerve development";"11/331";"100/18496";1,75156333627847e-06;0,000149476191092528;"3670/8929/1141/401/644168/5979/89797/3786/84189/4914/91584";"ISL1/PHOX2B/CHRNB2/PHOX2A/DRGX/RET/NAV2/KCNQ3/SLITRK6/NTRK1/PLXNA4";11
"BP";"GO:1903522";"regulation of blood circulation";"18/331";"269/18496";1,82859251855194e-06;0,000149476191092528;"3670/3757/492/4313/2775/4842/1113/6547/2740/5999/64091/1621/1813/3760/8862/81033/5142/2946";"ISL1/KCNH2/ATP2B3/MMP2/GNAO1/NOS1/CHGA/SLC8A3/GLP1R/RGS4/POPDC2/DBH/DRD2/KCNJ3/APLN/KCNH6/PDE4B/GSTM2";18
"BP";"GO:0016358";"dendrite development";"17/331";"242/18496";1,83125502104169e-06;0,000149476191092528;"11178/1496/51412/4133/1136/158866/5764/23316/3196/8609/55619/1141/1996/238/4135/1630/5649";"LZTS1/CTNNA2/ACTL6B/MAP2/CHRNA3/ZDHHC15/PTN/CUX2/TLX2/KLF7/DOCK10/CHRNB2/ELAVL4/ALK/MAP6/DCC/RELN";17
"BP";"GO:0050773";"regulation of dendrite development";"11/331";"102/18496";2,13434301034188e-06;0,000169966583628445;"11178/1136/158866/5764/23316/3196/1141/1996/238/1630/5649";"LZTS1/CHRNA3/ZDHHC15/PTN/CUX2/TLX2/CHRNB2/ELAVL4/ALK/DCC/RELN";11
"BP";"GO:0021545";"cranial nerve development";"9/331";"65/18496";2,23697132415895e-06;0,000173897889842356;"3670/8929/1141/401/644168/89797/84189/4914/91584";"ISL1/PHOX2B/CHRNB2/PHOX2A/DRGX/NAV2/SLITRK6/NTRK1/PLXNA4";9
"BP";"GO:0031338";"regulation of vesicle fusion";"7/331";"35/18496";2,4115309147933e-06;0,000183108103181398;"22895/2901/6861/23208/6860/10814/8447";"RPH3A/GRIK5/SYT5/SYT11/SYT4/CPLX2/DOC2B";7
"BP";"GO:1903305";"regulation of regulated secretory pathway";"12/331";"125/18496";2,55373610386841e-06;0,000189498826798417;"6853/22895/201294/22987/3598/6861/23208/6860/8941/2624/5413/8447";"SYN1/RPH3A/UNC13D/SV2C/IL13RA2/SYT5/SYT11/SYT4/CDK5R2/GATA2/SEPT5/DOC2B";12
"BP";"GO:0060047";"heart contraction";"17/331";"254/18496";3,53214357455081e-06;0,000254744181848954;"3670/3757/492/2775/4842/1113/6547/2740/5999/64091/1813/6328/3760/8862/81033/5142/2946";"ISL1/KCNH2/ATP2B3/GNAO1/NOS1/CHGA/SLC8A3/GLP1R/RGS4/POPDC2/DRD2/SCN3A/KCNJ3/APLN/KCNH6/PDE4B/GSTM2";17
"BP";"GO:0030534";"adult behavior";"13/331";"152/18496";3,58904513477852e-06;0,000254744181848954;"1136/4988/1143/1621/57502/1813/7545/1141/238/9378/51286/84189/5413";"CHRNA3/OPRM1/CHRNB4/DBH/NLGN4X/DRD2/ZIC1/CHRNB2/ALK/NRXN1/CEND1/SLITRK6/SEPT5";13
"BP";"GO:0031632";"positive regulation of synaptic vesicle fusion to presynaptic active zone membrane";"5/331";"15/18496";4,61522706172836e-06;0,00030752482360292;"22895/6861/23208/6860/8447";"RPH3A/SYT5/SYT11/SYT4/DOC2B";5
"BP";"GO:0099502";"calcium-dependent activation of synaptic vesicle fusion";"5/331";"15/18496";4,61522706172836e-06;0,00030752482360292;"22895/6861/23208/6860/8447";"RPH3A/SYT5/SYT11/SYT4/DOC2B";5
"BP";"GO:1901634";"positive regulation of synaptic vesicle membrane organization";"5/331";"15/18496";4,61522706172836e-06;0,00030752482360292;"22895/6861/23208/6860/8447";"RPH3A/SYT5/SYT11/SYT4/DOC2B";5
"BP";"GO:0051953";"negative regulation of amine transport";"6/331";"26/18496";5,34215503182032e-06;0,000348842723577867;"1113/5999/23208/6860/1813/2917";"CHGA/RGS4/SYT11/SYT4/DRD2/GRM7";6
