"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000165731";"RET";"ret proto-oncogene";1;168,121734619141;"Yes"
"row_1";"ENSG00000016082";"ISL1";"ISL LIM homeobox 1";7;143,723220825195;"Yes"
"row_2";"ENSG00000182168";"UNC5C";"unc-5 netrin receptor C";9;136,812103271484;"Yes"
"row_3";"ENSG00000149294";"NCAM1";"neural cell adhesion molecule 1";30;110,263969421387;"Yes"
"row_4";"ENSG00000018236";"CNTN1";"contactin 1";42;103,984580993652;"Yes"
"row_5";"ENSG00000168280";"KIF5C";"kinesin family member 5C";43;103,210548400879;"Yes"
"row_6";"ENSG00000141622";"ARK2C";"arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C";73;90,2736740112305;"Yes"
"row_7";"ENSG00000083290";"ULK2";"unc-51 like autophagy activating kinase 2";88;85,8168182373047;"Yes"
"row_8";"ENSG00000082684";"SEMA5B";"semaphorin 5B";102;81,7348937988281;"Yes"
"row_9";"ENSG00000137872";"SEMA6D";"semaphorin 6D";116;78,4743041992188;"Yes"
"row_10";"ENSG00000085552";"IGSF9";"immunoglobulin superfamily member 9";124;77,0173873901367;"Yes"
"row_11";"ENSG00000184349";"EFNA5";"ephrin A5";125;76,9756698608398;"Yes"
"row_12";"ENSG00000146013";"GFRA3";"GDNF family receptor alpha 3";152;71,6388092041016;"Yes"
"row_13";"ENSG00000185008";"ROBO2";"roundabout guidance receptor 2";193;66,7658157348633;"Yes"
"row_14";"ENSG00000104967";"NOVA2";"NOVA alternative splicing regulator 2";197;66,4958724975586;"Yes"
"row_15";"ENSG00000107485";"GATA3";"GATA binding protein 3";202;66,0686111450195;"Yes"
"row_16";"ENSG00000184347";"SLIT3";"slit guidance ligand 3";229;61,970947265625;"Yes"
"row_17";"ENSG00000143355";"LHX9";"LIM homeobox 9";230;61,8310813903809;"Yes"
"row_18";"ENSG00000151490";"PTPRO";"protein tyrosine phosphatase receptor type O";270;57,955394744873;"Yes"
"row_19";"ENSG00000144857";"BOC";"BOC cell adhesion associated, oncogene regulated";277;57,5657539367676;"Yes"
"row_20";"ENSG00000171450";"CDK5R2";"cyclin dependent kinase 5 regulatory subunit 2";281;56,799732208252;"Yes"
"row_21";"ENSG00000149557";"FEZ1";"fasciculation and elongation protein zeta 1";305;54,5472679138184;"Yes"
"row_22";"ENSG00000165606";"DRGX";"dorsal root ganglia homeobox";314;54,1766815185547;"Yes"
"row_23";"ENSG00000162738";"VANGL2";"VANGL planar cell polarity protein 2";324;53,2952079772949;"Yes"
"row_24";"ENSG00000125266";"EFNB2";"ephrin B2";339;52,3415908813477;"Yes"
"row_25";"ENSG00000134115";"CNTN6";"contactin 6";346;51,6992340087891;"Yes"
"row_26";"ENSG00000074047";"GLI2";"GLI family zinc finger 2";408;46,931282043457;"Yes"
"row_27";"ENSG00000107731";"UNC5B";"unc-5 netrin receptor B";412;46,6328964233398;"Yes"
"row_28";"ENSG00000070886";"EPHA8";"EPH receptor A8";423;46,1962623596191;"Yes"
"row_29";"ENSG00000151617";"EDNRA";"endothelin receptor type A";457;43,8253784179688;"Yes"
"row_30";"ENSG00000198400";"NTRK1";"neurotrophic receptor tyrosine kinase 1";471;42,8287620544434;"Yes"
"row_31";"ENSG00000157851";"DPYSL5";"dihydropyrimidinase like 5";476;42,5375900268555;"Yes"
"row_32";"ENSG00000006468";"ETV1";"ETS variant transcription factor 1";477;42,4988632202148;"Yes"
"row_33";"ENSG00000133216";"EPHB2";"EPH receptor B2";500;40,6740074157715;"Yes"
"row_34";"ENSG00000138696";"BMPR1B";"bone morphogenetic protein receptor type 1B";529;38,9579391479492;"Yes"
"row_35";"ENSG00000153404";"PLEKHG4B";"pleckstrin homology and RhoGEF domain containing G4B";533;38,8653984069824;"Yes"
"row_36";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";568;36,9872856140137;"Yes"
"row_37";"ENSG00000170571";"EMB";"embigin";596;35,6853370666504;"Yes"
"row_38";"ENSG00000153993";"SEMA3D";"semaphorin 3D";673;32,6296806335449;"Yes"
"row_39";"ENSG00000187323";"DCC";"DCC netrin 1 receptor";683;32,2917289733887;"Yes"
"row_40";"ENSG00000156687";"UNC5D";"unc-5 netrin receptor D";690;32,1629180908203;"Yes"
"row_41";"ENSG00000108947";"EFNB3";"ephrin B3";704;31,7892456054688;"Yes"
"row_42";"ENSG00000221866";"PLXNA4";"plexin A4";730;30,4241065979004;"Yes"
"row_43";"ENSG00000075223";"SEMA3C";"semaphorin 3C";799;27,7833652496338;"Yes"
"row_44";"ENSG00000091129";"NRCAM";"neuronal cell adhesion molecule";871;25,1509647369385;"Yes"
"row_45";"ENSG00000144619";"CNTN4";"contactin 4";897;24,5024337768555;"Yes"
"row_46";"ENSG00000075213";"SEMA3A";"semaphorin 3A";1007;21,6302738189697;"Yes"
"row_47";"ENSG00000107562";"CXCL12";"C-X-C motif chemokine ligand 12";1038;20,9153022766113;"Yes"
"row_48";"ENSG00000162490";"DRAXIN";"dorsal inhibitory axon guidance protein";1072;19,9685821533203;"Yes"
"row_49";"ENSG00000080224";"EPHA6";"EPH receptor A6";1172;17,8861637115479;"Yes"
"row_50";"ENSG00000182580";"EPHB3";"EPH receptor B3";1176;17,7814331054688;"Yes"
"row_51";"ENSG00000124205";"EDN3";"endothelin 3";1267;16,2961483001709;"Yes"
"row_52";"ENSG00000154134";"ROBO3";"roundabout guidance receptor 3";1295;15,8698682785034;"Yes"
"row_53";"ENSG00000187122";"SLIT1";"slit guidance ligand 1";1300;15,7527694702148;"Yes"
"row_54";"ENSG00000187764";"SEMA4D";"semaphorin 4D";1362;14,6295928955078;"Yes"
"row_55";"ENSG00000184144";"CNTN2";"contactin 2";1364;14,6161203384399;"Yes"
"row_56";"ENSG00000147862";"NFIB";"nuclear factor I B";1372;14,4792003631592;"Yes"
"row_57";"ENSG00000148357";"HMCN2";"hemicentin 2";1381;14,2466688156128;"Yes"
"row_58";"ENSG00000108231";"LGI1";"leucine rich glioma inactivated 1";1408;13,7527990341187;"Yes"
"row_59";"ENSG00000114251";"WNT5A";"Wnt family member 5A";1444;13,3498840332031;"Yes"
"row_60";"ENSG00000170017";"ALCAM";"activated leukocyte cell adhesion molecule";1445;13,3428812026978;"Yes"
"row_61";"ENSG00000116147";"TNR";"tenascin R";1563;11,7409257888794;"Yes"
"row_62";"ENSG00000117407";"ARTN";"artemin";1602;11,1190690994263;"Yes"
"row_63";"ENSG00000163531";"NFASC";"neurofascin";1619;11,0581827163696;"Yes"
"row_64";"ENSG00000145147";"SLIT2";"slit guidance ligand 2";1626;10,8071603775024;"Yes"
"row_65";"ENSG00000113763";"UNC5A";"unc-5 netrin receptor A";1654;10,4841709136963;"Yes"
"row_66";"ENSG00000134121";"CHL1";"cell adhesion molecule L1 like";1663;10,4607524871826;"Yes"
"row_67";"ENSG00000128656";"CHN1";"chimerin 1";1698;10,237865447998;"Yes"
"row_68";"ENSG00000182578";"CSF1R";"colony stimulating factor 1 receptor";1771;9,31097888946533;"Yes"
"row_69";"ENSG00000118263";"KLF7";"KLF transcription factor 7";1838;8,57476902008057;"Yes"
"row_70";"ENSG00000112902";"SEMA5A";"semaphorin 5A";1911;8,2054328918457;"Yes"
"row_71";"ENSG00000010810";"FYN";"FYN proto-oncogene, Src family tyrosine kinase";1912;8,1980094909668;"Yes"
