"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000018236";"CNTN1";"contactin 1";42;103,984580993652;"Yes"
"row_1";"ENSG00000170091";"NSG2";"neuronal vesicle trafficking associated 2";65;93,4325332641602;"Yes"
"row_2";"ENSG00000117971";"CHRNB4";"cholinergic receptor nicotinic beta 4 subunit";75;89,9196929931641;"Yes"
"row_3";"ENSG00000144868";"TMEM108";"transmembrane protein 108";79;88,5208282470703;"Yes"
"row_4";"ENSG00000117600";"PLPPR4";"phospholipid phosphatase related 4";80;88,4756698608398;"Yes"
"row_5";"ENSG00000133019";"CHRM3";"cholinergic receptor muscarinic 3";85;87,2307586669922;"Yes"
"row_6";"ENSG00000105737";"GRIK5";"glutamate ionotropic receptor kainate type subunit 5";114;78,9143829345703;"Yes"
"row_7";"ENSG00000085552";"IGSF9";"immunoglobulin superfamily member 9";124;77,0173873901367;"Yes"
"row_8";"ENSG00000087258";"GNAO1";"G protein subunit alpha o1";135;74,6111526489258;"Yes"
"row_9";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";136;74,3759155273438;"Yes"
"row_10";"ENSG00000089169";"RPH3A";"rabphilin 3A";140;73,4187774658203;"Yes"
"row_11";"ENSG00000164418";"GRIK2";"glutamate ionotropic receptor kainate type subunit 2";162;70,2065658569336;"Yes"
"row_12";"ENSG00000080854";"IGSF9B";"immunoglobulin superfamily member 9B";180;68,3332290649414;"Yes"
"row_13";"ENSG00000131409";"LRRC4B";"leucine rich repeat containing 4B";183;67,8445510864258;"Yes"
"row_14";"ENSG00000066032";"CTNNA2";"catenin alpha 2";204;65,9694213867188;"Yes"
"row_15";"ENSG00000123096";"SSPN";"sarcospan";237;61,4887504577637;"Yes"
"row_16";"ENSG00000160716";"CHRNB2";"cholinergic receptor nicotinic beta 2 subunit";241;61,115104675293;"Yes"
"row_17";"ENSG00000151490";"PTPRO";"protein tyrosine phosphatase receptor type O";270;57,955394744873;"Yes"
"row_18";"ENSG00000080644";"CHRNA3";"cholinergic receptor nicotinic alpha 3 subunit";308;54,3339729309082;"Yes"
"row_19";"ENSG00000162738";"VANGL2";"VANGL planar cell polarity protein 2";324;53,2952079772949;"Yes"
