"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000012223";"LTF";"lactotransferrin";1757;9,31097888946533;"No"
"row_1";"ENSG00000134321";"RSAD2";"radical S-adenosyl methionine domain containing 2";2243;6,18826913833618;"No"
"row_2";"ENSG00000117707";"PROX1";"prospero homeobox 1";4378;1,04474914073944;"No"
"row_3";"ENSG00000132376";"INPP5K";"inositol polyphosphate-5-phosphatase K";4381;1,0423731803894;"No"
"row_4";"ENSG00000135250";"SRPK2";"SRSF protein kinase 2";5669;0,688033223152161;"No"
"row_5";"ENSG00000154370";"TRIM11";"tripartite motif containing 11";6363;0,3959139585495;"No"
"row_6";"ENSG00000174720";"LARP7";"La ribonucleoprotein 7, transcriptional regulator";7169;0,206406503915787;"No"
"row_7";"ENSG00000055332";"EIF2AK2";"eukaryotic translation initiation factor 2 alpha kinase 2";7894;0,110498517751694;"No"
"row_8";"ENSG00000129351";"ILF3";"interleukin enhancer binding factor 3";8374;0,0661246106028557;"No"
"row_9";"ENSG00000152242";"ARK2N";"arkadia (RNF111) N-terminal like PKA signaling regulator 2N";8619;0,0507931038737297;"No"
"row_10";"ENSG00000116525";"TRIM62";"tripartite motif containing 62";9247;0,0197986513376236;"No"
"row_11";"ENSG00000124164";"VAPB";"VAMP associated protein B and C";9939;0,00260741962119937;"No"
"row_12";"ENSG00000145901";"TNIP1";"TNFAIP3 interacting protein 1";10243;0,00014572445070371;"No"
"row_13";"ENSG00000080561";"MID2";"midline 2";10441;0;"No"
"row_14";"ENSG00000100298";"APOBEC3H";"apolipoprotein B mRNA editing enzyme catalytic subunit 3H";10515;0;"No"
"row_15";"ENSG00000111335";"OAS2";"2'-5'-oligoadenylate synthetase 2";10696;0;"No"
"row_16";"ENSG00000111732";"AICDA";"activation induced cytidine deaminase";10702;0;"No"
"row_17";"ENSG00000119401";"TRIM32";"tripartite motif containing 32";10794;0;"No"
"row_18";"ENSG00000121236";"TRIM6";"tripartite motif containing 6";10827;0;"No"
"row_19";"ENSG00000124107";"SLPI";"secretory leukocyte peptidase inhibitor";10872;0;"No"
"row_20";"ENSG00000128383";"APOBEC3A";"apolipoprotein B mRNA editing enzyme catalytic subunit 3A";10977;0;"No"
"row_21";"ENSG00000132703";"APCS";"amyloid P component, serum";11061;0;"No"
"row_22";"ENSG00000135114";"OASL";"2'-5'-oligoadenylate synthetase like";11114;0;"No"
"row_23";"ENSG00000138135";"CH25H";"cholesterol 25-hydroxylase";11191;0;"No"
"row_24";"ENSG00000152778";"IFIT5";"interferon induced protein with tetratricopeptide repeats 5";11437;0;"No"
"row_25";"ENSG00000163661";"PTX3";"pentraxin 3";11658;0;"No"
"row_26";"ENSG00000171855";"IFNB1";"interferon beta 1";12062;0;"No"
"row_27";"ENSG00000197110";"IFNL3";"interferon lambda 3";13212;0;"No"
"row_28";"ENSG00000204347";"BTBD17";"BTB domain containing 17";14440;0;"No"
"row_29";"ENSG00000204616";"TRIM31";"tripartite motif containing 31";14482;0;"No"
"row_30";"ENSG00000204977";"TRIM13";"tripartite motif containing 13";14539;0;"No"
"row_31";"ENSG00000232810";"TNF";"tumor necrosis factor";19120;0;"No"
"row_32";"ENSG00000243811";"APOBEC3D";"apolipoprotein B mRNA editing enzyme catalytic subunit 3D";21457;0;"No"
"row_33";"ENSG00000271503";"CCL5";"C-C motif chemokine ligand 5";25797;0;"No"
"row_34";"ENSG00000204713";"TRIM27";"tripartite motif containing 27";29374;-0,018370920792222;"No"
"row_35";"ENSG00000128394";"APOBEC3F";"apolipoprotein B mRNA editing enzyme catalytic subunit 3F";29395;-0,0193025097250938;"No"
"row_36";"ENSG00000102921";"N4BP1";"NEDD4 binding protein 1";29599;-0,0272247511893511;"No"
"row_37";"ENSG00000153560";"UBP1";"upstream binding protein 1";29768;-0,0358776897192001;"No"
"row_38";"ENSG00000130726";"TRIM28";"tripartite motif containing 28";29806;-0,0385042950510979;"No"
"row_39";"ENSG00000105939";"ZC3HAV1";"zinc finger CCCH-type containing, antiviral 1";29929;-0,0459168925881386;"No"
"row_40";"ENSG00000175334";"BANF1";"barrier to autointegration nuclear assembly factor 1";29953;-0,0475410223007202;"No"
"row_41";"ENSG00000185745";"IFIT1";"interferon induced protein with tetratricopeptide repeats 1";29972;-0,0485016703605652;"No"
"row_42";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";30067;-0,0559569038450718;"No"
"row_43";"ENSG00000132109";"TRIM21";"tripartite motif containing 21";30140;-0,0604293532669544;"No"
"row_44";"ENSG00000196262";"PPIA";"peptidylprolyl isomerase A";30369;-0,0773477777838707;"No"
"row_45";"ENSG00000135828";"RNASEL";"ribonuclease L";30696;-0,110540144145489;"No"
