"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000103546";"SLC6A2";"solute carrier family 6 member 2";4;157,588302612305;"Yes"
"row_1";"ENSG00000132872";"SYT4";"synaptotagmin 4";5;154,506622314453;"Yes"
"row_2";"ENSG00000036565";"SLC18A1";"solute carrier family 18 member A1";29;102,657485961914;"Yes"
"row_3";"ENSG00000125869";"LAMP5";"lysosomal associated membrane protein family member 5";41;93,9859924316406;"Yes"
"row_4";"ENSG00000132639";"SNAP25";"synaptosome associated protein 25";44;91,675422668457;"Yes"
"row_5";"ENSG00000182747";"SLC35D3";"solute carrier family 35 member D3";107;64,9384994506836;"Yes"
"row_6";"ENSG00000132718";"SYT11";"synaptotagmin 11";169;53,2828598022461;"Yes"
"row_7";"ENSG00000149295";"DRD2";"dopamine receptor D2";179;52,4417419433594;"Yes"
"row_8";"ENSG00000122012";"SV2C";"synaptic vesicle glycoprotein 2C";211;48,6587715148926;"Yes"
"row_9";"ENSG00000159164";"SV2A";"synaptic vesicle glycoprotein 2A";255;43,3593864440918;"Yes"
"row_10";"ENSG00000152932";"RAB3C";"RAB3C, member RAS oncogene family";274;41,6876106262207;"Yes"
"row_11";"ENSG00000116329";"OPRD1";"opioid receptor delta 1";320;37,501277923584;"Yes"
"row_12";"ENSG00000065609";"SNAP91";"synaptosome associated protein 91";321;37,270206451416;"Yes"
"row_13";"ENSG00000166111";"SVOP";"SV2 related protein";343;36,0606231689453;"Yes"
"row_14";"ENSG00000197106";"SLC6A17";"solute carrier family 6 member 17";355;35,1212730407715;"Yes"
"row_15";"ENSG00000033627";"ATP6V0A1";"ATPase H+ transporting V0 subunit a1";397;32,295238494873;"Yes"
"row_16";"ENSG00000089169";"RPH3A";"rabphilin 3A";399;32,2079391479492;"Yes"
"row_17";"ENSG00000054356";"PTPRN";"protein tyrosine phosphatase receptor type N";425;30,3234004974365;"Yes"
"row_18";"ENSG00000149043";"SYT8";"synaptotagmin 8";489;27,0070877075195;"Yes"
"row_19";"ENSG00000176884";"GRIN1";"glutamate ionotropic receptor NMDA type subunit 1";561;23,7699394226074;"Yes"
"row_20";"ENSG00000213023";"SYT3";"synaptotagmin 3";664;20,5536632537842;"Yes"
"row_21";"ENSG00000116039";"ATP6V1B1";"ATPase H+ transporting V1 subunit B1";725;18,6686820983887;"Yes"
"row_22";"ENSG00000184588";"PDE4B";"phosphodiesterase 4B";815;16,2833461761475;"Yes"
"row_23";"ENSG00000003147";"ICA1";"islet cell autoantigen 1";838;15,8060092926025;"Yes"
"row_24";"ENSG00000092929";"UNC13D";"unc-13 homolog D";925;14,3173913955688;"Yes"
"row_25";"ENSG00000101438";"SLC32A1";"solute carrier family 32 member 1";960;13,6049013137817;"Yes"
"row_26";"ENSG00000104537";"ANXA13";"annexin A13";961;13,6049013137817;"Yes"
"row_27";"ENSG00000163377";"TAFA4";"TAFA chemokine like family member 4";970;13,6049013137817;"Yes"
"row_28";"ENSG00000102003";"SYP";"synaptophysin";980;13,4421815872192;"Yes"
"row_29";"ENSG00000160469";"BRSK1";"BR serine/threonine kinase 1";1069;11,8159675598145;"Yes"
"row_30";"ENSG00000196660";"SLC30A10";"solute carrier family 30 member 10";1073;11,7234516143799;"Yes"
"row_31";"ENSG00000128482";"RNF112";"ring finger protein 112";1203;10,1951236724854;"Yes"
"row_32";"ENSG00000107282";"APBA1";"amyloid beta precursor protein binding family A member 1";1249;9,86990928649902;"Yes"
"row_33";"ENSG00000124406";"ATP8A1";"ATPase phospholipid transporting 8A1";1291;9,2544527053833;"Yes"
"row_34";"ENSG00000130477";"UNC13A";"unc-13 homolog A";1301;8,89285850524902;"Yes"
"row_35";"ENSG00000006071";"ABCC8";"ATP binding cassette subfamily C member 8";1307;8,74963855743408;"Yes"
"row_36";"ENSG00000184702";"SEPTIN5";"septin 5";1488;7,51457786560059;"Yes"
"row_37";"ENSG00000125354";"SEPTIN6";"septin 6";1493;7,38166666030884;"Yes"
"row_38";"ENSG00000102362";"SYTL4";"synaptotagmin like 4";1502;7,2109169960022;"Yes"
"row_39";"ENSG00000008056";"SYN1";"synapsin I";1557;6,96089363098145;"Yes"
"row_40";"ENSG00000155093";"PTPRN2";"protein tyrosine phosphatase receptor type N2";1696;5,80059194564819;"Yes"
"row_41";"ENSG00000132535";"DLG4";"discs large MAGUK scaffold protein 4";1743;5,59165477752686;"Yes"
"row_42";"ENSG00000168481";"LGI3";"leucine rich repeat LGI family member 3";1781;5,56495952606201;"Yes"
"row_43";"ENSG00000113657";"DPYSL3";"dihydropyrimidinase like 3";1882;5,19072294235229;"Yes"
"row_44";"ENSG00000198794";"SCAMP5";"secretory carrier membrane protein 5";1893;5,05312061309814;"Yes"
"row_45";"ENSG00000196376";"SLC35F1";"solute carrier family 35 member F1";2135;3,90496277809143;"No"
"row_46";"ENSG00000115194";"SLC30A3";"solute carrier family 30 member 3";2223;3,86167573928833;"No"
"row_47";"ENSG00000143858";"SYT2";"synaptotagmin 2";2327;3,37960743904114;"No"
"row_48";"ENSG00000067715";"SYT1";"synaptotagmin 1";2410;3,01224493980408;"No"
"row_49";"ENSG00000163630";"SYNPR";"synaptoporin";2578;2,5976197719574;"No"
"row_50";"ENSG00000157152";"SYN2";"synapsin II";2631;2,41326308250427;"No"
