"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";3;157,844589233398;"Yes"
"row_1";"ENSG00000160716";"CHRNB2";"cholinergic receptor nicotinic beta 2 subunit";37;96,6478805541992;"Yes"
"row_2";"ENSG00000122756";"CNTFR";"ciliary neurotrophic factor receptor";69;77,3035736083984;"Yes"
"row_3";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";73;76,0498428344727;"Yes"
"row_4";"ENSG00000165025";"SYK";"spleen associated tyrosine kinase";131;60,5264663696289;"Yes"
"row_5";"ENSG00000120251";"GRIA2";"glutamate ionotropic receptor AMPA type subunit 2";177;52,4597587585449;"Yes"
"row_6";"ENSG00000149295";"DRD2";"dopamine receptor D2";179;52,4417419433594;"Yes"
"row_7";"ENSG00000117971";"CHRNB4";"cholinergic receptor nicotinic beta 4 subunit";183;51,668773651123;"Yes"
"row_8";"ENSG00000080644";"CHRNA3";"cholinergic receptor nicotinic alpha 3 subunit";185;51,3797340393066;"Yes"
"row_9";"ENSG00000124785";"NRN1";"neuritin 1";305;38,703971862793;"Yes"
"row_10";"ENSG00000138080";"EMILIN1";"elastin microfibril interfacer 1";392;32,6555061340332;"Yes"
"row_11";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";443;29,2129650115967;"Yes"
"row_12";"ENSG00000144668";"ITGA9";"integrin subunit alpha 9";464;27,9785385131836;"Yes"
"row_13";"ENSG00000131477";"RAMP2";"receptor activity modifying protein 2";474;27,6060752868652;"Yes"
"row_14";"ENSG00000105737";"GRIK5";"glutamate ionotropic receptor kainate type subunit 5";484;27,1939926147461;"Yes"
"row_15";"ENSG00000176884";"GRIN1";"glutamate ionotropic receptor NMDA type subunit 1";561;23,7699394226074;"Yes"
"row_16";"ENSG00000149403";"GRIK4";"glutamate ionotropic receptor kainate type subunit 4";583;22,8288021087646;"Yes"
"row_17";"ENSG00000118733";"OLFM3";"olfactomedin 3";600;22,4169826507568;"Yes"
"row_18";"ENSG00000135902";"CHRND";"cholinergic receptor nicotinic delta subunit";623;21,7680625915527;"Yes"
"row_19";"ENSG00000175344";"CHRNA7";"cholinergic receptor nicotinic alpha 7 subunit";763;17,495964050293;"Yes"
"row_20";"ENSG00000182771";"GRID1";"glutamate ionotropic receptor delta type subunit 1";766;17,4159488677979;"Yes"
"row_21";"ENSG00000166664";"CHRFAM7A";"CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion";796;16,6783294677734;"Yes"
"row_22";"ENSG00000174871";"CNIH2";"cornichon family AMPA receptor auxiliary protein 2";839;15,7858972549438;"Yes"
"row_23";"ENSG00000010610";"CD4";"CD4 molecule";908;14,590446472168;"Yes"
"row_24";"ENSG00000149305";"HTR3B";"5-hydroxytryptamine receptor 3B";968;13,6049013137817;"Yes"
"row_25";"ENSG00000164418";"GRIK2";"glutamate ionotropic receptor kainate type subunit 2";982;13,3641014099121;"Yes"
"row_26";"ENSG00000140443";"IGF1R";"insulin like growth factor 1 receptor";1010;12,8457660675049;"Yes"
"row_27";"ENSG00000254087";"LYN";"LYN proto-oncogene, Src family tyrosine kinase";1043;12,20139503479;"Yes"
"row_28";"ENSG00000115232";"ITGA4";"integrin subunit alpha 4";1153;10,9553489685059;"Yes"
"row_29";"ENSG00000105088";"OLFM2";"olfactomedin 2";1157;10,8003950119019;"Yes"
"row_30";"ENSG00000174125";"TLR1";"toll like receptor 1";1165;10,6430501937866;"Yes"
"row_31";"ENSG00000170175";"CHRNB1";"cholinergic receptor nicotinic beta 1 subunit";1562;6,89236450195312;"Yes"
"row_32";"ENSG00000198851";"CD3E";"CD3 epsilon subunit of T-cell receptor complex";1714;5,726393699646;"Yes"
"row_33";"ENSG00000132535";"DLG4";"discs large MAGUK scaffold protein 4";1743;5,59165477752686;"Yes"
"row_34";"ENSG00000005844";"ITGAL";"integrin subunit alpha L";1745;5,56495952606201;"Yes"
"row_35";"ENSG00000147434";"CHRNA6";"cholinergic receptor nicotinic alpha 6 subunit";1769;5,56495952606201;"Yes"
"row_36";"ENSG00000139567";"ACVRL1";"activin A receptor like type 1";1923;4,81369924545288;"Yes"
"row_37";"ENSG00000064201";"TSPAN32";"tetraspanin 32";1936;4,75907707214355;"Yes"
"row_38";"ENSG00000169684";"CHRNA5";"cholinergic receptor nicotinic alpha 5 subunit";2007;4,41597318649292;"Yes"
"row_39";"ENSG00000152578";"GRIA4";"glutamate ionotropic receptor AMPA type subunit 4";2024;4,24191761016846;"Yes"
"row_40";"ENSG00000010704";"HFE";"homeostatic iron regulator";2073;3,90496277809143;"Yes"
"row_41";"ENSG00000138696";"BMPR1B";"bone morphogenetic protein receptor type 1B";2221;3,87016654014587;"Yes"
