"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0007409";"axonogenesis";"73/1061";"458/18496";1,37133838409097e-15;7,09657593470004e-12;"3670/1272/2042/1496/2046/4854/59277/4133/54437/393/4897/8829/1943/4744/655/23242/2051/2737/9355/2625/219699/8153/8929/10090/90249/25806/2043/7143/9890/2258/10439/6616/27255/2045/80031/84665/151449/152330/2044/2676/4915/4684/1813/5800/153478/7476/3798/56896/26053/1141/57216/6469/107/644168/5979/57611/6474/9723/4884/8941/2596/9378/575/8633/9241/6586/6585/10507/7477/6277/91584/115557/3975";"ISL1/CNTN1/EPHA3/CTNNA2/EPHA8/NOTCH3/NTN4/MAP2/SEMA5B/ARHGAP4/NRCAM/NRP1/EFNA2/NEFH/BMP7/COBL/EPHB6/GLI3/LHX2/GATA3/UNC5B/RND2/PHOX2B/UST/UNC5A/VAX2/EPHA4/TNR/PLPPR4/FGF13/OLFM1/SNAP25/CNTN6/EPHA7/SEMA6D/MYPN/GDF7/CNTN4/EPHA5/GFRA3/NTRK2/NCAM1/DRD2/PTPRO/PLEKHG4B/WNT7A/KIF5A/DPYSL5/AUTS2/CHRNB2/VANGL2/SHH/ADCY1/DRGX/RET/ISLR2/SHOX2/SEMA3E/NPTX1/CDK5R2/GAP43/NRXN1/ADGRB1/UNC5C/NOG/SLIT3/SLIT1/SEMA4D/WNT7B/S100A6/PLXNA4/ARHGEF25/LHX1";73
"BP";"GO:0007411";"axon guidance";"49/1061";"238/18496";3,34102398954012e-15;7,09657593470004e-12;"3670/1272/2042/2046/4854/59277/54437/4897/8829/1943/655/2051/2737/9355/2625/219699/90249/2043/7143/27255/2045/80031/84665/151449/152330/2044/2676/4684/5800/153478/3798/56896/57216/6469/644168/5979/9723/8941/2596/9378/8633/9241/6586/6585/10507/7477/91584/115557/3975";"ISL1/CNTN1/EPHA3/EPHA8/NOTCH3/NTN4/SEMA5B/NRCAM/NRP1/EFNA2/BMP7/EPHB6/GLI3/LHX2/GATA3/UNC5B/UNC5A/EPHA4/TNR/CNTN6/EPHA7/SEMA6D/MYPN/GDF7/CNTN4/EPHA5/GFRA3/NCAM1/PTPRO/PLEKHG4B/KIF5A/DPYSL5/VANGL2/SHH/DRGX/RET/SEMA3E/CDK5R2/GAP43/NRXN1/UNC5C/NOG/SLIT3/SLIT1/SEMA4D/WNT7B/PLXNA4/ARHGEF25/LHX1";49
"BP";"GO:0097485";"neuron projection guidance";"49/1061";"239/18496";3,97567279254904e-15;7,09657593470004e-12;"3670/1272/2042/2046/4854/59277/54437/4897/8829/1943/655/2051/2737/9355/2625/219699/90249/2043/7143/27255/2045/80031/84665/151449/152330/2044/2676/4684/5800/153478/3798/56896/57216/6469/644168/5979/9723/8941/2596/9378/8633/9241/6586/6585/10507/7477/91584/115557/3975";"ISL1/CNTN1/EPHA3/EPHA8/NOTCH3/NTN4/SEMA5B/NRCAM/NRP1/EFNA2/BMP7/EPHB6/GLI3/LHX2/GATA3/UNC5B/UNC5A/EPHA4/TNR/CNTN6/EPHA7/SEMA6D/MYPN/GDF7/CNTN4/EPHA5/GFRA3/NCAM1/PTPRO/PLEKHG4B/KIF5A/DPYSL5/VANGL2/SHH/DRGX/RET/SEMA3E/CDK5R2/GAP43/NRXN1/UNC5C/NOG/SLIT3/SLIT1/SEMA4D/WNT7B/PLXNA4/ARHGEF25/LHX1";49
"BP";"GO:0048732";"gland development";"67/1061";"451/18496";6,40481232874305e-13;8,57444250510476e-10;"3207/3670/3082/7038/27122/5307/7049/59277/4313/8829/655/284217/80004/6422/5764/857/4233/3200/3209/23242/2737/2625/374/4939/7421/64065/5629/7849/6495/3235/8854/3169/1036/64220/6496/429/2627/1969/3321/151449/4478/1813/10481/3625/4487/7039/1999/5308/9464/10370/6469/55897/255738/3219/9420/6777/2624/5324/23705/9241/80139/7490/7477/55959/5268/344167/84876";"HOXA11/ISL1/HGF/TG/DKK3/PITX1/TGFBR3/NTN4/MMP2/NRP1/BMP7/LAMA1/ESRP2/SFRP1/PTN/CAV1/MET/HOXA3/HOXA13/COBL/GLI3/GATA3/AREG/OAS2/VDR/PERP/PROX1/PAX8/SIX1/HOXD9/ALDH1A2/FOXA1/CDO1/STRA6/SIX3/ASCL1/GATA6/EPHA2/IGSF3/GDF7/MSN/DRD2/HOXB13/INHBB/MSX1/TGFA/ELF3/PITX2/HAND2/CITED2/SHH/MESP1/PCSK9/HOXB9/CYP7B1/STAT5B/GATA2/PLAG1/CADM1/NOG/ZNF703/WT1/WNT7B/SULF2/SERPINB5/FOXI3/ORAI1";67
"BP";"GO:0048880";"sensory system development";"64/1061";"425/18496";1,15271224910867e-12;1,08281724022944e-09;"7021/3670/5915/1641/8829/655/56853/284217/91851/56917/2737/9355/2625/8929/5159/7475/25806/6121/4237/5629/118427/8854/84440/5158/23418/9314/7111/7020/64220/6496/5950/2201/121643/85407/1969/7483/1745/1295/221935/4915/1813/654/7476/491/112724/4760/56999/5308/10370/6469/120114/196740/5979/7275/6774/6664/7054/7490/148398/7477/343035/1290/358/3975";"TFAP2B/ISL1/RARB/DCX/NRP1/BMP7/CELF4/LAMA1/CHRDL1/MEIS3/GLI3/LHX2/GATA3/PHOX2B/PDGFRB/WNT6/VAX2/RPE65/MFAP2/PROX1/OLFM3/ALDH1A2/RAB11FIP4/PDE6B/CRB1/KLF4/TMOD1/TFAP2A/STRA6/SIX3/RBP4/FBN2/FOXN4/NKD1/EPHA2/WNT9A/DLX1/COL8A1/SDK1/NTRK2/DRD2/BMP6/WNT7A/ATP2B2/RDH13/NEUROD1/ADAMTS9/PITX2/CITED2/SHH/FAT3/VSTM4/RET/TUB/STAT3/SOX11/TH/WT1/SAMD11/WNT7B/RD3/COL5A2/AQP1/LHX1";64
"BP";"GO:0072006";"nephron development";"36/1061";"161/18496";1,21324060529909e-12;1,08281724022944e-09;"3207/3675/7021/25937/4854/5155/655/2138/2737/2625/5159/7475/7849/65266/6495/3976/80000/130497/2719/5800/9955/3570/55083/28999/6469/5979/8642/8710/9241/7490/7477/55959/5455/358/5175/3975";"HOXA11/ITGA3/TFAP2B/WWTR1/NOTCH3/PDGFB/BMP7/EYA1/GLI3/GATA3/PDGFRB/WNT6/PAX8/WNK4/SIX1/LIF/GREB1L/OSR1/GPC3/PTPRO/HS3ST3A1/IL6R/KIF26B/KLF15/SHH/RET/DCHS1/SERPINB7/NOG/WT1/WNT7B/SULF2/POU3F3/AQP1/PECAM1/LHX1";36
"BP";"GO:0001654";"eye development";"62/1061";"414/18496";3,34623239616101e-12;2,55986778306317e-09;"7021/5915/1641/8829/655/56853/284217/91851/56917/2737/9355/2625/5159/7475/25806/6121/4237/5629/118427/8854/84440/5158/23418/9314/7111/7020/64220/6496/5950/2201/121643/85407/1969/7483/1745/1295/221935/4915/1813/654/7476/491/112724/4760/56999/5308/10370/6469/120114/196740/5979/7275/6774/6664/7054/7490/148398/7477/343035/1290/358/3975";"TFAP2B/RARB/DCX/NRP1/BMP7/CELF4/LAMA1/CHRDL1/MEIS3/GLI3/LHX2/GATA3/PDGFRB/WNT6/VAX2/RPE65/MFAP2/PROX1/OLFM3/ALDH1A2/RAB11FIP4/PDE6B/CRB1/KLF4/TMOD1/TFAP2A/STRA6/SIX3/RBP4/FBN2/FOXN4/NKD1/EPHA2/WNT9A/DLX1/COL8A1/SDK1/NTRK2/DRD2/BMP6/WNT7A/ATP2B2/RDH13/NEUROD1/ADAMTS9/PITX2/CITED2/SHH/FAT3/VSTM4/RET/TUB/STAT3/SOX11/TH/WT1/SAMD11/WNT7B/RD3/COL5A2/AQP1/LHX1";62
"BP";"GO:0150063";"visual system development";"62/1061";"418/18496";5,10746846896378e-12;3,1896488741295e-09;"7021/5915/1641/8829/655/56853/284217/91851/56917/2737/9355/2625/5159/7475/25806/6121/4237/5629/118427/8854/84440/5158/23418/9314/7111/7020/64220/6496/5950/2201/121643/85407/1969/7483/1745/1295/221935/4915/1813/654/7476/491/112724/4760/56999/5308/10370/6469/120114/196740/5979/7275/6774/6664/7054/7490/148398/7477/343035/1290/358/3975";"TFAP2B/RARB/DCX/NRP1/BMP7/CELF4/LAMA1/CHRDL1/MEIS3/GLI3/LHX2/GATA3/PDGFRB/WNT6/VAX2/RPE65/MFAP2/PROX1/OLFM3/ALDH1A2/RAB11FIP4/PDE6B/CRB1/KLF4/TMOD1/TFAP2A/STRA6/SIX3/RBP4/FBN2/FOXN4/NKD1/EPHA2/WNT9A/DLX1/COL8A1/SDK1/NTRK2/DRD2/BMP6/WNT7A/ATP2B2/RDH13/NEUROD1/ADAMTS9/PITX2/CITED2/SHH/FAT3/VSTM4/RET/TUB/STAT3/SOX11/TH/WT1/SAMD11/WNT7B/RD3/COL5A2/AQP1/LHX1";62
"BP";"GO:0072001";"renal system development";"54/1061";"336/18496";5,36075441030168e-12;3,1896488741295e-09;"3207/3675/7021/25937/4854/5915/4036/231/8829/5155/655/2138/6422/2737/2625/5159/7475/2043/5629/7849/65266/6495/3976/8854/1644/2045/7020/64220/5950/8549/80000/130497/2719/5800/654/9955/3570/57216/55083/28999/6469/5979/8642/8710/255738/6664/9241/7490/7477/55959/5455/358/5175/3975";"HOXA11/ITGA3/TFAP2B/WWTR1/NOTCH3/RARB/LRP2/AKR1B1/NRP1/PDGFB/BMP7/EYA1/SFRP1/GLI3/GATA3/PDGFRB/WNT6/EPHA4/PROX1/PAX8/WNK4/SIX1/LIF/ALDH1A2/DDC/EPHA7/TFAP2A/STRA6/RBP4/LGR5/GREB1L/OSR1/GPC3/PTPRO/BMP6/HS3ST3A1/IL6R/VANGL2/KIF26B/KLF15/SHH/RET/DCHS1/SERPINB7/PCSK9/SOX11/NOG/WT1/WNT7B/SULF2/POU3F3/AQP1/PECAM1/LHX1";54
"BP";"GO:0001763";"morphogenesis of a branching structure";"40/1061";"208/18496";1,13801697229931e-11;6,09408088666281e-09;"3207/3082/59277/8829/655/1522/284217/80004/2138/6422/4233/3209/2737/374/7421/7475/5629/7849/6495/3169/2258/4613/2045/80000/1969/151449/2719/1813/9955/4323/10481/6469/8642/10653/6474/9723/9241/7490/1305/3975";"HOXA11/HGF/NTN4/NRP1/BMP7/CTSZ/LAMA1/ESRP2/EYA1/SFRP1/MET/HOXA13/GLI3/AREG/VDR/WNT6/PROX1/PAX8/SIX1/FOXA1/FGF13/MYCN/EPHA7/GREB1L/EPHA2/GDF7/GPC3/DRD2/HS3ST3A1/MMP14/HOXB13/SHH/DCHS1/SPINT2/SHOX2/SEMA3E/NOG/WT1/COL13A1/LHX1";40
