"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000166501";"PRKCB";"protein kinase C beta";1580;6,46118116378784;"No"
"row_1";"ENSG00000088320";"REM1";"RRAD and GEM like GTPase 1";2027;3,99576282501221;"No"
"row_2";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";2731;2,24419713020325;"No"
"row_3";"ENSG00000108953";"YWHAE";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon";2883;1,93860864639282;"No"
"row_4";"ENSG00000185989";"RASA3";"RAS p21 protein activator 3";3177;1,46304404735565;"No"
"row_5";"ENSG00000089250";"NOS1";"nitric oxide synthase 1";3365;1,17791378498077;"No"
"row_6";"ENSG00000170385";"SLC30A1";"solute carrier family 30 member 1";4336;0,807587683200836;"No"
"row_7";"ENSG00000110076";"NRXN2";"neurexin 2";5632;0,257573306560516;"No"
"row_8";"ENSG00000166592";"RRAD";"RRAD, Ras related glycolysis inhibitor and calcium channel regulator";7077;0,0819861888885498;"No"
"row_9";"ENSG00000142408";"CACNG8";"calcium voltage-gated channel auxiliary subunit gamma 8";7103;0,0808666720986366;"No"
"row_10";"ENSG00000165912";"PACSIN3";"protein kinase C and casein kinase substrate in neurons 3";7280;0,0654840767383575;"No"
"row_11";"ENSG00000106927";"AMBP";"alpha-1-microglobulin/bikunin precursor";7375;0,0589002668857574;"No"
"row_12";"ENSG00000005059";"MCUB";"mitochondrial calcium uniporter dominant negative subunit beta";8193;0,0196841303259134;"No"
"row_13";"ENSG00000160014";"CALM3";"calmodulin 3";8508;0,0102520110085607;"No"
"row_14";"ENSG00000107745";"MICU1";"mitochondrial calcium uptake 1";8932;0,00290892203338444;"No"
"row_15";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";9193;0,000743451411835849;"No"
"row_16";"ENSG00000088832";"FKBP1A";"FKBP prolyl isomerase 1A";9554;0;"No"
"row_17";"ENSG00000104205";"SGK3";"serum/glucocorticoid regulated kinase family member 3";9664;0;"No"
"row_18";"ENSG00000105507";"CABP5";"calcium binding protein 5";9688;0;"No"
"row_19";"ENSG00000122585";"NPY";"neuropeptide Y";9913;0;"No"
"row_20";"ENSG00000164082";"GRM2";"glutamate metabotropic receptor 2";10637;0;"No"
"row_21";"ENSG00000167791";"CABP2";"calcium binding protein 2";10777;0;"No"
"row_22";"ENSG00000175544";"CABP4";"calcium binding protein 4";11126;0;"No"
"row_23";"ENSG00000182533";"CAV3";"caveolin 3";11502;0;"No"
"row_24";"ENSG00000213533";"STIMATE";"STIM activating enhancer";14783;0;"No"
"row_25";"ENSG00000167323";"STIM1";"stromal interaction molecule 1";27504;-0,0092038419097662;"No"
"row_26";"ENSG00000075142";"SRI";"sorcin";27525;-0,00963599141687155;"No"
"row_27";"ENSG00000165487";"MICU2";"mitochondrial calcium uptake 2";28238;-0,0316771902143955;"No"
"row_28";"ENSG00000164949";"GEM";"GTP binding protein overexpressed in skeletal muscle";28456;-0,0402317568659782;"No"
"row_29";"ENSG00000174437";"ATP2A2";"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2";28622;-0,0490426793694496;"No"
"row_30";"ENSG00000054148";"PHPT1";"phosphohistidine phosphatase 1";28825;-0,0585320256650448;"No"
"row_31";"ENSG00000109689";"STIM2";"stromal interaction molecule 2";29035;-0,0674573853611946;"No"
"row_32";"ENSG00000118515";"SGK1";"serum/glucocorticoid regulated kinase 1";29139;-0,0737845823168755;"No"
"row_33";"ENSG00000143933";"CALM2";"calmodulin 2";29779;-0,13073967397213;"No"
"row_34";"ENSG00000106089";"STX1A";"syntaxin 1A";30009;-0,158452481031418;"No"
"row_35";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";31866;-0,580261290073395;"No"
"row_36";"ENSG00000106537";"TSPAN13";"tetraspanin 13";32084;-0,67255711555481;"No"
"row_37";"ENSG00000198668";"CALM1";"calmodulin 1";32179;-0,724210202693939;"No"
"row_38";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";33365;-1,09539520740509;"No"
"row_39";"ENSG00000150995";"ITPR1";"inositol 1,4,5-trisphosphate receptor type 1";33449;-1,15992474555969;"No"
"row_40";"ENSG00000198822";"GRM3";"glutamate metabotropic receptor 3";33715;-1,48357176780701;"No"
"row_41";"ENSG00000155970";"MICU3";"mitochondrial calcium uptake family member 3";33728;-1,50129652023315;"No"
"row_42";"ENSG00000116983";"HPCAL4";"hippocalcin like 4";34364;-2,33928775787354;"Yes"
"row_43";"ENSG00000288602";"C8orf44-SGK3";"C8orf44-SGK3 readthrough";34384;-2,41420888900757;"Yes"
"row_44";"ENSG00000139890";"REM2";"RRAD and GEM like GTPase 2";34499;-2,80613231658936;"Yes"
