"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000007312";"CD79B";"CD79b molecule";9443;0;"No"
"row_1";"ENSG00000128322";"IGLL1";"immunoglobulin lambda like polypeptide 1";10033;0;"No"
"row_2";"ENSG00000169575";"VPREB1";"V-set pre-B cell surrogate light chain 1";10853;0;"No"
"row_3";"ENSG00000211592";"IGKC";"immunoglobulin kappa constant";14208;0;"No"
"row_4";"ENSG00000211597";"IGKJ1";"immunoglobulin kappa joining 1";14213;0;"No"
"row_5";"ENSG00000211598";"IGKV4-1";"immunoglobulin kappa variable 4-1";14214;0;"No"
"row_6";"ENSG00000211599";"IGKV5-2";"immunoglobulin kappa variable 5-2";14215;0;"No"
"row_7";"ENSG00000211611";"IGKV6-21";"immunoglobulin kappa variable 6-21 (non-functional)";14216;0;"No"
"row_8";"ENSG00000211623";"IGKV2D-26";"immunoglobulin kappa variable 2D-26";14217;0;"No"
"row_9";"ENSG00000211625";"IGKV3D-20";"immunoglobulin kappa variable 3D-20";14218;0;"No"
"row_10";"ENSG00000211626";"IGKV6D-41";"immunoglobulin kappa variable 6D-41 (non-functional)";14219;0;"No"
"row_11";"ENSG00000211632";"IGKV3D-11";"immunoglobulin kappa variable 3D-11";14220;0;"No"
"row_12";"ENSG00000211633";"IGKV1D-42";"immunoglobulin kappa variable 1D-42 (non-functional)";14221;0;"No"
"row_13";"ENSG00000211637";"IGLV4-69";"immunoglobulin lambda variable 4-69";14222;0;"No"
"row_14";"ENSG00000211638";"IGLV8-61";"immunoglobulin lambda variable 8-61";14223;0;"No"
"row_15";"ENSG00000211639";"IGLV4-60";"immunoglobulin lambda variable 4-60";14224;0;"No"
"row_16";"ENSG00000211640";"IGLV6-57";"immunoglobulin lambda variable 6-57";14225;0;"No"
"row_17";"ENSG00000211641";"IGLV11-55";"immunoglobulin lambda variable 11-55 (non-functional)";14226;0;"No"
"row_18";"ENSG00000211642";"IGLV10-54";"immunoglobulin lambda variable 10-54";14227;0;"No"
"row_19";"ENSG00000211644";"IGLV1-51";"immunoglobulin lambda variable 1-51";14228;0;"No"
"row_20";"ENSG00000211645";"IGLV1-50";"immunoglobulin lambda variable 1-50 (non-functional)";14229;0;"No"
"row_21";"ENSG00000211647";"IGLV5-48";"immunoglobulin lambda variable 5-48 (non-functional)";14230;0;"No"
"row_22";"ENSG00000211648";"IGLV1-47";"immunoglobulin lambda variable 1-47";14231;0;"No"
"row_23";"ENSG00000211649";"IGLV7-46";"immunoglobulin lambda variable 7-46";14232;0;"No"
"row_24";"ENSG00000211650";"IGLV5-45";"immunoglobulin lambda variable 5-45";14233;0;"No"
"row_25";"ENSG00000211651";"IGLV1-44";"immunoglobulin lambda variable 1-44";14234;0;"No"
"row_26";"ENSG00000211652";"IGLV7-43";"immunoglobulin lambda variable 7-43";14235;0;"No"
"row_27";"ENSG00000211653";"IGLV1-40";"immunoglobulin lambda variable 1-40";14236;0;"No"
"row_28";"ENSG00000211654";"IGLV5-37";"immunoglobulin lambda variable 5-37";14237;0;"No"
"row_29";"ENSG00000211655";"IGLV1-36";"immunoglobulin lambda variable 1-36";14238;0;"No"
"row_30";"ENSG00000211656";"IGLV2-33";"immunoglobulin lambda variable 2-33 (non-functional)";14239;0;"No"
"row_31";"ENSG00000211657";"IGLV3-32";"immunoglobulin lambda variable 3-32 (non-functional)";14240;0;"No"
"row_32";"ENSG00000211658";"IGLV3-27";"immunoglobulin lambda variable 3-27";14241;0;"No"
"row_33";"ENSG00000211659";"IGLV3-25";"immunoglobulin lambda variable 3-25";14242;0;"No"
"row_34";"ENSG00000211660";"IGLV2-23";"immunoglobulin lambda variable 2-23";14243;0;"No"
"row_35";"ENSG00000211661";"IGLV3-22";"immunoglobulin lambda variable 3-22";14244;0;"No"
"row_36";"ENSG00000211662";"IGLV3-21";"immunoglobulin lambda variable 3-21";14245;0;"No"
"row_37";"ENSG00000211663";"IGLV3-19";"immunoglobulin lambda variable 3-19";14246;0;"No"
"row_38";"ENSG00000211664";"IGLV2-18";"immunoglobulin lambda variable 2-18";14247;0;"No"
"row_39";"ENSG00000211665";"IGLV3-16";"immunoglobulin lambda variable 3-16";14248;0;"No"
"row_40";"ENSG00000211666";"IGLV2-14";"immunoglobulin lambda variable 2-14";14249;0;"No"
"row_41";"ENSG00000211667";"IGLV3-12";"immunoglobulin lambda variable 3-12";14250;0;"No"
"row_42";"ENSG00000211668";"IGLV2-11";"immunoglobulin lambda variable 2-11";14251;0;"No"
"row_43";"ENSG00000211669";"IGLV3-10";"immunoglobulin lambda variable 3-10";14252;0;"No"
"row_44";"ENSG00000211670";"IGLV3-9";"immunoglobulin lambda variable 3-9";14253;0;"No"
"row_45";"ENSG00000211672";"IGLV4-3";"immunoglobulin lambda variable 4-3";14254;0;"No"
"row_46";"ENSG00000211675";"IGLC1";"immunoglobulin lambda constant 1";14255;0;"No"
"row_47";"ENSG00000211677";"IGLC2";"immunoglobulin lambda constant 2";14256;0;"No"
"row_48";"ENSG00000211679";"IGLC3";"immunoglobulin lambda constant 3 (Kern-Oz+ marker)";14257;0;"No"
"row_49";"ENSG00000211685";"IGLC7";"immunoglobulin lambda constant 7";14261;0;"No"
"row_50";"ENSG00000211776";"TRAV2";"T cell receptor alpha variable 2";14310;0;"No"
"row_51";"ENSG00000211792";"TRAV14DV4";"T cell receptor alpha variable 14/delta variable 4";14326;0;"No"
"row_52";"ENSG00000211799";"TRAV19";"T cell receptor alpha variable 19";14333;0;"No"
"row_53";"ENSG00000211804";"TRDV1";"T cell receptor delta variable 1";14338;0;"No"
"row_54";"ENSG00000211816";"TRAV38-1";"T cell receptor alpha variable 38-1";14348;0;"No"
"row_55";"ENSG00000211817";"TRAV38-2DV8";"T cell receptor alpha variable 38-2/delta variable 8";14349;0;"No"
"row_56";"ENSG00000211890";"IGHA2";"immunoglobulin heavy constant alpha 2 (A2m marker)";14413;0;"No"
"row_57";"ENSG00000211891";"IGHE";"immunoglobulin heavy constant epsilon";14414;0;"No"
"row_58";"ENSG00000211892";"IGHG4";"immunoglobulin heavy constant gamma 4 (G4m marker)";14415;0;"No"
"row_59";"ENSG00000211893";"IGHG2";"immunoglobulin heavy constant gamma 2 (G2m marker)";14416;0;"No"
"row_60";"ENSG00000211895";"IGHA1";"immunoglobulin heavy constant alpha 1";14417;0;"No"
"row_61";"ENSG00000211896";"IGHG1";"immunoglobulin heavy constant gamma 1 (G1m marker)";14418;0;"No"
"row_62";"ENSG00000211897";"IGHG3";"immunoglobulin heavy constant gamma 3 (G3m marker)";14419;0;"No"
"row_63";"ENSG00000211898";"IGHD";"immunoglobulin heavy constant delta";14420;0;"No"
"row_64";"ENSG00000211899";"IGHM";"immunoglobulin heavy constant mu";14421;0;"No"
"row_65";"ENSG00000211905";"IGHJ1";"immunoglobulin heavy joining 1";14424;0;"No"
"row_66";"ENSG00000211933";"IGHV6-1";"immunoglobulin heavy variable 6-1";14441;0;"No"
"row_67";"ENSG00000211935";"IGHV1-3";"immunoglobulin heavy variable 1-3";14443;0;"No"
"row_68";"ENSG00000211937";"IGHV2-5";"immunoglobulin heavy variable 2-5";14444;0;"No"
"row_69";"ENSG00000211938";"IGHV3-7";"immunoglobulin heavy variable 3-7";14445;0;"No"
"row_70";"ENSG00000211941";"IGHV3-11";"immunoglobulin heavy variable 3-11";14446;0;"No"
"row_71";"ENSG00000211942";"IGHV3-13";"immunoglobulin heavy variable 3-13";14447;0;"No"
"row_72";"ENSG00000211943";"IGHV3-15";"immunoglobulin heavy variable 3-15";14448;0;"No"
"row_73";"ENSG00000211944";"IGHV3-16";"immunoglobulin heavy variable 3-16 (non-functional)";14449;0;"No"
"row_74";"ENSG00000211945";"IGHV1-18";"immunoglobulin heavy variable 1-18";14450;0;"No"
"row_75";"ENSG00000211946";"IGHV3-20";"immunoglobulin heavy variable 3-20";14451;0;"No"
"row_76";"ENSG00000211947";"IGHV3-21";"immunoglobulin heavy variable 3-21";14452;0;"No"
"row_77";"ENSG00000211949";"IGHV3-23";"immunoglobulin heavy variable 3-23";14453;0;"No"
"row_78";"ENSG00000211950";"IGHV1-24";"immunoglobulin heavy variable 1-24";14454;0;"No"
"row_79";"ENSG00000211951";"IGHV2-26";"immunoglobulin heavy variable 2-26";14455;0;"No"
"row_80";"ENSG00000211952";"IGHV4-28";"immunoglobulin heavy variable 4-28";14456;0;"No"
"row_81";"ENSG00000211955";"IGHV3-33";"immunoglobulin heavy variable 3-33";14457;0;"No"
"row_82";"ENSG00000211956";"IGHV4-34";"immunoglobulin heavy variable 4-34";14458;0;"No"
"row_83";"ENSG00000211957";"IGHV3-35";"immunoglobulin heavy variable 3-35 (non-functional)";14459;0;"No"
"row_84";"ENSG00000211958";"IGHV3-38";"immunoglobulin heavy variable 3-38 (non-functional)";14460;0;"No"
"row_85";"ENSG00000211959";"IGHV4-39";"immunoglobulin heavy variable 4-39";14461;0;"No"
"row_86";"ENSG00000211961";"IGHV1-45";"immunoglobulin heavy variable 1-45";14462;0;"No"
"row_87";"ENSG00000211964";"IGHV3-48";"immunoglobulin heavy variable 3-48";14464;0;"No"
"row_88";"ENSG00000211965";"IGHV3-49";"immunoglobulin heavy variable 3-49";14465;0;"No"
"row_89";"ENSG00000211966";"IGHV5-51";"immunoglobulin heavy variable 5-51";14466;0;"No"
"row_90";"ENSG00000211967";"IGHV3-53";"immunoglobulin heavy variable 3-53";14467;0;"No"
"row_91";"ENSG00000211968";"IGHV1-58";"immunoglobulin heavy variable 1-58";14468;0;"No"
"row_92";"ENSG00000211970";"IGHV4-61";"immunoglobulin heavy variable 4-61";14469;0;"No"
"row_93";"ENSG00000211972";"IGHV3-66";"immunoglobulin heavy variable 3-66";14470;0;"No"
"row_94";"ENSG00000211973";"IGHV1-69";"immunoglobulin heavy variable 1-69";14471;0;"No"
"row_95";"ENSG00000211974";"IGHV2-70D";"immunoglobulin heavy variable 2-70D";14472;0;"No"
"row_96";"ENSG00000211976";"IGHV3-73";"immunoglobulin heavy variable 3-73";14473;0;"No"
"row_97";"ENSG00000211979";"IGHV7-81";"immunoglobulin heavy variable 7-81 (non-functional)";14475;0;"No"
"row_98";"ENSG00000222037";"IGLC6";"immunoglobulin lambda constant 6";15482;0;"No"
"row_99";"ENSG00000223350";"IGLV9-49";"immunoglobulin lambda variable 9-49";15847;0;"No"
"row_100";"ENSG00000223648";"IGHV3-64";"immunoglobulin heavy variable 3-64";15908;0;"No"
"row_101";"ENSG00000224041";"IGKV3D-15";"immunoglobulin kappa variable 3D-15";15990;0;"No"
"row_102";"ENSG00000224373";"IGHV4-59";"immunoglobulin heavy variable 4-59";16055;0;"No"
"row_103";"ENSG00000224650";"IGHV3-74";"immunoglobulin heavy variable 3-74";16114;0;"No"
"row_104";"ENSG00000225523";"IGKV6D-21";"immunoglobulin kappa variable 6D-21 (non-functional)";16279;0;"No"
"row_105";"ENSG00000225698";"IGHV3-72";"immunoglobulin heavy variable 3-72";16311;0;"No"
"row_106";"ENSG00000228325";"IGKV3D-7";"immunoglobulin kappa variable 3D-7";16829;0;"No"
"row_107";"ENSG00000232216";"IGHV3-43";"immunoglobulin heavy variable 3-43";17616;0;"No"
"row_108";"ENSG00000236170";"IGHD1-1";"immunoglobulin heavy diversity 1-1";18430;0;"No"
"row_109";"ENSG00000239571";"IGKV2D-30";"immunoglobulin kappa variable 2D-30";19110;0;"No"
"row_110";"ENSG00000239819";"IGKV1D-8";"immunoglobulin kappa variable 1D-8";19161;0;"No"
"row_111";"ENSG00000239855";"IGKV1-6";"immunoglobulin kappa variable 1-6";19169;0;"No"
"row_112";"ENSG00000239862";"IGKV1-37";"immunoglobulin kappa variable 1-37 (non-functional)";19172;0;"No"
"row_113";"ENSG00000239951";"IGKV3-20";"immunoglobulin kappa variable 3-20";19190;0;"No"
"row_114";"ENSG00000239975";"IGKV1D-33";"immunoglobulin kappa variable 1D-33";19196;0;"No"
"row_115";"ENSG00000240382";"IGKV1-17";"immunoglobulin kappa variable 1-17";19283;0;"No"
"row_116";"ENSG00000240671";"IGKV1-8";"immunoglobulin kappa variable 1-8";19348;0;"No"
"row_117";"ENSG00000240864";"IGKV1-16";"immunoglobulin kappa variable 1-16";19390;0;"No"
"row_118";"ENSG00000241294";"IGKV2-24";"immunoglobulin kappa variable 2-24";19486;0;"No"
"row_119";"ENSG00000241566";"IGKV2D-24";"immunoglobulin kappa variable 2D-24 (non-functional)";19535;0;"No"
