"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000137801";"THBS1";"thrombospondin 1";46;70,0433197021484;"Yes"
"row_1";"ENSG00000173269";"MMRN2";"multimerin 2";916;14,0324382781982;"Yes"
"row_2";"ENSG00000210741";"MIR196A1";"microRNA 196a-1";1596;6,46118116378784;"Yes"
"row_3";"ENSG00000148400";"NOTCH1";"notch receptor 1";1704;6,15985059738159;"Yes"
"row_4";"ENSG00000100065";"CARD10";"caspase recruitment domain family member 10";1797;5,35918569564819;"Yes"
"row_5";"ENSG00000207870";"MIR221";"microRNA 221";1853;4,94928169250488;"Yes"
"row_6";"ENSG00000133121";"STARD13";"StAR related lipid transfer domain containing 13";4409;0,739937841892242;"No"
"row_7";"ENSG00000138722";"MMRN1";"multimerin 1";4566;0,642669916152954;"No"
"row_8";"ENSG00000119185";"ITGB1BP1";"integrin subunit beta 1 binding protein 1";6070;0,182144358754158;"No"
"row_9";"ENSG00000166068";"SPRED1";"sprouty related EVH1 domain containing 1";7183;0,072840578854084;"No"
"row_10";"ENSG00000067560";"RHOA";"ras homolog family member A";7614;0,0474181137979031;"No"
"row_11";"ENSG00000137764";"MAP2K5";"mitogen-activated protein kinase kinase 5";9375;6,7312314058654e-05;"No"
"row_12";"ENSG00000106511";"MEOX2";"mesenchyme homeobox 2";9711;0;"No"
"row_13";"ENSG00000194717";"MIR494";"microRNA 494";11940;0;"No"
"row_14";"ENSG00000199051";"MIR361";"microRNA 361";12178;0;"No"
"row_15";"ENSG00000199075";"MIR26A1";"microRNA 26a-1";12184;0;"No"
"row_16";"ENSG00000199092";"MIR410";"microRNA 410";12191;0;"No"
"row_17";"ENSG00000199165";"MIRLET7A1";"microRNA let-7a-1";12214;0;"No"
"row_18";"ENSG00000207604";"MIR206";"microRNA 206";13923;0;"No"
"row_19";"ENSG00000207611";"MIR149";"microRNA 149";13929;0;"No"
"row_20";"ENSG00000207614";"MIR193A";"microRNA 193a";13932;0;"No"
"row_21";"ENSG00000207713";"MIR200C";"microRNA 200c";13985;0;"No"
"row_22";"ENSG00000207743";"MIR495";"microRNA 495";14006;0;"No"
"row_23";"ENSG00000207752";"MIR199A1";"microRNA 199a-1";14011;0;"No"
"row_24";"ENSG00000207761";"MIR329-1";"microRNA 329-1";14018;0;"No"
"row_25";"ENSG00000207805";"MIR483";"microRNA 483";14045;0;"No"
"row_26";"ENSG00000208005";"MIR503";"microRNA 503";14137;0;"No"
"row_27";"ENSG00000208006";"MIR16-1";"microRNA 16-1";14138;0;"No"
"row_28";"ENSG00000208037";"MIR320A";"microRNA 320a";14156;0;"No"
"row_29";"ENSG00000216135";"MIR885";"microRNA 885";15089;0;"No"
"row_30";"ENSG00000253008";"MIR2355";"microRNA 2355";21512;0;"No"
"row_31";"ENSG00000283733";"MIR146A";"microRNA 146a";25376;0;"No"
"row_32";"ENSG00000283762";"MIR20A";"microRNA 20a";25383;0;"No"
"row_33";"ENSG00000283785";"MIR15A";"microRNA 15a";25391;0;"No"
"row_34";"ENSG00000283824";"MIR22";"microRNA 22";25411;0;"No"
"row_35";"ENSG00000284027";"MIR497";"microRNA 497";25473;0;"No"
"row_36";"ENSG00000284214";"MIR29C";"microRNA 29c";25550;0;"No"
"row_37";"ENSG00000284231";"MIR424";"microRNA 424";25556;0;"No"
"row_38";"ENSG00000284375";"MIR19B1";"microRNA 19b-1";25613;0;"No"
"row_39";"ENSG00000284485";"MIR205";"microRNA 205";25655;0;"No"
"row_40";"ENSG00000136826";"KLF4";"KLF transcription factor 4";28862;-0,0608625672757626;"No"
"row_41";"ENSG00000114209";"PDCD10";"programmed cell death 10";29236;-0,0784715712070465;"No"
"row_42";"ENSG00000108840";"HDAC5";"histone deacetylase 5";31335;-0,406892448663712;"No"
"row_43";"ENSG00000006638";"TBXA2R";"thromboxane A2 receptor";31813;-0,55556982755661;"No"
"row_44";"ENSG00000128917";"DLL4";"delta like canonical Notch ligand 4";32528;-0,883094310760498;"No"
